create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/24 16:15:01,80,경상북도 김천시,206976,기온이 어제보다 10도가량 내려가 춥습니다 ▲외출시 보온에 유의 ▲한파 취약자 건강관리 유의 ▲농작물·가축 보온 및 난방기 화재예방에 유의하세요,cbs,김천시,,,"[('가축 보온 난방기', 0.645)]"
2023/09/20 22:12:43,80,경상북도 김천시,205571,"우리지역에 많은 비가 내리고 있습니다. 하천변, 하상도로, 지하차도, 급경사지 등 위험지역은 접근하지 마시고 안전에 유의하시기 바랍니다.,",cbs,김천시,,,"[('마시고 안전에 유의하시기', 0.75)]"
2023/09/16 16:40:34,80,경상북도 김천시,205231,"호우주의보 발효 중. 많은 비가 예상되니 하천변, 지하차도, 급경사지 등 위험지역에 접근하지 마시고, 안전에 유의하시기 바랍니다.",cbs,김천시,,,"[('급경사지 위험지역에 접근하지 마시고', 0.7627)]"
2023/08/30 10:33:45,80,경상북도 김천시,204644,"자정까지 많은 비가 예보되어있습니다. 하천변 산책로, 지하차도, 저지대 등 침수위험지역은 접근하지 마시고, 위험징후 발견 시 안전한곳으로 대피하세요.",cbs,김천시,,,"[('마시고 위험징후 발견', 0.7306)]"
2023/08/30 09:50:08,80,경상북도 김천시,204633,"산사태 주의보 발령. 산림 주변 야외활동 자제, 기상 및 주변상황을 수시로 확인, 대피명령이 있을 시 마을회관 등 안전한 곳으로 대피하시기 바랍니다.",cbs,김천시,,,"[('기상 주변상황을', 0.752)]"
2023/08/30 06:35:46,80,경상북도 김천시,204594,"호우주의보 발효 중. 오늘 많은 비가 예상되니 하천변, 지하차도, 급경사지 등 위험지역에 접근하지 마시고, 안전에 유의하시기 바랍니다.",cbs,김천시,,,"[('발효 오늘 많은 비가', 0.7157)]"
2023/08/24 14:52:54,80,경상북도 김천시,204361,"지역에따라 국지적으로 많은 비가 내리고 있습니다. 하천변, ,지하차도, 급경사지 등 위험지역에 계신분들은 안전한 곳으로 이동 바랍니다.",cbs,김천시,,,"[('하천변 지하차도 급경사지 위험지역에', 0.7478)]"
2023/08/22 10:08:32,80,경상북도 김천시,203936,"폭염경보 발효 중. 온열질환 발생가능성이 높으니 논밭일, 건설현장등 실외작업 자제. 폭염 안전수칙(물,그늘,휴식) 지키기 등 안전에 유의 바랍니다.",cbs,김천시,"물,그늘,휴식",,"[('논밭일 건설현장등 실외작업', 0.6117)]"
2023/08/21 10:30:11,80,경상북도 김천시,203869,"폭염경보 발효 중. 낮 시간대 논밭, 건설현장 등 실외작업 자제. 충분한 물 마시기와 휴식, 양산쓰기로 폭염 시 건강관리에 유의하시기 바랍니다.",cbs,김천시,,,"[('발효 시간대 논밭 건설현장', 0.738)]"
2023/08/20 16:29:27,80,경상북도 김천시,203820,"호우경보 발효. 집중호우로 인한 피해가 우려되므로, 하천변 산책로, 저지대, 급경사지 등 위험지역에 계신분들은 안전한곳으로 이동 바랍니다.",cbs,김천시,,,"[('저지대 급경사지 위험지역에', 0.7423)]"
