create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/08/24 22:30:18,80,경상북도 김천시,204425,"산사태주의보 발령, 호우로 산사태 위험이 높으므로 기상 및 주변상황을 수시로 확인하시고 대피명령 있을시 마을회관 등 안전한 곳으로 대피바랍니다.",cbs,김천시청,,,"[('발령 호우로 산사태 위험이', 0.7024)]"
2023/07/17 15:08:57,80,경상북도 김천시,198415,"호우경보 발효중, 집중호우가 예상되니 하천변, 저지대, 급경사지 등 인명피해 위험지역은 접근하지 마시고, 산림인접 거주자는 사전에 대피바랍니다,",cbs,김천시청,,,"[('하천변 저지대', 0.7545)]"
2023/07/15 20:19:34,80,경상북도 김천시,198059,"산사태주의보(대항면,구성면,지례면,부항면,대덕면,증산면) 발령, 산사태취약지역, 산림 주변 거주자는 비상시 마을회관 등 안전한 곳으로 대피바랍니다.",cbs,김천시청,"대항면,구성면,지례면,부항면,대덕면,증산면",,"[('산사태주의보 대항면 구성면', 0.6737)]"
2023/07/14 19:52:40,80,경상북도 김천시,197557,"많은 비가 내려 산사태 위험이 높으므로 산림 및 급경사지 등 위험지역 주변 접근 금지하여 주시고 주민, 방문객은 유사시 안전한 곳으로 대피바랍니다.",cbs,김천시청,,,"[('주시고 주민 방문객은', 0.7838)]"
2023/01/24 12:42:26,80,경상북도 김천시,191640,"우리시 한파경보 발효 중이니, 외출자제, 수도계량기 동파, 농업시설물 보온, 화재 및 빙판길 사고예방 등 한파피해에 유의하여 주시기 바랍니다.",cbs,김천시청,,,"[('동파 농업시설물 보온', 0.6809)]"
2022/12/02 11:00:16,80,경상북도 김천시,183347,코로나19 백신접종으로 건강한 겨울나기 관내 병.의원(32개소) 당일접종/신분증 지참 문의 421-2723 또는 1339,cbs,김천시청,32개소,,"[('의원 32개소 당일접종', 0.541)]"
2022/12/01 09:39:18,80,경상북도 김천시,183170,코로나19 백신접종으로 건강한 겨울나기 관내 병.의원(32개소) 당일접종/신분증 지참 문의 421-2723 또는 1339,cbs,김천시청,32개소,,"[('의원 32개소 당일접종', 0.541)]"
2022/11/30 09:00:08,80,경상북도 김천시,183003,코로나19 개량백신접종으로 건강한 겨울나기 관내 병 · 의원(32개소) 당일예방접종/신분증 지참 예약 421-2723 또는 1339,cbs,김천시청,32개소,,"[('지참 예약 421 2723', 0.5604)]"
2022/11/29 09:57:51,80,경상북도 김천시,182825,코로나19 백신접종으로 건강한 겨울나기 관내 병 · 의원(32개소) 당일예방접종/신분증 지참 예약421-2723 또는 1339,cbs,김천시청,32개소,,"[('관내 의원', 0.5403)]"
2022/11/25 10:45:20,80,경상북도 김천시,182312,"11.25. 확진자178명 코로나19 백신접종으로 건강한 겨울나기 관내 병·의원(32개소) 당일예약접종/신분증 지참, 예약421-2723 또는 1339",cbs,김천시청,32개소,,"[('관내 의원 32개소 당일예약접종', 0.6024)]"
2022/09/06 04:06:48,80,경상북도 김천시,171524,"04:00 김천시 산사태 경보 발령. 산림,급경사지 등 위험지역 접근 통행 금지. 주민 및 방문객은 유사시 안전한 곳으로 반드시 대피바랍니다.",cbs,김천시청,,,"[('산사태 경보 발령', 0.6111)]"
2022/07/22 09:02:06,80,경상북도 김천시,164492,"코로나19 4차접종 확대 50세 이상 및 18세 이상 기저질환자, 3차접종 후 4개월 경과 시 접종가능 433-4000 ncvr.kdca.go.kr",cbs,김천시청,,50세,"[('4000 ncvr', 0.5374)]"
2022/07/21 13:22:08,80,경상북도 김천시,164430,"코로나19 4차접종 확대 50세 이상 및 18세 이상 기저질환자, 3차접종 후 4개월 경과 시 예약가능 433-4000 ncvr.kdca.go.kr",cbs,김천시청,,50세,"[('50세 이상 18세 이상', 0.4792)]"
2022/04/10 14:15:23,80,경상북도 김천시,151380,"4월11일(월)부터 김천시보건소 신속항원검사가 중단되며, 우선순위 대상자 PCR 검사만 가능합니다.",cbs,김천시청,월,,"[('부터 김천시보건소', 0.4075)]"
2022/02/01 18:04:43,80,경상북도 김천시,140970,"설 연휴 가족, 지인간 접촉으로 확진자 다수발생. 약간의 의심 증상에도 선별검사소에서 코로나19 검사하시기 바랍니다.",cbs,김천시청,,,"[('다수발생 약간의 의심', 0.7267)]"
2022/01/28 14:12:29,80,경상북도 김천시,140282,"1.24(월)~1.26(수) 성내동 소재 노인쉼터(김천로 183-1, 2층)를 방문하신 분은 선별진료소에서 코로나19 검사바랍니다.",cbs,김천시청,월,,"[('노인쉼터 김천로 183 2층', 0.4517)]"
