create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/10/02 11:58:57,"9373,9374,9375","경기도 김포시,경기도 김포시,경기도 김포시",205822,오늘 11:11경 김포시 장기동 804-35(장기교차로 인근) 화재사고 발생. 이 지역을 우회하여 주시고 인근 주민은 안전사고 발생에 유의 바랍니다.,cbs,김포시,장기교차로 인근,,"[('주민은 안전사고 발생에 유의', 0.4103)]"
2023/08/23 09:14:14,29,경기도 김포시,204082,오늘 14시부터 20분간 민방위 훈련 실시. 지하역사 등 대피소 훈련 참여 당부드리며 김포경찰서 일대(태장로795번길) 교통통제 실시되니 협조 바랍니다,cbs,김포시,태장로795번길,,"[('실시 지하역사 대피소', 0.6873)]"
2023/07/16 14:47:46,29,경기도 김포시,198243,"전국에서 산사태 위기 경보 ""심각""단계 발령, 산주변 거주 및 통행 시민분들은 각별히 안전사고에 주의바랍니다.",cbs,김포시,,,"[('산사태 위기 경보', 0.7442)]"
2023/07/13 10:44:59,29,경기도 김포시,197025,"호우주의보 발효. 시간당 최고 10~50mm이상의 폭우가 예상되오니, 외출 자제 및 시설물 관리, 특히 인명피해 없도록 각별히 주의 바랍니다.",cbs,김포시,,,"[('관리 특히 인명피해', 0.4801)]"
2023/07/12 18:42:33,29,경기도 김포시,196939,"갑작스런 폭우로 하천, 산책로에서 물에 휩슬려 사망사고가 발생되고 있으므로 호우시 인명사고 예방을 위해 반드시 출입을 금지해 주시기 바랍니다.",cbs,김포시,,,"[('사망사고가 발생되고 있으므로 호우시', 0.7562)]"
2023/04/24 13:13:07,29,경기도 김포시,194653,"오늘 10:58경 통진읍 옹정리 19 공장 화재발생. 인근 주민은 사고 유의. 주변 차량은 국도 통제중이오니 하성, 대곶면 우회 도로 이용 바랍니다.",cbs,김포시,,,"[('인근 주민은', 0.5416)]"
2023/04/24 11:55:57,29,경기도 김포시,194652,오늘 10:58경 김포시 통진읍 옹정리 19 공장 화재 발생. 인근 주민은 안전사고 발생에 유의 바랍니다,cbs,김포시,,,"[('화재 발생 인근 주민은', 0.644)]"
2023/02/14 23:19:33,29,경기도 김포시,193029,"김포골드라인 열차 고장으로 인한 운행중지로 불편을 드려 대단히 죄송합니다. 타 교통수단을 이용하여 주시기 바라며, 신속히 조치하도록 하겠습니다.",cbs,김포시,,,"[('교통수단을 이용하여', 0.7351)]"
2023/01/25 17:50:09,29,경기도 김포시,191840,"내일 새벽 00시부터 10cm 안팎의 눈이 내리니 도로미끄럼 주의하여 운전·보행, 상가·주택 관리자께서는 인접보도 제설에 협조해 주시기 바랍니다.",cbs,김포시,,,"[('운전 보행', 0.6593)]"
2023/01/20 10:59:42,29,경기도 김포시,191019,"""설 연휴 중 설 당일(22,일) 전후 눈과 강력한 한파(영하 20℃ 내외)가 예상되오니 야외활동 자제 및 동파 등 안전사고에 유의하시기 바랍니다.",cbs,김포시,"22,일",,"[('눈과 강력한 한파', 0.6977)]"
2022/10/30 09:04:06,29,경기도 김포시,178832,"이태원 압사 사고 관련해 김포시민 가족중 실종자 발생시 재난상황실로 연락바랍니다.(980-7452,2221,2222)",cbs,김포시,"980-7452,2221,2222",,"[('이태원 압사 사고', 0.5316)]"
