create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/08/30 16:15:23,185,전라남도 나주시,204680,나주호 초당70톤 방류가 8월31일 11시 ~ 9월2일 24시까지 예정되어 하천수위 상승이 예상되니 저지대 지역은 피해발생에 사전대비 하시기 바랍니다.,cbs,나주시,,,"[('지역은 피해발생에 사전대비', 0.4627)]"
2023/08/10 06:29:07,185,전라남도 나주시,202321,현재 태풍6호 카눈 우리시 접근중 많은 비와 강풍 예상으로 ▲출근시간대 안전운전 ▲외출자제 ▲재난방송 청취 등 안전에 각별히 유의하시기 바랍니다.,cbs,나주시,,,"[('태풍6호 카눈 우리시', 0.6804)]"
2023/08/09 13:16:35,185,전라남도 나주시,201955,"9일 밤~10일 오전까지 태풍으로 강한 비바람 예상 ▲하천, 산사태 위험지역 접근금지 ▲배수로정비, 비닐하우스, 간판 시설물 고정 등 사전대비 바랍니다.",cbs,나주시,,,"[('비바람 예상 하천 산사태', 0.5959)]"
2023/07/30 13:43:12,185,전라남도 나주시,200327,현재 폭염경보 발효중. ▲논밭 작업 등 야외활동을 자제 ▲충분한 수분섭취 ▲무더위쉼터(마을경로당) 이용 등 건강관리 유의 바랍니다.,cbs,나주시,마을경로당,,"[('현재 폭염경보 발효중 논밭', 0.6513)]"
2023/07/24 09:47:23,185,전라남도 나주시,199650,호우로 인하여 국도23호선 용산주공아파트 ~ 세지방향 일부 도로 유실로 차량통제 조치합니다. 참고하여 우회통행 하시기 바랍니다.,cbs,나주시,,,"[('호우로 인하여 국도23호선 용산주공아파트', 0.5322)]"
2023/07/24 06:48:01,185,전라남도 나주시,199625,"다시면 일부 도로(국도1호선 다시교차로, 가흥1구~초동마을, 고구려대학교 삼거리) 및 송월주유소~나주공공도서관 구간 도로를 통제중이니 우회바랍니다",cbs,나주시,"국도1호선 다시교차로, 가흥1구~초동마을, 고구려대학교 삼거리",,"[('구간 도로를 통제중이니 우회바랍니다', 0.7229)]"
2023/07/22 14:28:00,185,전라남도 나주시,199327,출처불명 해외배송(특히 타이완 발) 우편물에 대하여는 열지 마시고 소방서(119) 및 경찰서(112)에 신고하여주시기 바랍니다.,cbs,나주시,특히 타이완 발,,"[('마시고 소방서 119', 0.6269)]"
2023/07/14 06:38:59,185,전라남도 나주시,197273,"현재 많은 비가 내리고 있으니 저지대, 산사태위험지역, 급경사지 주변 주민들께서는 기상상황을 예의주시하여 위험사항 발생 시 마을회관 등으로 사전대피바람",cbs,나주시,,,"[('위험사항 발생 마을회관 등으로', 0.6738)]"
2023/07/14 06:32:58,185,전라남도 나주시,197271,"현재 나주시 전역 호우경보 발령 중. 산사태, 상습침수지역, 하천변 접근금지 및 농업활동 등 외출을 자제해주시기 바랍니다.",cbs,나주시,,,"[('접근금지 농업활동', 0.778)]"
2023/06/27 23:44:13,185,전라남도 나주시,196004,"현재 시간당 50mm 이상 비가 내리고 있으니, 저지대 및 산사태 등 위험지역 거주 시민들께서는 호우피해 대비에 만전을 기해주시기 바랍니다.",cbs,나주시,,,"[('현재 시간당', 0.3791)]"
2022/12/24 06:01:49,185,전라남도 나주시,187087,"지난 밤 내린 대설과 한파로 도로가 얼어 위험하니 미끄럼 사고에 주의하시고, 수도계량기 동파 및 난방관리에 각별히 유의바랍니다.",cbs,나주시,,,"[('수도계량기 동파 난방관리에 각별히', 0.7253)]"
2022/12/17 09:02:44,185,전라남도 나주시,185525,"대설주의보가 발효되어 주말동안 강한 한파와 많은 눈이 예상되오니, 야외활동 자제 및 상수도 계량기 동파에 유의하여 주시기 바랍니다.",cbs,나주시,,,"[('상수도 계량기 동파에', 0.7011)]"
