create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/09/20 23:52:27,"81,83","경상북도 문경시,경상북도 상주시",205596,"오늘 23:50 영강 문경시(김용리) 홍수주의보 발령, 방송 등을 통해 홍수상황을 확인하시고, 하천변 이용을 자제하시기 바랍니다.",cbs,낙동강홍수통제소,김용리,,"[('영강 문경시 김용리', 0.4756)]"
2023/08/31 12:17:00,"57,60,63,120,127,128,129,10188","경상남도 김해시,경상남도 밀양시,경상남도 양산시,부산광역시 강서구,부산광역시 북구,부산광역시 사상구,부산광역시 사하구,경상남도 창원시 의창구",204720,"오늘 12:10 낙동강 밀양시(삼랑진교)지점 홍수주의보 발령. 방송 등을 통해 홍수상황을 확인하시고, 저지대 침수, 하천범람에 대비해주세요.",cbs,낙동강홍수통제소,삼랑진교,,"[('홍수주의보 발령', 0.5745)]"
2023/08/31 03:32:43,"79,93","대구광역시 군위군,경상북도 의성군",204706,"오늘 03:30 위천 의성군(장송교) 홍수주의보 발령, 방송 등을 통해 홍수상황을 확인하시고, 하천변 이용을 자제하시기 바랍니다.",cbs,낙동강홍수통제소,장송교,,"[('이용을 자제하시기', 0.6229)]"
2023/08/10 21:12:12,"57,60,63,64,67,68,71,120,127,128,129","경상남도 김해시,경상남도 밀양시,경상남도 양산시,경상남도 의령군,경상남도 창녕군,경상남도 창원시,경상남도 함안군,부산광역시 강서구,부산광역시 북구,부산광역시 사상구,부산광역시 사하구",203018,"오늘 21:10 낙동강 함안군(계내리) 홍수주의보 발령, 방송 등을 통해 홍수상황을 확인하시고, 하천변 이용을 자제하시기 바랍니다.",cbs,낙동강홍수통제소,계내리,,"[('홍수상황을 확인하시고 하천변', 0.5056)]"
2023/08/10 16:41:40,"81,83","경상북도 문경시,경상북도 상주시",202938,"오늘 16:40 영강 문경시(김용리) 홍수주의보 발령, 방송 등을 통해 홍수상황을 확인하시고, 하천변 이용을 자제하시기 바랍니다.",cbs,낙동강홍수통제소,김용리,,"[('확인하시고 하천변', 0.5112)]"
2023/08/10 16:30:48,"79,93","대구광역시 군위군,경상북도 의성군",202931,"오늘 16:30 위천 의성군(장송교) 홍수경보 변경발령, 저지대 침수 및 하천범람 등의 우려가 있으니 피해에 대비 바랍니다.",cbs,낙동강홍수통제소,장송교,,"[('있으니 피해에 대비 바랍니다', 0.5997)]"
2023/08/10 14:40:55,"79,93","대구광역시 군위군,경상북도 의성군",202861,"오늘 14:40 위천 의성군(장송교) 홍수주의보 발령, 방송 등을 통해 홍수상황을 확인하시고, 하천변 이용을 자제하시기 바랍니다.",cbs,낙동강홍수통제소,장송교,,"[('통해 홍수상황을 확인하시고 하천변', 0.5495)]"
2023/08/10 14:21:16,"96,105,106,107,108,109,110,111,112","경상북도 칠곡군,대구광역시 남구,대구광역시 달서구,대구광역시 달성군,대구광역시 동구,대구광역시 북구,대구광역시 서구,대구광역시 수성구,대구광역시 중구",202845,"오늘 14:20 금호강 대구시(신암동) 홍수주의보 발령, 방송 등을 통해 홍수상황을 확인하시고, 하천변 이용을 자제하시기 바랍니다.",cbs,낙동강홍수통제소,신암동,,"[('신암동 홍수주의보', 0.5794)]"
2023/08/10 13:24:31,"57,60,63,68,120,127,128,129","경상남도 김해시,경상남도 밀양시,경상남도 양산시,경상남도 창원시,부산광역시 강서구,부산광역시 북구,부산광역시 사상구,부산광역시 사하구",202790,"오늘 13:20 낙동강 밀양시(삼랑진교) 홍수주의보 발령, 방송 등을 통해 홍수상황을 확인하시고, 하천변 이용을 자제하시기 바랍니다.",cbs,낙동강홍수통제소,삼랑진교,,"[('홍수상황을 확인하시고 하천변', 0.4806)]"
2023/08/10 13:24:18,79,대구광역시 군위군,202788,"오늘 13:00 위천 군위군(무성리) 홍수경보 변경발령, 저지대 침수 및 하천범람 등의 우려가 있으니 피해에 대비 바랍니다.",cbs,낙동강홍수통제소,무성리,,"[('변경발령 저지대 침수', 0.603)]"
