create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/18 07:51:29,123,부산광역시 남구,206841,"새벽 사이 눈, 비 등이 내려 결빙구간이 있으니 황령터널, 황령산 봉수대 도로, 이기대산책로 통행 시 안전에 주의하시기 바랍니다.",cbs,남구,,,"[('도로 이기대산책로', 0.7052)]"
2023/11/06 21:36:41,105,대구광역시 남구,206602,"21:10경 상동교-용두교 고가도로 신천강변 인근 야생 멧돼지 2마리 출몰하였으니, 주민들께서는 외출 자제 바랍니다.(664-2222)",cbs,남구,664-2222,,"[('용두교 고가도로 신천강변', 0.571)]"
2023/09/18 08:34:02,123,부산광역시 남구,205326,오늘 07:30경 대연변전소 차단기문제로 대연동 일원정전이 발생하여 현재는 복구되었으나 교통신호등 및 엘리베이터 이용시 안전에 유의 바랍니다.,cbs,남구,,,"[('차단기문제로 대연동', 0.6827)]"
2023/08/19 23:48:29,105,대구광역시 남구,203732,8월19일(23시30분) 남구 봉덕동 래미안웰리스트아파트 인근 멧돼지 출몰로 인한 외출 자제 바랍니다.(664-2222),cbs,남구,23시30분,,"[('바랍니다 664', 0.5687)]"
2023/08/09 15:20:55,123,부산광역시 남구,202029,"태풍 카눈 북상으로 이기대해안산책로, 오륙도선착장을 폐쇄하며, 폐기물 날림과 안전사고 예방을 위해 오늘 저녁 생활쓰레기(재활용품 등) 배출자제 바랍니다.",cbs,남구,재활용품 등,,"[('이기대해안산책로 오륙도선착장을', 0.6063)]"
2023/07/18 23:00:48,123,부산광역시 남구,198934,"지속된 호우로 도로 침수 및 지반 약화가 발생되고 있으니 외출을 자제하여 주시고, 저지대 및 침수위험지역 인근 주민분들께서는 안전에 유의하시기 바랍니다.",cbs,남구,,,"[('주민분들께서는 안전에 유의하시기', 0.7114)]"
2023/07/18 21:30:17,123,부산광역시 남구,198910,"금일 호우로 인하여 문현지하차도를 21시 28분부로 통제하오니, 주변도로 이용 차량은 우회하여 주시고, 차량 운행시 안전에 유의바랍니다.",cbs,남구,,,"[('28분부로 통제하오니 주변도로 이용', 0.6626)]"
2023/07/18 20:54:04,123,부산광역시 남구,198880,"금일 호우로 인하여 대남지하차도를 20시 48분부로 통제하오니, 주변도로 이용 차량은 우회하여 주시고, 차량 운행시 안전에 유의바랍니다.",cbs,남구,,,"[('48분부로 통제하오니 주변도로', 0.629)]"
2023/07/18 20:27:02,123,부산광역시 남구,198858,"현재 동천 수위가 만조로 인해 상승하여 위험하오니 동천 주변 통행을 자제하시고, 인근 저지대 주민분들께서는 안전에 유의하시기 바랍니다.",cbs,남구,,,"[('통행을 자제하시고', 0.7738)]"
2023/07/18 19:18:36,100,광주광역시 남구,198821,송암로24번길 일부 구간(남선산업~호남자동차공업사) 수해로 인한 안전사고 우려로 도로통행 제한중이니 우회하여 주시기 바랍니다.(복구완료시까지),cbs,남구,남선산업~호남자동차공업사,,"[('구간 남선산업 호남자동차공업사', 0.5955)]"
2023/07/16 20:07:47,123,부산광역시 남구,198325,"동천 만조 및 수위가 상승하여 위험하오니 동천 주변 통행을 자제하시고, 인근 저지대 주민분들께서는 안전에 유의하시기 바랍니다.",cbs,남구,,,"[('자제하시고 인근 저지대 주민분들께서는', 0.7616)]"
2023/07/16 18:55:16,123,부산광역시 남구,198302,"금일 호우로 인한 대남지하차도를 18시 55분부로 통제하오니, 주변도로 이용 차량은 우회하여 주시고, 차량 운행시 안전에 유의바랍니다.",cbs,남구,,,"[('우회하여 주시고 차량 운행시', 0.6352)]"
2023/07/16 16:21:53,123,부산광역시 남구,198265,"금일 호우로 인한 대남지하차도를 16시 20분부로 통제하였으니, 주변도로 이용 차량은 우회하여 주시고, 차 운행시 안전에 유의바랍니다.",cbs,남구,,,"[('주변도로 이용', 0.6982)]"
2023/07/15 18:16:30,123,부산광역시 남구,197988,"오늘 밤부터 많은 비가 예상되니 문현·대남지하차도 이용시 안전에 유의하여 주시고, 집 주변 위험요소를 사전 확인하여 피해가 없도록 대비하시기 바랍니다.",cbs,남구,,,"[('사전 확인하여', 0.709)]"
2023/07/13 23:40:57,123,부산광역시 남구,197204,"14일 새벽부터 많은 비가 예상되오니, 문현·대남지하차도 이용시 안전에 유의하여 주시고, 동천변 등 저지대 침수우려지역 출입을 자제하여 주시기 바랍니다.",cbs,남구,,,"[('이용시 안전에 유의하여 주시고', 0.6529)]"
2023/07/11 16:05:47,123,부산광역시 남구,196846,"15시58분부로 대남지하차도 통제를 해제하여, 해당구간 정상운행 가능합니다.",cbs,남구,,,"[('통제를 해제하여', 0.638)]"
2023/07/11 15:49:01,123,부산광역시 남구,196835,"부산지역 집중호우로 7.11.(화, 15시 40분 기준) 대남 지하차도를 통제하였으니, 주변도로 이용차량은 우회 바랍니다.",cbs,남구,"화, 15시 40분 기준",,"[('집중호우로 11 15시', 0.6387)]"
2023/07/11 15:36:44,123,부산광역시 남구,196825,"부산지역 집중호우가 내리고 있으니 동천 인근, 해안가 및 저지대 침수우려지역에 접근하지마시고 안전에 유의바랍니다.(051-607-4119)",cbs,남구,051-607-4119,,"[('집중호우가 내리고 있으니', 0.7561)]"
2023/05/09 19:46:02,123,부산광역시 남구,194975,오늘 19:21경 용호동 산2번지 인근 산불 발생. 입산을 자제하고 인근 주민과 등산객은 안전사고 발생에 주의하시기 바랍니다.(607-4221),cbs,남구,607-4221,,"[('주의하시기 바랍니다 607', 0.5064)]"
2023/03/29 20:12:36,100,광주광역시 남구,193900,18시 54분경 월산동 986-6번지 로얄모텔 화재발생으로 운진각사거리에서 백운광장 방향 이동차량은 우회하여주시고 인근주민은 안전사고 발생에 유의바랍니다.,cbs,남구,,,"[('로얄모텔 화재발생으로 운진각사거리에서', 0.6974)]"
2023/03/29 19:46:28,100,광주광역시 남구,193897,오늘 18:54분경 남구 월산동 976-1 인근 로얄모텔 화재 발생. 차량을 우회하여 주시고 인근 주민은 안전사고 발생에 유의바랍니다.,cbs,남구,,,"[('주민은 안전사고', 0.5596)]"
2023/03/11 15:42:11,105,대구광역시 남구,193448,오늘 14:35경 남구 앞산(대명동 산197-2인근) 산불이 발생하여 현재 화재 진압중에 있습니다. 발생지역인근 주민들께서는 안전에 유의하시기 바랍니다.,cbs,남구,대명동 산197-2인근,,"[('안전에 유의하시기', 0.5487)]"
2023/02/14 17:20:19,100,광주광역시 남구,193019,백운광장 일원 상수관로 복구 작업 완료에 따라 수돗물 정상 공급 중입니다. 수돗물 사용 시 흐린물 출수여부를 확인하시고 사용하시기 바랍니다.,cbs,남구,,,"[('백운광장 일원 상수관로', 0.637)]"
2023/02/14 12:04:56,100,광주광역시 남구,193011,"백운광장 상수관로 복구 작업으로, 금일 오후 12~18시까지 진월동, 주월동 일원에 흐린물이 출수가 될 수 있으니 수질상태를 확인 후 사용하시기 바랍니다.",cbs,남구,,,"[('금일 오후 12', 0.6516)]"
2022/03/25 15:08:21,123,부산광역시 남구,149001,"오늘밤 ~ 내일새벽 호우 및 강풍예상. 동천 등 저지대 침수예방, 이기대 너울성 파도주의, 시설물 추락 안전조치로 피해 발생하지 않도록 유의바랍니다.",cbs,남구,,,"[('시설물 추락 안전조치로', 0.6928)]"
