create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/08/20 01:42:22,105,대구광역시 남구,203733,8월 20일 01시 30분경 봉덕동 영무예다음 아파트 인근에서 멧돼지 포획 완료,cbs,남구청,,,"[('20일 01시', 0.4276)]"
2023/05/19 20:39:54,123,부산광역시 남구,195121,"부산공고 일대 정전 시간 변경 알림 (당초) 3시간, (변경) 내일 오전 9시 복구 예정",cbs,남구청,당초,,"[('변경 내일 오전', 0.6118)]"
2023/05/19 20:07:08,123,부산광역시 남구,195120,금일 18:17 부산공고 인근 트레일러 전신주 추돌사고 복구 작업으로 3시간 가량 인근 지역 정전 발생할 수 있으니 참고바랍니다. (문의: 123),cbs,남구청,문의: 123,,"[('전신주 추돌사고 복구 작업으로', 0.5602)]"
2023/05/09 21:26:09,123,부산광역시 남구,194981,용호동 산2번지 인근에서 발생한 화재는 20:37경 완전진압 되었음을 알려드립니다.,cbs,남구청,,,"[('37경 완전진압', 0.5824)]"
2023/02/12 14:58:44,100,광주광역시 남구,192962,"금일 13:00부터 방림1, 2동, 봉선1, 2동, 효덕동, 송암동, 진월동을 중심으로 단수중이니 주민들께서는 단수상황에 대비하여 주시기 바랍니다.",cbs,남구청,,,"[('진월동을 중심으로', 0.6197)]"
2023/02/12 13:20:13,100,광주광역시 남구,192952,오늘 13:00부터 정수장 긴급 보수로 인한 단수가 예정되어 있어 흐린물 유입이 우려되오니 주민들께서는 대비하여주시기 바랍니다.(607-4900),cbs,남구청,607-4900,,"[('예정되어 있어 흐린물 유입이', 0.6048)]"
2023/01/23 20:19:42,163,울산광역시 남구,191496,"오늘 21시 한파주의보 발효. 기온하강으로 강추위가 예상되오니 노약자 외출 자제, 도로결빙, 수도 동파방지, 화재예방 등 안전사고에 유의하시기 바랍니다.",cbs,남구청,,,"[('자제 도로결빙 수도', 0.5739)]"
2023/01/23 18:27:22,123,부산광역시 남구,191470,"내일 새벽 강추위로 인한 수도동파와 황령대로, 진남로, 장고개로 등 급경사지 미끄럼 사고, 온열기 화재예방 등 안전에 유의바랍니다.",cbs,남구청,,,"[('사고 온열기', 0.6962)]"
2022/09/19 14:01:58,123,부산광역시 남구,173676,9.19.(월) 14시부로 주민 대피명령이 전부 해제됨을 알려드립니다.,cbs,남구청,월,,"[('전부 해제됨을', 0.4186)]"
2022/09/18 23:44:34,123,부산광역시 남구,173549,"태풍으로 9.19.(월, 0시 기준) 남구 내 지하차도 2개소(대남, 문현)를 전면 통제할 예정이오니, 차량운전자는 우회도로를 이용해주시기 바랍니다.",cbs,남구청,"월, 0시 기준",,"[('문현 전면', 0.6095)]"
2022/09/18 19:39:06,123,부산광역시 남구,173513,문현동 동천 인근 저지대 주변 주차차량은 BIFC 공터(문현동122-1번지)에 주차 가능함을 알려드립니다,cbs,남구청,문현동122-1번지,,"[('인근 저지대 주변 주차차량은', 0.512)]"
2022/09/18 19:33:46,123,부산광역시 남구,173511,"태풍 난마돌 북상으로 많은 비와 강풍이 예상됩니다. 동천변, 상습침수지역, 저지대 주민께서는 선제적으로 대피바랍니다.",cbs,남구청,,,"[('많은 비와 강풍이 예상됩니다', 0.7369)]"
2022/09/18 18:39:13,163,울산광역시 남구,173499,"울산 태풍경보 발효(21시)에 따른 호우,강풍 예상으로 저지대 주차차량 이동,시설물 고정,침수대비 재래시장 배수로정비 등 안전에 각별히 주의바랍니다.",cbs,남구청,21시,,"[('침수대비 재래시장 배수로정비 안전에', 0.7086)]"
2022/09/18 15:33:51,123,부산광역시 남구,173447,"태풍 난마돌 근접에 따라 강풍과 많은 비가 예상되오니 오륙도 선착장, 이기대 해안가 접근금지 등 안전에 유의하시기 바랍니다.",cbs,남구청,,,"[('태풍 난마돌 근접에 따라', 0.7167)]"
2022/09/06 12:11:12,123,부산광역시 남구,171787,9.6.(화) 12:00 부로 주민 대피명령이 전부 해제됨을 알려드립니다.,cbs,남구청,화,,"[('12 00', 0.3158)]"
2022/09/06 06:44:02,123,부산광역시 남구,171605,"남구 지하차도 2개소(대남,문현) 06:30부로 통제 해제됨을 알려드립니다.",cbs,남구청,"대남,문현",,"[('06 30부로 통제', 0.5428)]"
2022/09/06 06:22:56,163,울산광역시 남구,171589,태풍 힌남노의 영향으로 온산로(두왕사거리~덕하삼거리)가 통제 되고 있으니 인근 차량들은 우회하여 주시기 바랍니다.,cbs,남구청,두왕사거리~덕하삼거리,,"[('통제 되고 있으니 인근', 0.6256)]"
2022/09/06 00:24:12,123,부산광역시 남구,171492,"태풍으로 9.6.(화, 0시 기준) 남구 2개 지하차도(대남, 문현)를 전면 통제하였으니, 차량운전자는 우회도로를 이용해 주시기 바랍니다.",cbs,남구청,"화, 0시 기준",,"[('문현 전면 통제하였으니 차량운전자는', 0.6211)]"
2022/09/05 23:48:42,123,부산광역시 남구,171480,제11호 태풍 '힌남노' 북상으로 남구 마을버스 모든 노선은 9.6.(화) 08시에 운행을 시작합니다. 버스이용에 참고하시기 바랍니다.,cbs,남구청,화,,"[('북상으로 남구 마을버스', 0.5276)]"
2022/09/05 22:09:08,123,부산광역시 남구,171436,"23시 태풍경보 발효에 따라 9.6.(화, 0시 기준) 남구 내 지하차도 2개소(대남, 문현)를 통제 할 예정이오니, 이용에 참고하여 주시기 바랍니다.",cbs,남구청,"화, 0시 기준",,"[('주시기 바랍니다', 0.6333)]"
2022/09/05 21:40:52,123,부산광역시 남구,171420,"태풍 힌남노 영향으로 높은 파도가 예상되오니 오륙도 선착장, 이기대 해안가 등에 접근하지 마시기 바랍니다.",cbs,남구청,,,"[('오륙도 선착장', 0.6803)]"
2022/09/05 17:08:20,123,부산광역시 남구,171243,문현동 동천 인근 저지대 주변 주차 차량은 BIFC 공터에 주차 가능함을 알려드립니다.,cbs,남구청,,,"[('저지대 주변 주차', 0.4867)]"
2022/09/05 11:42:11,123,부산광역시 남구,171105,"금일 ""재활용 배출""은 태풍 관계로 ""자제""하여 주시기 바랍니다.",cbs,남구청,,,"[('금일 재활용 배출 태풍', 0.6204)]"
2022/09/04 17:46:05,123,부산광역시 남구,170926,"태풍 힌남노 북상으로 많은 비와 강풍이 예상됩니다. 침수우려지, 이기대 해안가 등 재해우려지역 주민께서는 선제적으로 대피바랍니다.",cbs,남구청,,,"[('비와 강풍이 예상됩니다 침수우려지', 0.6969)]"
2022/09/03 15:22:42,123,부산광역시 남구,170670,"9.4.~6. 태풍 힌남노 북상. 이기대 등 해안가,동천변,저지대 인근 통행자제,전신주·가로등 감전주의, 공사장 접근금지, 간판 등 낙하물 주의바랍니다",cbs,남구청,,,"[('동천변 저지대', 0.5842)]"
2022/08/15 16:25:32,123,부산광역시 남구,168073,"8월16~17일 양일간 부산전역 많은 비가 예상됩니다. 동천하천, 저지대, 해안가 등 침수피해 유의바랍니다. 건강한 8월 되세요!",cbs,남구청,,,"[('유의바랍니다 건강한', 0.5681)]"
2022/07/16 19:00:02,123,부산광역시 남구,163835,수영교차로 상수도관 누수로 오늘 23시부터 내일 09시까지 급수 중단되오니 미리 식수를 확보하시기 바랍니다(문의☎120),cbs,남구청,문의☎120,,"[('급수 중단되오니 미리 식수를', 0.6346)]"
2022/07/16 14:07:57,123,부산광역시 남구,163803,수영교차로 상수도관 누수로 오늘 23시부터 내일 09시까지 급수 중단되오니 식수를 미리 확보하시기 바랍니다(문의☎120),cbs,남구청,문의☎120,,"[('누수로 오늘', 0.6308)]"
2022/05/19 10:21:32,163,울산광역시 남구,156694,금일 09시 23분경 남구 매암동 삼양사 2공장 정문인근 암모니아 소량 누출. 가스차단작업 중으로 해당 지역 진입차량은 우회하시기 바랍니다.,cbs,남구청,,,"[('누출 가스차단작업 중으로', 0.6773)]"
2022/04/29 13:18:41,123,부산광역시 남구,154124,"부산남구보건소 선별진료소 운영시간 변경안내▶평일: 09:00~18:00(점심시간 12~13시)▶토,일,공휴일: 09:00~13:00(점심시간 없이 운영)",cbs,남구청,점심시간 12~13시,,"[('00 점심시간 없이', 0.5907)]"
2022/04/22 15:25:35,123,부산광역시 남구,153129,남부(문화회관) 임시선별검사소 운영종료 안내 ▶종료일자: ‘22.4.24(일) ※ 이후 PCR검사 대상자는 남구보건소 선별진료소를 이용하시기 바랍니다.,cbs,남구청,문화회관,,"[('운영종료 안내 종료일자 22', 0.5545)]"
2022/02/04 09:49:45,123,부산광역시 남구,141340,"부산문화회관 임시선별검사소 운영: (장소)부산문화회관 중주차장(유엔기념공원 정문 맞은편),(기간) ‘22.2.4(금) ~ 종료시,(시간) 10시~19시",cbs,남구청,장소,,"[('장소 부산문화회관', 0.6742)]"
2022/01/26 14:24:35,123,부산광역시 남구,139963,"설날에는 고향,친지 방문 및 여행을 자제 바랍니다. 꼭 방문해야하는 경우에는 3차 접종 후 핵심방역 수칙을 준수하여, 소규모로 방문을 권고드립니다.",cbs,남구청,,,"[('수칙을 준수하여', 0.5702)]"
2022/01/24 06:29:14,163,울산광역시 남구,139547,23일 18:55경 울산 남구 매암동 효성티앤씨공장 화재 발생. 현재 화재 진압 중으로 인근 출근차량은 우회하시기 바랍니다.,cbs,남구청,,,"[('발생 현재 화재', 0.5057)]"
2022/01/12 07:15:26,163,울산광역시 남구,137831,오늘 06시22분경 울산 남구 SK에너지공장에서 화재발생. 인근(처용로SK삼거리) 다량 연기발생으로 출근차량은 우회바랍니다.,cbs,남구청,처용로SK삼거리,,"[('다량 연기발생으로', 0.7686)]"
2021/12/31 16:36:39,123,부산광역시 남구,136358,"1월1일(토) 해맞이 명소(오륙도 스카이워크,황령산,장자산,신선대,동생말,용호별빛공원,우암동 도시숲) 오전5시 ~오전10시까지 폐쇄함을 알려드립니다.",cbs,남구청,토,,"[('도시숲 오전5시 오전10시까지', 0.5802)]"
2021/12/27 14:38:29,123,부산광역시 남구,135776,오늘 13:52경 남구 감만동 77-2 공장화재 발생. 인근주민 안전유의. 차량 우회 바랍니다.,cbs,남구청,,,"[('안전유의 차량 우회 바랍니다', 0.5113)]"
2021/11/16 13:37:23,123,부산광역시 남구,129693,부산 남구 긴급생활안정지원금을 신청하지 않은 남구민께서는 11월30일까지 동 행정복지센터에 신청하시기 바랍니다. -문의:051-607-3601~3604,cbs,남구청,,,"[('신청하시기 바랍니다 문의', 0.4918)]"
2021/11/01 17:44:16,123,부산광역시 남구,128060,만65세 이상 어르신 인플루엔자(독감) 미접종자는 사전예약없이 위탁의료기관 방문하여 접종하시기 바랍니다. 문의(051-607-6424 ~ 7),cbs,남구청,독감,65세,"[('사전예약없이 위탁의료기관 방문하여 접종하시기', 0.668)]"
