create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/23 21:01:18,30,경기도 남양주시,206956,"금일 21시부로 한파주의보가 발효됨에 따라 노약자, 어린이 등 야외활동 자제 및 방한용품 착용 등 안전수칙을 준수하여 주시기 바랍니다.",cbs,남양주시,,,"[('자제 방한용품', 0.6824)]"
2023/11/23 16:56:56,30,경기도 남양주시,206925,"내일 아침 기온이 큰 폭으로 떨어질 것으로 예상되오니 어린이, 노약자 등 체온유지 및 농작물 피해예방에 유의하시기 바랍니다.",cbs,남양주시,,,"[('기온이 폭으로', 0.694)]"
2023/11/06 21:55:20,30,경기도 남양주시,206603,한파주의보 발효중. 출퇴근 시간 도로결빙에 유의하시고 노약자분들께서는 체온을 유지하여 주시기 바랍니다.,cbs,남양주시,,,"[('유지하여 주시기', 0.7477)]"
2023/11/06 18:00:21,30,경기도 남양주시,206581,"금일 21시 한파주의보 발효. 내일 아침 급격한 기온하락이 예상되오니 비닐하우스, 축사 등 농업시설물을 점검하시어 피해예방에 유의하시기 바랍니다.",cbs,남양주시,,,"[('한파주의보 발효 내일', 0.6796)]"
2023/11/06 08:07:16,30,경기도 남양주시,206513,"강풍주의보 발효중. 공사장, 상가 간판 및 비닐하우스 등 시설물을 결박하여 주시고 낙하물 주의, 위험시설 접근자제 등 안전사고에 유의하시기 바랍니다.",cbs,남양주시,,,"[('발효중 공사장 상가', 0.6644)]"
2023/11/05 20:56:51,30,경기도 남양주시,206477,"금일 21시 부로 강풍주의보가 발효되었으니 상가, 공사장 간판 등 부속물 고정 및 비닐하우스 결박 등 피해예방 조치와 낙하물 안전사고에 유의바랍니다.",cbs,남양주시,,,"[('부속물 고정 비닐하우스 결박', 0.699)]"
2023/11/05 17:18:10,30,경기도 남양주시,206466,"저녁부터 강한 비, 바람이 예상되오니 내집 앞 낙엽제거, 하천변 산책로 출입금지 등 안전사고에 유의하시기 바랍니다.",cbs,남양주시,,,"[('강한 바람이 예상되오니 내집', 0.7197)]"
2023/10/28 20:44:36,"8603,8611","경기도 남양주시,경기도 남양주시",206342,도로 복구 완료에 따라 와부읍 덕소리 580-1 경강로 양평~서울 방향 도로 통행이 재개되었음을 알려드립니다.,cbs,남양주시,,,"[('경강로 양평 서울 방향', 0.5004)]"
2023/10/27 22:16:33,"8603,8611","경기도 남양주시,경기도 남양주시",206318,"도로균열에 따라 와부읍 덕소리 580-1 경강로 양평~서울 방향 교통통제 중입니다. 교통정보를 미리 확인하시고, 우회도로를 이용해주세요.",cbs,남양주시,,,"[('와부읍 덕소리', 0.4973)]"
2023/10/12 19:11:51,8604,경기도 남양주시,206023,18시30분경 진접읍 내각리 99-2번지 공업사 화재 발생으로 연기가 다량 발생하고있습니다. 인근 지역 주민은 안전에 유의하시기 바랍니다.,cbs,남양주시,,,"[('2번지 공업사', 0.5595)]"
