create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/16 14:15:30,206,전라북도 남원시,206737,11.17(금)~18(토) 눈 예보에따라 지방도 737호선(고기삼거리~달궁삼거리)도로를 오늘(목) 17:00시 이후 임시통제하오니 우회하시기 바랍니다.,cbs,남원시,금,,"[('고기삼거리 달궁삼거리 도로를 오늘', 0.6037)]"
2023/09/16 16:56:05,206,전라북도 남원시,205237,"주천,아영,산내,인월,운봉지역에 많은 비가내려 산사태 위험 높으므로 입산 및 산림주변 통행금지, 대피명령 있을시 마을회관 등 안전한 곳으로 대피바랍니다",cbs,남원시,,,"[('많은 비가내려', 0.6501)]"
2023/09/16 14:08:26,206,전라북도 남원시,205202,"오늘 남원시 산사태 주의보발령. 산림주변 야외활동 자제와 입산금지등 안전에 유의하시고, 대피명령이 있을 시 학교 등 안전한곳으로 대피하시기 바랍니다.",cbs,남원시,,,"[('자제와 입산금지등', 0.6716)]"
2023/09/16 14:04:18,206,전라북도 남원시,205201,"오늘 남원시 산사태 주의보발령. 산림주변 야외활동 자제와 입산금지 등 안전에 유의하시고, 대피명령이 있을 시 마을회관 등 안전한곳으로 대피하시기 바랍니",cbs,남원시,,,"[('대피하시기 바랍니', 0.6882)]"
2023/08/30 11:54:33,206,전라북도 남원시,204650,"오늘 조산,노암,수지,송동,주생,금지,아영,산내,인월,운봉지역 산사태 경보 발령. 산림주변 접근금지 및 대피명령 있을 시 대피장소(회관)로 대피바랍니다.",cbs,남원시,회관,,"[('대피장소 회관', 0.566)]"
2023/08/30 07:46:41,206,전라북도 남원시,204615,"오늘 주천,아영,산내,인월,운봉 지역에 많은 비로 산사태 경보발령, 산림주변 접근 및 통행금지, 대피명령시 대피장소(회관,학교등)로 대피바랍니다.",cbs,남원시,"회관,학교등",,"[('인월 운봉', 0.5604)]"
2023/08/30 07:11:36,206,전라북도 남원시,204605,"호우주의보 발효중. 저지대, 침수 우려지역 등 위험지역에서는 안전에 유의하시고 빗길 차량운행시 안전운전 바랍니다.",cbs,남원시,,,"[('침수 우려지역', 0.7751)]"
2023/08/23 13:36:30,206,전라북도 남원시,204198,오늘 23일 14시부터 20분간 전국 민방위훈련 실시로 일부구간(롯데마트사거리~서문로터리)차량이동 통제하오니 우회하여 훈련에 협조바랍니다.,cbs,남원시,롯데마트사거리~서문로터리,,"[('20분간 전국 민방위훈련 실시로', 0.6752)]"
2023/08/23 09:56:16,206,전라북도 남원시,204094,"오늘 14시부터 20분간 전국 민방위 훈련 실시로, 일부구간(롯데마트사거리 ~ 서문로터리) 차량 이동 통제하오니 우회하여 훈련에 협조바랍니다",cbs,남원시,롯데마트사거리 ~ 서문로터리,,"[('훈련 실시로 일부구간', 0.6957)]"
2023/08/11 11:38:26,206,전라북도 남원시,203053,"6호 태풍 카눈북상으로 통제했던 국지도 60호 남원구간(지리산 육모정 - 호랑골 가든)을 통제 해제하오니, 도로 통행에 참고해주시기 바랍니다.",cbs,남원시,지리산 육모정 - 호랑골 가든,,"[('60호 남원구간 지리산 육모정', 0.6757)]"
2023/08/10 09:25:13,206,전라북도 남원시,202525,"태풍으로 인한 남원시 산사태 경보 발령 가능성 높으므로, 산림주변 위험지역 접근 및 통행을 금지, 위험시 대피소(마을회관,학교,관공서)로 대피바랍니다.",cbs,남원시,"마을회관,학교,관공서",,"[('산림주변 위험지역 접근', 0.6395)]"
2023/08/09 11:00:32,206,전라북도 남원시,201904,6호태풍 카눈북상으로 절개지붕괴위험에 따라 23.8.9 14시부터 국지도60호남원구간(지리산육모정-호랑골가든)도로를통제하오니 우회도로이용해 주시기바랍니다,cbs,남원시,지리산육모정-호랑골가든,,"[('14시부터 국지도60호남원구간 지리산육모정 호랑골가든', 0.5988)]"
