create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2021/11/09 15:35:57,206,전라북도 남원시,128923,타지역 확진자 동선 관련 11.5(금) 11:40~12:40 명가소나무(남원시 충정로 260-4) 방문자는 가까운 선별진료소에서 즉시 검사바랍니다.,cbs,남원시청2,금,,"[('선별진료소에서 즉시 검사바랍니다', 0.5471)]"
2021/05/01 13:31:48,206,전라북도 남원시,103842,"인월면사무소 임시선별진료소(14시부터 16시까지), 남원시보건소 선별진료소(9시부터 18시까지) 운영합니다.",cbs,남원시청2,14시부터 16시까지,,"[('18시까지 운영합니다', 0.6387)]"
2021/05/01 10:48:16,206,전라북도 남원시,103826,"인월면사무소 임시선별진료소(10시부터 13시까지), 남원시보건소 선별진료소(9시부터 18시까지) 오늘 검사 받으시기 바랍니다.",cbs,남원시청2,10시부터 13시까지,,"[('10시부터 13시까지', 0.6808)]"
2021/05/01 09:51:48,206,전라북도 남원시,103805,인월면 행정복지센터 임시선별진료소에서 오늘 10시부터 13시까지 검사 받으시기 바랍니다.,cbs,남원시청2,,,"[('검사 받으시기', 0.462)]"
2021/02/13 11:32:35,206,전라북도 남원시,91500,"유흥시설 6종(유흥,단란주점,콜라텍 등)은 당초 집합금지에서 운영시간이 22시로 운영제한됩니다.",cbs,남원시청2,"유흥,단란주점,콜라텍 등",,"[('6종 유흥', 0.6126)]"
2020/10/12 16:09:27,206,전라북도 남원시,61225,"만13~18세, 만62세 이상은 위탁 병의원과 보건소에서 무료접종 가능하며, 예방접종도우미 사이트 또는 보건소(620-7947)로 문의 바랍니다.",cbs,남원시청2,620-7947,18세,"[('가능하며 예방접종도우미 사이트', 0.5775)]"
2020/09/26 10:23:23,206,전라북도 남원시,58916,"유흥시설 5종(유흥주점,콜라텍,단란주점,감성주점,헌팅포차)은 9. 28.부터 10. 4.까지, 직접판매홍보관은 10. 11.까지 집합 금지합니다.",cbs,남원시청2,"유흥주점,콜라텍,단란주점,감성주점,헌팅포차",,"[('까지 직접판매홍보관은', 0.5884)]"
2020/08/25 16:21:02,206,전라북도 남원시,49285,"중위험시설(학원,공연장,목욕탕,실내체육시설 등)은 방역수칙을 준수하여 주시고, 실내 마스크 착용 의무화에 적극 동참하여 주시기 바랍니다.",cbs,남원시청2,"학원,공연장,목욕탕,실내체육시설 등",,"[('의무화에 적극 동참하여 주시기', 0.5156)]"
2020/08/19 17:50:27,206,전라북도 남원시,46503,"계도기간(10월 18일)후 위반시에 과태료(10만원)부과됩니다. 또한 종교, 소모임, 수도권 방문을 자제하여 주시기 바랍니다(063-625-1339",cbs,남원시청2,10월 18일,,"[('소모임 수도권', 0.6058)]"
2020/07/08 11:19:11,206,전라북도 남원시,39983,시민들께서는 동요하지마시고 인근지역에서 지속적으로 발생하고있으므로 외출시 마스크 착용등 개인위생수칙을 준수해주시기 바랍니다.,cbs,남원시청2,,,"[('발생하고있으므로 외출시 마스크 착용등', 0.6999)]"
2020/06/21 15:52:56,206,전라북도 남원시,38357,위 업소 방문자는 남원시보건소(063-625-1339)로 반드시 연락해주시기 바랍니다.,cbs,남원시청2,063-625-1339,,"[('063 625', 0.3867)]"
