create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/09/20 20:26:33,58,경상남도 남해군,205532,"현재 호우,강풍주의보 발표. 위험지역 출입금지, 논밭 물꼬정비 및 해안가 낚시금지 등 안전에 유의. 침수,산사태 위험 징후시 안전한 곳으로 대피바랍니다.",cbs,남해군,,,"[('침수 산사태 위험 징후시', 0.7107)]"
2023/09/16 11:47:28,58,경상남도 남해군,205176,이동면 초음리 남해전복물회 앞 도로(국도 19호선) 공사 중으로 차량 서행하여 주시기 바랍니다.,cbs,남해군,국도 19호선,,"[('19호선 공사', 0.7101)]"
2023/09/16 08:35:08,58,경상남도 남해군,205137,"현재 호우주의보 발효중. 위험지역 출입금지, 논밭 물꼬정비 및 해안가 낚시 금지 등 안전에 유의. 침수,산사태 위험 징후시 안전한 곳으로 대피 바랍니다",cbs,남해군,,,"[('출입금지 논밭 물꼬정비 해안가', 0.7288)]"
2023/08/30 13:39:07,58,경상남도 남해군,204658,"현재 호우주의보 발효중. 야외활동 및 외출자제, 하천변·저지대·산사태 우려지역 등 접근금지, 위험징후 발견 시 마을회관 등 안전한 곳으로 대피 바랍니다",cbs,남해군,,,"[('호우주의보 발효중', 0.7525)]"
2023/08/23 13:28:02,58,경상남도 남해군,204193,"폭염주의보 발효 중▲논·밭·건설현장 야외활동 자제▲이웃간 안부확인▲무더위쉼터 이용▲폭염 안전수칙(물, 그늘, 휴식)준수▲물놀이 안전사고에 유의바랍니다.",cbs,남해군,"물, 그늘, 휴식",,"[('안부확인 무더위쉼터 이용 폭염', 0.6853)]"
2023/08/22 14:32:12,58,경상남도 남해군,203972,"폭염주의보 발효 중▲논·밭·건설현장 야외활동 자제▲이웃간 안부확인▲무더위쉼터 이용▲폭염 안전수칙(물, 그늘, 휴식)준수▲물놀이 안전사고에 유의바랍니다.",cbs,남해군,"물, 그늘, 휴식",,"[('안부확인 무더위쉼터 이용 폭염', 0.6853)]"
2023/08/21 14:36:26,58,경상남도 남해군,203913,"폭염주의보 발효 중▲논·밭·건설현장 야외활동 자제▲이웃간 안부확인▲무더위쉼터 이용▲폭염 안전수칙(물, 그늘, 휴식)준수▲물놀이 안전사고에 유의바랍니다.",cbs,남해군,"물, 그늘, 휴식",,"[('안부확인 무더위쉼터 이용 폭염', 0.6853)]"
2023/08/20 15:00:17,58,경상남도 남해군,203806,"폭염주의보 발효 중▲논·밭·건설현장 야외활동 자제▲이웃간 안부확인▲무더위쉼터 이용▲폭염 안전수칙(물, 그늘, 휴식)준수▲물놀이 안전사고에 유의바랍니다.",cbs,남해군,"물, 그늘, 휴식",,"[('안부확인 무더위쉼터 이용 폭염', 0.6853)]"
2023/08/19 15:00:15,58,경상남도 남해군,203717,"폭염주의보 발효 중▲논·밭·건설현장 야외활동 자제▲이웃간 안부확인▲무더위쉼터 이용▲폭염 안전수칙(물, 그늘, 휴식)준수▲물놀이 안전사고에 유의바랍니다.",cbs,남해군,"물, 그늘, 휴식",,"[('안부확인 무더위쉼터 이용 폭염', 0.6853)]"
2023/08/18 14:38:12,58,경상남도 남해군,203626,"폭염주의보 발효 중▲논·밭·건설현장 야외활동 자제▲이웃간 안부확인▲무더위쉼터 이용▲폭염 안전수칙(물, 그늘, 휴식)준수▲물놀이 안전사고에 유의바랍니다.",cbs,남해군,"물, 그늘, 휴식",,"[('안부확인 무더위쉼터 이용 폭염', 0.6853)]"
