create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/02 07:06:17,225,충청남도 논산시,206408,"관내 가시거리 300m 미만 짙은 안개가 예상되오니 교량, 터널, 지하차도 등 운전시 감속, 비상등 점멸 등 교통안전에 유의하시기 바랍니다.",cbs,논산시,,,"[('터널 지하차도', 0.6157)]"
2023/09/20 22:45:35,225,충청남도 논산시,205582,"가야곡면 야촌리 353-1번지(빙그레 인근), 야촌리 493-1번지(노래골삼거리) 침수구간이 복구되어 통행이 가능하오니 이용에 참고하시기 바랍니다.",cbs,논산시,빙그레 인근,,"[('1번지 노래골삼거리 침수구간이 복구되어', 0.4404)]"
2023/09/20 21:58:54,225,충청남도 논산시,205564,(긴급) 논산시 대교동 319번지(논산대교 하상주차장) 주차 차량은 논산천 수위상승으로 침수 우려가 있으니 신속히 이동하여 주시기 바랍니다.,cbs,논산시,긴급,,"[('신속히 이동하여 주시기 바랍니다', 0.7048)]"
2023/09/20 21:20:35,225,충청남도 논산시,205556,논산시 대교동 319번지(논산대교 하상주차장) 주차 차량은 논산천 수위상승으로 침수 우려가 있으니 이동 조치하여 주시기 바랍니다.,cbs,논산시,논산대교 하상주차장,,"[('논산대교 하상주차장', 0.7515)]"
2023/09/20 19:49:11,225,충청남도 논산시,205513,"19시40분 논산시 호우경보 발효. 하천변, 산사태, 상습침수지역 등 위험지역 출입금지. 안전에 유의하시기 바랍니다.",cbs,논산시,,,"[('출입금지 안전에 유의하시기', 0.7752)]"
2023/09/20 18:57:39,225,충청남도 논산시,205489,"가야곡면 야촌리 493-1번지(노래골삼거리) 도로 침수로 차량 통제하오니, 도로 이용하시는 분들은 우회하여 주시기 바랍니다.",cbs,논산시,노래골삼거리,,"[('1번지 노래골삼거리', 0.5317)]"
2023/09/20 18:49:18,225,충청남도 논산시,205485,"가야곡면 야촌리 353-1번지(빙그레 인근) 도로 침수로 전면 차량 통제하오니, 도로 이용하시는 분들은 우회하여 주시기 바랍니다.",cbs,논산시,빙그레 인근,,"[('우회하여 주시기 바랍니다', 0.5283)]"
2023/09/20 16:12:27,225,충청남도 논산시,205422,"우리지역 호우주의보가 발효. 하천변, 산사태, 상습침수지역 등 위험지역 출입금지. 안전에 유의하시기 바랍니다.",cbs,논산시,,,"[('위험지역 출입금지 안전에', 0.7451)]"
2023/09/16 16:25:46,225,충청남도 논산시,205228,"오늘 16시 00분 우리지역 호우주의보 발효. 하천변, 산사태, 상습침수지역 등 위험지역 접근 금지, 안전에 유의 바랍니다.",cbs,논산시,,,"[('00분 우리지역', 0.6434)]"
2023/09/16 07:35:24,225,충청남도 논산시,205130,"오늘 7시5분 우리지역 호우주의보. 저지대, 위험지역 등 출입금지. 호우피해가 없도록 안전에 유의 하시기 바랍니다.",cbs,논산시,,,"[('출입금지 호우피해가 없도록', 0.7037)]"
2023/09/07 13:19:49,225,충청남도 논산시,204961,논산시 폭염주의보 발효중. 외출 및 야외작업을 자제하고 무더위쉼터 이용 폭염안전수칙(충분한 물 섭취 및 휴식) 준수 등 건강에 유의 바랍니다.,cbs,논산시,충분한 물 섭취 및 휴식,,"[('준수 건강에 유의 바랍니다', 0.7641)]"
2023/09/06 13:02:36,225,충청남도 논산시,204935,"폭염지속에 따른 낮동안 논밭일 등 야외작업을 자제하고 무더위쉼터 이용, 충분한 물섭취, 외출시 양산쓰기 등으로 온열질환 예방에 협조해 주시기 바랍니다.",cbs,논산시,,,"[('예방에 협조해 주시기', 0.732)]"
2023/09/04 12:56:30,225,충청남도 논산시,204868,논산시 폭염주의보 발효중. 야외활동 시 충분한 수분 섭취와 휴식 등 폭염대비 행동수칙을 준수하여 온열질환이 발생하지 않도록 건강에 유의 바랍니다.,cbs,논산시,,,"[('폭염주의보 발효중', 0.7426)]"
2023/08/26 12:50:35,225,충청남도 논산시,204468,논산시 폭염주의보 발효중. 야외활동시 충분한 수분 섭취와 휴식 등 폭염대비 행동수칙을 준수하여 온열질환이 발생하지 않도록 건강에 유의 바랍니다.,cbs,논산시,,,"[('폭염주의보 발효중', 0.7592)]"
2023/08/25 11:11:24,225,충청남도 논산시,204444,논산시 폭염주의보 발효중. 외출 및 야외작업을 자제하고 무더위쉼터 이용 폭염안전수칙(충분한 물 섭취 및 휴식) 준수 등 건강에 유의하여 주시기 바랍니다.,cbs,논산시,충분한 물 섭취 및 휴식,,"[('폭염주의보 발효중 외출', 0.7693)]"
