create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/04/11 10:53:30,225,충청남도 논산시,194335,"강풍주의보 발효중. 간판 등 낙하물 주의, 비닐하우스 등 시설물 피해 예방, 하천 및 공사장 등 위험지역 접근과 야외활동 자제 바랍니다.",cbs,논산시청,,,"[('하천 공사장 위험지역', 0.6731)]"
2023/01/20 18:00:07,225,충청남도 논산시,191078,"▶설 연휴 일상방역수칙(손씻기,실내마스크,환기)준수 ▶1.21~24 논산시보건소 선별진료소 운영(09시~17시) ※코로나19 확진자수 단순안내 중단",cbs,논산시청,"손씻기,실내마스크,환기",,"[('환기 준수 21 24', 0.6136)]"
2023/01/19 18:01:10,225,충청남도 논산시,190933,1월 19일 확진자 63명 ▶코로나19 감염예방을 위한 동절기(2가백신)추가접종 권고 ▶접종예약ncvr.kdca.go.kr 콜센터746-6680~2,cbs,논산시청,2가백신,,"[('19일 확진자 63명', 0.5572)]"
2023/01/18 18:00:59,225,충청남도 논산시,190815,1월 18일 확진자 51명 ▶코로나19 감염예방을 위한 동절기(2가백신)추가접종 권고 ▶접종예약ncvr.kdca.go.kr 콜센터746-6680~2,cbs,논산시청,2가백신,,"[('확진자 51명 코로나19 감염예방을', 0.5651)]"
2023/01/17 18:04:06,225,충청남도 논산시,190692,"1월 17일 확진자 85명 ▶실내마스크 착용, 손씻기▶동절기(2가백신)추가접종 참여 ▶접종예약ncvr.kdca.go.kr 콜센터746-6680~2",cbs,논산시청,2가백신,,"[('17일 확진자 85명', 0.6325)]"
2023/01/16 18:14:33,225,충청남도 논산시,190564,"1월 16일 확진자 102명 ▶실내마스크 착용, 손씻기▶동절기(2가백신)추가접종 참여 ▶접종예약ncvr.kdca.go.kr 콜센터746-6680~2",cbs,논산시청,2가백신,,"[('1월 16일 확진자', 0.6127)]"
2023/01/15 18:00:43,225,충청남도 논산시,190416,"1월 15일 확진자 34명 ▶실내마스크 착용, 손씻기▶동절기(2가백신)추가접종 참여 ▶접종예약ncvr.kdca.go.kr 콜센터746-6680~2",cbs,논산시청,2가백신,,"[('34명 실내마스크 착용 손씻기', 0.612)]"
2023/01/14 18:00:05,225,충청남도 논산시,190257,"1월 14일 확진자 66명 ▶실내마스크 착용, 손씻기▶동절기(2가백신)추가접종 참여 ▶접종예약ncvr.kdca.go.kr 콜센터746-6680~2",cbs,논산시청,2가백신,,"[('1월 14일 확진자', 0.6151)]"
2023/01/13 18:02:42,225,충청남도 논산시,190116,"1월 13일 확진자 65명 ▶실내마스크 착용, 손씻기▶동절기(2가백신)추가접종 참여 ▶접종예약ncvr.kdca.go.kr 콜센터746-6680~2",cbs,논산시청,2가백신,,"[('65명 실내마스크 착용 손씻기', 0.6154)]"
2023/01/12 18:02:46,225,충청남도 논산시,189951,"1월 12일 확진자 88명 ▶실내마스크 착용, 손씻기▶동절기(2가백신)추가접종 참여 ▶접종예약ncvr.kdca.go.kr 콜센터746-6680~2",cbs,논산시청,2가백신,,"[('추가접종 참여 접종예약ncvr', 0.6305)]"
2023/01/11 18:03:54,225,충청남도 논산시,189824,"1월 11일 확진자 72명 ▶실내마스크 착용, 손씻기▶동절기(2가백신)추가접종 참여 ▶접종예약ncvr.kdca.go.kr 콜센터746-6680~2",cbs,논산시청,2가백신,,"[('착용 손씻기 동절기', 0.6053)]"
2023/01/10 18:01:40,225,충청남도 논산시,189696,"1월 10일 확진자 126명 ▶실내마스크 착용, 손씻기▶동절기(2가백신)추가접종 참여 ▶접종예약ncvr.kdca.go.kr 콜센터746-6680~2",cbs,논산시청,2가백신,,"[('추가접종 참여 접종예약ncvr', 0.6432)]"
2023/01/09 18:13:02,225,충청남도 논산시,189570,1월 9일 확진자 119명 ▶건강한 겨울나기 코로나19 동절기(2가백신)추가접종과 함께 ▶예약ncvr.kdca.go.kr 콜센터746-6680~2,cbs,논산시청,2가백신,,"[('코로나19 동절기 2가백신 추가접종과', 0.62)]"
2023/01/08 17:55:35,225,충청남도 논산시,189427,1월 8일 확진자 51명 ▶건강한 겨울나기 코로나19 동절기(2가백신)추가접종과 함께 ▶예약ncvr.kdca.go.kr 콜센터746-6680~2,cbs,논산시청,2가백신,,"[('2가백신 추가접종과', 0.6267)]"
2023/01/07 18:00:59,225,충청남도 논산시,189287,1월 7일 확진자 77명 ▶건강한 겨울나기 코로나19 동절기(2가백신)추가접종과 함께 ▶예약ncvr.kdca.go.kr 콜센터746-6680~2,cbs,논산시청,2가백신,,"[('2가백신 추가접종과 함께 예약ncvr', 0.603)]"
2023/01/06 18:14:20,225,충청남도 논산시,189120,1월 6일 확진자 115명 ▶건강한 겨울나기 코로나19 동절기(2가백신)추가접종과 함께 ▶예약ncvr.kdca.go.kr 콜센터746-6680~2,cbs,논산시청,2가백신,,"[('동절기 2가백신 추가접종과', 0.646)]"
2023/01/05 18:00:47,225,충청남도 논산시,188959,1월 5일 확진자 91명 ▶건강한 겨울나기 코로나19 동절기(2가백신)추가접종과 함께 ▶예약ncvr.kdca.go.kr 콜센터746-6680~2,cbs,논산시청,2가백신,,"[('91명 건강한', 0.6169)]"
2023/01/04 18:18:34,225,충청남도 논산시,188822,1월 4일 확진자 90명 ▶건강한 겨울나기 코로나19 동절기(2가백신)추가접종과 함께 ▶예약ncvr.kdca.go.kr 콜센터746-6680~2,cbs,논산시청,2가백신,,"[('확진자 90명', 0.6453)]"
2023/01/03 18:03:11,225,충청남도 논산시,188678,1월 3일 확진자 134명 ▶건강한 겨울나기 코로나19 동절기(2가백신)추가접종과 함께 ▶예약ncvr.kdca.go.kr 콜센터746-6680~2,cbs,논산시청,2가백신,,"[('동절기 2가백신 추가접종과', 0.656)]"
2023/01/02 18:04:23,225,충청남도 논산시,188543,1월 2일 확진자 117명 ▶건강한 겨울나기 코로나19 동절기(2가백신)추가접종과 함께 ▶예약ncvr.kdca.go.kr 콜센터746-6680~2,cbs,논산시청,2가백신,,"[('건강한 겨울나기 코로나19 동절기', 0.6633)]"
2023/01/01 17:58:56,225,충청남도 논산시,188398,1월 1일 확진자 36명 ▶건강한 겨울나기 코로나19 동절기(2가백신)추가접종과 함께 ▶예약ncvr.kdca.go.kr 콜센터746-6680~2,cbs,논산시청,2가백신,,"[('1일 확진자 36명 건강한', 0.6432)]"
2022/12/31 18:09:14,225,충청남도 논산시,188242,12월 31일 확진자 100명 ▶건강한 겨울나기 코로나19 동절기(2가백신)추가접종과 함께 ▶예약ncvr.kdca.go.kr 콜센터746-6680~2,cbs,논산시청,2가백신,,"[('2가백신 추가접종과 함께', 0.5599)]"
2022/12/30 17:58:33,225,충청남도 논산시,188090,12월 30일 확진자 109명 ▶건강한 겨울나기 코로나19 동절기(2가백신)추가접종과 함께 ▶예약ncvr.kdca.go.kr 콜센터746-6680~2,cbs,논산시청,2가백신,,"[('2가백신 추가접종과 함께 예약ncvr', 0.5578)]"
2022/12/29 18:04:05,225,충청남도 논산시,187958,12월 29일 확진자 98명 ▶백신 집중접종기간(~12.31. 12세이상 기초접종완료자) ▶예약ncvr.kdca.go.kr 콜센터746-6680~2,cbs,논산시청,~12.31. 12세이상 기초접종완료자,12세,"[('kr 콜센터746 6680', 0.5301)]"
2022/12/28 18:00:34,225,충청남도 논산시,187808,12월 28일 확진자 116명 ▶백신 집중접종기간(~12.31. 12세이상 기초접종완료자) ▶예약ncvr.kdca.go.kr 콜센터746-6680~2,cbs,논산시청,~12.31. 12세이상 기초접종완료자,12세,"[('확진자 116명 백신 집중접종기간', 0.5541)]"
2022/12/27 17:58:49,225,충청남도 논산시,187660,12월 27일 확진자 157명 ▶백신 집중접종기간(~12.31. 12세이상 기초접종완료자) ▶누리집ncvr.kdca.go.kr 콜센터746-6680~2,cbs,논산시청,~12.31. 12세이상 기초접종완료자,12세,"[('12 31 12세이상', 0.5374)]"
2022/12/26 18:01:00,225,충청남도 논산시,187523,12월 26일 확진자 115명 ▶백신 집중접종기간(~12.31. 12세이상 기초접종완료자) ▶누리집ncvr.kdca.go.kr 콜센터746-6680~2,cbs,논산시청,~12.31. 12세이상 기초접종완료자,12세,"[('확진자 115명 백신 집중접종기간', 0.5561)]"
2022/12/25 18:05:14,225,충청남도 논산시,187385,12월 25일 확진자 32명 ▶백신 집중접종기간(~12.31. 12세이상 기초접종완료자) ▶누리집ncvr.kdca.go.kr 콜센터746-6680~2,cbs,논산시청,~12.31. 12세이상 기초접종완료자,12세,"[('12 31 12세이상', 0.541)]"
