create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/05/13 15:31:21,240,충청북도 단양군,195033,"구인사에서 노인 실종. 머리가 짧고, 상의 베이지색 승복, 하의 곤색 트레이닝복, 흰색실내화. 치매증상, 왼쪽팔불편,노란 지팡이소지.발견즉시 112신고",cbs,단양군청,,,"[('치매증상 왼쪽팔불편 노란 지팡이소지', 0.7615)]"
2023/01/20 09:59:59,240,충청북도 단양군,190990,1.20.(금) 0시 기준 코로나 확진자는 10명입니다. 보건소 선별진료소- 연중무휴](12:00~13:00 소독시간 미운영),cbs,단양군청,금,,"[('0시 기준', 0.5012)]"
2023/01/19 10:07:55,240,충청북도 단양군,190885,1.19.(목) 0시 기준 코로나 확진자는 4명입니다. 보건소 선별진료소- 연중무휴](12:00~13:00 소독시간 미운영),cbs,단양군청,목,,"[('0시 기준', 0.5365)]"
2023/01/18 10:00:49,240,충청북도 단양군,190747,1.18.(수) 0시 기준 코로나 확진자는 12명입니다. 보건소 선별진료소- 연중무휴](12:00~13:00 소독시간 미운영),cbs,단양군청,수,,"[('소독시간 미운영', 0.5474)]"
2023/01/17 09:59:17,240,충청북도 단양군,190613,1.17.(화) 0시 기준 코로나 확진자는 11명입니다. 보건소 선별진료소- 연중무휴](12:00~13:00 소독시간 미운영),cbs,단양군청,화,,"[('0시 기준', 0.5202)]"
2023/01/16 09:59:37,240,충청북도 단양군,190479,1.16.(월) 0시 기준 코로나 확진자는 1명입니다. 보건소 선별진료소- 연중무휴](12:00~13:00 소독시간 미운영),cbs,단양군청,월,,"[('0시 기준', 0.5233)]"
2023/01/15 09:58:42,240,충청북도 단양군,190314,1.15.(일) 0시 기준 코로나 확진자는 7명입니다. 안전하고 건강한 겨울나기를 위한 코로나19 동절기 추가접종은 예약없이 당일접종 가능합니다.,cbs,단양군청,일,,"[('확진자는 7명입니다 안전하고', 0.5798)]"
2023/01/14 10:00:41,240,충청북도 단양군,190182,1.14.(토) 0시 기준 코로나 확진자는 9명입니다. 안전하고 건강한 겨울나기를 위한 코로나19 동절기 추가접종은 예약없이 당일접종 가능합니다.,cbs,단양군청,토,,"[('위한 코로나19 동절기', 0.5883)]"
2023/01/13 10:00:08,240,충청북도 단양군,190029,1.13.(금) 0시 기준 코로나 확진자는 13명입니다. 보건소 선별진료소- 연중무휴](12:00~13:00 소독시간 미운영),cbs,단양군청,금,,"[('00 소독시간', 0.5063)]"
2023/01/13 06:40:16,240,충청북도 단양군,189963,"국지도 59호선 영춘방면 군간교 덤프트럭 전복사고에 따른 교통통제가 이루어지고 있으니, 어상천 방면으로 우회하시기 바랍니다.(약 3시간 소요 예상)",cbs,단양군청,약 3시간 소요 예상,,"[('따른 교통통제가 이루어지고', 0.7284)]"
2023/01/12 09:59:34,240,충청북도 단양군,189879,1.12.(목) 0시 기준 코로나 확진자는 16명입니다. 보건소 선별진료소- 연중무휴](12:00~13:00 소독시간 미운영),cbs,단양군청,목,,"[('코로나 확진자는', 0.524)]"
2023/01/11 09:59:18,240,충청북도 단양군,189747,1.11.(수) 0시 기준 코로나 확진자는 18명입니다. 보건소 선별진료소- 연중무휴](12:00~13:00 소독시간 미운영),cbs,단양군청,수,,"[('코로나 확진자는', 0.4579)]"
2023/01/10 09:59:21,240,충청북도 단양군,189620,1.10.(화) 0시 기준 코로나 확진자는 10명입니다. 보건소 선별진료소- 연중무휴](12:00~13:00 소독시간 미운영),cbs,단양군청,화,,"[('13 00 소독시간', 0.5323)]"
2023/01/09 09:59:19,240,충청북도 단양군,189490,1.9.(월) 0시 기준 코로나 확진자는 1명입니다. 안전하고 건강한 겨울나기를 위한 코로나19 동절기 추가접종은 예약없이 당일접종 가능합니다.,cbs,단양군청,월,,"[('기준 코로나 확진자는', 0.5357)]"
2023/01/08 10:02:13,240,충청북도 단양군,189350,1.8.(일) 0시 기준 코로나 확진자는 7명입니다. 안전하고 건강한 겨울나기를 위한 코로나19 동절기 추가접종은 예약없이 당일접종 가능합니다.,cbs,단양군청,일,,"[('기준 코로나 확진자는', 0.5285)]"
2023/01/07 09:58:23,240,충청북도 단양군,189199,1.7.(토) 0시 기준 코로나 확진자는 13명입니다. 안전하고 건강한 겨울나기를 위한 코로나19 동절기 추가접종은 예약없이 당일접종 가능합니다.,cbs,단양군청,토,,"[('겨울나기를 위한 코로나19', 0.5949)]"
2023/01/06 09:59:42,240,충청북도 단양군,189018,1.6.(금) 0시 기준 코로나 확진자는 20명입니다. 안전하고 건강한 겨울나기를 위한 코로나19 동절기 추가접종은 예약없이 당일접종 가능합니다.,cbs,단양군청,금,,"[('안전하고 건강한 겨울나기를', 0.6012)]"
