create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/25 07:39:32,186,전라남도 담양군,206996,"오늘 06시 광주대구고속도로 광주방향(금성교 부근)에서 대형트럭 전복사고가 발생하여 차량 전면 차단 중이오니, 이 구간을 우회하여 주시고 서행 바랍니다",cbs,담양군,금성교 부근,,"[('오늘 06시 광주대구고속도로', 0.5798)]"
2023/10/09 12:14:08,186,전라남도 담양군,205957,"담양읍에 거주하는 김ㅇㅇ(80대 남성)님을 찾습니다. 175cm, 85kg, 둥근 얼굴, 검정색 점퍼, 회색 바지 담양군 재난상황실(380-3348)",cbs,담양군,80대 남성,,"[('검정색 점퍼 회색 바지', 0.5557)]"
2023/09/16 15:20:11,186,전라남도 담양군,205214,"우리군 금일 13:00 호우주의보 발효, 하천변 등 위험지역 접근 금지, 산사태, 상습침수 등 위험지역 대피, 외출자제 등 안전에 유의바랍니다.",cbs,담양군,,,"[('하천변 위험지역 접근', 0.6426)]"
2023/08/23 17:10:21,186,전라남도 담양군,204256,"우리군 금일 16:20 호우주의보 발효, 하천변 등 위험지역 접근 금지, 산사태, 상습침수 등 위험지역 대피, 외출자제 등 안전에 유의바랍니다.",cbs,담양군,,,"[('금지 산사태 상습침수 위험지역', 0.6131)]"
2023/08/23 11:27:43,186,전라남도 담양군,204150,"오늘(8.23.(수)) 14시부터 20분간 민방위 대피훈련 실시, 담양군청~담양소방서 구간 15분간 차량을 통제하니 적극 협조하여 주시기 바랍니다.",cbs,담양군,8.23.(수,,"[('20분간 민방위 대피훈련', 0.616)]"
2023/08/22 14:51:33,186,전라남도 담양군,203975,"우리군 폭염경보 지속. 농작업 등 야외활동 자제, 충분한 물마시기, 휴식, 양산 사용 등 안전수칙 이행바랍니다.",cbs,담양군,,,"[('지속 농작업 야외활동', 0.7357)]"
2023/08/22 14:40:36,186,전라남도 담양군,203973,"내일(8월 23일) 14시부터 20분간 민방위 훈련 실시, 차량통제는 담양군청~담양소방서 구간 15분간 실시합니다.",cbs,담양군,8월 23일,,"[('내일 8월', 0.672)]"
2023/08/21 14:14:08,186,전라남도 담양군,203905,"우리군 폭염경보 지속. 농작업 등 야외활동 자제, 충분한 물마시기, 휴식, 양산 사용 등 안전수칙 이행바랍니다.",cbs,담양군,,,"[('지속 농작업 야외활동', 0.7357)]"
2023/08/20 14:48:57,186,전라남도 담양군,203803,"우리군 폭염경보 지속. 농작업 등 야외활동 자제, 충분한 물마시기, 휴식, 양산 사용 등 안전수칙 이행바랍니다.",cbs,담양군,,,"[('지속 농작업 야외활동', 0.7357)]"
2023/08/19 15:46:48,186,전라남도 담양군,203721,"우리군 폭염경보 지속. 농작업 등 야외활동 자제, 충분한 물마시기, 휴식, 양산 사용 등 안전수칙 이행바랍니다.",cbs,담양군,,,"[('지속 농작업 야외활동', 0.7357)]"
2023/08/18 19:01:55,186,전라남도 담양군,203653,"우리군 18:40 호우경보발효. 담양읍, 월산면, 용면에서는 국지성 호우로 인한 피해가 우려되니 위험지역 대피, 외출자제 등 안전에 주의바랍니다.",cbs,담양군,,,"[('피해가 우려되니 위험지역 대피', 0.5415)]"
2023/08/18 16:40:49,186,전라남도 담양군,203638,"우리군 폭염경보 지속. 농작업 등 야외활동 자제, 충분한 물마시기, 휴식, 양산 사용 등 안전수칙 이행바랍니다.",cbs,담양군,,,"[('지속 농작업 야외활동', 0.7357)]"
2023/08/17 14:38:28,186,전라남도 담양군,203535,"우리군 폭염경보 지속. 농작업 등 야외활동 자제, 충분한 물마시기, 휴식, 양산 사용 등 안전수칙 이행바랍니다.",cbs,담양군,,,"[('지속 농작업 야외활동', 0.7357)]"
2023/08/16 14:02:01,186,전라남도 담양군,203453,"우리군 폭염경보 지속. 농작업 등 야외활동 자제, 충분한 물마시기, 휴식, 양산 사용 등 안전수칙 이행바랍니다.",cbs,담양군,,,"[('지속 농작업 야외활동', 0.7357)]"
2023/08/15 16:14:38,186,전라남도 담양군,203383,"우리군 폭염경보 지속. 농작업 등 야외활동 자제, 충분한 물마시기, 휴식, 양산 사용 등 안전수칙 이행바랍니다.",cbs,담양군,,,"[('지속 농작업 야외활동', 0.7357)]"
2023/08/14 10:12:45,186,전라남도 담양군,203207,"우리군 폭염주의보. 체감온도 최고 33도 이상, 농작업 등 야외활동 자제, 충분한 물 마시기와 휴식으로 건강에 유의 바랍니다.",cbs,담양군,,,"[('건강에 유의 바랍니다', 0.6865)]"
2023/08/13 11:43:28,186,전라남도 담양군,203136,"우리군 폭염주의보. 체감온도 최고 33도 이상, 농작업 등 야외활동 자제, 충분한 물 마시기와 휴식으로 건강에 유의 바랍니다.",cbs,담양군,,,"[('건강에 유의 바랍니다', 0.6865)]"
2023/08/10 11:56:32,186,전라남도 담양군,202716,태풍 카눈 접근 중 강풍과 많은 비 예보▲논 물꼬 작업 등 외출 자제▲하천변 등 위험지역 접근 금지▲위험징후 발견 시 즉시 대피 등 안전 유의,cbs,담양군,,,"[('즉시 대피 안전', 0.5292)]"
2023/08/10 06:19:58,186,전라남도 담양군,202319,태풍 카눈 접근 중 강풍과 많은 비 예보▲논 물꼬 작업 등 외출 자제▲하천변 등 위험지역 접근 금지▲위험징후 발견 시 사전대피 등 안전 유의,cbs,담양군,,,"[('강풍과 많은 예보 물꼬', 0.5372)]"
2023/08/09 20:20:02,186,전라남도 담양군,202206,"태풍 카눈 북상중으로 많은 비와 강한 바람 예상▲하천변 등 위험지역 접근 금지▲비닐하우스, 간판 등 위험시설물 고정ㆍ결박▲외출자제, 안전에 유의바랍니다",cbs,담양군,,,"[('비닐하우스 간판', 0.6776)]"
2023/08/09 10:29:34,186,전라남도 담양군,201888,"태풍 카눈 북상중으로 많은 비와 강한 바람 예상▲배수로 점검 등 사전대비 철저▲비닐하우스, 간판 등 위험시설물 고정ㆍ결박▲위험지역 방문 자제 바랍니다.",cbs,담양군,,,"[('북상중으로 많은 비와', 0.6902)]"
2023/08/08 12:37:26,186,전라남도 담양군,201717,"우리군 폭염경보 지속. 농작업 등 야외활동 자제, 충분한 물마시기, 휴식, 양산 사용 등 안전수칙 이행바랍니다.",cbs,담양군,,,"[('지속 농작업 야외활동', 0.7357)]"
2023/08/07 12:37:47,186,전라남도 담양군,201569,"우리군 폭염경보 지속. 농작업 등 야외활동 자제, 충분한 물마시기, 휴식, 양산 사용 등 안전수칙 이행바랍니다.",cbs,담양군,,,"[('지속 농작업 야외활동', 0.7357)]"
2023/08/06 16:07:22,186,전라남도 담양군,201486,"우리군 폭염경보 지속. 농작업 등 야외활동 자제, 충분한 물마시기, 휴식, 양산 사용 등 안전수칙 이행바랍니다.",cbs,담양군,,,"[('지속 농작업 야외활동', 0.7357)]"
2023/08/05 10:59:00,186,전라남도 담양군,201200,"우리군 폭염경보 지속. 농작업 등 야외활동 자제, 충분한 물마시기, 휴식, 양산 사용 등 안전수칙 이행바랍니다.",cbs,담양군,,,"[('지속 농작업 야외활동', 0.7357)]"
2023/08/04 15:40:17,186,전라남도 담양군,201110,"우리군 폭염경보 지속. 농작업 등 야외활동 자제, 충분한 물마시기, 휴식, 양산 사용 등 안전수칙 이행바랍니다.",cbs,담양군,,,"[('지속 농작업 야외활동', 0.7357)]"
2023/08/03 11:47:44,186,전라남도 담양군,200889,"우리군 폭염경보 지속. 농작업 등 야외활동 자제, 충분한 물마시기, 휴식, 양산 사용 등 안전수칙 이행바랍니다.",cbs,담양군,,,"[('지속 농작업 야외활동', 0.7357)]"
2023/08/02 14:23:25,186,전라남도 담양군,200798,"우리군 폭염경보. 체감온도 최고 35도 이상, 농작업 등 야외활동 자제, 충분한 물 마시기와 휴식으로 건강에 유의 바랍니다.",cbs,담양군,,,"[('35도 이상', 0.7082)]"
2023/08/02 10:05:59,186,전라남도 담양군,200710,"우리군 폭염경보. 체감온도 최고 35도 이상, 농작업 등 야외활동 자제, 충분한 물 마시기와 휴식으로 건강에 유의 바랍니다.",cbs,담양군,,,"[('35도 이상', 0.7082)]"
2023/08/01 19:03:23,186,전라남도 담양군,200685,"폭염 경보 발효 중, 농촌온열질환 사망자 발생, 야외활동 자제(논밭, 공사장 등), 충분한 물 마시기, 양산 착용 등 건강에 유의바랍니다.",cbs,담양군,"논밭, 공사장 등",,"[('야외활동 자제 논밭 공사장', 0.7089)]"
2023/07/18 09:23:43,186,전라남도 담양군,198569,"호우경보 발효 중, 금일 11:00부터 담양호 홍수조절을 위한 방류 예정. 하천변, 급경사지 등 위험지역 접근금지, 외출자제 등 안전에 주의바랍니다.",cbs,담양군,,,"[('00부터 담양호 홍수조절을', 0.6426)]"
2023/07/15 17:35:26,186,전라남도 담양군,197959,"오늘 17:10 담양군 호우경보 발효. 저지대, 침수 우려지역 등 위험지역에서는 가족, 이웃과 정보를 공유하고 안전한 곳으로 대피하시기 바랍니다.",cbs,담양군,,,"[('발효 저지대 침수 우려지역', 0.5263)]"
2023/07/14 05:20:45,186,전라남도 담양군,197245,"오늘 05:00분 담양군 호우경보 발효. 산사태, 상습침수 등 위험지역 대피, 외출자제 등 안전에 주의 바랍니다.",cbs,담양군,,,"[('대피 외출자제 안전에', 0.6669)]"
2023/06/18 13:02:08,186,전라남도 담양군,195693,담양지역 폭염주의보 유지중▲한낮 야외활동 자제▲충분한 수분 섭취▲그늘막·무더위쉼터 이용 등 안전에 유의 바랍니다,cbs,담양군,,,"[('한낮 야외활동 자제 충분한', 0.6165)]"
2023/05/05 16:51:03,186,전라남도 담양군,194888,"오늘 16시 30분 담양지역 호우주의보, 상습침수지역 대피, 위험지역 통제, 농작물 보호행위 자제 등 안전에 주의바랍니다.",cbs,담양군,,,"[('대피 위험지역 통제 농작물', 0.6145)]"
