create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/06/28 05:28:03,9026,전라남도 담양군,196040,"현시간 05시 25분 부로 광주호 수위가 위험상태에 이르러 방류를 실시합니다. 인근 주민분들은 마을방송 및 이장, 공무원 통제에 따라 대피바랍니다",cbs,담양군청,,,"[('인근 주민분들은 마을방송 이장', 0.5775)]"
2023/06/27 22:05:38,186,전라남도 담양군,195971,"담양군 21:40분 부로 호우경보 발효 저지대, 침수우려지역 등 인명피해 우려지역에서는 마을회관 등 안전한 곳으로 대피하시고 안전에 유의바랍니다",cbs,담양군청,,,"[('발효 저지대 침수우려지역', 0.4439)]"
2023/06/27 21:04:51,186,전라남도 담양군,195951,담양군 현재 호우주의보 발효 중. 강풍 및 번개를 동반한 강한 비가 내리고 있으니 외출을 삼가하시고 안전에 유의하시기 바랍니다.,cbs,담양군청,,,"[('강한 비가 내리고 있으니', 0.746)]"
2023/06/25 16:12:37,186,전라남도 담양군,195853,"장마로 많은 비가 예상됩니다. 농작물 및 시설물 관리에 만전을 기하여 주시고, 위험지역 야외 활동을 자제하는 등 안전에 유의하여 주시기 바랍니다.",cbs,담양군청,,,"[('비가 예상됩니다 농작물', 0.7416)]"
2023/06/19 10:58:14,186,전라남도 담양군,195723,담양군 폭염주의보 발효중. ▲한낮 밭 작업 등 야외 활동 자제 ▲부모님 및 이웃 안부 확인 ▲충분한 물 섭취 등 안전에 유의 바랍니다.,cbs,담양군청,,,"[('담양군 폭염주의보', 0.6964)]"
2023/06/17 11:35:21,186,전라남도 담양군,195668,오늘 11시 부로 담양군 폭염주의보 발효중. ▲한낮 밭 작업 등 야외 활동 자제 ▲충분한 물 섭취 ▲그늘 및 무더위쉼터 이용 등 안전에 유의 바랍니다,cbs,담양군청,,,"[('활동 자제 충분한 섭취', 0.5165)]"
2022/12/23 08:01:33,186,전라남도 담양군,186849,현재 담양군에 많은 눈이 내렸습니다 ▲개인차량 이용 자제 ▲대중교통 이용 ▲집 앞 눈치우기 ▲취약계층 활동 자제 ▲농축산시설 점검 등을 부탁드립니다,cbs,담양군청,,,"[('대중교통 이용', 0.7711)]"
2022/12/22 18:37:19,186,전라남도 담양군,186739,"담양군 오늘 18:00 대설경보 발효중. 퇴근길 교통사고 주의, 눈길 미끄럼, 비닐하우스 등 농축산시설 관리와 수도관 계량기 동파에 주의 바랍니다",cbs,담양군청,,,"[('담양군 오늘 18', 0.6258)]"
2022/08/03 13:25:58,186,전라남도 담양군,166176,"▲금일 폭염경보 ▷장시간 야외할동, 논밭 나홀로작업 자제 ▷야외근로자 온열질환 유의(물, 그늘, 휴식 확보) ▷이웃 안부확인 등 안전에 유의해주세요.",cbs,담양군청,"물, 그늘, 휴식 확보",,"[('폭염경보 장시간 야외할동', 0.6804)]"
2022/07/06 14:17:01,186,전라남도 담양군,162546,"7.6. 폭염경보 지속 발효 중. 물 충분히 마시기, 무더위쉼터 이용, 실외 작업장 폭염 안전수칙(물, 그늘, 휴식) 지키기 등 안전에 유의바랍니다.",cbs,담양군청,"물, 그늘, 휴식",,"[('충분히 마시기 무더위쉼터 이용', 0.6654)]"
2022/07/05 14:53:16,186,전라남도 담양군,162422,"7.5. 폭염경보 지속 발효중! 물 충분히 마시기, 무더위 쉼터 이용, 실외 작업장 폭염 안전수칙(물, 그늘, 휴식) 지키기 등 안전에 유의바랍니다.",cbs,담양군청,"물, 그늘, 휴식",,"[('휴식 지키기 안전에', 0.6498)]"
2022/07/04 13:49:40,186,전라남도 담양군,162289,"7.4. 폭염경보 지속 발효중! 물 충분히 마시기, 무더위 쉼터 이용, 실외 작업장 폭염 안전수칙(물, 그늘, 휴식) 지키기 등 안전에 유의바랍니다.",cbs,담양군청,"물, 그늘, 휴식",,"[('실외 작업장 폭염', 0.6445)]"
