create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/08/23 09:01:54,226,충청남도 당진시,204077,오늘(23일) 민방위훈련으로 오후 2시부터 20분간 설악웨딩홀사거리~상공회의소~종합복지타운 간 양방향 교통통제를 진행하오니 많은 협조 부탁드립니다.,cbs,당진시청,23일,,"[('2시부터 20분간 설악웨딩홀사거리 상공회의소', 0.5999)]"
2023/04/02 16:04:09,226,충청남도 당진시,194046,금일 11:22분경 대호지면 사성리 발생한 산불 확산 중입니다. 대호지면 조금리 및 사성리 마을주민은 조금초등학교로 대피하여 주시기 바랍니다.,cbs,당진시청,,,"[('사성리 마을주민은', 0.4766)]"
2023/01/31 14:05:10,226,충청남도 당진시,192420,"1.30.부터 실내마스크 착용의무 권고로 조정▲단, 의료기관,약국,대중교통수단,입소형 감역취약시설 착용의무 유지▲세부내용 참고 vo.la/0LMl0c",cbs,당진시청,,,"[('조정 의료기관', 0.5349)]"
2023/01/29 16:05:01,226,충청남도 당진시,192287,"1/29일 확진자23명 발생.총97,433명▲1/30일부터 실내마스크 착용 권고조정(단, 의료기관,감염취약시설,대중교통,약국 의무착용 유지)",cbs,당진시청,"단, 의료기관,감염취약시설,대중교통,약국 의무착용 유지",,"[('착용 권고조정', 0.4516)]"
2023/01/28 16:11:31,226,충청남도 당진시,192209,"1/28일 확진자53명 발생.총97,410명▲1/30일부터 실내마스크 착용 권고조정(단, 의료기관,감염취약시설,대중교통,약국 의무착용 유지)",cbs,당진시청,"단, 의료기관,감염취약시설,대중교통,약국 의무착용 유지",,"[('대중교통 약국 의무착용 유지', 0.4611)]"
2023/01/27 16:16:01,226,충청남도 당진시,192095,"1/27일 확진자90명 발생.총97,357명▲1/30일부터 실내마스크 착용 권고조정(단, 의료기관,감염취약시설,대중교통,약국 의무착용 유지)",cbs,당진시청,"단, 의료기관,감염취약시설,대중교통,약국 의무착용 유지",,"[('착용 권고조정', 0.5244)]"
2023/01/26 16:32:35,226,충청남도 당진시,191967,"1/26(목) 16시기준 확진자 108명 발생. 총97,267명▲12세 이상 코로나 동절기 추가접종 예약 인터넷 또는 콜센터(☎041-360-6004)",cbs,당진시청,목,12세,"[('동절기 추가접종 예약 인터넷', 0.5151)]"
2023/01/25 16:56:09,226,충청남도 당진시,191832,"1/25(수) 16시기준 확진자 103명 발생. 총97,159명▲12세 이상 코로나 동절기 추가접종 예약 인터넷 또는 콜센터(☎041-360-6004)",cbs,당진시청,수,12세,"[('총97 159명 12세 이상', 0.4199)]"
2023/01/24 16:12:45,226,충청남도 당진시,191672,"1/24(화) 16시기준 확진자 51명 발생. 총97,056명 ▲설연휴기간(1.21~1.24) 이용가능 의료기관 안내 vo.la/uRQX0V",cbs,당진시청,화,,"[('056명 설연휴기간 21', 0.4703)]"
2023/01/23 16:35:38,226,충청남도 당진시,191431,"1/23(월) 16시기준 확진자 32명 발생. 총97,005명 ▲설연휴기간(1.21~1.24) 이용가능 의료기관 안내 vo.la/uRQX0V",cbs,당진시청,월,,"[('16시기준 확진자', 0.4851)]"
