create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2021/08/08 11:32:11,226,충청남도 당진시,116512,"▲8/3(화)15:00~16:00, 8/4(수)20:30~21:00, 8/5(목)15:00~17:00 팡팡노래연습장(당진시장북길 37-10)",cbs,당진시청①,화,,"[('00 17', 0.2341)]"
2021/07/17 12:35:15,226,충청남도 당진시,113088,▲7/12~7/15 라온한식뷔페(합덕읍 인더스파크로 167-10) ▲7/10(21:02~22:20) 역전할머니맥주(북문로1길 37-15),cbs,당진시청①,합덕읍 인더스파크로 167-10,,"[('라온한식뷔페 합덕읍 인더스파크로', 0.5086)]"
2021/03/16 15:18:00,226,충청남도 당진시,98076,당진 247번 확진자 관련 3/11(목)~3/15(월) 삼성생명(당진중앙2로 202 2층) 방문자는 보건소 선별진료소 검사바랍니다.,cbs,당진시청①,목,,"[('당진중앙2로 202 2층', 0.5196)]"
2021/02/12 10:30:35,226,충청남도 당진시,91259,"당진220~223번 확진환자(평택 안중읍 이슬람카페 관련, 218~219번 접촉자) 발생. 정밀 역학조사 중. 자세한 사항은 다시 알려드리겠습니다.",cbs,당진시청①,"평택 안중읍 이슬람카페 관련, 218~219번 접촉자",,"[('접촉자 발생 정밀', 0.6394)]"
2021/02/11 13:13:02,226,충청남도 당진시,91111,"Agar siz Anjung-eup, Pyonentek shahri, Masjid yoki Islam cafega borgan bo'lsangiz",cbs,당진시청①,,,"[('siz anjung eup pyonentek', 0.5144)]"
2021/02/03 19:40:20,226,충청남도 당진시,89603,당진185~206번확진자 역학조사중간결과 홈페이지 및 SNS참고바랍니다 vo.la/oFkb9 (206번확진자는 한국육계유통 확진자가족으로 정정합니다),cbs,당진시청①,206번확진자는 한국육계유통 확진자가족으로 정정합니다,,"[('206번확진자 역학조사중간결과', 0.5878)]"
2020/12/31 17:15:14,226,충청남도 당진시,79636,12. 26.(19:36∼20:42)당진종합병원 응급실 방문환자 및 보호자/ 12.29.(11:26∼11:30) 2층 외래 신경외과를 방문한 내원객/,cbs,당진시청①,19:36∼20:42,,"[('외래 신경외과를 방문한', 0.5399)]"
2020/09/11 17:34:57,226,충청남도 당진시,56273,시흥시 115번 확진자 9월5일 당진3동 장례식장 방문(16:43~17:47) / 접촉자 없음/해당동선 소독 완료하여 안심하고 이용하셔도 됩니다.,cbs,당진시청①,16:43~17:47,,"[('없음 해당동선 소독 완료하여', 0.6776)]"
2020/09/09 09:59:49,226,충청남도 당진시,55675,"금천구80번 확진자 9월8일 당진시청 방문. 접촉자 없으며 능동감시 1명, 예방적 검사 4명 진행중, 해당동선 소독조치 완료하였습니다.",cbs,당진시청①,,,"[('접촉자 없으며 능동감시', 0.6528)]"
2020/09/08 23:30:37,226,충청남도 당진시,55631,금천구80번 확진자 9월8일 오전11시21분~11시35분 당진시청 지하1층과 1층 민원실 방문.역학조사 완료시까지 시청 폐쇄 및 민원인출입 제한됩니다,cbs,당진시청①,,,"[('지하1층과 1층 민원실', 0.672)]"
