create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/17 16:06:19,104,대구광역시 전체,206776,"밤사이 1~5cm 강설로 도로결빙이 우려되오니 외출을 자제하시고, 낙상사고와 농작물관리에 주의하시고, 내일 오전 강풍에도 주의하시기 바랍니다.",cbs,대구광역시,,,"[('강풍에도 주의하시기', 0.6709)]"
2023/10/31 18:00:06,104,대구광역시 전체,206384,"핼러윈 데이는 가족과 함께!! 사람이 많이 모이는 다중밀집 지역은 피하고, 인파 사고를 예방하여 안전한 핼러윈 데이를 보냅시다.",cbs,대구광역시,,,"[('예방하여 안전한', 0.7365)]"
2023/10/28 21:00:06,104,대구광역시 전체,206343,"인파밀집 사고가 우려되므로 주말과 핼러윈 데이는 다중밀집 지역은 피하고, 가족과 함께 안전하게 보내시기 바랍니다.",cbs,대구광역시,,,"[('핼러윈 데이는 다중밀집', 0.6994)]"
2023/10/28 18:00:07,104,대구광역시 전체,206339,"핼러윈 데이는 가족과 함께!! 사람이 많이 모이는 다중밀집 지역은 피하고, 인파 사고를 예방하여 안전한 핼러윈 데이를 보냅시다.",cbs,대구광역시,,,"[('예방하여 안전한', 0.7365)]"
2023/10/27 21:00:08,104,대구광역시 전체,206316,"인파밀집 사고가 우려되므로 주말과 핼러윈 데이는 다중밀집 지역은 피하고, 가족과 함께 안전하게 보내시기 바랍니다.",cbs,대구광역시,,,"[('핼러윈 데이는 다중밀집', 0.6994)]"
2023/10/27 18:00:07,104,대구광역시 전체,206306,"핼러윈 데이는 가족과 함께!! 사람이 많이 모이는 다중밀집 지역은 피하고, 인파 사고를 예방하여 안전한 핼러윈 데이를 보냅시다.",cbs,대구광역시,,,"[('예방하여 안전한', 0.7365)]"
2023/08/31 11:49:08,104,대구광역시 전체,204719,11:50부로 신천동로 통행이 재개됨을 알려드립니다.,cbs,대구광역시,,,"[('통행이 재개됨을', 0.2776)]"
2023/08/31 08:00:38,104,대구광역시 전체,204711,"침수 우려에 따라 7시30분부로 신천동로 양방향 전면 통제중이니, 우회도로를 이용하시기 바랍니다.",cbs,대구광역시,,,"[('우회도로를 이용하시기', 0.5794)]"
2023/08/31 07:33:48,104,대구광역시 전체,204710,침수 우려에 따라 7시30분로 신천동로 양방향 전면 교통통제 실시합니다. 우회도로를 이용하시기 바랍니다.,cbs,대구광역시,,,"[('우회도로를 이용하시기', 0.5312)]"
2023/08/30 13:43:43,104,대구광역시 전체,204659,"현재 호우주의보가 발효 중이오니 하천변, 등산로, 산사태나 상습침수 지역 등 위험지역 접근금지, 외출 자제 등 안전에 유의하시기 바랍니다.",cbs,대구광역시,,,"[('현재 호우주의보가 발효', 0.6935)]"
