create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2022/12/02 18:26:21,109,대구광역시 북구,183415,"운문댐원수관로 누수로 12.2(금)17:30부터 12.3(토)오전9시까지 대현, 복현동 일부지역에 단수가되오니 양해 부탁드림,문의053-670-3342",cbs,대구시,금,,"[('17 30부터', 0.5359)]"
2022/12/02 15:35:19,111,대구광역시 수성구,183376,"운문댐 관로 누수로 12.2(금)오후9시~12.3(토)오전9시까지 수성구 만촌동 일부, 고산동 전역 단수예정 미리 수돗물을 받아 주실 것을 당부드립니다",cbs,대구시,금,,"[('오후9시 12', 0.6463)]"
2022/12/02 15:27:40,108,대구광역시 동구,183374,운문댐 원수관로 누수로 12.2(금) 오후9시~12.3(토) 오전9시까지 동구전역에 단수가 되오니 시민들은 미리 수돗물을 받아 주실 것을 당부드립니다.,cbs,대구시,금,,"[('단수가 되오니 시민들은', 0.6462)]"
2022/11/29 13:57:42,104,대구광역시 전체,182895,"오늘 21시 한파경보 발효 외출자제, 방한복 착용, 수도관 등 보온조치, 온열기 화재주의, 농작물 냉해방지 등에 주의해 주시기 바랍니다.",cbs,대구시,,,"[('방한복 착용 수도관', 0.6427)]"
2022/09/05 10:40:14,104,대구광역시 전체,171055,"9.5~9.6 태풍 힌남노 북상 대비 외출자제, 공사장,산사태위험지역,하천산책로 출입금지, 시설물고정, 하천변 주차차량이동, 배수구 덮개 제거 바랍니다.",cbs,대구시,,,"[('하천변 주차차량이동 배수구', 0.6255)]"
2022/03/04 10:04:11,104,대구광역시 전체,145728,"4일 0시 기준 확진자 9,494명(달서구2311,북구1772,수성구1490,동구1226,달성군1061,남구589,서구507,중구290,타지역248).",cbs,대구시,"달서구2311,북구1772,수성구1490,동구1226,달성군1061,남구589,서구507,중구290,타지역248",,"[('달서구2311 북구1772 수성구1490 동구1226', 0.605)]"
2022/02/20 10:04:28,104,대구광역시 전체,143869,"20일 0시 기준 확진자 4,707명 발생(달서구1051,북구1012,수성구724,동구576,달성군563,서구299,남구265,중구113,타지역104).",cbs,대구시,"달서구1051,북구1012,수성구724,동구576,달성군563,서구299,남구265,중구113,타지역104",,"[('기준 확진자 707명', 0.5797)]"
2022/01/25 10:15:52,104,대구광역시 전체,139745,"25일 0시 기준 확진자 489 발생. 지역483명(달서구112,수성구88,달성군79,동구62,북구46,남구37,서구32,중구15,타지역12),해외6명.",cbs,대구시,"달서구112,수성구88,달성군79,동구62,북구46,남구37,서구32,중구15,타지역12",,"[('남구37 서구32 중구15', 0.6008)]"
2022/01/24 10:30:37,104,대구광역시 전체,139604,"24일 0시 기준 확진자 479명 발생. 지역463(달서구104,수성구82,동구70,달성군69,북구49,서구33,남구28,중구19,타지역9), 해외16.",cbs,대구시,"달서구104,수성구82,동구70,달성군69,북구49,서구33,남구28,중구19,타지역9",,"[('지역463 달서구104 수성구82 동구70', 0.6171)]"
2022/01/23 10:11:35,104,대구광역시 전체,139440,"23일 0시 기준 확진자 458명 발생.지역448명(동구92,달서구90,수성구89,북구47,달성군46,서구32,남구26,중구21,타지역5),해외유입10명",cbs,대구시,"동구92,달서구90,수성구89,북구47,달성군46,서구32,남구26,중구21,타지역5",,"[('동구92 달서구90 수성구89', 0.6411)]"
