create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/09/20 20:32:35,10115,대전광역시 대덕구,205538,"오늘 20시 용호동 지역 용호천 범람에 따라 해당 지역 접근을 삼가하여 주시기 바라며, 인근 이웃을 살피고 기상정보에 유의하여 주시기 바랍니다.",cbs,대덕구,,,"[('지역 용호천', 0.6593)]"
2023/08/14 15:40:49,114,대전광역시 대덕구,203269,"폭염특보 발효 중 논밭 작업, 건설현장 등 야외활동 자제, 충분한 물 마시기, 활동시 양산쓰기 등으로 온열질환 예방에 유의 해주시기 바랍니다.",cbs,대덕구,,,"[('유의 해주시기', 0.7024)]"
2023/08/09 21:28:39,114,대전광역시 대덕구,202233,"태풍 카눈 북상으로 산사태 발생이 우려되므로 입산금지, 산림 주변 접근ㆍ통행 금지 및 신속대피 바랍니다.",cbs,대덕구,,,"[('산사태 발생이', 0.705)]"
2023/07/27 03:54:32,114,대전광역시 대덕구,199926,신탄진권역 유해물질 누출의심 조사완료 이상없음으로 일상생활 복귀바랍니다.,cbs,대덕구,,,"[('조사완료 이상없음으로', 0.459)]"
2023/07/27 03:23:54,114,대전광역시 대덕구,199925,신탄진권역 유해물질 누출 의심으로 현장조사중. 창문을 닫고 에어컨 중지 후 대기하시기 바랍니다.,cbs,대덕구,,,"[('중지 대기하시기 바랍니다', 0.7104)]"
2023/07/20 19:13:08,114,대전광역시 대덕구,199074,"신탄진휴게소(서울) 내 이용객 반경 100m 접근통제 및 현재 수습 복구 중이니, 일상생활로 복귀하시기 바랍니다.",cbs,대덕구,서울,,"[('접근통제 현재', 0.6434)]"
2023/07/20 18:03:34,114,대전광역시 대덕구,199072,금일 17:39분경 경부고속도로 신탄진휴게소 부근 염산 누출사고 발생. 상서동에서는 창문을 닫고 에어컨 중지 후 다음안내까지 실내 대기바랍니다,cbs,대덕구,,,"[('발생 상서동에서는 창문을', 0.6143)]"
2023/07/18 15:05:27,114,대전광역시 대덕구,198689,많은 비가 내려 산사태 발생이 우려됩니다. 산과 인접한 주택에 머무르지 마시고 산과 떨어진 친인척 집이나 마을회관 등으로 대피하시기 바랍니다.,cbs,대덕구,,,"[('산사태 발생이 우려됩니다 산과', 0.7242)]"
2023/07/14 14:19:11,114,대전광역시 대덕구,197432,"7월 14일 15시부터 대청댐 초당 1,300톤 이내 수문방류 실시하오니 인명 및 시설물 피해가 없도록 대피 및 대비 하여 주시기 바랍니다.",cbs,대덕구,,,"[('수문방류 실시하오니 인명 시설물', 0.6057)]"
2023/07/11 17:27:30,114,대전광역시 대덕구,196881,"7월 11일 19시부터 7월 19일 18시까지 대청댐 초당 1,300톤 이내 수문방류 실시로 하천수위 상승 예상. 하천변 안전한곳으로 대피 바랍니다.",cbs,대덕구,,,"[('이내 수문방류 실시로 하천수위', 0.494)]"
2023/07/11 10:56:02,114,대전광역시 대덕구,196763,"7월 11일 12시부터 대청댐 초당 1,000톤 이내 수문방류 실시로 하천수위 상승 예상. 하천변 대피 및 자재 장비등의 사전 조치 바랍니다.",cbs,대덕구,,,"[('이내 수문방류 실시로 하천수위', 0.5247)]"
2023/07/10 10:04:57,114,대전광역시 대덕구,196714,"7월 10일 12시부터 대청댐 초당 1,000톤 이내 수문방류 실시로 하천수위 상승 예상. 하천변 대피 및 자재 장비등의 사전 조치 바랍니다.",cbs,대덕구,,,"[('이내 수문방류 실시로 하천수위', 0.5789)]"
2023/04/10 19:15:35,114,대전광역시 대덕구,194298,"내일 오전 6시 강풍 주의보 예비 특보가 발효됨에 따라 간판 등 부착물 , 비닐하우스 등 시설물 피해 주의, 해안 접근 금지 등 안전에 주의 바랍니다.",cbs,대덕구,,,"[('부착물 비닐하우스', 0.6455)]"
2023/04/03 09:12:07,114,대전광역시 대덕구,194067,"계속되는 건조한 날씨로 서구 대형산불 발생, 우리지역도 대형산불 발생 위험. △외출시 불씨취급 금지 △논밭두렁, 영농 부산물 등 소각행위 일절 금지.",cbs,대덕구,,,"[('대형산불 발생 위험', 0.5038)]"
2023/03/12 23:18:20,114,대전광역시 대덕구,193496,"한국타이어 화재로 인한 연기발생, 인근 주민은 안전사고 발생에 유의 바랍니다.",cbs,대덕구,,,"[('주민은 안전사고 발생에 유의', 0.6839)]"
