create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/03/13 08:01:43,114,대전광역시 대덕구,193508,신탄진 한국타이어 화재 관련 임시 대피소인 대덕문화체육관은 주차장이 협소하오니 차량 이용시 참고하시기 바랍니다.,cbs,대덕구청,,,"[('차량 이용시 참고하시기', 0.7232)]"
2023/03/13 07:43:27,114,대전광역시 대덕구,193507,신탄진 한국타이어 화재 연기가 발생. 인근 주민들께서는 대덕문화체육관 임시대피소를 설치하였으니 자택 거주하기 힘드신 분들은 대피하여 주시기 바랍니다.,cbs,대덕구청,,,"[('대덕문화체육관 임시대피소를 설치하였으니', 0.754)]"
2022/09/05 18:02:27,114,대전광역시 대덕구,171292,9.6.(화) 새벽부터 우리구에 강풍을 동반한 태풍이 예보됨에 따라 취약시설을 점검하고 안전사고가 발생하지 않도록 외출자제 등 주의당부 드립니다,cbs,대덕구청,화,,"[('취약시설을 점검하고 안전사고가', 0.5377)]"
2022/09/05 09:31:05,114,대전광역시 대덕구,170997,태풍 북상으로 9.5.(월) 밤부터 우리지역에 많은 비와 강풍이 예보됨에 따라 비닐하우스·간판·창문 고정 및 주변 축대·배수로 사전점검 바랍니다.,cbs,대덕구청,월,,"[('창문 고정 주변 축대', 0.5881)]"
2021/09/15 19:26:56,114,대전광역시 대덕구,122332,오늘 18:47경 대덕구 대화동 290-59번지 일원 화재 발생. 이 지역을 우회하여 주시고 인근 주민은 안전사고 발생에 유의 바랍니다.,cbs,대덕구청,,,"[('대화동 290', 0.563)]"
2021/05/05 11:17:32,114,대전광역시 대덕구,104271,"2021.5.5.(수)11시 강원영동중심 최대풍속 70km/h 그 밖의 지역 18~36km/h 등 강풍발생, 인근 시설물 관리에 유의하시기 바랍니다.",cbs,대덕구청,수,,"[('70km 밖의', 0.4818)]"
2020/12/29 10:49:22,114,대전광역시 대덕구,78550,"● 12월 17일~24일 중리동 “정호헤어아트”와 “금강수족관” 방문자 ● 인후통, 기침, 후각/미각이상이 있는 경우, 동선 무관.",cbs,대덕구청,,,"[('있는 경우 동선', 0.6541)]"
2020/12/29 10:48:54,114,대전광역시 대덕구,78549,다음과 같은 경우 대덕구 보건소(09:30~16:00)에 방문하여 선별검사 받으시기 바랍니다. ● 12월 중 상주 열방센터 방문자,cbs,대덕구청,09:30~16:00,,"[('받으시기 바랍니다 12월 상주', 0.6828)]"
2020/12/11 17:13:01,114,대전광역시 대덕구,72290,"방역수칙 : 테이블당 거리두기, 테이블당 4인 초과 금지, 출입자 명부 관리 ※ 시행시기 : 12. 13(일) 00시 ~12. 28(월) 24시까지",cbs,대덕구청,일,,"[('4인 초과 금지', 0.6782)]"
2020/12/11 17:12:41,114,대전광역시 대덕구,72288,"대전시 모든 식당·카페는 면적과 상관없이 22시 이후 포장, 배달만 허용되며 방역수칙 준수가 의무화 됩니다.",cbs,대덕구청,,,"[('허용되며 방역수칙 준수가', 0.5914)]"
2020/08/09 20:41:31,114,대전광역시 대덕구,43704,금일 23시부터 대청댐 방류랑 증가로 금강변 신탄진 저지대 및 신대천 주변 농경지 등 침수우려가 있으니 안전에 유의하시기 바랍니다.,cbs,대덕구청,,,"[('주변 농경지 침수우려가 있으니', 0.7575)]"
2020/08/09 04:26:32,114,대전광역시 대덕구,43469,산사태 예측 심각단계 발령으로 계족산 출입 자제 및 산림인접지 거주민은 산사태 발생에 주의하시기 바랍니다.,cbs,대덕구청,,,"[('발령으로 계족산 출입', 0.7309)]"
2020/08/08 19:14:25,114,대전광역시 대덕구,43388,금일 21시부터 대청댐 방류량 증가로 신대동 농경지 등 저지대 침수우려가 있으니 안전에 유의하시기 바랍니다.,cbs,대덕구청,,,"[('대청댐 방류량 증가로 신대동', 0.7095)]"
2020/08/08 12:05:30,114,대전광역시 대덕구,43127,대청댐 방류량 증가로 현도교 하류 하상도로 통제중입니다. 차량 우회 바랍니다.,cbs,대덕구청,,,"[('증가로 현도교', 0.6584)]"
2020/08/08 07:42:42,114,대전광역시 대덕구,42976,산사태 예측 심각단계 발령으로 계족산 출입자제 및 산림인접지 거주민은 산사태 발생에 주의하시기 바랍니다.,cbs,대덕구청,,,"[('산사태 발생에', 0.7027)]"
2020/08/04 19:33:48,114,대전광역시 대덕구,42300,산사태예측 경계단계 발령으로 계족산 출입자제 및 산림인접지 거주민은 산사태 발생에 주의하시기 바랍니다.,cbs,대덕구청,,,"[('산사태예측 경계단계 발령으로 계족산', 0.634)]"
2020/07/30 06:07:23,114,대전광역시 대덕구,41642,"7월30일 4시10분 호우경보, 산사태· 상습침수 등 위험지역 대피, 외출자제 등 안전에 주의바랍니다.",cbs,대덕구청,,,"[('안전에 주의바랍니다', 0.4655)]"
2020/06/29 10:17:54,114,대전광역시 대덕구,38996,대덕구 관내 자가격리자는 총 123명이며 전담공무원을 통해 모니터링 되고 있습니다.,cbs,대덕구청,,,"[('모니터링 되고 있습니다', 0.5203)]"
