create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/24 16:20:24,118,대전광역시 중구,206978,"경찰은 중구에서 배회중인 정미경(여, 13세)을 찾습니다 -150cm, 검정패딩, 분홍색 신발 및 가방 vo.la/pMLQx / ☎182",cbs,대전경찰청,"여, 13세",13세,"[('배회중인 정미경 13세', 0.4914)]"
2023/11/24 16:18:56,115,대전광역시 동구,206977,"경찰은 동구에서 실종된 정미경(여, 13세)을 찾습니다 -150cm, 검정패딩, 분홍색 신발 및 가방 vo.la/pMLQx / ☎182",cbs,대전경찰청,"여, 13세",13세,"[('실종된 정미경 13세', 0.4914)]"
2023/11/23 16:37:27,116,대전광역시 서구,206923,"서구에서 목격된 김송삼씨(남,84세)를 찾습니다 -170cm,67kg,파란점퍼,검정모자,안경,지팡이 vo.la/NyPaD / ☎182",cbs,대전경찰청,"남,84세",84세,"[('파란점퍼 검정모자', 0.5042)]"
2023/11/23 10:02:39,114,대전광역시 대덕구,206920,"대덕구에서 실종된 김송삼씨(남,84세)를 찾습니다 -170cm,67kg,파란점퍼,검정모자,안경,지팡이 vo.la/NyPaD / ☎182",cbs,대전경찰청,"남,84세",84세,"[('파란점퍼 검정모자', 0.5117)]"
2023/11/23 09:42:55,115,대전광역시 동구,206919,"동구에서 배회중인 김송삼씨(남,84세)를 찾습니다 -170cm,67kg,파란점퍼,검정모자,안경,지팡이 vo.la/NyPaD / ☎182",cbs,대전경찰청,"남,84세",84세,"[('파란점퍼 검정모자', 0.5021)]"
2023/11/17 15:50:18,114,대전광역시 대덕구,206775,"대덕구에서 목격된 이겸노씨(남,79세)를 찾습니다-167cm,55kg,회색패딩,청바지,검정운동화,베레모 vo.la/XjFDD / ☎182",cbs,대전경찰청,"남,79세",79세,"[('베레모 vo la xjfdd', 0.4676)]"
2023/11/17 15:48:00,116,대전광역시 서구,206774,"서구에서 실종된 이겸노씨(남,79세)를 찾습니다-167cm,55kg,회색패딩,청바지,검정운동화,베레모 vo.la/XjFDD / ☎182",cbs,대전경찰청,"남,79세",79세,"[('서구에서 실종된', 0.4417)]"
2023/11/14 16:11:22,116,대전광역시 서구,206720,"서구에서 배회중인 허홍무씨(남,81세)를 찾습니다 -183cm,75kg,남색점퍼,검정바지,검정모자,흰색장갑 vo.la/LeMTh / ☎182",cbs,대전경찰청,"남,81세",81세,"[('찾습니다 183cm 75kg', 0.447)]"
2023/11/14 16:06:23,118,대전광역시 중구,206719,"중구에서 실종된 허홍무씨(남,81세)를 찾습니다 -183cm,75kg,남색점퍼,검정바지,검정모자,흰색장갑 vo.la/LeMTh / ☎182",cbs,대전경찰청,"남,81세",81세,"[('검정모자 흰색장갑', 0.4294)]"
2023/10/31 19:00:37,116,대전광역시 서구,206388,"서구에서 배회중인 이분효씨(여, 73세)를 찾습니다 - 164cm, 62kg, 단발머리, 분홍색니트, 검정색바지 vo.la/vZsKG / ☎182",cbs,대전경찰청,"여, 73세",73세,"[('분홍색니트 검정색바지 vo la', 0.4602)]"
2023/10/31 19:00:00,118,대전광역시 중구,206387,"중구에서 실종된 이분효씨(여, 73세)를 찾습니다 - 164cm, 62kg, 단발머리, 분홍색니트, 검정색바지 vo.la/vZsKG / ☎182",cbs,대전경찰청,"여, 73세",73세,"[('분홍색니트 검정색바지 vo la', 0.4585)]"
2023/10/30 17:26:58,118,대전광역시 중구,206369,"중구에서 배회중인 김종대씨(남,82세)를 찾습니다-155cm,45kg,백색머리,빨간색체크긴팔,검정바지,중절모 vo.la/MJTU9 / ☎182",cbs,대전경찰청,"남,82세",82세,"[('백색머리 빨간색체크긴팔 검정바지', 0.4389)]"
2023/10/30 17:25:08,114,대전광역시 대덕구,206368,"대덕구에서 실종된 김종대씨(남,82세)를 찾습니다-155cm,45kg,백색머리,빨간색체크긴팔,검정바지,중절모 vo.la/MJTU9 / ☎182",cbs,대전경찰청,"남,82세",82세,"[('빨간색체크긴팔 검정바지', 0.4489)]"
2023/10/29 20:22:02,115,대전광역시 동구,206360,"동구에서 배회중인 배일수씨(남, 77세)를 찾습니다- 160cm, 60kg, 남색상의,검정바지,검정슬리퍼,백발 vo.la/2paVT / ☎182",cbs,대전경찰청,"남, 77세",77세,"[('남색상의 검정바지 검정슬리퍼', 0.4352)]"
2023/10/29 20:21:31,118,대전광역시 중구,206359,"중구에서 배회중인 배일수씨(남, 77세)를 찾습니다- 160cm, 60kg, 남색상의,검정바지,검정슬리퍼,백발 vo.la/2paVT / ☎182",cbs,대전경찰청,"남, 77세",77세,"[('남색상의 검정바지 검정슬리퍼', 0.4357)]"
2023/10/29 20:21:01,114,대전광역시 대덕구,206358,"대덕구에서 실종된 배일수씨(남, 77세)를 찾습니다- 160cm, 60kg, 남색상의,검정바지,검정슬리퍼,백발 vo.la/2paVT / ☎182",cbs,대전경찰청,"남, 77세",77세,"[('검정슬리퍼 백발 vo la', 0.4296)]"
2023/10/25 18:53:27,116,대전광역시 서구,206259,"서구에서 배회중인 박죽웅씨(남, 78세)를 찾습니다 - 166cm, 마른체격, 자주색잠바, 회색바지, 회색베레모 vo.la/OFrth / ☎182",cbs,대전경찰청,"남, 78세",78세,"[('자주색잠바 회색바지 회색베레모 vo', 0.4143)]"
2023/10/25 18:52:40,117,대전광역시 유성구,206258,"유성구에서 실종된 박죽웅씨(남, 78세)를 찾습니다 - 166cm, 마른체격, 자주색잠바, 회색바지, 회색베레모 vo.la/OFrth / ☎182",cbs,대전경찰청,"남, 78세",78세,"[('마른체격 자주색잠바', 0.4313)]"
2023/10/17 19:39:10,116,대전광역시 서구,206117,"경찰은 서구에서 배회중인 조순자씨(여, 76세)를 찾습니다- 160cm, 62kg, 검정상의,베이지색바지,보통체격 vo.la/Ba9WS / ☎182",cbs,대전경찰청,"여, 76세",76세,"[('배회중인 조순자씨', 0.5331)]"
2023/10/17 19:38:40,117,대전광역시 유성구,206116,"경찰은 유성구에서 실종된 조순자씨(여, 76세)를 찾습니다- 160cm, 62kg, 검정상의,베이지색바지,보통체격 vo.la/Ba9WS / ☎182",cbs,대전경찰청,"여, 76세",76세,"[('보통체격 vo la ba9ws', 0.5174)]"
2023/10/10 19:20:36,114,대전광역시 대덕구,205986,"대덕구에서 배회중인 김종인씨(남,85세)를 찾습니다 -155cm,남색모자,파랑(검정)패딩,회색바지,검정신발,지팡이 vo.la/9JouC / ☎182",cbs,대전경찰청,"남,85세",85세,"[('파랑 검정', 0.5243)]"
2023/10/10 19:20:03,115,대전광역시 동구,205985,"동구에서 배회중인 김종인씨(남, 85세)를 찾습니다 -155cm,남색모자,파랑(검정)패딩,회색바지,검정신발,지팡이 vo.la/9JouC / ☎182",cbs,대전경찰청,"남, 85세",85세,"[('파랑 검정', 0.4837)]"
2023/10/08 19:26:30,115,대전광역시 동구,205948,"경찰은 동구에서 배회중인 진영석씨(남, 26세)를 찾습니다- 183cm, 90kg, 검정반팔상의, 검정반바지 vo.la/SBQB1 / ☎182",cbs,대전경찰청,"남, 26세",26세,"[('검정반팔상의 검정반바지 vo la', 0.5079)]"
2023/10/08 16:53:46,117,대전광역시 유성구,205944,"유성구에서 실종된 김영광(남, 18세)을 찾습니다- 164cm, 56kg, 흰색바람막이점퍼,파랑바지,쥐색운동화 vo.la/w6xFX / ☎182",cbs,대전경찰청,"남, 18세",18세,"[('유성구에서 실종된', 0.4505)]"
2023/10/07 13:02:26,114,대전광역시 대덕구,205910,"대덕구에서 배회중인 박요순씨(여, 85세)를 찾습니다- 155cm, 55kg, 보라색원피스 ,자주색바지, 슬리퍼 vo.la//FGyeQ / ☎182",cbs,대전경찰청,"여, 85세",85세,"[('보라색원피스 자주색바지', 0.5121)]"
2023/10/07 13:01:56,115,대전광역시 동구,205909,"동구에서 실종된 박요순씨(여, 85세)를 찾습니다- 155cm, 55kg, 보라색원피스 ,자주색바지, 슬리퍼 vo.la/FGyeQ / ☎182",cbs,대전경찰청,"여, 85세",85세,"[('보라색원피스 자주색바지 슬리퍼', 0.4866)]"
2023/10/06 19:40:00,115,대전광역시 동구,205902,"동구에서 실종된 오준환씨(남,75세)를 찾습니다 -170cm,남색티셔츠,검정바지,슬리퍼,삭발 vo.la/cmh6i / ☎182",cbs,대전경찰청,"남,75세",75세,"[('검정바지 슬리퍼 삭발', 0.4025)]"
2023/09/27 18:43:27,115,대전광역시 동구,205759,"경찰은 동구에서 배회중인 전제철씨(남, 73세)를 찾습니다- 165cm, 65kg, 분홍셔츠,검정긴바지,흰운동화 vo.la/T4L8t / ☎182",cbs,대전경찰청,"남, 73세",73세,"[('la t4l8t 182', 0.4626)]"
2023/09/27 18:42:57,118,대전광역시 중구,205758,"경찰은 중구에서 배회중인 전제철씨(남, 73세)를 찾습니다- 165cm, 65kg, 분홍셔츠,검정긴바지,흰운동화 vo.la/T4L8t / ☎182",cbs,대전경찰청,"남, 73세",73세,"[('경찰은 중구에서', 0.4603)]"
2023/09/27 18:42:27,114,대전광역시 대덕구,205757,"경찰은 대덕구에서 실종된 전제철씨(남, 73세)를 찾습니다- 165cm, 65kg, 분홍셔츠,검정긴바지,흰운동화 vo.la/T4L8t / ☎182",cbs,대전경찰청,"남, 73세",73세,"[('65kg 분홍셔츠', 0.4694)]"
2023/09/22 18:55:42,117,대전광역시 유성구,205654,"유성구에서 배회중인 지기만씨(남,87세)를 찾습니다-160cm,55kg,회색긴팔,검정긴바지,흰색운동화,흰색모자 vo.la/VGq0g / ☎182",cbs,대전경찰청,"남,87세",87세,"[('la vgq0g 182', 0.4524)]"
2023/09/22 18:44:39,118,대전광역시 중구,205653,"중구에서 목격된 지기만씨(남,87세)를 찾습니다-160cm,55kg,회색긴팔,검정긴바지,흰색운동화,흰색모자 vo.la/VGq0g / ☎182",cbs,대전경찰청,"남,87세",87세,"[('vo la vgq0g', 0.423)]"
2023/09/22 18:42:37,116,대전광역시 서구,205652,"서구에서 실종된 지기만씨(남,87세)를 찾습니다-160cm,55kg,회색긴팔,검정긴바지,흰색운동화,흰색모자 vo.la/VGq0g / ☎182",cbs,대전경찰청,"남,87세",87세,"[('vo la vgq0g 182', 0.4383)]"
2023/09/19 15:13:48,114,대전광역시 대덕구,205369,"대덕구에서 목격된 김형춘씨(여, 73세)를 찾습니다 - 160cm, 40kg, 꽃무늬블라우스, 카키색바지 vo.la/PHoEF / ☎182",cbs,대전경찰청,"여, 73세",73세,"[('꽃무늬블라우스 카키색바지', 0.4348)]"
2023/09/19 15:10:59,118,대전광역시 중구,205368,"중구에서 배회중인 김형춘씨(여, 73세)를 찾습니다 - 160cm, 40kg, 꽃무늬블라우스, 카키색바지 vo.la/PHoEF / ☎182",cbs,대전경찰청,"여, 73세",73세,"[('꽃무늬블라우스 카키색바지', 0.4064)]"
2023/09/19 15:08:56,115,대전광역시 동구,205367,"동구에서 실종된 김형춘씨(여, 73세)를 찾습니다 - 160cm, 40kg, 꽃무늬블라우스, 카키색바지 vo.la/PHoEF / ☎182",cbs,대전경찰청,"여, 73세",73세,"[('꽃무늬블라우스 카키색바지', 0.4015)]"
2023/08/18 18:25:28,115,대전광역시 동구,203646,"동구에서 실종된 안동기씨(남, 53세)를 찾습니다 -170cm,60kg,연한핑크색 환자복차림,휠체어이용 vo.la/9En01 / ☎182",cbs,대전경찰청,"남, 53세",53세,"[('170cm 60kg', 0.5593)]"
2023/08/15 16:51:19,118,대전광역시 중구,203390,"중구에서 배회중인 최창용씨(남,86세)를 찾습니다-170cm,70kg,체크셔츠,남색칠부바지,지팡이,허리가방착용 vo.la/nHhCj / ☎182",cbs,대전경찰청,"남,86세",86세,"[('70kg 체크셔츠', 0.5244)]"
