create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/18 06:20:14,113,대전광역시 전체,206820,밤사이 많은 눈으로 교량 및 도로가 결빙되어 있으므로 교통사고 등 안전사고에 유의하시고 가급적 대중교통을 이용하시기 바랍니다. 042-270-3119,cbs,대전광역시,,,"[('이용하시기 바랍니다 042', 0.5908)]"
2023/09/20 22:19:07,113,대전광역시 전체,205573,금일 많은 비로 인해 하천 수위가 높으니 산책로 등 접근을 자제하여 주시기 바랍니다.,cbs,대전광역시,,,"[('많은 비로 인해', 0.5627)]"
2023/09/20 20:02:12,113,대전광역시 전체,205522,"19시30분 호우경보 발효, 하상도로, 언더패스 전면 통제 중이니 차량은 우회하여 주시고, 위험지역 대피 및 외출자재 등 안전에 주의바랍니다.",cbs,대전광역시,,,"[('호우경보 발효 하상도로', 0.6743)]"
2023/09/20 14:03:52,113,대전광역시 전체,205394,"금일 오후부터 많은 비가 예상되오니, 하천 산책로, 세월교, 하상도로 통행을 자제하여 주시고, 하상 주차장에 주차된 차량은 이동하여 주시기 바랍니다.",cbs,대전광역시,,,"[('오후부터 많은 비가', 0.7224)]"
2023/09/16 16:47:43,113,대전광역시 전체,205232,"많은비로 인해 하천의 수위가 높으니 하천변 산책로, 세월교 및 언더패스 등 통행을 자제해 주시기 바랍니다",cbs,대전광역시,,,"[('통행을 자제해 주시기 바랍니다', 0.7336)]"
2023/08/30 15:32:05,113,대전광역시 전체,204676,"많은 비로 인해 하천의 수위가 높으니, 하천변 산책로, 세월교 등 통행을 자제해 주시기 바랍니다.",cbs,대전광역시,,,"[('하천의 수위가', 0.7191)]"
2023/08/24 16:13:58,113,대전광역시 전체,204374,"많은 비로 인해 하천의 수위가 높으니 하천변 산책로, 세월교 등 통행을 자제해 주시기 바랍니다.",cbs,대전광역시,,,"[('하천의 수위가', 0.6917)]"
2023/08/23 11:10:22,113,대전광역시 전체,204138,오늘14시 일부구간 15분간 민방위훈련 차량통제:사이언스빌3가~읍내4가(유성구~대덕구)/충무로4가~동부서3가(중구~동구)/큰마을4가~용문역(서구),cbs,대전광역시,유성구~대덕구,,"[('일부구간 15분간', 0.6135)]"
2023/08/10 08:50:43,113,대전광역시 전체,202484,"태풍주의보 발효중, 외출자제 및 하천변 산책로, 징검다리, 세월교 등 진입을 금지하고, 강풍대비 간판 등 낙하위험물은 미리 점검해 주시기 바랍니다",cbs,대전광역시,,,"[('세월교 진입을 금지하고', 0.6877)]"
2023/08/10 07:26:25,113,대전광역시 전체,202375,문창교 ~ 보문교간 대전천 하상도로 교통통제 중이니 우회하여 주시기 바랍니다.,cbs,대전광역시,,,"[('우회하여 주시기', 0.5288)]"
2023/08/09 14:24:30,113,대전광역시 전체,201996,"태풍 '카눈' 북상중. 금일 밤부터 강한 바람과 호우가 예상됩니다. 간판, 창문 등을 고정하여 주시고, 위험지역 접근을 자제하여 주시기 바랍니다.",cbs,대전광역시,,,"[('태풍 카눈 북상중 금일', 0.4248)]"
2023/08/08 12:45:45,113,대전광역시 전체,201720,"폭염으로 인해 시민안전이 우려되오니 야외활동 자제, 실외작업장 안전수칙(물,그늘,휴식) 지키기 등 안전에 유의하시기 바랍니다.",cbs,대전광역시,"물,그늘,휴식",,"[('시민안전이 우려되오니 야외활동 자제', 0.7646)]"
2023/07/26 18:24:57,113,대전광역시 전체,199894,"오늘 국지성 호우 및 강풍이 예상되오니, 시민의 안전을 위하여 하천변 산책로, 세월교 및 징검다리 등의 출입을 절대 금하여 주시기 바랍니다.",cbs,대전광역시,,,"[('주시기 바랍니다', 0.6857)]"
2023/07/18 07:23:13,113,대전광역시 전체,198542,하상도로 통제를 해제하오니 안전에 유의하여 서행 운전하시기 바랍니다.,cbs,대전광역시,,,"[('하상도로 통제를', 0.5893)]"
2023/07/17 17:58:40,113,대전광역시 전체,198455,"호우경보 발효중. 하천변 산책로 등 위험지역 접근금지, 하상도로를 전면통제하오니 우회하여 주시고 안전에 유의하여 주시기 바랍니다.",cbs,대전광역시,,,"[('산책로 위험지역 접근금지 하상도로를', 0.7273)]"
2023/07/17 06:21:36,113,대전광역시 전체,198361,출근 시간대 강하고 많은 비가 예보되어 하상도로 및 언더패스 전면 폐쇄 중입니다. 출근길 교통혼잡이 예상되니 우회하여 주시기 바랍니다.,cbs,대전광역시,,,"[('강하고 많은 비가', 0.6017)]"
2023/07/15 03:20:02,113,대전광역시 전체,197655,호우로 인한 토사발생으로 용운터널에서 가양터널 방향 차량통제하오니 우회하여 주시기 바랍니다.,cbs,대전광역시,,,"[('차량통제하오니 우회하여', 0.2993)]"
2023/07/14 22:18:44,113,대전광역시 전체,197608,오늘 22:15부터 원촌교 차량 통제가 해제되었음을 알려드립니다.,cbs,대전광역시,,,"[('차량 통제가', 0.4521)]"
2023/07/14 21:17:19,113,대전광역시 전체,197599,오늘 21:15부터 만년교 차량 통제가 해제되었음을 알려드립니다.,cbs,대전광역시,,,"[('차량 통제가', 0.492)]"
2023/07/14 17:44:31,113,대전광역시 전체,197515,"퇴근길 갑천변(만년교, 원촌교) 교통통제로 혼잡이 예상되니 우회하여 주시기 바랍니다.",cbs,대전광역시,"만년교, 원촌교",,"[('교통통제로 혼잡이 예상되니', 0.5527)]"
2023/07/14 17:17:39,113,대전광역시 전체,197498,호우로 인해 하천 범람 위험이 있으니 접근을 자제하시고 둔치주차장 등 하천 인근 주차 차량 안전한 곳 이동 및 주차금지 바랍니다.,cbs,대전광역시,,,"[('호우로 인해 하천', 0.6938)]"
2023/07/14 15:41:37,113,대전광역시 전체,197460,"집중호우로 인하여 갑천 수위가 높아져 15:35부터 만년교, 원촌교 통행을 통제하오니 차량은 우회하여 주시기 바랍니다.",cbs,대전광역시,,,"[('갑천 수위가 높아져 15', 0.5769)]"
2023/07/14 14:30:50,113,대전광역시 전체,197434,"홍수 경보 발령. 하천수위 상승으로 저지대 침수, 하천 범람 우려가 있으니 하천변 접근을 금지하여 주시고 안전한 곳으로 대피하여 주시기 바랍니다.",cbs,대전광역시,,,"[('홍수 경보 발령 하천수위', 0.7278)]"
2023/07/14 14:11:58,113,대전광역시 전체,197429,"갑천 홍수주의보 발령. 하천수위 상승에 따라 위험하오니 하천변 접근을 자제하시고, 안전한 곳으로 대피하시기 바랍니다.",cbs,대전광역시,,,"[('자제하시고 안전한 곳으로', 0.7386)]"
2023/07/14 05:38:31,113,대전광역시 전체,197250,"대전시 호우경보 발효중. 하천변 산책로 등 위험지역 접근금지, 대전천 하상도로를 전면통제하오니 우회하여 주시고 안전에 유의하여 주시기 바랍니다.",cbs,대전광역시,,,"[('산책로 위험지역 접근금지', 0.7562)]"
2023/07/04 20:46:03,113,대전광역시 전체,196478,"오늘 20:10 호우경보. 하상도로, 둔치주차장, 야영장, 하천 범람지역 등 위험지역에서 대피하시고 외출 자제 등 안전에 유의하여 주시기바랍니다.",cbs,대전광역시,,,"[('야영장 하천 범람지역 위험지역에서', 0.6354)]"
2023/06/20 21:34:20,113,대전광역시 전체,195749,"기상청 예보에 오늘(20일) 밤부터 내일(21일) 새벽까지 호우가 예보되어 있어, 돌풍 및 낙뢰가 우려되오니 야외활동 안전에 유의하시기 바랍니다.",cbs,대전광역시,20일,,"[('21일 새벽까지 호우가', 0.6676)]"
2023/06/11 14:51:27,113,대전광역시 전체,195529,"기상청 예보에 따르면 오늘 전국적으로 소나기, 돌풍, 낙뢰 발생이 예상되오니 등산, 골프 등 야외활동을 자제하여 주시기 바랍니다.",cbs,대전광역시,,,"[('자제하여 주시기', 0.57)]"
