create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/06 18:01:22,31,경기도 동두천시,206583,강풍주의보가 발효 중으로 오늘과 내일 강한 바람이 예상됩니다. 퇴근길 낙하물 안전사고에 주의해 주시고 광고물 등 시설물을 고정조치하여 주시기 바랍니다.,cbs,동두천시,,,"[('고정조치하여 주시기', 0.6535)]"
2023/09/06 13:30:04,31,경기도 동두천시,204936,"동두천시 폭염주의보 발효 중, 낮시간대 야외·농업활동, 건설현장 실외작업을 자제하고 폭염안전수칙(물,그늘,휴식) 지키기 등 건강에 유의하시기 바랍니다.",cbs,동두천시,"물,그늘,휴식",,"[('폭염주의보 발효 낮시간대', 0.6829)]"
2023/08/23 11:27:34,31,경기도 동두천시,204149,오늘 동두천시 지역에 많은 비로 산사태 주의보 발령. 산림 주변 야외활동 자제와 입산금지 등 안전에 유의하시기 바랍니다.,cbs,동두천시,,,"[('야외활동 자제와 입산금지 안전에', 0.6567)]"
2023/08/23 11:25:22,31,경기도 동두천시,204148,"오늘 23일 14시부터 20분간 민방위훈련 실시, 대피소확인(네이버, 카카오 등) 차량통제(법원사거리~정장사거리, 시민회관 일대)",cbs,동두천시,"네이버, 카카오 등",,"[('민방위훈련 실시 대피소확인 네이버', 0.6853)]"
2023/08/23 11:00:54,31,경기도 동두천시,204130,오늘 오후2시 전국 민방위훈련 실시. 공습경보 시 차량 이동이 통제 되오니 차량은 갓길 정차 후 라디오(FM97.3)를 청취하여 주시기 바랍니다.,cbs,동두천시,FM97.3,,"[('청취하여 주시기 바랍니다', 0.5328)]"
2023/08/22 21:44:43,31,경기도 동두천시,204043,"호우주의보가 발효 중으로 많은 비가 내리고 있으니 신천변, 등산로, 계곡 등 위험지역에 접근하지마시고 안전사고 예방에 주의해 주시기 바랍니다.",cbs,동두천시,,,"[('있으니 신천변 등산로', 0.7509)]"
2023/08/20 10:57:56,31,경기도 동두천시,203756,"동두천시 폭염주의보 발효 중 낮시간대 야외·농업활동, 건설현장 실외작업을 자제하고 폭염안전수칙(물,그늘,휴식) 지키기 등 건강에 유의하시기 바랍니다.",cbs,동두천시,"물,그늘,휴식",,"[('야외 농업활동 건설현장 실외작업을', 0.6975)]"
2023/08/19 11:01:33,31,경기도 동두천시,203683,"동두천시 폭염주의보 발효 중 낮시간대 야외˙농업활동, 건설현장 실외작업을 자제하고 폭염안전수칙(물,그늘,휴식) 지키기 등 건강에 유의하시기 바랍니다.",cbs,동두천시,"물,그늘,휴식",,"[('폭염주의보 발효 낮시간대 야외', 0.6924)]"
2023/08/18 11:49:29,31,경기도 동두천시,203603,"동두천시 폭염주의보 발효 중 낮시간대 야외·농업활동, 건설현장 실외작업을 자제하고 폭염안전수칙(물,그늘,휴식) 지키기 등 건강에 유의하시기 바랍니다.",cbs,동두천시,"물,그늘,휴식",,"[('야외 농업활동 건설현장 실외작업을', 0.6975)]"
2023/08/14 11:30:01,31,경기도 동두천시,203229,"폭염주의보가 지속되니 무더운 낮시간대는 충분한 휴식, 수분 섭취, 영농작업 중지, 공사현장의 안전수칙준수 등 온열질환 예방에 유의하여 주시기 바랍니다.",cbs,동두천시,,,"[('유의하여 주시기', 0.7204)]"
2023/08/10 08:49:55,31,경기도 동두천시,202483,"태풍으로 강한 비바람이 예상 되오니 창문, 옥외간판 등 시설물을 고정하고 급경사지, 신천, 계곡, 등산로 등 위험지역 접근금지 해주시기 바랍니다.",cbs,동두천시,,,"[('위험지역 접근금지 해주시기', 0.7429)]"
2023/08/09 17:59:39,31,경기도 동두천시,202140,태풍으로 강한 비바람이 예상되오니 신천변 및 계곡 등 위험지역에 접근하지 마시고 외출을 자제하는 등 안전에 유의하여 주시기 바랍니다.,cbs,동두천시,,,"[('비바람이 예상되오니 신천변 계곡', 0.6688)]"
2023/08/06 13:32:08,31,경기도 동두천시,201436,"폭염경보가 지속 중이니 무더운 낮에는 충분한 휴식, 수분섭취, 영농작업 중지, 공사현장의 안전수칙 준수 등 온열질환 예방에 유의하여 주시기 바랍니다.",cbs,동두천시,,,"[('중지 공사현장의', 0.7098)]"
2023/08/05 14:01:26,31,경기도 동두천시,201262,"폭염경보가 지속되니 무더운 낮시간대에는 충분한 휴식, 수분 섭취, 영농작업 중지, 공사현장의 안전수칙준수 등 온열질환 예방에 유의하여 주시기 바랍니다.",cbs,동두천시,,,"[('유의하여 주시기', 0.7518)]"
2023/07/30 14:13:33,31,경기도 동두천시,200339,"고령농업인의 논밭 작업 중 폭염으로 인한 인명피해가 발생하고 있습니다. 충분한 수분섭취, 야외작업 자제 등 폭염 피해에 유의하시기 바랍니다.",cbs,동두천시,,,"[('유의하시기 바랍니다', 0.6871)]"
2023/07/26 07:42:25,31,경기도 동두천시,199790,"호우주의보 발효 중으로 많은 비가 내려 하천 수위가 상승하고 있으니 신천변, 계곡 등 위험지역에 접근하지마시고 안전사고 예방에 주의해 주시기 바랍니다.",cbs,동두천시,,,"[('상승하고 있으니', 0.7163)]"
2023/07/26 02:16:07,31,경기도 동두천시,199780,"호우주의보가 발효 중으로 많은 비가 내리고 있으니 신천변, 등산로, 계곡 등 위험지역에 접근하지마시고 안전사고 예방에 주의해 주시기 바랍니다.",cbs,동두천시,,,"[('있으니 신천변 등산로', 0.7509)]"
2023/07/23 07:32:09,31,경기도 동두천시,199427,"호우주의보가 발효 중으로 많은 비가 내리고 있으니 신천변, 등산로, 계곡 등 위험지역에 접근하지마시고 안전사고 예방에 주의해 주시기 바랍니다.",cbs,동두천시,,,"[('있으니 신천변 등산로', 0.7509)]"
2023/07/23 00:58:25,31,경기도 동두천시,199404,"호우주의보가 발효되어 새벽 집중호우가 예상되오니 신천변, 등산로, 계곡 등 위험지역에 접근하지 마시고 안전사고 예방에 주의해 주시기 바랍니다.",cbs,동두천시,,,"[('호우주의보가 발효되어 새벽', 0.7753)]"
2023/07/14 05:34:07,31,경기도 동두천시,197249,신천 수위 상승에 따라 하천변 통행을 금지하오니 시민들께서는 이용을 금지하여 주시기 바랍니다.,cbs,동두천시,,,"[('따라 하천변 통행을', 0.6077)]"
2023/07/13 10:45:46,31,경기도 동두천시,197026,"오늘 오후에 강한 비가 예상돼 신천, 계곡 등을 전면 통제하오니 근처 야영객과 시민은 접근 금지 및 안전한 곳으로 즉시 대피하여 주시기를 바랍니다.",cbs,동두천시,,,"[('즉시 대피하여 주시기를', 0.6289)]"
2023/07/09 09:17:01,31,경기도 동두천시,196637,오늘 08시 00분 호우주의보가 발표됨에 따라 침수 우려지역이나 산간계곡 및 하천변 야영객과 시민은 안전한 곳으로 이동하시기 바랍니다.,cbs,동두천시,,,"[('하천변 야영객과 시민은 안전한', 0.6561)]"
2023/06/18 12:41:14,31,경기도 동두천시,195692,"폭염주의보 발효 중 물 충분히 마시기, 야외활동 자제, 실외 작업장안전수칙 지키기 등 안전에 유의바랍니다. https://url.kr/baneh5",cbs,동두천시,,,"[('안전에 유의바랍니다', 0.6155)]"
2023/06/09 23:48:01,31,경기도 동두천시,195472,"오늘부터 내일까지 동두천시에 많은 비가 예상되오니. 침수우려지역과 하천변 계곡, 신천의 야영객 및 차량은 안전한곳으로 이동하여 주시기 바랍니다.",cbs,동두천시,,,"[('차량은 안전한곳으로 이동하여 주시기', 0.7215)]"
2023/03/30 08:21:50,31,경기도 동두천시,193901,오늘 동두천시 생연1동 은성교회 인근 주택 화재 발생. 소방차량 진입로 확보를 위해 주변 차량은 이 지역을 우회하시기 바랍니다.,cbs,동두천시,,,"[('은성교회 인근 주택', 0.5964)]"
