create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2022/09/05 23:18:28,125,부산광역시 동래구,171473,태풍 힌남노 영향으로 9.6.(화)첫차부터 동래구 마을버스 전체 노선 운행이 잠정중단되오니 참고하시기 바랍니다.,cbs,동래구,화,,"[('전체 노선 운행이 잠정중단되오니', 0.5391)]"
2021/07/22 10:16:24,125,부산광역시 동래구,113871,7.14(수)~7.18(일)06:30~19:30/7.20(화)06:30~10시 녹천탕(동래구금강공원로26번길32)남탕방문자는 보건소검사바랍니다(소독완료),cbs,동래구,수,,"[('30 20', 0.2686)]"
2021/07/21 16:32:46,125,부산광역시 동래구,113777,"50대(62~71년) 코로나19접종 예약(7.21.20시~7.24.18시)/온라인(ncvr.kdca.go.kr)/콜센터(550-4961, 9시~18시)",cbs,동래구,62~71년,,"[('kdca kr 콜센터 550', 0.5648)]"
2021/07/20 14:01:35,125,부산광역시 동래구,113580,"69~71년생 코로나19 백신 예약 / 7.20. 20시~7.21. 18시/ 인터넷,모바일(ncvr.kdca.go.kr)/ 콜센터(550-4961)",cbs,동래구,ncvr.kdca.go.kr,,"[('콜센터 550 4961', 0.5627)]"
2021/07/19 10:51:46,125,부산광역시 동래구,113326,"67~68년생 코로나19 백신 예약 안내/ 7.19. 20시~7.20. 18시/ 인터넷,모바일(ncvr.kdca.go.kr)/ 콜센터(550-4961)",cbs,동래구,ncvr.kdca.go.kr,,"[('18시 인터넷 모바일', 0.5752)]"
2021/07/14 16:59:23,125,부산광역시 동래구,112596,"62~66년생코로나백신예약 7.14(수)20시~온라인(ncvr.kdca.go.kr),7.15(목) 09시~전화(550-4961,4973~4,4985~6)",cbs,동래구,수,,"[('20시 온라인', 0.5382)]"
2021/06/01 15:19:23,125,부산광역시 동래구,107803,"60~74세(47~61년생) 6.3.까지 코로나19 예방접종 사전예약 마감입니다. 콜센터(550-4973~6, 550-4985~7, 저녁8시까지 접수)",cbs,동래구,47~61년생,74세,"[('코로나19 예방접종 사전예약 마감입니다', 0.4976)]"
2021/05/28 14:09:25,125,부산광역시 동래구,107286,"60~74세(47~61년생) 코로나19예방접종사전예약(~6.3까지),인터넷(ncvr.kdca.go.kr),콜센터(550-4973~6,550-4985~7)",cbs,동래구,47~61년생,74세,"[('kdca kr 콜센터', 0.4867)]"
2021/05/25 15:18:46,125,부산광역시 동래구,106867,"60~74세(47~61년),코로나19예방접종사전예약(~6.3.까지),인터넷(ncvr.kdca.go.kr),콜센터(550-4973~6,550-4985~7)",cbs,동래구,47~61년,74세,"[('61년 코로나19예방접종사전예약 까지', 0.4251)]"
2020/08/04 10:02:25,125,부산광역시 동래구,42214,코로나19 확진자 1명(부산170번) 발생(접촉자). 동선은 역학조사 후 동래구청 홈페이지(www.dongnae.go.kr )에 게시예정입니다.,cbs,동래구,부산170번,,"[('www dongnae kr', 0.5598)]"
2020/02/24 09:31:09,125,부산광역시 동래구,25970,동래확진자(부산10)동선(2.21.)14:00예람유치원(2.22.)10:00동래구보건소선별진료소,cbs,동래구,부산10,,"[('22 10', 0.3353)]"
2020/02/24 09:29:27,125,부산광역시 동래구,25968,동래확진자(부산10)동선(2.20.)22:19 307번버스(센텀중⇒동래럭키APT),cbs,동래구,부산10,,"[('22 19', 0.4185)]"
2020/02/24 09:29:03,125,부산광역시 동래구,25966,동래확진자(부산10)동선(2.20.)12:00삼촌밥런치펍(센텀스카이비즈1층)-18:00센텀가야밀면,cbs,동래구,부산10,,"[('18 00센텀가야밀면', 0.3307)]"
2020/02/24 09:28:42,125,부산광역시 동래구,25964,동래확진자(부산10)동선(2.20.)9:55 307번버스(광혜병원-센텀중),cbs,동래구,부산10,,"[('20 55', 0.2933)]"
2020/02/24 09:28:22,125,부산광역시 동래구,25963,동래확진자(부산10)동선(2.19.)18:44 31번버스(동해선센텀역⇒동래역⇒내성교차로⇒온천교회),cbs,동래구,부산10,,"[('31번버스 동해선센텀역 동래역', 0.4229)]"
2020/02/24 09:27:33,125,부산광역시 동래구,25962,동래확진자(부산10)동선(2.19.)9:53 307번버스(광혜병원⇒센텀중학교⇒센텀스카이비즈),cbs,동래구,부산10,,"[('307번버스 광혜병원 센텀중학교 센텀스카이비즈', 0.3189)]"
2020/02/24 09:27:18,125,부산광역시 동래구,25961,동래확진자(부산10)동선(2.18.)20:00밀양돼지국밥(부산역)-20:24도시철도(부산역-동래역),cbs,동래구,부산10,,"[('동래확진자 부산10', 0.6625)]"
2020/02/24 09:26:58,125,부산광역시 동래구,25960,동래확진자(부산10)동선(2.18.)17:45~19:42 KTX149 5호차 7차,cbs,동래구,부산10,,"[('18 17', 0.242)]"
2020/02/24 09:26:38,125,부산광역시 동래구,25958,동래확진자(부산10)동선(2.18.)15:45메카MGC광주수정점-16:30SRT616,cbs,동래구,부산10,,"[('18 15', 0.232)]"
2020/02/24 09:26:16,125,부산광역시 동래구,25957,동래구 확진자(부산10)동선(2.18.)13:40한국인터넷진흥원-15:29광주버스2번,cbs,동래구,부산10,,"[('18 13 40한국인터넷진흥원', 0.3719)]"
2020/02/24 09:25:45,125,부산광역시 동래구,25956,동래구 확진자(부산10)동선(2.18.)12:35광주버스2번-13시 미풍해장국나주혁신점,cbs,동래구,부산10,,"[('동선 18', 0.6303)]"
2020/02/24 09:23:43,125,부산광역시 동래구,25955,동래구 확진자(부산10)동선(2.18.)09:05KTX120 1호차12B⇒11:10SRT(오송),cbs,동래구,부산10,,"[('1호차12b 11', 0.6124)]"
2020/02/24 09:23:28,125,부산광역시 동래구,25954,동래구 확진자(부산10)동선(2.18.)8:21 동래역-부산역(지하철),cbs,동래구,부산10,,"[('21 동래역 부산역 지하철', 0.6413)]"
2020/02/23 22:33:57,125,부산광역시 동래구,25938,동래구 확진자(부산9)동선(2.21.) 22:15동심가마트(온천2동)- (2.22.)09:10동래구보건소 선별진료소,cbs,동래구,부산9,,"[('22 15동심가마트', 0.6459)]"
2020/02/23 22:33:34,125,부산광역시 동래구,25937,동래구 확진자(부산9)동선(2.21.)09:05~13시 온천교회-19:35~22:10온천교회,cbs,동래구,부산9,,"[('09 05 13시', 0.4148)]"
2020/02/23 22:33:14,125,부산광역시 동래구,25936,"동래구 확진자(부산9)동선(2.20.)08:40~09:05 OX pc방, 명륜역 신화타워 맞은 편",cbs,동래구,부산9,,"[('확진자 부산9', 0.4762)]"
2020/02/23 22:32:54,125,부산광역시 동래구,25935,동래구 확진자(부산8)동선(2.20.)-17:25동래봄산부인과(온천동)-18:46명가김밥(온천동),cbs,동래구,부산8,,"[('동래구 확진자 부산8 동선', 0.6517)]"
2020/02/23 22:32:41,125,부산광역시 동래구,25934,동래구 확진자(부산8)동선(2.20.)-14:20투루바도르(부산대)-14:54이솝페이블(부산대학교),cbs,동래구,부산8,,"[('20투루바도르 부산대 14 54이솝페이블', 0.5916)]"
2020/02/23 22:32:15,125,부산광역시 동래구,25933,"동래구 확진자(부산8)동선(2.20.)12:04 80번시내버스-13:08시골통돼지볶음(부산대)-14:01화장품가게(롭스, 부산대2호점)",cbs,동래구,부산8,,"[('롭스 부산대2호점', 0.5653)]"
2020/02/23 22:31:37,125,부산광역시 동래구,25932,동래구 확진자(부산8)동선(2.19.)12:45 터줏집(장전상가아파트)-13:24 스타벅스 부산대점-15:30~21:40 온천교회,cbs,동래구,부산8,,"[('동래구 확진자 부산8', 0.6512)]"
