create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/05 22:13:32,148,서울특별시 동작구,206487,"11월6일(월) 새벽 강풍동반 시간당 20mm 내외 많은 비가 예상됩니다. 도림천, 서달산 등 출입자제 및 공사장 등 시설물 관리에 주의 바랍니다.",cbs,동작구,월,,"[('예상됩니다 도림천 서달산 출입자제', 0.4141)]"
2023/08/22 17:52:25,148,서울특별시 동작구,204010,"25일까지 동작구 집중호우 예상. 현재 관내 도림천변 출입통제 중, 서달산 등 위험지역 접근 자제, 상습침수지역 배수로 점검 등 침수피해 대비 바람.",cbs,동작구,,,"[('점검 침수피해 대비', 0.7759)]"
2023/08/14 17:21:34,148,서울특별시 동작구,203274,"시내버스 교통사고로 장승배기사거리 노량진역 방향 장승배기로 1,2차로 통제중입니다. 처리까지 30분~1시간 소요 예정으로 교통운행에 참고하시기 바랍니다.",cbs,동작구,,,"[('시내버스 교통사고로', 0.5454)]"
2023/08/10 09:48:08,148,서울특별시 동작구,202547,"8.10~8.11까지 강풍 동반 강한 비가 예상, 강풍, 폭우에 대비 바라며 동작구 태풍 행동수칙(https://buly.kr/CsfnUpH) 확인 바람",cbs,동작구,https://buly.kr/CsfnUpH,,"[('buly kr csfnuph 확인', 0.5659)]"
2023/08/09 19:22:28,148,서울특별시 동작구,202184,태풍<카눈>의 영향으로 강한 비바람이 예상되어 주요 등산로를 8.10.(목) 07시 이후 입산통제 예정임을 알려드립니다.(위험요인 소멸 후 개방),cbs,동작구,목,,"[('예상되어 주요 등산로를 10', 0.5904)]"
2023/07/30 18:44:21,148,서울특별시 동작구,200379,"동작을 비롯한 서남부 호우 주의보로 상습침수 지역은 침수에 유의해주시고 도림천, 등산로 등 범람 위험이나 산사태 위험이 있는 지역으로 외출자제 바람",cbs,동작구,,,"[('도림천 등산로 범람', 0.7607)]"
2023/07/22 23:11:12,148,서울특별시 동작구,199403,"오늘 밤~내일 새벽 사이 폭우가 예상되니 도림천 범람지역, 서달산 등산로 등 산사태 우려 지역 출입을 자제하고, 침수 피해 예방에 유의하기 바랍니다.",cbs,동작구,,,"[('지역 출입을 자제하고 침수', 0.6763)]"
2023/07/13 19:40:11,148,서울특별시 동작구,197146,"오늘 저녁부터 내일 오전까지 많은 비가 예상됩니다. 도림천 출입을 전면 통제중이며, 주민들께서는 폭우에 대비하여 안전에 만전을 기해주시기 바랍니다.",cbs,동작구,,,"[('출입을 전면', 0.6335)]"
2023/07/13 11:28:48,148,서울특별시 동작구,197048,"13일 오전부터 14일 오후까지 동작구 일대 많은 비가 예상됩니다. 도림천, 등산로 및 산책로 등 출입 자제, 침수대비에 만전을 기해주시기 바랍니다.",cbs,동작구,,,"[('14일 오후까지', 0.5641)]"
2023/07/11 15:51:59,148,서울특별시 동작구,196838,집중호우로 인해 침수취약지역에 대한 대비가 필요한 상황입니다. 차수판 가동 및 외출자제 등 피해를 예방할 수 있도록 각별히 주의해 주시기 바랍니다.,cbs,동작구,,,"[('각별히 주의해', 0.5742)]"
2023/07/04 20:50:03,148,서울특별시 동작구,196480,"오늘 밤부터 내일 오전까지 많은 비가 예상됩니다. 도림천 출입을 전면 통제 중이며, 주민들께서는 폭우에 대비하여 안전에 만전을 기해주시기 바랍니다.",cbs,동작구,,,"[('밤부터 내일 오전까지 많은', 0.6267)]"
2023/01/20 20:14:59,148,서울특별시 동작구,191091,"연휴기간에 영하의 날씨가 계속되겠습니다. 외출시 목도리, 장갑 등 보온 유의하시고 수도개량기 동파 사고 및 온열기 화재예방에 주의 바랍니다.",cbs,동작구,,,"[('유의하시고 수도개량기', 0.6092)]"
2022/12/18 17:51:00,148,서울특별시 동작구,185884,"영하권 날씨 지속으로 야외활동 자제, 난방과 온도관리 유의 및 수도계량기 보일러 등 동파에 유의하시기 바랍니다.",cbs,동작구,,,"[('수도계량기 보일러 동파에 유의하시기', 0.5234)]"
2022/12/16 19:30:33,148,서울특별시 동작구,185494,"주말내내 강한 추위가 예상되니 외출 시 방한용품 착용(가급적 외출 자제), 계량기 동파ㆍ난방사고ㆍ빙판길 미끄럼 사고에 유의하시기 바랍니다.",cbs,동작구,가급적 외출 자제,,"[('추위가 예상되니 외출 방한용품', 0.548)]"
