create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/20 07:05:14,149,서울특별시 마포구,206878,"금일 06:41경 서울시 마포구 도화동 317 음식점화 화재 발생, 검은 연기 다량 외부 분출중이니 인근 주민께서는 마포초등학교로 대피바랍니다.",cbs,마포구청,,,"[('주민께서는 마포초등학교로 대피바랍니다', 0.6407)]"
2023/11/12 18:13:08,149,서울특별시 마포구,206699,금일 16:50 경 아현역 인근 세민하이파크(아현동 331-7)에서 화재로 연기 발생 중이니 인근 주민께서는 안전에 유의하시기 바랍니다.,cbs,마포구청,아현동 331-7,,"[('아현동 331 에서', 0.626)]"
2023/09/14 15:56:01,149,서울특별시 마포구,205098,금일 15:28경 서울시 마포구 상암동 1548-1 청소 차고지 내 화재로 다량 연기 발생 중. 인근 주민께서는 안전에 유의하시기 바랍니다.,cbs,마포구청,,,"[('28경 서울시', 0.4955)]"
2023/08/09 16:03:19,149,서울특별시 마포구,202060,금일 북상중인 태풍 카눈으로 인해 17시부터 기상특보 해제시까지 관내 등산로를 전면 통제합니다. 인근 주민 및 등산객께서는 안전에 유의바랍니다.,cbs,마포구청,,,"[('관내 등산로를 전면', 0.6181)]"
2023/08/06 15:38:05,149,서울특별시 마포구,201481,금일 현재 마포구 지역의 고온의 날씨로 낮시간에는 가급적 야외활동을 자제해 주시고 충분한 물을 마시기 바랍니다.,cbs,마포구청,,,"[('충분한 물을', 0.5767)]"
2023/07/30 20:03:15,149,서울특별시 마포구,200403,"19시경 서울지역 국지성 호우로 많은 비가 내리고 있으니, 가급적 외출 자제 및 하천 주변 출입금지 등 안전에 유의하시기 바랍니다.",cbs,마포구청,,,"[('국지성 호우로 많은', 0.7114)]"
2023/07/14 00:39:45,149,서울특별시 마포구,197207,금일 호우경보로 아침까지 많은 비가 예상되오니 하천출입을 금지하고 반지하주택에서는 하수구 역류나 바닥에 물이 차면 즉시 지상으로 대피해 주세요.,cbs,마포구청,,,"[('바닥에 물이 차면 즉시', 0.7148)]"
2023/01/24 18:25:52,149,서울특별시 마포구,191713,"현재 서울전역 한파경보 발효중. 가급적 야외활동 자제 및 보온 유지 바라며 계량기 동파, 미끄럼 화재예방 등 안전에 주의하시기 바랍니다.",cbs,마포구청,,,"[('자제 보온 유지 바라며', 0.7263)]"
2023/01/23 12:52:28,149,서울특별시 마포구,191387,"금일21시 한파경보 발효, 최저 -17 체감온도 -25 강추위 예상, 노약자 야외활동 자제, 동파 방지, 온열기 화재 등 안전에 유의하시기 바랍니다",cbs,마포구청,,,"[('자제 동파 방지', 0.5529)]"
2022/11/24 20:13:34,149,서울특별시 마포구,182235,금일 22:00 월드컵 거리응원 시 많은 인파가 밀집되는 장소 방문을 자제해 주시고 안전 사고 예방에 각별히 주의해 주시기 바랍니다.,cbs,마포구청,,,"[('월드컵 거리응원', 0.6495)]"
2022/10/30 09:43:02,149,서울특별시 마포구,178852,"이태원 할로윈 압사사고 관련, 홍대 앞 할로윈행사가 긴급 취소되었습니다. 안전에 각별히 유의하시고, 관련 부상자 발견 시 즉시 구청으로 연락바랍니다.",cbs,마포구청,,,"[('발견 즉시 구청으로', 0.7645)]"
2022/09/05 18:44:01,149,서울특별시 마포구,171320,"태풍 북상에 따라 강풍이 예상되오니, 주택 및 상가 앞 간판 등 위험물, 낙하물 등은 미리 조치하여 안전사고 예방에 유의하여 주시기 바랍니다.",cbs,마포구청,,,"[('주택 상가 간판', 0.6797)]"
2022/09/04 17:15:13,149,서울특별시 마포구,170916,"태풍의 영향으로 폭우와 돌풍이 예상되오니, 날아갈 위험이 있는 간판, 가림막 등은 고정해 주시고, 하수구나 배수구를 점검하여 안전사고에 유의바랍니다.",cbs,마포구청,,,"[('간판 가림막 등은', 0.6492)]"
