create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/10/29 10:28:08,187,전라남도 목포시,206348,"10월29일~10월31일(오후 13시~18시) 바닷물 수위가 최고 4.9m 이상 상승이 예상되니, 해안가 주차차량 이동 등 피해가 없도록 대비하시기바랍니",cbs,목포시,오후 13시~18시,,"[('이상 상승이 예상되니 해안가', 0.4794)]"
2023/10/01 10:12:16,187,전라남도 목포시,205811,대조기인 10월1일~10월2일(오후2시~7시) 바닷물 수위가 최고 5m 이상 상승이 예상되니 해안가 주차차량 이동 등 피해가 없도록 대비하시기 바랍니다,cbs,목포시,오후2시~7시,,"[('이상 상승이', 0.4666)]"
2023/09/30 10:13:40,187,전라남도 목포시,205801,대조기인 10월1일~10월2일(오후2시~7시) 바닷물 수위가 최고 5m 이상 상승이 예상되니 해안가 주차차량 이동 등 피해가 없도록 대비하시기 바랍니다.,cbs,목포시,오후2시~7시,,"[('오후2시 7시 바닷물', 0.4659)]"
2023/09/27 21:51:47,187,전라남도 목포시,205766,"9.27(수)19:50분경 함평군 학교면 상수관 파손, 원수공급 중단되어 낮은 수압으로 탁수(녹물등)가 발생할 수 있으니 물을 받아 사용 바랍니다.",cbs,목포시,수,,"[('있으니 물을 받아 사용', 0.6205)]"
2023/09/16 14:18:04,187,전라남도 목포시,205205,"호우주의보 발효로 많은 비가 예상 됩니다. 조위 및 하천 수위 상승으로 수변공원, 삼향천 산책로, 출입을 전면 차단하오니, 위험지역 출입을 삼가바랍니다",cbs,목포시,,,"[('조위 하천 수위 상승으로', 0.6631)]"
2023/09/16 12:39:09,187,전라남도 목포시,205185,"우리지역에 호우주의보 발효 중/ 내일까지 강하고 많은 비 예상/ 해안가, 저지대 집중호우로 인한 피해우려가 있으니, 사전 대비를 철저히 하시기 바랍니다",cbs,목포시,,,"[('호우주의보 발효 내일까지 강하고', 0.7386)]"
2023/09/07 12:06:23,187,전라남도 목포시,204960,오늘 11:13분경 목포시 옥암동750 재활용센터에서 화재 발생으로 많은 연기가 발생중. 인근 주민은 외출을 자제하는 등 안전사고 발생에 유의 바랍니다,cbs,목포시,,,"[('발생중 인근 주민은', 0.4582)]"
2023/08/23 15:20:08,187,전라남도 목포시,204225,"국지성 호우로 하천수위가 상승되어, 수변공원, 삼향천 산책로 출입을 전면 차단하오니, 위험지역 출입을 삼가하여 주시기 바랍니다.",cbs,목포시,,,"[('위험지역 출입을', 0.6733)]"
2023/08/10 07:32:08,187,전라남도 목포시,202385,목포시 태풍주의보 발효 중으로 강풍 예상 ▲외출자제 ▲출근시간대 안전운전 ▲재난방송 청취 등 안전에 각별히 유의하시기 바랍니다.,cbs,목포시,,,"[('각별히 유의하시기 바랍니다', 0.7123)]"
2023/08/09 15:31:02,187,전라남도 목포시,202036,"제6호 태풍 카눈 북상 ▲9일~10일 강풍과 많은 비 예상 ▲해안가 주차된 차량 이동 주차 ▲강풍 대비 간판, 창문은 미리 고정해 주시기 바랍니다.",cbs,목포시,,,"[('카눈 북상 9일 10일', 0.6677)]"
2023/08/09 09:59:41,187,전라남도 목포시,201868,제6호 태풍 카눈 북상 ▲9일~10일 강풍과 많은비 예상 ▲선박 및 시설물 결박 ▲집 주변 배수로 정비 ▲바람에 날릴수 있는 물건은 옮겨주시기 바랍니다,cbs,목포시,,,"[('정비 바람에 날릴수', 0.6177)]"
