create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/06 17:04:20,187,전라남도 목포시,206568,내일까지 강풍이 지속될 예정. ▲낙하물에 주의하시고 간판 등 부착물 고정 ▲선박 결박 등 시설물 피해에 주의 바랍니다.,cbs,목포시청,,,"[('낙하물에 주의하시고', 0.6851)]"
2023/11/06 09:18:55,187,전라남도 목포시,206529,강풍주의보 발효중 ▲간판 등 낙하물과 공사장 등 위험지역 접근금지 ▲야외활동 자제 등 안전에 유의하시기 바랍니다.,cbs,목포시청,,,"[('위험지역 접근금지 야외활동 자제', 0.573)]"
2023/08/08 11:03:41,187,전라남도 목포시,201702,"폭염경보 지속 발효중▲낮 시간 외출 및 야외활동 자제(논, 공사장 등)▲폭염안전수칙(물,그늘,휴식) 준수▲무더위쉼터 이용 등 안전관리에 유의 바랍니다",cbs,목포시청,"논, 공사장 등",,"[('지속 발효중', 0.6677)]"
2023/08/07 10:23:20,187,전라남도 목포시,201539,"폭염경보 발효중, 온열질환 다수발생, 야외활동자제, 1인 야외작업 매우위험, 무더위쉼터이용, 폭염안전수칙(물,그늘,휴식) 준수 건강관리에 유의바랍니다",cbs,목포시청,"물,그늘,휴식",,"[('발효중 온열질환 다수발생', 0.6291)]"
2023/08/06 14:00:20,187,전라남도 목포시,201446,"폭염경보 지속중입니다. ▲낮 시간대 야외활동 및 작업을 자제 ▲충분한 수분섭취, ▲모자나 양산 사용 등 온열질환에 대비하시기 바랍니다.",cbs,목포시청,,,"[('모자나 양산', 0.6019)]"
2023/08/06 12:00:10,187,전라남도 목포시,201406,"폭염경보 지속중입니다. ▲낮 시간대 야외활동 및 작업을 자제 ▲충분한 수분섭취, ▲모자나 양산 사용 등 온열질환에 대비하시기 바랍니다.",cbs,목포시청,,,"[('모자나 양산', 0.6019)]"
2023/08/06 10:07:08,187,전라남도 목포시,201355,"폭염경보 지속중입니다. ▲낮 시간대 야외활동 및 작업을 자제 ▲충분한 수분섭취, ▲모자나 양산 사용 등 온열질환에 대비하시기 바랍니다.",cbs,목포시청,,,"[('모자나 양산', 0.6019)]"
2023/07/03 15:44:35,187,전라남도 목포시,196387,"대조기인 7월4일~8일(새벽2시~7시) 바닷물 수위가 최고 5.1M 이상 상승 예상되오니, 해안가 주차차량 이동 등 피해가 없도록 대비하시기 바랍니다",cbs,목포시청,새벽2시~7시,,"[('7시 바닷물 수위가', 0.4829)]"
2023/02/13 17:03:04,187,전라남도 목포시,192996,"버스회사 가스 연료비 미납으로 운행 중단되었던 시내버스가, 오는 2월 14일(화) 05시부터 시내 / 좌석버스 전노선이 정상 운행됨을 알려드립니다.",cbs,목포시청,화,,"[('중단되었던 시내버스가', 0.6552)]"
2023/01/24 13:44:53,187,전라남도 목포시,191648,"대설·한파주의보 발효중, 추위를 동반한 많은 눈 예상, 도로 결빙과 미끄럼 안전사고에 주의하시고, 수도관 동파방지 등 시설물관리에 유의바랍니다.",cbs,목포시청,,,"[('예상 도로 결빙과', 0.7251)]"
