create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/03/06 13:21:26,188,전라남도 무안군,193312,오늘 11:51분경 무안군 몽탄면 청용리 산불 발생. 입산을 자제하고 인근 주민과 등산객은 안전사고 발생에 주의하시기 바랍니다.,cbs,무안군청,,,"[('자제하고 인근 주민과 등산객은', 0.4799)]"
2023/01/24 10:54:04,188,전라남도 무안군,191611,"대설·강풍주의보 발효 중 추위를 동반한 많은 눈이 예상 도로 결빙과 교통혼잡, 미끄럼 안전사고에 주의. 수도관 동파방지 등 시설물 관리에 유의바람.",cbs,무안군청,,,"[('결빙과 교통혼잡', 0.7205)]"
2022/12/22 19:32:10,188,전라남도 무안군,186755,"목포IC-죽림JC 구간 교통통제 상황해제, 정상운행 가능합니다.",cbs,무안군청,,,"[('구간 교통통제', 0.5578)]"
2022/12/22 19:01:14,188,전라남도 무안군,186748,목포IC-죽림JC 구간 덤프트럭 고장으로 남악진입차량이 정체됨으로 목포IC로 진입하지 마시고 우회하시기 바랍니다.,cbs,무안군청,,,"[('덤프트럭 고장으로 남악진입차량이 정체됨으로', 0.7216)]"
2022/09/03 14:26:25,188,전라남도 무안군,170661,"태풍""힌남노"" 역대급 강풍·호우 피해가 예상됨. 농축산시설물 안전점검/배수로 정비/어선인양/낙과 예방/외출자제 등 사전대비 및 안전에 유의바랍니다.",cbs,무안군청,,,"[('낙과 예방 외출자제', 0.5178)]"
2022/08/11 10:58:18,188,전라남도 무안군,167453,▲50세 이상/18세 이상 기저질환자·면역저하자/감염취약시설 입원·입소·종사자중 3차접종 완료자는 4차접종 바랍니다 ▲여름철 생활방역수칙 준수,cbs,무안군청,,50세,"[('기저질환자 면역저하자 감염취약시설', 0.7085)]"
2022/05/06 08:21:55,188,전라남도 무안군,154999,"5.5.(목) 24시기준 확진자 58명발생(확진자접촉16,유증상23,타지역19) ▲생활속 자가방역 3대원칙(아프면쉬기, 마스크쓰기, 하루3번 환기)",cbs,무안군청,목,,"[('타지역19 생활속', 0.5062)]"
2022/05/05 08:29:15,188,전라남도 무안군,154864,"5.4.(수) 24시기준 확진자 88명발생(확진자접촉20,유증상52,타지역16)▲실내마스크착용 및 개인방역수칙 준수바랍니다.",cbs,무안군청,수,,"[('개인방역수칙 준수바랍니다', 0.3917)]"
2022/05/04 08:25:09,188,전라남도 무안군,154728,"5.3.(화) 24시기준 확진자 117명발생(확진자접촉16, 유증상76, 타지역25) ▲코로나19 예방접종 참여와 개인방역수칙 준수 바랍니다.",cbs,무안군청,화,,"[('예방접종 참여와 개인방역수칙', 0.4902)]"
2022/05/03 08:20:18,188,전라남도 무안군,154586,"5.2.(월) 24시기준 확진자 100명발생(확진자접촉5,유증상83,타지역12) ▲코로나19 추가접종▲실내마스크착용 등 개인방역수칙 준수바랍니다.",cbs,무안군청,월,,"[('코로나19 추가접종 실내마스크착용 개인방역수칙', 0.3994)]"
2022/05/02 08:26:29,188,전라남도 무안군,154444,"5.1.(일) 24시기준 확진자 48명발생(확진자접촉12,유증상28,타지역8)▲실내전체 및 50인이상 실외집회,공연 등 관람 시 마스크착용 의무유지",cbs,무안군청,일,,"[('유증상28 타지역8 실내전체', 0.5251)]"
2022/05/01 08:40:09,188,전라남도 무안군,154314,"4.30.(토) 24시기준 확진자 95명 발생(확진자접촉16, 유증상64, 타지역15) ▲주기적 환기/마스크착용/손씻기 등 기본방역수칙 준수바랍니다.",cbs,무안군청,토,,"[('발생 확진자접촉16 유증상64', 0.5302)]"
2022/04/30 08:45:56,188,전라남도 무안군,154183,"4.29.(금) 24시기준 확진자 110명 발생(확진자접촉19, 유증상62, 타지역29) ▲실내·외 마스크 착용 유지 등 기본방역수칙 준수 바랍니다.",cbs,무안군청,금,,"[('확진자접촉19 유증상62 타지역29', 0.5727)]"
2022/04/29 08:22:10,188,전라남도 무안군,154043,"4.28.(목) 24시기준 확진자 90명 발생(확진자접촉21, 유증상50, 타지역19) ▲유증상자 신속항원검사▲마스크착용, 주기적환기 등 개인방역준수",cbs,무안군청,목,,"[('28 24시기준', 0.5736)]"
2022/04/28 08:30:04,188,전라남도 무안군,153898,"4.27.(수) 24시기준 확진자 127명 발생(확진자접촉36, 유증상64, 타지역27) ▲마스크착용, 주기적환기 등 개인 방역수칙 준수바랍니다.",cbs,무안군청,수,,"[('타지역27 마스크착용', 0.5476)]"
2022/04/27 08:24:01,188,전라남도 무안군,153761,"4.26.(화) 24시기준 확진자 192명 발생(확진자접촉46, 유증상110, 타지역36) ▲마스크착용, 주기적 환기 등 기본방역수칙 준수바랍니다.",cbs,무안군청,화,,"[('확진자접촉46 유증상110 타지역36', 0.5047)]"
2022/04/26 08:24:16,188,전라남도 무안군,153630,"4.25.(월) 24시 기준 확진자 122명 발생(확진자접촉30, 유증상66, 타지역26) ▲실내·외 마스크 착용 유지 등 기본방역수칙 준수바랍니다.",cbs,무안군청,월,,"[('24시 기준', 0.5042)]"
