create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/08/30 09:28:30,207,전라북도 무주군,204627,산사태 중기예보시스템 예측에 따른 산사태 주의보 발령 중. 위기징후 발생 시 취약지역 주민들은 마을회관 등 대피소로 긴급대피 바랍니다.,cbs,무주군,,,"[('마을회관 대피소로 긴급대피', 0.694)]"
2023/08/20 17:54:08,207,전라북도 무주군,203835,오늘 17:35 호우주의보. 덕유산지역에 많은 비와 낙뢰가 예상되오니 하천 및 산간계곡 이용객은 각별히 안전에 주의하시기 바랍니다.,cbs,무주군,,,"[('호우주의보 덕유산지역에', 0.5611)]"
2023/08/10 11:10:58,207,전라북도 무주군,202666,"무주군 남대천 취수장 지점 홍수주의보 발령, 하천변 출입을 자제해주시기 바랍니다.",cbs,무주군,,,"[('무주군 남대천 취수장', 0.68)]"
2023/08/10 07:33:08,207,전라북도 무주군,202387,산사태 중기예보시스템 예측에 따른 산사태 주의보 발령 중. 위기 징후 발생 시 취약지역 주민들은 마을회관 등 대피소로 긴급 대피 바랍니다.,cbs,무주군,,,"[('발령 위기 징후', 0.6989)]"
2023/08/10 07:03:15,207,전라북도 무주군,202342,"태풍 경보 발효 중입니다. 강한 바람과 많은 비가 예상되오니, 낙하물 주의 및 침수, 산사태 등 위험지역에서는 대피명령 시 즉시 대피하시기 바랍니다.",cbs,무주군,,,"[('주의 침수 산사태', 0.6574)]"
2023/08/09 08:00:51,207,전라북도 무주군,201823,"현재 태풍 카눈 북상 중. 강풍에 취약한 창문·농업시설물을 고정해주시고 많은 비가 예상되니 하천변, 산사태 우려지역 접근금지 등 안전에 유의바랍니다.",cbs,무주군,,,"[('창문 농업시설물을 고정해주시고 많은', 0.6571)]"
2023/08/06 11:02:38,207,전라북도 무주군,201388,연일 35도 내외의 폭염이 지속되고 있습니다. 낮 시간대에 어르신들께서 혼자 외출하시는 일이 없도록 가족과 이웃분들의 적극적인 도움과 안내를 부탁드립니다,cbs,무주군,,,"[('연일 35도 내외의 폭염이', 0.6953)]"
2023/08/05 11:36:08,207,전라북도 무주군,201216,연일 35도 내외의 폭염이 지속되고 있습니다. 낮 시간대에 어르신들께서 혼자 외출하시는 일이 없도록 가족과 이웃분들의 적극적인 안내를 부탁드립니다.,cbs,무주군,,,"[('연일 35도', 0.671)]"
2023/08/04 12:58:48,207,전라북도 무주군,201052,"연일 폭염이 지속되고 있습니다. 낮시간 무리한 논밭·야외작업을 자제해주시고 충분한 수분섭취와 휴식, 양산사용 등 건강관리에 유의하시기 바랍니다.",cbs,무주군,,,"[('연일 폭염이 지속되고', 0.6747)]"
2023/08/02 12:38:13,207,전라북도 무주군,200762,"연일 폭염이 지속되고, 온열질환자 발생 가능성이 높으니 낮시간에는 논밭·야외작업을 자제해주시고 충분한 물섭취, 휴식 등 건강관리에 유의하시기 바랍니다.",cbs,무주군,,,"[('야외작업을 자제해주시고 충분한', 0.7238)]"
2023/07/31 11:14:03,207,전라북도 무주군,200459,"무주군 폭염경보 발효 중입니다. 농경 및 야외 작업을 자제하시고, 폭염 안전수칙(충분한 수분섭취, 휴식)을 준수하여 건강관리에 유의하시기 바랍니다.",cbs,무주군,"충분한 수분섭취, 휴식",,"[('폭염 안전수칙 충분한', 0.6555)]"
2023/07/30 11:52:54,207,전라북도 무주군,200297,"폭염 특보 발효 중 온열질환 발생 가능성이 높으니 고령 농업인 및 옥외 노동자 등의 야외활동 자제, 수분 섭취 및 휴식 등으로 건강에 유의바랍니다.",cbs,무주군,,,"[('섭취 휴식 등으로 건강에', 0.6601)]"
2023/07/21 18:39:15,207,전라북도 무주군,199164,"최근 울산, 대전 등에서 해외우편물 개봉으로 피해 사례가 발생, 출처가 불분명한 해외우편물은 열지 마시고 112나 119에 즉시 신고하시기 바랍니다.",cbs,무주군,,,"[('개봉으로 피해 사례가 발생', 0.6967)]"
2023/07/18 20:01:10,207,전라북도 무주군,198839,산사태 중기예보시스템 예측에 따른 산사태 주의보 발령 중. 위기징후 발생 시 취약지역 주민들은 마을회관 등 대피소로 긴급대피 바랍니다.,cbs,무주군,,,"[('마을회관 대피소로 긴급대피', 0.694)]"
2023/07/18 14:59:22,207,전라북도 무주군,198684,산사태 중기예보시스템 예측에 따른 산사태 주의보 발령 중. 위기징후 발생 시 취약지역 주민들은 마을회관 등 대피소로 긴급대피 바랍니다.,cbs,무주군,,,"[('마을회관 대피소로 긴급대피', 0.694)]"
2023/07/17 18:59:11,207,전라북도 무주군,198469,오늘 19시 무주군 전역에 산사태 주의보 발령. 위기징후 발생시 취약지역 주민들은 마을회관 등 대피장소나 안전지대로 반드시 대피 바랍니다.,cbs,무주군,,,"[('무주군 전역에 산사태', 0.6837)]"
2023/07/16 06:46:59,207,전라북도 무주군,198160,"오늘 16일 09:00분부터 용담댐 초당 500톤 이내 수문방류 실시로 하천수위 상승예상, 하천 주변에 계신 경우 안전한 곳으로 대피바랍니다.",cbs,무주군,,,"[('오늘 16일', 0.6357)]"
2023/07/14 17:03:50,207,전라북도 무주군,197492,오늘 14일 18시00분부터 용담댐 초당 300톤 이내 수문방류 실시로 하천수위 상승예상. 하천주변에 계신 경우 안전한 곳으로 대피 바랍니다.,cbs,무주군,,,"[('경우 안전한 곳으로', 0.573)]"
2023/07/13 11:16:02,207,전라북도 무주군,197042,"오늘 10:00분 호우주의보 발효. 하천산책로, 급경사지 등 위험지역 출입금지 및 반지하,저지대,산사태 위험지역 인근주민은 주의하여 주시기 바랍니다.",cbs,무주군,,,"[('호우주의보 발효 하천산책로', 0.6601)]"
2023/06/30 09:09:36,207,전라북도 무주군,196225,6.29.(목) 18:00분에 발효되었던 무주군 호우주의보가 30일(금) 09:00분부로 해제되었음을 알려드립니다.,cbs,무주군,목,,"[('29 18 00분에 발효되었던', 0.528)]"
2023/06/29 18:02:09,207,전라북도 무주군,196167,"금일 18:00분부로 무주군 호우주의보 발효. 저지대, 침수우려지역, 산사태 우려지역, 위험지역 접근금지 등 안전에 유의바랍니다",cbs,무주군,,,"[('무주군 호우주의보', 0.7432)]"
2023/06/28 05:19:05,207,전라북도 무주군,196039,"금일(28일) 현재 강우를 동반한 낙뢰가 발생하고 있으니 등산, 골프 등 야외활동을 자제하여 주시기 바랍니다.",cbs,무주군,28일,,"[('자제하여 주시기 바랍니다', 0.6721)]"
2023/06/28 05:14:00,207,전라북도 무주군,196038,"금일(28일) 현재 강우를 동반한 낙뢰가 발생하고 있으니 등산, 골프 등 야외활동을 자제하여 주기시 바랍니다.",cbs,무주군,28일,,"[('발생하고 있으니', 0.6665)]"
2023/06/11 13:18:38,207,전라북도 무주군,195511,"오늘 오후부터 밤사이 우리지역에 소나기,돌풍,천둥,번개와 우박예보가 있습니다. 특히, 낙뢰에 주의하여 주시고 피해예방에 만전을 기해 주시기 바랍니다.",cbs,무주군,,,"[('천둥 번개와 우박예보가 있습니다', 0.6133)]"
2023/05/29 08:49:26,207,전라북도 무주군,195262,"금일 02:40분부로 무주군 호우주의보 발효 중 저지대, 침수 우려지역 등 위험지역에서는 안전한 곳으로 대피하시기 바랍니다.",cbs,무주군,,,"[('침수 우려지역', 0.7363)]"
2023/03/12 15:31:10,207,전라북도 무주군,193481,"오늘 21시 무주군 한파주의보 발효. 가급적 외출을 삼가시고, 빙판길 미끄럼 사고, 수도관 동파 등에 주의하시기 바랍니다.",cbs,무주군,,,"[('주의하시기 바랍니다', 0.6716)]"
2023/02/10 07:16:21,207,전라북도 무주군,192881,2.9.(목) 23:10분에 발효되었던 무주군 대설주의보가 10일(금) 07:00분부로 해제되었음을 알려드립니다.,cbs,무주군,목,,"[('23 10분에 발효되었던', 0.5403)]"
2023/02/02 10:06:50,207,전라북도 무주군,192545,2월 1일(수) 21:00분에 발효되었던 무주군 한파주의보가 2일(목) 10:00분부로 해제되었음을 알려드립니다.,cbs,무주군,수,,"[('00분부로 해제되었음을', 0.5614)]"
2023/02/01 20:04:57,207,전라북도 무주군,192522,금일 21시부터 무주군 한파주의보 발효 ▲수도관 동파예방▲방한용품 착용 ▲농작물 피해에 유의하시기 바랍니다.,cbs,무주군,,,"[('한파주의보 발효 수도관 동파예방', 0.7292)]"
2023/01/26 20:45:55,207,전라북도 무주군,191996,"오늘(26일) 밤부터 내일 새벽까지 1cm내외의 눈이 예상되며 추운 날씨로 인해 도로결빙이 우려되오니 대중교통 이용, 미끄럼 사고에 주의 바랍니다.",cbs,무주군,26일,,"[('내일 새벽까지 1cm내외의 눈이', 0.5623)]"
2023/01/26 10:58:13,207,전라북도 무주군,191943,기 발효되었던 무주군 한파주의보가 26일(목) 10:30분부로 해제되었음을 알려드립니다.,cbs,무주군,목,,"[('26일 10', 0.5331)]"
2023/01/23 13:49:06,207,전라북도 무주군,191396,금일 21:00분부터 무주군 한파경보 발효 예정 ▲농작물 재해방지 ▲동파사고 예방을 위한 물 틀어놓기 및 수도관 보온조치를 실시하여 주시기 바랍니다.,cbs,무주군,,,"[('발효 예정 농작물 재해방지', 0.7447)]"
