create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/02/02 11:08:40,207,전라북도 무주군,192557,"2.2(목)신규확진자 11명 발생▲1.30부터 실내마스크 착용 권고(단, 의료기관,약국,대중교통,입소형감염취약시설 의무)▲재난문자 확진자수 안내 중단",cbs,무주군청,목,,"[('의료기관 약국 대중교통 입소형감염취약시설', 0.608)]"
2023/02/01 11:09:02,207,전라북도 무주군,192492,"2.1(수) 신규 확진자 8명 발생(~12,497번)▲1.30부터 실내마스크 착용 권고(단, 의료기관,약국,대중교통,입소형감염취약시설 의무)",cbs,무주군청,수,,"[('신규 확진자 8명 발생', 0.5314)]"
2023/01/31 11:08:18,207,전라북도 무주군,192414,"1.31.(화) 신규 확진자 12명 발생(관내 11 관외 1)(~12,489번)▶ 코로나19 동절기 추가 접종 참여바랍니다.",cbs,무주군청,화,,"[('신규 확진자 12명', 0.5771)]"
2023/01/30 11:05:51,207,전라북도 무주군,192348,"1.30.(월) 신규 확진자 5명 발생(관내 5 관외 )(~12,477번)▶ 코로나19 동절기 추가 접종 참여바랍니다.",cbs,무주군청,월,,"[('5명 발생', 0.5168)]"
2023/01/29 10:51:11,207,전라북도 무주군,192262,"1.29(일) 신규 확진자 5명 발생(관내 5)(~12,472번)▶코로나19 동절기 추가 접종 참여바랍니다.",cbs,무주군청,일,,"[('5명 발생', 0.6244)]"
2023/01/28 10:16:31,207,전라북도 무주군,192180,"1.28(토) 신규 확진자 10명 발생(관내 7 관외 3)(~12,467번)▶코로나19 동절기 추가 접종 참여바랍니다.",cbs,무주군청,토,,"[('467번 코로나19 동절기', 0.6228)]"
2023/01/27 11:01:15,207,전라북도 무주군,192070,"1.27.(금) 신규 확진자 6명 발생(관내 5 관외 1)(~12,457번)▶ 코로나19 동절기 추가 접종 참여바랍니다.",cbs,무주군청,금,,"[('추가 접종 참여바랍니다', 0.5645)]"
2023/01/26 11:02:21,207,전라북도 무주군,191948,"1.26(목) 신규 확진자 5명 발생(관내 5 관외 0)(~12,451번)▶코로나19 동절기 추가 접종 참여바랍니다.",cbs,무주군청,목,,"[('451번 코로나19 동절기 추가', 0.6318)]"
2023/01/25 14:00:10,207,전라북도 무주군,191818,무주군 25일(수) 14:00분부로 기존 한파경보에서 한파주의보로 변경되었음을 알려드립니다.,cbs,무주군청,수,,"[('변경되었음을 알려드립니다', 0.575)]"
2023/01/25 11:00:25,207,전라북도 무주군,191809,"1.25(수) 신규 확진자 7명 발생(관내 3 관외 4)(~12,446번)▶코로나19 동절기 추가 접종 참여바랍니다.",cbs,무주군청,수,,"[('7명 발생', 0.5642)]"
