create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/10/06 17:36:59,"10671,10683","경상북도 문경시,경상북도 문경시",205897,현재 중부고속도로 진남터널 인근 창고에서 화재 발생하여 인근에 연기가 치솟고 있으니 고속도로 이용에 주의하여 주시기 바랍니다.,cbs,문경시,,,"[('발생하여 인근에 연기가', 0.6915)]"
2023/09/20 23:18:06,81,경상북도 문경시,205588,"현재 문경시 산사태 주의보 발령 중. 산림주변 위험지역 접근 금지 및 유사시 대피장소(마을회관, 학교 등)나 안전지대로 반드시 대피 바랍니다.",cbs,문경시,"마을회관, 학교 등",,"[('마을회관 학교 안전지대로', 0.7382)]"
2023/09/20 20:33:38,81,경상북도 문경시,205539,"금일 20:29 문경시 산사태 주의보 발령. 산림주변 위험지역 접근 금지 및 유사시 대피장소(마을회관, 학교 등)나 안전지대로 반드시 대피 바랍니다.",cbs,문경시,"마을회관, 학교 등",,"[('발령 산림주변', 0.6845)]"
2023/09/20 19:41:27,81,경상북도 문경시,205508,"많은비가 예상되오니 하천변, 저지대 침수지역, 산림주변 등 접근을 삼가하여 주시고 인근 주민들께서는 위험상황 확인시 즉시 대피하여 주시기 바랍니다.",cbs,문경시,,,"[('즉시 대피하여', 0.738)]"
2023/09/16 17:47:20,81,경상북도 문경시,205240,"현재 많은 비로 하천 수위 상승 및 산사태 위험이 있으니 하천변, 급경사지, 산간계곡 등 위험한 지역에 계신 주민은 안전한 곳으로 즉시 대피 바랍니다.",cbs,문경시,,,"[('계신 주민은 안전한 곳으로', 0.7162)]"
2023/08/30 13:11:05,81,경상북도 문경시,204656,"관내 호우주의보 발효중. 야외활동 및 외출자제, 하천변·저지대·산사태 우려지역 등 접근금지, 위험징후 발견 시 마을회관 등 안전한 곳으로 대피 바랍니다.",cbs,문경시,,,"[('하천변 저지대', 0.6728)]"
2023/08/20 17:15:32,81,경상북도 문경시,203830,"우리시에 집중호우가 예상되니 하천변,산간·계곡,물놀이지역 등 야영객들은 안전에 유의하시고 위험징후 발견시 가까운 마을회관으로 대피하여 주시기 바랍니다.",cbs,문경시,,,"[('가까운 마을회관으로 대피하여 주시기', 0.7282)]"
2023/08/20 13:06:00,81,경상북도 문경시,203783,"폭염이 지속되어 온열질환 발생 가능성이 높습니다. 야외 활동시에는 물을 자주 마시고, 낮시간동안 무리한 운동, 논밭일 등은 자제해 주시기 바랍니다.",cbs,문경시,,,"[('가능성이 높습니다', 0.7115)]"
2023/08/19 14:22:18,81,경상북도 문경시,203713,"현재 폭염주의보 발효중. 한낮 야외활동(논,밭,공사장 등)을 자제하여 주시고, 그늘에서 휴식하기, 충분한 수분섭취 등 건강관리에 유의하시기 바랍니다.",cbs,문경시,"논,밭,공사장 등",,"[('발효중 한낮 야외활동 공사장', 0.6542)]"
2023/08/17 11:51:26,81,경상북도 문경시,203518,"폭염주의보 지속 발효중. 온열질환 예방을 위해 낮시간대 야외활동 및 작업 자제, 충분한 수분 섭취와 휴식 등 건강관리에 유의하시기 바랍니다.",cbs,문경시,,,"[('폭염주의보 지속', 0.675)]"
2023/08/15 13:43:28,81,경상북도 문경시,203354,"폭염주의보가 발효중입니다. 낮 시간 야외활동 및 작업을 자제하시고, 폭염 안전 수칙(물, 그늘, 휴식) 준수 등 건강관리에 유의하시기 바랍니다.",cbs,문경시,"물, 그늘, 휴식",,"[('자제하시고 폭염 안전', 0.6535)]"
2023/08/10 23:04:50,81,경상북도 문경시,203023,"금일 23:00 산사태 주의보 해제. 지반 약화로 산림주변 위험지역 접근 금지 및 유사시 대피장소(마을회관, 학교 등)나 안전지대로 대피 바랍니다.",cbs,문경시,"마을회관, 학교 등",,"[('23 00 산사태 주의보', 0.7256)]"
