create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2022/08/08 16:21:22,171,인천광역시 미추홀구,166889,미추홀구 용현동 고속종점지하차도 침수로 인한 차량 통제가 16:10부로 전면 해제되어 차량 통행이 가능하오니 도로 이용시 참조하여 주시기 바랍니다.,cbs,미추홀구청,,,"[('용현동 고속종점지하차도 침수로', 0.6006)]"
2022/08/08 14:16:36,171,인천광역시 미추홀구,166874,"미추홀구 용현동 고속종점지하차도 침수로 인해 현재 차량 통제 중이오니, 도로 이용시 참조하여 주시기 바랍니다.",cbs,미추홀구청,,,"[('용현동 고속종점지하차도 침수로 인해', 0.6588)]"
2021/10/30 15:17:04,171,인천광역시 미추홀구,127831,"10/17(일),20(수),24(일),27(수) 주안할렐루야교회(미추홀구 구월로17) 방문자는 31(일) 오전중 거주지보건소에서 코로나19 검사바람",cbs,미추홀구청,일,,"[('20 24', 0.4969)]"
2021/10/10 15:12:58,171,인천광역시 미추홀구,125768,"10/2(토)~10/9(토) 아암대로227번길,253번길 자동차정비단지 종사자,방문자는 거주지 보건소 또는 임시선별검사소에서 코로나19검사 바랍니다.",cbs,미추홀구청,토,,"[('종사자 방문자는 거주지', 0.4729)]"
2021/09/29 11:36:11,171,인천광역시 미추홀구,124372,9/18(토)~9/27(월) 용현동 소재(독정이로40) 센스PC방 방문자는 거주지 보건소 또는 임시선별진료소에서 코로나19 검사 바랍니다.,cbs,미추홀구청,토,,"[('센스pc방 방문자는', 0.5154)]"
2021/09/29 10:15:07,171,인천광역시 미추홀구,124345,9/18(토)~9/22(수) 학익동 소재 아지트당구장(소성로248) 방문자는 거주지 보건소 또는 임시선별검사소에서 코로나19 검사 바랍니다.,cbs,미추홀구청,토,,"[('방문자는 거주지 보건소', 0.4567)]"
2021/09/16 15:02:41,171,인천광역시 미추홀구,122418,9.6~14아래주소 방문자는 거주지보건소나 임시선별진료소에서 코로나19 검사바람 blog.naver.com/tong_namgu/222507669492,cbs,미추홀구청,,,"[('blog naver com tong_namgu', 0.4038)]"
2021/09/13 17:34:33,171,인천광역시 미추홀구,122069,9.6.(월) ~ 9.12.(일) 미추홀구 토금중로13 커피먹기좋은날 방문자는 거주지 보건소 또는 임시선별진료소에서 코로나19 검사바랍니다.,cbs,미추홀구청,월,,"[('방문자는 거주지 보건소', 0.5254)]"
2021/09/06 14:51:28,171,인천광역시 미추홀구,121186,"상생국민지원금 온라인신청이 9.6.부터 출생년도끝자리기준으로 시작, 대상자는 미추홀구 홈페이지에서신청 https://www.michuhol.go.kr",cbs,미추홀구청,,,"[('출생년도끝자리기준으로 시작', 0.4476)]"
2021/08/31 14:12:10,171,인천광역시 미추홀구,120324,"8/25(수)~8/30(월) 미추홀구 경인로 502, 1층 휴대폰판매점 방문자는 거주지 보건소 또는 임시선별진료소에서 코로나19 검사바랍니다.",cbs,미추홀구청,수,,"[('502 1층', 0.4191)]"
2021/08/09 14:00:30,171,인천광역시 미추홀구,116708,8월5일 14:00~21:30 “카페글렌”] 방문자는 거주지보건소 또는 임시선별검사소에서 코로나19 검사를 받으시기 바랍니다.,cbs,미추홀구청,주안동,,"[('방문자는 거주지보건소 또는 임시선별검사소에서', 0.5923)]"
2021/08/05 13:50:23,171,인천광역시 미추홀구,116014,7.26.(월)~7.30.(금)미추홀구 용현동 토금남로에 위치한 카페똔(TTON) 방문자는 신분증 지참후 주소지보건소에서 코로나19 검사바랍니다.,cbs,미추홀구청,월,,"[('용현동 토금남로에', 0.4466)]"
2021/07/20 10:33:52,171,인천광역시 미추홀구,113538,"7월20일 10시30분 기준 코로나19 확진자 12명 발생, http://reurl.kr/198106F1CAE 참조바랍니다.",cbs,미추홀구청,,,"[('발생 http', 0.5138)]"
