create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/18 07:12:53,60,경상남도 밀양시,206831,"밀양시 눈 또는 비로 인한 도로 결빙과 추위가 예상되오니, 안전운전 및 대중교통을 이용하여 주시고 미끄럼 사고에 주의하여 주시기 바랍니다.",cbs,밀양시청,,,"[('예상되오니 안전운전 대중교통을', 0.7335)]"
2023/07/15 22:23:29,60,경상남도 밀양시,198118,"호우경보가 발효중입니다. 하천, 계곡, 저지대 인근 주민들은 안전한 곳으로 이동하시고, 축대, 옹벽붕괴, 산사태 위험에 대비하시기 바랍니다.",cbs,밀양시청,,,"[('주민들은 안전한', 0.6814)]"
2023/04/21 07:34:24,60,경상남도 밀양시,194562,"오늘 04:57분경 밀양시 상님면 연금리 한국카본 제2공장에서 화재발생하여 매연이 발생되오니, 인근 지역 주민은 야외활동을 자제하여 주시기 바랍니다.",cbs,밀양시청,,,"[('매연이 발생되오니 인근', 0.6474)]"
2023/02/17 17:01:12,60,경상남도 밀양시,193081,2월17일(금) 17시기준 확진자 38명 ▲2월18일부터 코로나19 확진자 수 문자안내 중단합니다. 앞으로는 시홈페이지를 참고해 주세요.,cbs,밀양시청,금,,"[('중단합니다 앞으로는', 0.6415)]"
2023/02/16 17:00:10,60,경상남도 밀양시,193073,2월16일(목) 17시기준 확진자 26명 ▲2월18일부터 코로나19 확진자 수 문자안내 중단합니다. 앞으로는 시홈페이지를 참고해 주세요.,cbs,밀양시청,목,,"[('2월16일 17시기준', 0.6557)]"
2023/02/15 17:01:17,60,경상남도 밀양시,193056,2월15일(수) 17시기준 확진자 34명 ▲2월18일부터 코로나19 확진자 수 문자안내 중단합니다. 앞으로는 시 홈페이지를 참고해 주세요.,cbs,밀양시청,수,,"[('17시기준 확진자 34명', 0.6665)]"
2023/02/14 16:59:47,60,경상남도 밀양시,193017,2월14일(화) 17시기준 확진자 75명 ▲2월18일부터 코로나19 확진자 수 문자안내 중단합니다. 앞으로는 시 홈페이지를 참고해 주세요.,cbs,밀양시청,화,,"[('75명 2월18일부터 코로나19 확진자', 0.6254)]"
2023/02/13 17:00:01,60,경상남도 밀양시,192995,"2월13일(월) 17시기준 확진자 50명 ▲2월부터 주말, 공휴일 선별진료소 운영은 오후 3시까지입니다.",cbs,밀양시청,월,,"[('50명 2월부터', 0.6169)]"
2023/02/12 16:59:59,60,경상남도 밀양시,192971,"2월12일(일) 17시기준 확진자 13명 ▲2월부터 주말, 공휴일 선별진료소 운영은 오후 3시까지입니다.",cbs,밀양시청,일,,"[('선별진료소 운영은 오후', 0.608)]"
2023/02/11 17:00:17,60,경상남도 밀양시,192938,"2월11일(토) 17시기준 확진자 26명 ▲2월부터 주말, 공휴일 선별진료소 운영은 오후 3시까지입니다.",cbs,밀양시청,토,,"[('26명 2월부터', 0.6314)]"
2023/02/10 17:00:33,60,경상남도 밀양시,192911,"2월10일(금) 17시기준 확진자 44명 ▲2월부터 주말, 공휴일 선별진료소 운영은 오후 3시까지입니다.",cbs,밀양시청,금,,"[('공휴일 선별진료소', 0.6093)]"
2023/02/10 06:13:55,60,경상남도 밀양시,192873,"관내 산간지 도로의 강설로 삼랑진읍,단장면 등 통제구간이 발생하고 있습니다. 출근길 차량운행 시 안전거리 확보 및 감속운행 등 안전운전 바랍니다.",cbs,밀양시청,,,"[('발생하고 있습니다 출근길', 0.6494)]"
2023/02/09 18:54:04,60,경상남도 밀양시,192856,"오늘 밤부터 눈 또는 비가 예보 되어 있습니다. 도로 결빙으로 미끄럼 사고발생 우려되니, 다음날 차량 운행 시 안전 운행하여 주시기 바랍니다.",cbs,밀양시청,,,"[('다음날 차량', 0.5842)]"
2023/02/09 17:00:04,60,경상남도 밀양시,192851,"2월9일(목) 17시기준 확진자 44명 ▲2월부터 주말, 공휴일 선별진료소 운영은 오후 3시까지입니다.",cbs,밀양시청,목,,"[('공휴일 선별진료소', 0.611)]"
2023/02/08 17:00:10,60,경상남도 밀양시,192818,"2월8일(수) 17시기준 확진자 35명 ▲2월부터 주말, 공휴일 선별진료소 운영은 오후 3시까지입니다.",cbs,밀양시청,수,,"[('공휴일 선별진료소', 0.5844)]"
2023/02/07 17:00:39,60,경상남도 밀양시,192797,"2월7일(화) 17시기준 확진자 64명 ▲2월부터 주말, 공휴일 선별진료소 운영은 오후 3시까지입니다",cbs,밀양시청,화,,"[('64명 2월부터', 0.6053)]"
2023/02/06 16:59:56,60,경상남도 밀양시,192749,"2월6일(월) 17시기준 확진자 51명 ▲2월부터 주말, 공휴일 선별진료소 운영은 오후3시 까지입니다.",cbs,밀양시청,월,,"[('선별진료소 운영은', 0.5885)]"
