create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/18 08:35:14,227,충청남도 보령시,206846,"우리 시 강풍주의보 발효중으로 비닐하우스, 간판 등을 결박하고 공사장 안전 조치, 위험시설 접근 자제, 외출 시 낙하물에 유의바랍니다.",cbs,보령시,,,"[('발효중으로 비닐하우스', 0.6672)]"
2023/11/18 08:31:38,227,충청남도 보령시,206845,밤사이 내린 눈비로 도로결빙 있어 미끄럼 사고가 우려되오니 경사로길 등 안전운전 및 보행에 유의하시기 바랍니다.,cbs,보령시,,,"[('눈비로 도로결빙', 0.7377)]"
2023/11/17 20:43:14,227,충청남도 보령시,206801,오늘밤 많은 눈과 도로 결빙이 예상되오니 ▲ 차량 감속운행 및 안전거리 유지 ▲보행자 미끄럼 사고 등 안전사고에 유의바랍니다.,cbs,보령시,,,"[('오늘밤 많은 눈과', 0.6201)]"
2023/09/20 18:07:48,"11123,11124,11125,11126,11127","충청남도 보령시,충청남도 보령시,충청남도 보령시,충청남도 보령시,충청남도 보령시",205473,많은 강우로 인한 신흑동-대천IC 일원 도로침수. 정보를 공유하고 해당도로 이용 자제 및 인근차량 이동주차 등 안전한 곳으로 대피하시기 바랍니다.,cbs,보령시,,,"[('일원 도로침수 정보를', 0.739)]"
2023/09/20 18:07:18,"11118,11119,11120,11121,11122,11133","충청남도 보령시,충청남도 보령시,충청남도 보령시,충청남도 보령시,충청남도 보령시,충청남도 보령시",205472,많은 강우로 대천천 범람이 우려됩니다. 인근 차량 이동주차 및 침수우려지역은 대피하는 등 안전관리에 협조하여 주시기 바랍니다.,cbs,보령시,,,"[('대피하는 안전관리에 협조하여 주시기', 0.7931)]"
2023/09/20 17:14:25,"11129,11130,11131,11132,11133,11138","충청남도 보령시,충청남도 보령시,충청남도 보령시,충청남도 보령시,충청남도 보령시,충청남도 보령시",205442,현재 많은비가 우려됩니다. 이웃들과 기상정보를 공유하고 저지대 침수 우려지역 및 산사태 우려지역 등 거주자분들은 안전한 곳으로 대피하시기 바랍니다.,cbs,보령시,,,"[('공유하고 저지대', 0.7611)]"
2023/09/20 14:33:29,227,충청남도 보령시,205402,돌풍·번개를 동반한 많은 비가 예상됩니다. 침수우려지역 접근을 삼가주시고 산사태 등 인명피해 우려지역 인근 주민들은 사전대피 및 안전에 유의 바랍니다.,cbs,보령시,,,"[('주민들은 사전대피 안전에', 0.7334)]"
2023/09/04 11:36:28,227,충청남도 보령시,204867,"체감온도 30도 이상. 오후시간 동안 논밭일등 야외활동 자제, 무더위쉼터에서 충분한 휴식과 물섭취 등으로 온열질환 예방에 협조 해주시기 바랍니다.",cbs,보령시,,,"[('충분한 휴식과 물섭취', 0.6876)]"
2023/08/19 10:20:35,227,충청남도 보령시,203673,"무더위가 지속되고 있습니다. 낮시간 야외활동을 자제하시고, 무더위쉼터 이용과 폭염안전수칙(물, 그늘, 휴식) 준수 등 건강 관리에 유의하시기 바랍니다.",cbs,보령시,"물, 그늘, 휴식",,"[('무더위쉼터 이용과 폭염안전수칙 그늘', 0.6757)]"
2023/08/18 15:02:12,227,충청남도 보령시,203627,"폭염 지속 중. 낮 시간대 야외 활동·작업을 자제하여 주시고, 폭염 안전수칙(물, 그늘, 휴식) 지키기 등 안전에 유의하여 주시기 바랍니다.",cbs,보령시,"물, 그늘, 휴식",,"[('지속 시간대 야외', 0.7029)]"
2023/08/18 11:12:22,227,충청남도 보령시,203596,"폭염 지속 중. 낮 시간 야외 활동을 자제하시고, 충분한 물 섭취, 무더위쉼터에서 휴식하기 등 온열질환 예방과 건강관리에 유의하여 주시기 바랍니다.",cbs,보령시,,,"[('온열질환 예방과 건강관리에', 0.7726)]"
2023/08/17 13:23:59,227,충청남도 보령시,203527,"폭염 지속중. 야외활동을 자제하고 물 충분히 마시기, 무더위쉼터 이용, 실외작업장 안전수칙(물, 그늘, 휴식) 지키기 등 준수하여 주시기 바랍니다.",cbs,보령시,"물, 그늘, 휴식",,"[('무더위쉼터 이용 실외작업장 안전수칙', 0.7123)]"
2023/08/16 13:46:06,227,충청남도 보령시,203449,"폭염 지속중. 야외활동을 자제해주시고 물 충분히 마시기, 무더위쉼터 이용, 실외작업장 안전수칙(물, 그늘, 휴식) 지키기 등 건강에 유의 바랍니다.",cbs,보령시,"물, 그늘, 휴식",,"[('휴식 지키기', 0.6729)]"
2023/08/15 14:37:49,227,충청남도 보령시,203367,"폭염주의보 발효중. 낮 시간대 야외 활동·작업을 자제하여 주시고, 폭염 안전수칙(물, 그늘, 휴식) 지키기 등 안전에 유의하여 주시기 바랍니다.",cbs,보령시,"물, 그늘, 휴식",,"[('지키기 안전에 유의하여', 0.7008)]"
2023/08/15 11:58:50,227,충청남도 보령시,203337,"폭염 지속 중. 낮 시간 야외 활동을 자제하시고, 충분한 물 섭취, 무더위쉼터에서 휴식하기 등 온열질환 예방과 건강관리에 유의하여 주시기 바랍니다.",cbs,보령시,,,"[('온열질환 예방과 건강관리에', 0.7726)]"
2023/08/14 14:41:11,227,충청남도 보령시,203262,"폭염지속에 따른 낮동안 논밭일등 야외활동 중지, 무더위쉼터에서 휴식과 충분한 물섭취, 활동시 양산쓰기 등으로 온열질환 예방에 협조 해주시기 바랍니다.",cbs,보령시,,,"[('예방에 협조 해주시기 바랍니다', 0.7554)]"
2023/08/14 10:14:45,227,충청남도 보령시,203210,"폭염주의보 발효중. 낮 시간대 야외 활동·작업을 자제하여 주시고, 폭염 안전수칙(물, 그늘, 휴식) 지키기 등 안전에 유의하여 주시기 바랍니다.",cbs,보령시,"물, 그늘, 휴식",,"[('지키기 안전에 유의하여', 0.7008)]"
2023/08/10 11:14:59,227,충청남도 보령시,202676,"태풍으로 강한 비바람이 예상되오니, 간판, 창문 등은 고정하고, 저지대, 하천변 산책로는 출입을 금지하여 피해가 없도록 안전에 유의하여 주시기 바랍니다",cbs,보령시,,,"[('산책로는 출입을', 0.6802)]"
2023/08/10 08:16:07,227,충청남도 보령시,202441,"태풍으로 강한 비바람이 예상되오니 창문, 옥외간판 등 시설물을 보강·고정하고, 해안가 및 급경사지 접근을 금지하시고 기상상황을 예의 주시하시기 바랍니다.",cbs,보령시,,,"[('창문 옥외간판 시설물을 보강', 0.7209)]"
2023/08/09 13:11:58,227,충청남도 보령시,201952,"폭염주의보 발효중. 야외활동을 자제하고 물 충분히 마시기, 무더위쉼터 이용, 실외작업장 안전수칙(물, 그늘, 휴식) 지키기 등 건강에 유의 바랍니다.",cbs,보령시,"물, 그늘, 휴식",,"[('야외활동을 자제하고 충분히', 0.6991)]"
2023/08/09 10:03:32,227,충청남도 보령시,201874,"태풍 카눈 북상 중으로 강한 비바람이 예상되오니, 간판, 창문 등은 미리 고정하고, 저지대, 하천변 산책로는 출입을 자제하는 등 안전에 유의 바랍니다.",cbs,보령시,,,"[('유의 바랍니다', 0.6328)]"
2023/08/08 15:05:41,227,충청남도 보령시,201773,"현재 폭염경보 지속 중, 낮 시간 야외 활동을 중지하시고, 충분한 물 섭취, 무더위쉼터에서 휴식하기 등 온열질환 예방과 건강관리에 유의하시기 바랍니다.",cbs,보령시,,,"[('활동을 중지하시고 충분한', 0.7427)]"
2023/08/08 10:13:23,227,충청남도 보령시,201683,"현재 폭염경보 발효중. 무더위시간대(14~17시) 야외활동·작업을 자제하여 주시고 폭염 안전수칙(물, 그늘, 휴식) 지키기 등 안전에 유의하기 바랍니다.",cbs,보령시,14~17시,,"[('작업을 자제하여 주시고 폭염', 0.671)]"
2023/08/07 16:00:31,227,충청남도 보령시,201627,"여름철 야외활동시 살인진드기 주의하세요. 활동시 기피제사용, 긴옷, 양말착용, 귀가후 샤워하기 등 예방수칙 준수. 고열등 증상시 즉시 병원 진료하세요.",cbs,보령시,,,"[('여름철 야외활동시 살인진드기', 0.7193)]"
2023/08/07 14:13:45,227,충청남도 보령시,201602,"폭염경보 발효중. 야외활동을 자제하고 물 충분히 마시기, 무더위쉼터 이용, 실외작업장 안전수칙(물, 그늘, 휴식) 지키기 등 건강에 유의 바랍니다.",cbs,보령시,"물, 그늘, 휴식",,"[('그늘 휴식 지키기', 0.688)]"
2023/08/07 10:15:10,227,충청남도 보령시,201536,"현재 폭염경보 지속 중, 낮 시간 야외 활동을 중지하시고, 충분한 물 섭취, 무더위쉼터에서 휴식하기 등 온열질환 예방과 건강관리에 유의하시기 바랍니다.",cbs,보령시,,,"[('활동을 중지하시고 충분한', 0.7427)]"
2023/08/06 13:55:42,227,충청남도 보령시,201442,"폭염지속에 따른 낮동안 논밭일등 야외활동 중지, 무더위쉼터에서 휴식과 충분한 물섭취, 활동시 양산쓰기 등으로 온열질환 예방에 협조 해주시기 바랍니다.",cbs,보령시,,,"[('예방에 협조 해주시기 바랍니다', 0.7554)]"
2023/08/06 10:00:29,227,충청남도 보령시,201345,"폭염지속에 따른 낮동안 논밭일등 야외활동 중지, 무더위쉼터에서 휴식과 충분한 물섭취, 활동시 양산쓰기 등으로 온열질환 예방에 협조 해주시기 바랍니다.",cbs,보령시,,,"[('예방에 협조 해주시기 바랍니다', 0.7554)]"
2023/08/05 14:01:45,227,충청남도 보령시,201263,"폭염지속에 따른 낮동안 논밭일등 야외활동 중지, 무더위쉼터에서 휴식과 충분한 물섭취, 활동시 양산쓰기 등으로 온열질환 예방에 협조 해주시기 바랍니다.",cbs,보령시,,,"[('예방에 협조 해주시기 바랍니다', 0.7554)]"
2023/08/05 10:05:49,227,충청남도 보령시,201165,"폭염지속에 따른 낮동안 논밭일등 야외활동 중지, 무더위쉼터에서 휴식과 충분한 물섭취, 활동시 양산쓰기 등으로 온열질환 예방에 협조 해주시기 바랍니다.",cbs,보령시,,,"[('예방에 협조 해주시기 바랍니다', 0.7554)]"
2023/08/04 14:13:29,227,충청남도 보령시,201086,"폭염지속에 따른 낮동안 논밭일등 야외활동 중지, 무더위쉼터에서 휴식과 충분한 물섭취, 활동시 양산쓰기 등으로 온열질환 예방에 협조 해주시기 바랍니다.",cbs,보령시,,,"[('예방에 협조 해주시기 바랍니다', 0.7554)]"
2023/08/04 13:33:14,227,충청남도 보령시,201069,"중증열성혈소판감소증후군 등 진드기매개 감염병 환자가 증가하고 있습니다 야외활동시 긴팔옷, 양말착용, 기피제사용, 활동후 샤워하기 등 예방수칙 준수합시다.",cbs,보령시,,,"[('환자가 증가하고 있습니다', 0.6549)]"
2023/08/04 10:09:56,227,충청남도 보령시,201007,"폭염지속에 따른 낮동안 논밭일등 야외활동 중지, 무더위쉼터에서 휴식과 충분한 물섭취, 활동시 양산쓰기 등으로 온열질환 예방에 협조 해주시기 바랍니다.",cbs,보령시,,,"[('예방에 협조 해주시기 바랍니다', 0.7554)]"
2023/08/03 14:11:59,227,충청남도 보령시,200932,"폭염 지속에 따른 낮동안 논밭일등 야외활동 자제, 무더위쉼터에서 휴식과 충분한 물섭취, 활동시 양산쓰기 등으로 온열질환 예방에 협조 해주시기 바랍니다.",cbs,보령시,,,"[('협조 해주시기', 0.7264)]"
2023/08/03 10:49:04,227,충청남도 보령시,200864,"폭염 지속에 따른 낮동안 논밭일등 야외활동 자제, 무더위쉼터에서 휴식과 충분한 물섭취, 활동시 양산쓰기 등으로 온열질환 예방에 협조 해주시기 바랍니다.",cbs,보령시,,,"[('협조 해주시기', 0.7264)]"
2023/08/02 14:20:51,227,충청남도 보령시,200796,"폭염 지속에 따른 낮동안 논밭일등 야외활동 자제, 무더위쉼터에서 휴식과 충분한 물섭취, 활동시 양산쓰기 등으로 온열질환 예방에 협조 해주시기 바랍니다.",cbs,보령시,,,"[('협조 해주시기', 0.7264)]"
