create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2022/12/21 06:59:34,119,부산광역시 전체,186222,"금일 내린 비로 인해 도로결빙이 우려되오니 출퇴근 시 대중교통을 이용하시고 서행운전, 안전거리 확보 등 미끄럼 사고에 유의하시기 바랍니다.",cbs,부산광역시청,,,"[('미끄럼 사고에 유의하시기 바랍니다', 0.7516)]"
2022/09/17 13:21:25,119,부산광역시 전체,173280,"태풍 난마돌 대비, 낙동강생태공원 둔치주차장 폐쇄 알림(9.18(일)13시) 해안가, 침수 등 위험지 주차 차량은 안전한 곳으로 이동조치 바랍니다.",cbs,부산광역시청,9.18(일,,"[('난마돌 대비 낙동강생태공원', 0.6481)]"
2022/03/09 16:34:14,119,부산광역시 전체,146682,"부산시민께서는 18시까지, 코로나19 확진 및 격리시민은 18시~19시 30분까지 마스크 착용, 거리두기 등 방역수칙을 준수하여 투표 바랍니다.",cbs,부산광역시청,,,"[('18시까지 코로나19 확진', 0.6583)]"
2021/09/19 18:18:35,119,부산광역시 전체,122905,9.12(일)13:00 ~ 9.13(월)19:40 타이사왓디(사상구삼덕로72-1)방문자는인근보건소에서검사바랍니다.(소독완료),cbs,부산광역시청,일,,"[('13 00', 0.3483)]"
2021/07/07 15:44:52,119,부산광역시 전체,111454,"부산진구 당감·범천·개금, 북구 화명생태공원 지하차도, 중구 부산우체국교차로~연안부두삼거리 통제 중이니 통행에 유의바랍니다.",cbs,부산광역시청,,,"[('부산진구 당감 범천 개금', 0.7404)]"
2021/07/07 15:05:57,119,부산광역시 전체,111439,"7.7. 집중호우로 북구, 강서구, 금정구 지역 산사태주의보 발령. 안전에 각별히 유의바랍니다.",cbs,부산광역시청,,,"[('북구 강서구 금정구', 0.6373)]"
2021/07/07 15:02:57,119,부산광역시 전체,111437,"세병교·연안교·수연교 하상도로, 초량1·초량2·부산진·영락공원 지하차도 교통통제. 우회바랍니다.",cbs,부산광역시청,,,"[('하상도로 초량1 초량2 부산진', 0.7057)]"
2021/07/06 10:45:25,119,부산광역시 전체,111187,"7.6. 집중호우로 해운대구 세월교(반여동) 통제, 북구 덕천배수장~화명생태공원 재통제. 우회도로 이용바랍니다.",cbs,부산광역시청,반여동,,"[('반여동 통제 북구', 0.6126)]"
2021/07/06 08:15:23,119,부산광역시 전체,111134,"7.5.~6. 집중호우로 온천천 및 수영강 산책로 전 구간을 통제 중이오니, 안전에 각별히 유의바랍니다.",cbs,부산광역시청,,,"[('구간을 통제 중이오니 안전에', 0.6273)]"
2021/05/08 13:31:56,119,부산광역시 전체,104621,"금일 13시 부산지역 미세먼지 경보 발령. 어린이, 노약자 등은 실외활동 금지, 마스크 착용 등 건강에 유의 바랍니다.(888-3581)",cbs,부산광역시청,888-3581,,"[('마스크 착용 건강에', 0.6556)]"
