create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/01/12 18:07:16,123,부산광역시 남구,189954,"코로나 오미크론대응 2가백신은 감염위험 56%, 입원위험 83%, 후유증위험 58% 감소효과. 설연휴 전후 접종으로 가족(어르신)의 건강을 지켜주세요",cbs,부산남구청,어르신,,"[('어르신 건강을', 0.5962)]"
2022/05/09 14:52:40,123,부산광역시 남구,155474,3차 재난긴급생활지원금 미신청자 신청 5.18.(수) 종료. 이후 신청불가 ▶오륙도페이앱(세대주만신청) 또는 주소지 행정복지센터 방문신청,cbs,부산남구청,수,,"[('주소지 행정복지센터 방문신청', 0.714)]"
2022/04/18 10:24:01,123,부산광역시 남구,152517,3차 재난긴급생활지원금 1인 10만원 지급 ▶신청 4.18.(월)~5.18.(수) ▶오륙도페이 앱(세대주만 신청) 또는 주소지 행정복지센터 방문신청,cbs,부산남구청,월,,"[('18 오륙도페이 세대주만', 0.6328)]"
2021/12/07 13:13:13,123,부산광역시 남구,132622,긴급생활안정지원금(오륙도페이 5만원)을 신청하지 않은 구민은 12월10일(마감)까지 동 행정복지센터에 신청 바랍니다. 문의:051-607-3601~4,cbs,부산남구청,오륙도페이 5만원,,"[('마감 까지 행정복지센터에 신청', 0.4533)]"
2021/06/28 17:27:05,123,부산광역시 남구,110257,"6/25(금) 19:00~21:30 남구 석포로56번길 6 골목집대패 이용하신 분은 신분증 지참, 남구 보건소 선별진료소 검사 받으시기 바랍니다.",cbs,부산남구청,금,,"[('선별진료소 검사 받으시기', 0.4774)]"
2021/05/13 15:42:53,123,부산광역시 남구,105252,댄스 및 신체 접촉 등의 동아리 활동을 하시는 분은 방역수칙을 잘 지켜주시기 바라며 유증상시 남구 보건소 선별진료소에서 검사 받으시기 바랍니다.,cbs,부산남구청,,,"[('동아리 활동을 하시는', 0.6785)]"
2021/02/27 10:15:59,123,부산광역시 남구,94963,현재 부산앞바다 풍랑경보 발효중입니다. 강풍과 해상 너울성 파도 넘침 위험이 있으니 시설물 안전조치 및 해안가 접근 금지 바랍니다.,cbs,부산남구청,,,"[('너울성 파도 넘침', 0.6341)]"
2021/02/25 15:37:07,123,부산광역시 남구,94564,2/25(목) 코로나19 확진자 1명. 5명 이상 사적 모임이 금지되어 있습니다. 사회적 거리두기로 코로나를 이겨냅시다.,cbs,부산남구청,목,,"[('사적 모임이', 0.4974)]"
2021/02/24 14:16:40,123,부산광역시 남구,94335,2/24(수) 코로나19 확진자 1명. 5명 이상 사적 모임이 금지되어 있습니다. 사회적 거리두기로 코로나를 이겨냅시다.,cbs,부산남구청,수,,"[('1명 5명 이상', 0.3964)]"
2021/02/22 13:58:15,123,부산광역시 남구,93884,2/22(월) 코로나19 확진자 0명. 5명 이상 사적 모임이 금지되어 있습니다. 사회적 거리두기로 코로나를 이겨냅시다.,cbs,부산남구청,월,,"[('사적 모임이', 0.3626)]"
2021/02/18 13:29:20,123,부산광역시 남구,92931,2/17(수) 남구 코로나19 확진자 1명 발생. 5명 이상 사적 모임이 금지되어 있습니다. 사회적 거리두기로 코로나를 이겨냅시다.,cbs,부산남구청,수,,"[('사적 모임이 금지되어', 0.4936)]"
2021/01/22 13:49:08,123,부산광역시 남구,86358,1/22(금) 남구 코로나19 확진자 2명 발생. 5인 이상 사적 모임 금지 및 마스크 쓰기 생활화로 코로나를 이겨냅시다.,cbs,부산남구청,금,,"[('2명 발생', 0.4101)]"
2021/01/20 14:02:19,123,부산광역시 남구,85916,1/20(수) 남구 코로나19 확진자 4명 발생. 5명 이상 사적 모임이 금지되어 있습니다. 사회적 거리두기로 코로나를 이겨냅시다.,cbs,부산남구청,수,,"[('사적 모임이 금지되어', 0.4882)]"
2021/01/18 13:15:48,123,부산광역시 남구,85426,남구 백운포 임시선별진료소는 2021.1.17.부로 종료되었음을 알려드립니다.,cbs,부산남구청,,,"[('2021 17', 0.2875)]"
2021/01/15 14:02:28,123,부산광역시 남구,84388,1/15(금) 남구 코로나19 확진자 11명 발생. 마스크착용 및 모임·여행·외출자제 등 방역수칙 준수하여 우리 모두의 건강을 지켜주시기 바랍니다.,cbs,부산남구청,금,,"[('마스크착용 모임 여행', 0.4997)]"
2021/01/14 15:50:01,123,부산광역시 남구,84162,1/14(목) 남구 코로나19 확진자 7명 발생. 가족 간에도 코로나가 전파되기 쉽습니다. 가족 간에도 방역수칙을 잘 지킵시다.,cbs,부산남구청,목,,"[('간에도 코로나가 전파되기 쉽습니다', 0.5249)]"
2021/01/11 14:47:24,123,부산광역시 남구,83341,1/11(월) 남구 코로나19 확진자 1명 발생. 금일 18시~21시 사이에 눈 또는 비가 예보되어 있습니다. 결빙과 미끄럼에 유의하시기 바랍니다.,cbs,부산남구청,월,,"[('1명 발생 금일 18시', 0.3771)]"
2021/01/07 14:32:51,123,부산광역시 남구,82027,1/7(목) 남구 코로나19 확진자 0명으로 정정합니다.,cbs,부산남구청,목,,"[('남구 코로나19', 0.3489)]"
2021/01/07 14:24:27,123,부산광역시 남구,82025,1/7(목) 남구 코로나19 확진자 1명 발생. 내일 새벽 영하12도의 강추위가 예상됩니다. 건강과 시설물 관리에 유의하시기 바랍니다.,cbs,부산남구청,목,,"[('영하12도의 강추위가 예상됩니다 건강과', 0.4468)]"
2021/01/07 09:56:19,123,부산광역시 남구,81899,"한파로 인해 코로나19 임시선별검사소 운영시간 단축 운영합니다. (1/7 ~ 1/10, 11시~15시), 용호동 백운포체육공원 마사구장.",cbs,부산남구청,"1/7 ~ 1/10, 11시~15시",,"[('백운포체육공원 마사구장', 0.6062)]"
2021/01/06 18:23:31,123,부산광역시 남구,81655,북극발 한파 영향으로 주말까지 영하10도의 강추위가 찾아옵니다. 외출 시 따뜻하게 입으시고 수도는 약하게 틀어 동파를 방지합시다.,cbs,부산남구청,,,"[('입으시고 수도는 약하게', 0.6279)]"
2021/01/05 17:40:07,123,부산광역시 남구,81241,주말까지 -5℃ ~ -10℃ 의 추위가 예보되어 있습니다. 외출 시 따뜻하게 입으시고 수도를 약하게 틀어 동파를 방지합시다.,cbs,부산남구청,,,"[('추위가 예보되어 있습니다 외출', 0.3777)]"
2021/01/04 14:12:07,123,부산광역시 남구,80854,1/4(월) 남구 코로나19 확진자 1명 발생. 5명이상의 사적모임이 금지됩니다. 마스크쓰기를 생활화 하여 코로나를 이겨냅시다.,cbs,부산남구청,월,,"[('확진자 1명 발생 5명이상의', 0.4467)]"
2020/12/31 13:44:38,123,부산광역시 남구,79525,12/31(목) 남구 코로나19 확진자 4명 발생. 가정 내에서도 위생수칙을 생활화 하고 타지로 오갈 때는 항상 마스크를 착용해주세요.,cbs,부산남구청,목,,"[('31 남구', 0.4642)]"
2020/12/31 11:14:59,123,부산광역시 남구,79467,"코로나19 임시선별검사소 운영(12/30~1/10, 09:30~17:00 점심시간 12~13시 제외) 용호동 백운포체육공원 마사구장",cbs,부산남구청,"12/30~1/10, 09:30~17:00 점심시간 12~13시 제외",,"[('제외 용호동 백운포체육공원', 0.6154)]"
2020/12/30 14:00:13,123,부산광역시 남구,79096,12/30(수) 남구 코로나19 확진자 2명 발생. 12/31 12:00 ~ 1/1 10:00 해맞이 명소 폐쇄 및 방문객 출입통제됩니다.,cbs,부산남구청,수,,"[('폐쇄 방문객', 0.5472)]"
2020/12/28 15:35:29,123,부산광역시 남구,78331,"12/28(월) 남구 코로나19 확진자 2명 발생. 확진자 25%는 가족 간 감염. 가정 내에서도 위생수칙을 생활화하고, 가족 모임도 자제 바랍니다.",cbs,부산남구청,월,,"[('2명 발생 확진자', 0.5683)]"
2020/12/24 13:48:06,123,부산광역시 남구,76829,12/24(목) 남구 코로나19 확진자 1명 발생. 마스크착용 및 모임·여행·외출자제 등 방역수칙 준수하여 우리 모두의 건강을 지켜주시기 바랍니다.,cbs,부산남구청,목,,"[('1명 발생 마스크착용 모임', 0.5331)]"
2020/12/23 14:12:17,123,부산광역시 남구,76424,12/23(수) 남구 코로나19 확진자 6명 발생. 마스크착용 및 모임·여행·외출자제 등 방역수칙 준수하여 우리 모두의 건강을 지켜주시기 바랍니다.,cbs,부산남구청,수,,"[('건강을 지켜주시기 바랍니다', 0.6003)]"
2020/12/22 14:37:20,123,부산광역시 남구,76072,코로나19와 독감의 동시 유행 대비를 위한 남구민 무료 독감예방접종이 12/28(월)까지 연장 시행됩니다. 남구보건소 홈페이지 공지사항 참고바랍니다,cbs,부산남구청,월,,"[('대비를 위한 남구민', 0.5247)]"
2020/12/21 13:44:45,123,부산광역시 남구,75698,12/21(월) 남구 코로나19 확진자 3명 발생. 마스크착용 및 모임·여행·외출자제 등 방역수칙 준수하여 우리 모두의 건강을 지켜주시기 바랍니다.,cbs,부산남구청,월,,"[('발생 마스크착용 모임', 0.5873)]"
2020/12/20 14:38:33,123,부산광역시 남구,75414,12/20(일) 남구 코로나19 확진자 2명 발생. 마스크착용 및 모임·여행·외출자제 등 방역수칙 준수하여 우리 모두의 건강을 지켜주시기 바랍니다.,cbs,부산남구청,일,,"[('모두의 건강을', 0.5398)]"
2020/12/18 13:36:45,123,부산광역시 남구,74650,12/18(금) 남구 코로나19 확진자 3명 발생. 마스크착용 및 모임·여행·외출자제 등 방역수칙 준수하여 우리 모두의 건강을 지켜주시기 바랍니다.,cbs,부산남구청,금,,"[('건강을 지켜주시기 바랍니다', 0.6122)]"
2020/12/18 10:35:54,123,부산광역시 남구,74562,코로나19와 독감의 동시 유행 대비를 위한 남구민 무료 독감예방접종이 12.24.까지 시행됩니다. 남구보건소 홈페이지 공지사항 참고바랍니다.,cbs,부산남구청,,,"[('시행됩니다 남구보건소', 0.5725)]"
2020/12/17 13:40:18,123,부산광역시 남구,74285,12/17(목) 남구 코로나19 확진자 3명 발생. 마스크착용 및 모임·여행·외출자제 등 방역수칙 준수하여 우리 모두의 건강을 지켜주시기 바랍니다.,cbs,부산남구청,목,,"[('모임 여행 외출자제 방역수칙', 0.6029)]"
2020/12/17 13:22:56,123,부산광역시 남구,74278,12/17(목) 09:40경 남구 감만동 부산은행 앞길에서 여자분 핸드폰 받아서 위치 알려주신 남자 분은 보건소에서 상담 받으시기 바랍니다.,cbs,부산남구청,목,,"[('17 09 40경 남구', 0.7103)]"
2020/12/16 14:16:45,123,부산광역시 남구,73968,12/16(수) 남구 코로나19 확진자 5명 발생. 마스크착용 및 모임·여행·외출자제 등 방역수칙 준수하여 우리 모두의 건강을 지켜주시기 바랍니다.,cbs,부산남구청,수,,"[('모임 여행 외출자제 방역수칙', 0.5879)]"
2020/12/15 14:12:24,123,부산광역시 남구,73606,12/15(화) 남구 코로나19 확진자 4명 발생. 마스크착용 및 모임·여행·외출자제 등 방역수칙 준수하여 우리 모두의 건강을 지켜주시기 바랍니다.,cbs,부산남구청,화,,"[('발생 마스크착용 모임', 0.5776)]"
2020/12/14 16:38:49,123,부산광역시 남구,73255,사회적 거리두기 2.5단계+방역강화(12.15.~12.28.)로 격상되었습니다. 자세한 내용은 홈페이지(bsnamgu.go.kr) 참조바랍니다.,cbs,부산남구청,12.15.~12.28.,,"[('bsnamgu kr', 0.4986)]"
2020/12/14 14:03:13,123,부산광역시 남구,73185,"확진자의 역학조사 진행 중이고, 모든 접촉자가 파악되거나 없으면 공개되지 않으며, 개인·허위정보 유포 시 관련법에 따라 조치될 수 있습니다.",cbs,부산남구청,,,"[('개인 허위정보 유포 관련법에', 0.6533)]"
2020/12/14 14:02:49,123,부산광역시 남구,73184,금일 남구 코로나19 확진자 10명 발생. 마스크 착용 및 모임·여행·외출자제 등 방역수칙 준수하여 우리 모두의 건강을 지켜주시기 바랍니다.,cbs,부산남구청,,,"[('방역수칙 준수하여 우리', 0.6866)]"
2020/12/13 14:28:28,123,부산광역시 남구,72876,"12.13.(일) 남구 코로나19 확진자 3명 발생. 실내에서도 마스크 착용, 밀폐공간 환기, 모임 자제, 사람간 거리두기 등 방역수칙 준수바랍니다.",cbs,부산남구청,일,,"[('마스크 착용 밀폐공간 환기', 0.5675)]"
2020/12/12 14:09:35,123,부산광역시 남구,72569,"코로나19 관련 개인·허위정보를 유포하면 관련법에 따라 조치될 수 있으며, 마스크 착용 및 모임자제 등 방역수칙을 준수하여 주시기 바랍니다.",cbs,부산남구청,,,"[('허위정보를 유포하면 관련법에', 0.6615)]"
2020/12/12 13:42:17,123,부산광역시 남구,72559,"12.12.(토) 남구 코로나19 확진자 3명 발생. 실내에서도 마스크 착용, 밀폐공간 환기, 모임 자제, 사람간 거리두기 등 방역수칙 준수바랍니다.",cbs,부산남구청,토,,"[('거리두기 방역수칙 준수바랍니다', 0.5845)]"
2020/12/11 13:48:09,123,부산광역시 남구,72194,"12.11.(금) 남구 코로나19 확진자 3명 발생. 실내에서도 마스크 착용, 밀폐공간 환기, 모임 자제, 사람간 거리두기 등 방역수칙 준수바랍니다.",cbs,부산남구청,금,,"[('거리두기 방역수칙 준수바랍니다', 0.525)]"
