create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2020/08/29 14:37:27,127,부산광역시 북구,51350,"오늘(8/29) 코로나19확진자 1명발생 동선은 역학조사후 공개 예정이며, 마스크 착용등 철저한 생활방역수칙 준수바랍니다. -북구 재난안전대책본부-",cbs,부산북구청,8/29,,"[('역학조사후 공개', 0.5889)]"
2020/08/13 17:21:13,127,부산광역시 북구,44254,코로나19 예방을 위한 ▶음식먹기 전후 마스크 착용▶짧은시간 머무르기 ▶사람간 거리두기▶손씻기 등 방역수칙을 준수바랍니다,cbs,부산북구청,,,"[('예방을 위한 음식먹기 전후', 0.7226)]"
2020/08/13 17:10:02,127,부산광역시 북구,44250,"코로나19 확진자(부산-192) 1명 발생, 부산의료원 이송완료(8.13.) 감염경로 및 동선 파악중",cbs,부산북구청,부산-192,,"[('부산 192 1명 발생', 0.645)]"
2020/08/08 19:00:30,127,부산광역시 북구,43381,낙동강 홍수주의보 발령(화명생태공원 침수)에 따라 생태공원길 및 강변도로 진출입로를 통제(8/8 19:00)하오니 우회 운전하여 주시기 바랍니다.,cbs,부산북구청,화명생태공원 침수,,"[('발령 화명생태공원', 0.5919)]"
2020/07/17 16:12:05,127,부산광역시 북구,40827,"코로나19 확진자(부산-154) 1명 발생, 해외입국자로 자가격리 중 확진(동선없음)",cbs,부산북구청,부산-154,,"[('1명 발생 해외입국자로', 0.5851)]"
2020/05/28 18:16:35,127,부산광역시 북구,36496,"재난긴급생활지원금 문의 부산북구청 홈페이지 www.bsbukgu.go.kr 종합상황실 : 051-309-5241 ~ 6, 각 동 행정복지센터",cbs,부산북구청,,,"[('bsbukgu kr', 0.5108)]"
2020/05/28 18:04:01,127,부산광역시 북구,36490,"신청기간:5.29~6.26 5.29~31(3일)현장신청/6.1~26동행정복지센터 문의:www.bsbukgu.go.kr/051-309-5241~6,각동",cbs,부산북구청,3일,,"[('www bsbukgu kr 051', 0.4441)]"
2020/05/28 18:03:30,127,부산광역시 북구,36489,"재난긴급생활지원금 안내 대상: 4.23기준 전입자로 신청일 현재 북구거주자 지원금액·방법: 1인당 선불카드5만원, 세대주또는세대원 1인 일괄신청수령",cbs,부산북구청,,,"[('신청일 현재', 0.6594)]"
2020/04/23 15:36:58,127,부산광역시 북구,33916,믿고 기다려주셔서 감사합니다. 코로나19 긴급생활지원금을 북구 전구민에게 1인당 5만원 지급. 신청방법 등 자세한 사항은 5월중 재공지 할 예정.,cbs,부산북구청,,,"[('코로나19 긴급생활지원금을 북구', 0.6357)]"
2020/03/30 19:10:24,127,부산광역시 북구,31950,북구거주 어르신(1900~1954년생) 면 마스크1매(필터10매)를 구포·금곡·만덕동은 3.31부터 화명·덕천동은 4.2부터 가정방문 배부예정입니다,cbs,부산북구청,1900~1954년생,,"[('화명 덕천동은 2부터 가정방문', 0.6344)]"
2020/03/20 18:06:50,127,부산광역시 북구,30683,"(초,중,고)학생용으로 필터교체형 면마스크 1매(필터6매 포함) 개학시 북구지역 학교에 배부할 예정입니다",cbs,부산북구청,"초,중,고",,"[('포함 개학시', 0.6212)]"
2020/03/20 18:06:07,127,부산광역시 북구,30682,"3.23일부터 임산부(KF94 3매), 아동(14~17년생, 아동용KF80 2매) 가정방문 배부 추후 물량 확보후 중증장애인,어르신 등 2차배부 예정",cbs,부산북구청,KF94 3매,,"[('중증장애인 어르신 2차배부', 0.4533)]"
2020/02/28 19:11:51,127,부산광역시 북구,27323,코로나19 확진자(부산63)는 수영구 확진자와 밀접접촉자로 분류되어 자가격리 상태 이후 현재까지 이동동선 없음으로 파악,cbs,부산북구청,부산63,,"[('자가격리 상태 이후 현재까지', 0.7281)]"
2020/02/28 11:11:28,127,부산광역시 북구,27126,"경주9번 확진자가 롯데마트(화명점) 근무 한 것으로 확인되어 2.27 20:40 폐쇄조치, 2.28 현재 방역완료 이동동선 롯데마트외 북구관내 없음",cbs,부산북구청,화명점,,"[('방역완료 이동동선 롯데마트외', 0.6398)]"
2020/02/26 14:22:27,127,부산광역시 북구,26659,북구 확진자 동선과 타구 확진자의 북구방문 동선지역도 방역소독 완료하였으며 48개반 방역단을 가동하여 대규모로 북구전역에 방역을 실시하고 있습니다.,cbs,부산북구청,,,"[('가동하여 대규모로 북구전역에 방역을', 0.7902)]"
2020/02/25 18:52:13,127,부산광역시 북구,26493,"코로나 확진자(부산50) 추가1명 발생, 동선은 파악중입니다. 개인위생에 철저히 해주시고, 의심증상이 있으신분은 1339 또는 보건소로 문의바랍니다.",cbs,부산북구청,부산50,,"[('확진자 부산50 추가1명 발생', 0.5835)]"
2020/02/24 20:29:06,127,부산광역시 북구,26198,코로나19 부산 11번 확진자 거주지 및 동선(시설) 2.24.(월)소독 완료. 코로나19 예방 손씻기 철저히 하시기 바랍니다.,cbs,부산북구청,시설,,"[('시설 24 소독', 0.591)]"
2020/02/24 10:56:54,127,부산광역시 북구,26003,"확진자(부산11)동선 중 2.20.구포국수는 덕천동 153국포국수 2.21.커피요정,부잣집,공차는 모두 덕천동소재임을 알려드립니다.",cbs,부산북구청,부산11,,"[('20 구포국수는', 0.6081)]"
2020/02/24 09:19:20,127,부산광역시 북구,25953,확진자 동선에 대한 방역소독 및 폐쇄조치 등 구민안전에 최선을 다하겠습니다. 동선지역 방문 자제 및 예방수칙을 준수하여 주시기 바랍니다.,cbs,부산북구청,,,"[('대한 방역소독', 0.7483)]"
