create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/08 20:09:14,126,부산광역시 부산진구,206627,오늘 19:35분경 부산진구 초읍동 어린이대공원 어린이창의교육관 인근야생멧돼지 1마리가 출몰하였으니 인근주민께서 외출자제 바랍니다 : ;,cbs,부산진구청,,,"[('초읍동 어린이대공원', 0.5634)]"
2023/11/04 22:12:00,126,부산광역시 부산진구,206449,"금일 22시경 개금동 LG아파트 뒷편 예비군교장 인근 멧돼지가 출몰하였다는 신고가 있으니, 인근을 지나는 주민들께서는 안전에 유의하시기 바랍니다.",cbs,부산진구청,,,"[('있으니 인근을 지나는', 0.5968)]"
2023/11/01 23:39:05,126,부산광역시 부산진구,206407,"연지동 연지자이2차(209동뒤편) 인근 멧돼지 2마리 출몰로 엽사 출동 후 사살예정이오니, 주민들께서는 외출을자제 하여 안전에 유의하시기 바랍니다.",cbs,부산진구청,209동뒤편,,"[('출몰로 엽사 출동 사살예정이오니', 0.6204)]"
2023/10/26 07:10:28,126,부산광역시 부산진구,206269,"초읍동 어린이대공원 등산로에 멧돼지가 출몰하였으니, 인근을 지나는 주민들께서는 각별히 안전에 유의하시기 바랍니다.",cbs,부산진구청,,,"[('어린이대공원 등산로에', 0.572)]"
2023/10/25 07:14:56,126,부산광역시 부산진구,206237,금일 07시경 어린이대공원 박재혁 의사 동상 인근에 멧돼지 2마리가 출몰했다는 신고가 접수되었으니 인근 주민께서는 안전에 유의하시기 바랍니다.,cbs,부산진구청,,,"[('멧돼지 2마리가 출몰했다는 신고가', 0.6058)]"
2023/10/25 02:09:38,126,부산광역시 부산진구,206236,금일 00시 50분경 범천동 1197-3 인근에 멧돼지 1마리가 출몰했다는 신고가 접수되었으니 인근 주민께서는 안전에 유의하시기 바랍니다.,cbs,부산진구청,,,"[('인근에 멧돼지 1마리가 출몰했다는', 0.395)]"
2023/10/24 00:06:30,126,부산광역시 부산진구,206216,"범천동 산54-14번지 인근에 멧돼지가 출몰하였으니, 인근을 지나는 주민들께서는 각별히 안전에 유의하시기 바랍니다.",cbs,부산진구청,,,"[('지나는 주민들께서는 각별히', 0.5915)]"
2023/10/22 15:38:20,126,부산광역시 부산진구,206177,"초읍동 산30번지 인근에 멧돼지가 출몰하였으니, 인근을 지나는 주민들께서는 각별히 안전에 유의하시기 바랍니다.",cbs,부산진구청,,,"[('주민들께서는 각별히 안전에 유의하시기', 0.5773)]"
2023/09/29 10:23:10,126,부산광역시 부산진구,205784,"29일 오전에 가야굴다리, 호천마을 등에서 멧돼지 1마리가 포착되었으니 인근지역 주민과 방문객은 유의하여 주시기 바랍니다.",cbs,부산진구청,,,"[('오전에 가야굴다리 호천마을', 0.6451)]"
2023/09/17 09:09:11,126,부산광역시 부산진구,205292,"현재 동천 만조와 강우로 인해 동천의 수위가 상승하여 위험하오니 동천 주변 통행을 자제하시고, 인근 저지대 주민분들께서는 안전에 유의하시기 바랍니다",cbs,부산진구청,,,"[('동천 주변 통행을', 0.7822)]"
2023/07/18 20:03:57,126,부산광역시 부산진구,198841,"현재 동천 만조와 강우로 인해 동천의 수위가 상승하여 위험하오니 동천 주변 통행을 자제하시고, 인근 저지대 주민분들께서는 안전에 유의하시기 바랍니다.",cbs,부산진구청,,,"[('위험하오니 동천 주변 통행을', 0.7704)]"
2023/07/16 16:03:19,126,부산광역시 부산진구,198257,"많은 비와 바닷물 만조(19:59)로 동천사무소 뒤편(서면CGV건너편) 데크는 전면 통제하였으니, 동천주변 데크 출입을 삼가해 주시기 바랍니다.",cbs,부산진구청,19:59,,"[('출입을 삼가해 주시기', 0.5868)]"
2023/05/12 19:53:13,126,부산광역시 부산진구,195022,오늘 19:30 부산진구 연지동 화지골프장 인근 야생멧돼지 1마리가 출몰해 인근주민께서는 외출을 자제하고 외부인 경우 건물내부로 피신 바랍니다.,cbs,부산진구청,,,"[('인근 야생멧돼지 1마리가', 0.5067)]"
2023/05/06 00:13:58,126,부산광역시 부산진구,194920,5.5.11:42경 양정동369-6 양정메디컬타워화재 발생. 화재진압을 위해 중앙대로 통제중으로 중앙대로 양정 통행차량은 우회하여 주시기 바랍니다.,cbs,부산진구청,,,"[('위해 중앙대로', 0.4915)]"
2023/05/02 10:41:49,126,부산광역시 부산진구,194787,5.2.(화)01시경 범천2동 CBS방송국 맞은편 이편한세상아파트 골목에 야생멧돼지가 출몰하여 인근 주민들께서는 안전에 유의하시기 바랍니다.,cbs,부산진구청,화,,"[('주민들께서는 안전에 유의하시기 바랍니다', 0.5388)]"
2023/03/20 13:33:33,126,부산광역시 부산진구,193670,"오늘 12:50경 범천동 산42(팔금산,삼정그린코아뒤)산불 발생하였으니 인근 주민과 등산객은 산에서 멀리 떨어진 안전한 곳으로 대피하시기 바랍니다.",cbs,부산진구청,"팔금산,삼정그린코아뒤",,"[('주민과 등산객은 산에서', 0.5822)]"
2023/03/20 13:24:09,126,부산광역시 부산진구,193669,오늘 12:50경 범천동 산42(동의대 뒤편)산불 발생하였으니 인근 주민과 등산객은 산에서 멀리 떨어진 안전한 곳으로 대피하시기 바랍니다.,cbs,부산진구청,동의대 뒤편,,"[('등산객은 산에서 멀리', 0.5845)]"
2023/02/22 11:30:52,126,부산광역시 부산진구,193135,"금일(2월 22일) 새벽 안창마을 일대 멧돼지 8마리가 출몰하였으니, 인근 주민 및 등산객께서는 통행에 각별한 주의를 당부드립니다.",cbs,부산진구청,2월 22일,,"[('일대 멧돼지 8마리가 출몰하였으니', 0.6552)]"
2023/01/23 20:10:45,126,부산광역시 부산진구,191494,"내일 새벽부터 25일까지 영하7˚~12˚강추위가 예상됨. 산복도로, 급경사지 도로결빙 주의, 수도관 동파 및 화재 안전사고에 유의하시기 바랍니다.",cbs,부산진구청,,,"[('예상됨 산복도로 급경사지 도로결빙', 0.7316)]"
2023/01/09 09:45:18,126,부산광역시 부산진구,189475,"부산진구 부전로 45 서면베르빌 오피스텔 주차타워, 사라토가 화재발생. 이 지역을 우회하여 주시고 인근 주민은 안전한 곳으로 대피하시기 바랍니다.",cbs,부산진구청,,,"[('45 서면베르빌', 0.6808)]"
2023/01/09 09:17:43,126,부산광역시 부산진구,189465,부산진구 부전로45 서면베르빌 오피스텔 주차타워 화재발생. 이 지역을 우회하여 주시고 인근 주민은 안전한 곳으로 대피하시기 바랍니다.,cbs,부산진구청,,,"[('부산진구 부전로45 서면베르빌 오피스텔', 0.6886)]"
2023/01/09 08:32:55,126,부산광역시 부산진구,189443,부산진구 부전로45 서면베르빌 오피스텔 주차타워 화재발생. 이 지역을 우회하여 주시고 인근 주민은 안전한 곳으로 대피하시기 바랍니다.,cbs,부산진구청,,,"[('부산진구 부전로45 서면베르빌 오피스텔', 0.6886)]"
2023/01/09 08:00:44,126,부산광역시 부산진구,189439,부산진구 부전로45 서면베르빌 오피스텔 주차타워 화재발생. 이 지역을 우회하여 주시고 인근 주민은 연기 흡입하지않도록 창문을 닫아 주시기 바랍니다.,cbs,부산진구청,,,"[('부전로45 서면베르빌 오피스텔 주차타워', 0.664)]"
2022/09/19 09:31:57,126,부산광역시 부산진구,173606,태풍 난마돌로 인하여 부산진구보건소 선별진료소는 13시부터 운영하오니 이용에 착오없으시길 바랍니다.,cbs,부산진구청,,,"[('태풍 난마돌로 인하여', 0.6309)]"
2022/09/19 06:50:57,126,부산광역시 부산진구,173563,"부산진구 지하차도 4개소(문전,개금,당감,범천) 9.19. 07:00부로 통제 해제됨을 알려드립니다.",cbs,부산진구청,"문전,개금,당감,범천",,"[('범천 19 07', 0.6186)]"
2022/09/18 22:40:21,126,부산광역시 부산진구,173542,"태풍으로 9.18. 23시부터 부산진구 4개 지하차도(문전,개금,당감,범천)를 전면 통제예정이오니, 차량운전자는 우회도로를 이용해주시기 바랍니다.",cbs,부산진구청,"문전,개금,당감,범천",,"[('18 23시부터 부산진구 4개', 0.6732)]"
2022/09/18 16:20:02,126,부산광역시 부산진구,173462,"제14호 태풍 난마돌 북상으로 많은 비와 강풍이 예상됩니다. 고층 건물 유리창 파손, 간판 낙하 등 안전사고에 유의하시길 바랍니다.",cbs,부산진구청,,,"[('강풍이 예상됩니다 고층', 0.7437)]"
2022/09/06 07:35:59,126,부산광역시 부산진구,171645,"부산진구 지하차도 4개소(문전,개금,당감,범천) 07:30부로 통제 해제됨을 알려드립니다.",cbs,부산진구청,"문전,개금,당감,범천",,"[('문전 개금 당감', 0.6609)]"
2022/09/06 05:54:55,126,부산광역시 부산진구,171571,제11호 태풍 '힌남노' 북상으로 부산진구 마을버스 모든 노선은 9.6(화) 09시에 운행을 시작합니다. 버스이용에 참고하시기 바랍니다.,cbs,부산진구청,화,,"[('북상으로 부산진구 마을버스 모든', 0.5095)]"
2022/09/06 00:13:39,126,부산광역시 부산진구,171491,"태풍으로 9.6(화, 0시기준) 부산진구 4개 지하차도(문전,개금,당감,범천)를 전면 통제하였으니, 차량운전자는 우회도로를 이용해 주시기 바랍니다.",cbs,부산진구청,"화, 0시기준",,"[('지하차도 문전 개금', 0.6189)]"
2022/09/05 21:03:45,126,부산광역시 부산진구,171383,"태풍으로 9.6(화, 0시기준) 부산진구 4개 지하차도(문전,개금,당감,범천)를 통제할 예정이오니, 이용에 참고하여 주시기 바랍니다.",cbs,부산진구청,"화, 0시기준",,"[('예정이오니 이용에 참고하여 주시기', 0.6131)]"
2022/09/04 18:03:53,126,부산광역시 부산진구,170935,"9.5.~6. 태풍 힌남노 북상. 많은 비와 강풍이 예상되오니, 고층 건물 유리창 파손, 간판 낙하 등 안전사고에 유의하시길 바랍니다.",cbs,부산진구청,,,"[('태풍 힌남노', 0.5972)]"
2022/09/03 16:31:28,126,부산광역시 부산진구,170686,"제11호 태풍 힌남노 북상으로 많은 비와 강풍이 예상됩니다. 동천, 지하차도 등 저지대 통행자제, 공사장, 간판 등 낙하물에 유의하시길 바랍니다.",cbs,부산진구청,,,"[('많은 비와 강풍이', 0.6587)]"
