create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/09/20 13:31:07,208,전라북도 부안군,205389,"내일까지 많은 비가 예상되오니 계곡 및 하천변 산책로, 야영장 등 위험지역 출입금지하여 주시고 시설물 관리 등 안전사고에 주의하시기 바랍니다.",cbs,부안군,,,"[('출입금지하여 주시고 시설물', 0.7602)]"
2023/09/16 16:33:34,208,전라북도 부안군,205230,"산사태 주의보 발령에 따라 산지 주변의 야외활동을 자제하시고, 산사태 취약지역 인근 주민들은 지정대피소(경로당, 마을회관 등)로 대피하시기 바랍니다.",cbs,부안군,"경로당, 마을회관 등",,"[('산지 주변의', 0.7491)]"
2023/09/16 15:11:06,208,전라북도 부안군,205212,"오후15~18시 시간당 15~25mm의 집중호우가 예상됩니다. 하천변 산책로, 산사태 우려지역, 해안가 등 위험지역 접근금지 등 안전에 유의 바랍니다.",cbs,부안군,,,"[('집중호우가 예상됩니다 하천변', 0.5388)]"
2023/09/16 14:10:13,208,전라북도 부안군,205203,"부안군 현재 호우주의보 발효중입니다. 많은 비와 낙뢰가 예상되니 하천변, 저지대, 해안가, 산림 주변 등 위험지역 접근금지 안전에 유의하시기 바랍니다.",cbs,부안군,,,"[('하천변 저지대 해안가 산림', 0.7412)]"
2023/08/23 14:53:05,208,전라북도 부안군,204220,"현재 많은 비가 내리고 있으니 하천변 산책로, 해안가, 산간계곡, 급경사지 등 위험지역 출입금지 및 시설물 관리 등 안전사고에 유의하시기 바랍니다.",cbs,부안군,,,"[('시설물 관리 안전사고에', 0.7484)]"
2023/08/23 12:25:56,208,전라북도 부안군,204170,"금일 14시부터 20분간 민방위 대피훈련, 차량통제(부안읍 일원)하오니 협조하여 주시기 바랍니다. 대피소확인(네이버, 카카오 등)",cbs,부안군,부안읍 일원,,"[('14시부터 20분간 민방위', 0.6167)]"
2023/08/22 13:35:55,208,전라북도 부안군,203958,"폭염주의보 발효중입니다. ▲취약시간대(12~17시) 논·밭/야외 작업자제 ▲무더위쉼터 이용 ▲안전수칙(물,그늘,휴식) 준수 ▲건강관리에 유의바랍니다.",cbs,부안군,12~17시,,"[('그늘 휴식 준수 건강관리에', 0.5404)]"
2023/08/19 11:20:16,208,전라북도 부안군,203688,"폭염주의보 발효중입니다. ▲취약시간대(12~17시) 논·밭/야외 작업자제 ▲무더위쉼터 이용 ▲안전수칙(물,그늘,휴식) 준수 ▲건강관리에 유의바랍니다.",cbs,부안군,12~17시,,"[('그늘 휴식 준수 건강관리에', 0.5404)]"
2023/08/18 13:15:41,208,전라북도 부안군,203611,"폭염주의보 발효중입니다. ▲취약시간대(12~17시) 논·밭/야외 작업자제 ▲무더위쉼터 이용 ▲안전수칙(물,그늘,휴식) 준수 ▲건강관리에 유의바랍니다.",cbs,부안군,12~17시,,"[('그늘 휴식 준수 건강관리에', 0.5404)]"
2023/08/17 11:45:38,208,전라북도 부안군,203515,"폭염주의보 발효중입니다. ▲취약시간대(12~17시) 논·밭/야외 작업자제 ▲무더위쉼터 이용 ▲안전수칙(물,그늘,휴식) 준수 ▲건강관리에 유의바랍니다.",cbs,부안군,12~17시,,"[('그늘 휴식 준수 건강관리에', 0.5404)]"
2023/08/16 11:04:29,208,전라북도 부안군,203426,"폭염주의보 발효중입니다. ▲취약시간대(12~17시) 논·밭/야외 작업자제 ▲무더위쉼터 이용 ▲안전수칙(물,그늘,휴식) 준수 ▲건강관리에 유의바랍니다.",cbs,부안군,12~17시,,"[('그늘 휴식 준수 건강관리에', 0.5404)]"
2023/08/15 11:37:28,208,전라북도 부안군,203334,"폭염주의보 발효중입니다. ▲취약시간대(12~17시) 논·밭/야외 작업자제 ▲무더위쉼터 이용 ▲안전수칙(물,그늘,휴식) 준수 ▲건강관리에 유의바랍니다.",cbs,부안군,12~17시,,"[('그늘 휴식 준수 건강관리에', 0.5404)]"
2023/08/14 14:02:53,208,전라북도 부안군,203256,"전국적으로 폭염으로 인한 온열질환자 발생▲취약시간대(12~17시) 외출 및 야외활동 자제▲폭염 안전수칙(물,그늘,휴식) 준수 등 건강관리에 유의바랍니다",cbs,부안군,12~17시,,"[('폭염으로 인한 온열질환자', 0.6603)]"
2023/08/10 07:31:11,208,전라북도 부안군,202384,"태풍 북상중 ▲금일 강한 비바람 예상 ▲하천변, 해안가 등 위험지역 접근금지 ▲비닐하우스·간판·창문 등 시설물결박 ▲외출자제하여 안전에 유의바랍니다.",cbs,부안군,,,"[('창문 시설물결박 외출자제하여', 0.717)]"
2023/08/09 18:43:00,208,전라북도 부안군,202170,"태풍 북상중 ▲9~10일 강한 비바람 예상 ▲하천변, 해안가 등 위험지역 접근금지 ▲비닐하우스·간판·창문 등 시설물결박 ▲외출자제, 안전에 유의바랍니다",cbs,부안군,,,"[('강한 비바람 예상 하천변', 0.7065)]"
2023/08/09 11:14:36,208,전라북도 부안군,201915,"태풍 북상중 ▲9~10일 강한 비바람 예상 ▲하천변 산책로, 해안가 등 위험지역 접근금지 ▲비닐하우스·간판·창문 미리 고정 ▲침수대비 배수로 사전점검",cbs,부안군,,,"[('강한 비바람 예상 하천변', 0.6922)]"
2023/08/08 15:00:41,208,전라북도 부안군,201771,"연이은 폭염으로 온열질환 발생가능성 높음▲취약시간대(12~17시) 외출 및 야외활동 자제▲폭염 안전수칙(물,그늘,휴식) 준수 등 건강관리에 유의바랍니다",cbs,부안군,12~17시,,"[('준수 건강관리에', 0.6038)]"
2023/08/07 12:43:42,208,전라북도 부안군,201570,"연이은 폭염으로 온열질환 발생가능성 높음▲취약시간대(12~17시) 외출 및 야외활동 자제▲폭염 안전수칙(물,그늘,휴식) 준수 등 건강관리에 유의바랍니다",cbs,부안군,12~17시,,"[('준수 건강관리에', 0.6038)]"
2023/08/06 14:09:33,208,전라북도 부안군,201453,"연이은 폭염으로 온열질환 발생가능성 높음▲취약시간대(12~17시) 외출 및 야외활동 자제▲폭염 안전수칙(물,그늘,휴식) 준수 등 건강관리에 유의바랍니다",cbs,부안군,12~17시,,"[('준수 건강관리에', 0.6038)]"
2023/08/05 14:35:27,208,전라북도 부안군,201281,"폭염경보 지속 발효중. ▲낮시간대(14~17시) 야외·농업활동, 건설현장 실외작업을 자제하고, 폭염안전수칙(물,그늘,휴식)지키기 등 건강에 유의바랍니다",cbs,부안군,14~17시,,"[('폭염경보 지속 발효중', 0.651)]"
2023/08/05 14:34:57,"9055,9056,9060,9061","전라북도 부안군,전라북도 부안군,전라북도 부안군,전라북도 부안군",201280,"현재 대조기로 인해 해수면이 주의단계로 상승. 해안가 저지대 침수가 우려되고 있으니, 해안가, 방조제 등 위험지역에는 출입을 삼가하여 주시기 바랍니다.",cbs,부안군,,,"[('해안가 저지대', 0.7592)]"
