create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2021/08/06 12:13:17,208,전라북도 부안군,116179,인생냉면 8.1(일) 12:00 ~ 14:00/RUN pc방 8.1(일) ~ 8.5(목)까지 방문자는 보건소 선별진료소에서 검사하시기 바랍니다.,cbs,부안군청2,일,,"[('까지 방문자는', 0.451)]"
2021/08/03 17:20:44,208,전라북도 부안군,115749,"사적모임 4명까지 가능,식당·카페는 22시 이후 포장배달만 가능. 종교시설은 수용인원의 20%이내 가능하며 식사·숙박·모임 금지는 현행대로 유지됩니다",cbs,부안군청2,,,"[('이후 포장배달만 가능', 0.6521)]"
2021/08/03 09:48:10,208,전라북도 부안군,115662,방문자는 보건소 선별진료소 방문하여 검사 받으시기 바랍니다.,cbs,부안군청2,,,"[('검사 받으시기', 0.4517)]"
2021/03/26 10:54:02,208,전라북도 부안군,99945,"코로나19 예방을 위해 타지역 방문 및 외부인 접촉 자제, 마스크 착용, 시설 소독 및 환기 등 생활방역수칙을 준수하여 주시기 바랍니다.",cbs,부안군청2,,,"[('방문 외부인 접촉', 0.6722)]"
2021/03/22 11:42:57,208,전라북도 부안군,99170,"전북1312번(전주),전북1332~1333번(부안)확진자 동선 관련 한오백년추어탕, 향토청국장,뒷고기먹는날 종사자 전원 음성, 안심하고 이용바랍니다",cbs,부안군청2,전주,,"[('전원 음성 안심하고 이용바랍니다', 0.6846)]"
2021/03/19 21:12:28,208,전라북도 부안군,98756,전북 1332~1333번(부안) 확진자 관련 1차 145명 검사 진행중으로 보건소 선별진료소는 주말에도 09시~18시까지 검사가 이루어집니다.,cbs,부안군청2,부안,,"[('1차 145명', 0.6056)]"
2021/03/19 15:43:22,208,전라북도 부안군,98650,전북 1332~1333번(부안) 확진자 관련 부안읍 향토 청국장 '21. 3.16(화). 18시~19시 방문자는 보건소 선별진료소에서 검사바랍니다.,cbs,부안군청2,부안,,"[('18시 19시 방문자는', 0.6415)]"
2021/03/19 10:32:51,208,전라북도 부안군,98571,"전북 1332~1333번(부안. 전북 1312번 접촉자) 확진자 관련 방문지 소독, 동선 파악 및 역학 조사 중입니다.",cbs,부안군청2,부안. 전북 1312번 접촉자,,"[('소독 동선 파악 역학', 0.6554)]"
2021/03/18 10:43:39,208,전라북도 부안군,98378,확진자(전북 1293번 접촉자) 방문지 소독 및 역학조사 완료. 관내 이동동선 없음. 타지역 방문을 자제하시기 바랍니다.,cbs,부안군청2,전북 1293번 접촉자,,"[('역학조사 완료 관내 이동동선', 0.6326)]"
2021/03/12 10:18:14,208,전라북도 부안군,97236,"직계가족, 상견례, 6세 미만의 영유아는 8인까지 모임이 허용되고 돌잔치 전문점은 4㎡당 1명으로 인원제한 됩니다.",cbs,부안군청2,,6세,"[('영유아는 8인까지 모임이 허용되고', 0.5462)]"
2021/02/26 10:13:11,208,전라북도 부안군,94697,"유흥·단란주점, 콜라텍 등 유흥시설(8㎡당 1명)과 방문판매업(4㎡당 1명)은 인원제한되고 22시~익일 05시까지 영업제한이 현행대로 유지됩니다.",cbs,부안군청2,8㎡당 1명,,"[('1명 방문판매업', 0.652)]"
2021/02/18 06:49:27,208,전라북도 부안군,92813,"내집,내점포앞 눈치우기에 적극 동참 및 농.축,수산시설물, 수도관, 계량기 피해방지를 위해 안전점검 및 보온조치 협조바랍니다.",cbs,부안군청2,,,"[('적극 동참 수산시설물 수도관', 0.7111)]"
2021/02/17 16:37:00,208,전라북도 부안군,92704,전북1079번(전주) 확진자관련 2.15(월) 14시~19시 부안읍 카페 공차 방문자는 보건소선별진료소에 방문하여 검사바랍니다. (580-3062),cbs,부안군청2,전주,,"[('방문자는 보건소선별진료소에 방문하여', 0.6084)]"
2021/02/17 06:55:28,208,전라북도 부안군,92522,"내집,내점포앞 눈치우기에 적극 동참 및 농,축,수산 시설물,수도관,계량기 피해방지를 위해 안전점검 및 보온조치 협조바랍니다.",cbs,부안군청2,,,"[('시설물 수도관 계량기 피해방지를', 0.713)]"
2021/02/13 10:36:09,208,전라북도 부안군,91437,"유흥시설 6종(유흥·단란주점, 콜라텍 등)은 당초 집합금지에서 운영시간이 22시로 운영제한 됩니다.",cbs,부안군청2,"유흥·단란주점, 콜라텍 등",,"[('유흥시설 6종', 0.6671)]"
2021/02/06 14:34:09,208,전라북도 부안군,90129,"영업제한시설(식당·카페, 실내 체육시설, 노래연습장, 방문판매업 등)은 운영시간이 당초 21시→ 22시로 일부 연장 조정됩니다.",cbs,부안군청2,"식당·카페, 실내 체육시설, 노래연습장, 방문판매업 등",,"[('식당 카페 실내 체육시설', 0.705)]"
2021/01/29 06:14:58,208,전라북도 부안군,88209,"내집·내점포앞 눈치우기에 적극 동참 및 농·축·수산 시설물, 수도관·계량기 피해방지를 위해 안전점검 및 보온조치 협조바랍니다.",cbs,부안군청2,,,"[('피해방지를 위해 안전점검', 0.724)]"
