create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2021/03/12 10:18:55,208,전라북도 부안군,97237,"유흥·단란주점, 콜라텍 등 유흥시설(8㎡당 1명)은 영업시간제한이 해제되나 강화된 방역수칙을 준수하여 주시기 바랍니다.",cbs,부안군청3,8㎡당 1명,,"[('영업시간제한이 해제되나 강화된', 0.7697)]"
2021/02/26 10:16:51,208,전라북도 부안군,94700,"식당·카페, 노래연습장, 실내체육시설 등 영업제한이 해제되어 24시간 가능하나 노래연습장, 실내체육시설은 4㎡당 1명으로 이용인원이 제한됩니다.",cbs,부안군청3,,,"[('노래연습장 실내체육시설은 1명으로', 0.6854)]"
2021/02/13 10:37:04,208,전라북도 부안군,91439,"영업제한시설(식당·카페, 노래연습장, 실내체육시설 등)은 영업시간 제한이 해제됩니다. 단 방문판매업은 운영시간이 22시로 제한됩니다.",cbs,부안군청3,"식당·카페, 노래연습장, 실내체육시설 등",,"[('노래연습장 실내체육시설 영업시간', 0.739)]"
2021/02/06 14:34:29,208,전라북도 부안군,90130,"코로나19 예방을 위해 타지역 방문 및 외부인 접촉 자제, 마스크 착용 등 생활방역수칙을 준수하여 주시기 바랍니다.",cbs,부안군청3,,,"[('마스크 착용', 0.6507)]"
2021/01/17 16:24:54,208,전라북도 부안군,85040,"종교시설은 정규 종교활동시 좌석수 20%이내 참여가능하나 모임·식사 금지.숙박시설은 객실수 2/3이내로 예약제한, 객실내 초과인원 수용 금지됩니다.",cbs,부안군청3,,,"[('이내 참여가능하나', 0.5956)]"
2020/12/23 13:49:32,208,전라북도 부안군,76405,"종교시설은 비대면 원칙으로 영상인력 포함 20인 이내, 모임·식사 금지▲호텔·숙박시설은 객실수의 50% 예매 제한▲해넘이·해돋이 관광지가 폐쇄됩니다.",cbs,부안군청3,,,"[('원칙으로 영상인력', 0.603)]"
2020/12/09 17:20:26,208,전라북도 부안군,71680,12.6(일) 줄포면 남경반점 11:30~12:10 동 시간대 방문자는 줄포·군 선별진료소(08~22시) 문의(580-3062) 및 검사바랍니다.,cbs,부안군청3,일,,"[('방문자는 줄포 선별진료소', 0.5664)]"
2020/12/07 19:06:57,208,전라북도 부안군,71066,"유흥·단란주점, 콜라텍 등 유흥시설 5종은 집합금지 21~05시까지 노래연습장과 실내체육시설, 독서실 등 운영중단, 음식점은 포장·배달만 가능합니다",cbs,부안군청3,,,"[('독서실 운영중단', 0.5905)]"
2020/11/23 15:01:26,208,전라북도 부안군,66821,"종교시설은 시설소독 · 환기, 마스크 착용, 출입자 명부관리와 소모임 및 식사 제공 금지, 최소 1m이상 거리두기 등 방역수칙을 준수하시기 바랍니다",cbs,부안군청3,,,"[('소모임 식사 제공 금지', 0.7042)]"
2020/09/06 15:43:38,208,전라북도 부안군,54571,"전신주, 가로등, 가로수 전도 발생시 감전위험지역 절대 접근 금지하여 주시기 바랍니다.(한전고객센터 123",cbs,부안군청3,한전고객센터 123,,"[('전도 발생시 감전위험지역 절대', 0.7655)]"
2020/09/05 12:21:53,208,전라북도 부안군,54166,"전신주, 가로등, 가로수 전도 발생시 감전위험지역 절대 접근 금지하여 주시기 바랍니다.(한전고객센터 123)",cbs,부안군청3,한전고객센터 123,,"[('가로등 가로수 전도 발생시', 0.7796)]"
2020/09/02 10:58:17,208,전라북도 부안군,52674,"전신주, 가로등, 가로수 전도 발생시 감전위험지역 절대 접근 금지하여 주시기 바랍니다.(한전고객센터 123)",cbs,부안군청3,한전고객센터 123,,"[('가로등 가로수 전도 발생시', 0.7796)]"
2020/08/26 16:58:30,208,전라북도 부안군,49942,"전신주, 가로등, 가로수 전도 발생시 감전위험지역 절대 접근 금지하여 주시기 바랍니다.(한전고객센터 123)",cbs,부안군청3,한전고객센터 123,,"[('가로등 가로수 전도 발생시', 0.7796)]"
