create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/03/14 09:33:54,228,충청남도 부여군,193517,"3.8~3.14까지(1주간) 확진자 28명 발생▶고령층 등 코로나19 재감염 및 중증화예방을 위해 동절기 2가 백신접종, 감염시 즉시 치료제복용 권고",cbs,부여군청,1주간,,"[('중증화예방을 위해 동절기', 0.524)]"
2023/03/08 15:17:06,228,충청남도 부여군,193372,"금일 옥산면 홍연리 520 부근 대형 산불발생. 홍연리, 상기리, 학산리 등 인근 주민은 마을회관 등으로 대피하여 주시기 바랍니다",cbs,부여군청,,,"[('등으로 대피하여 주시기', 0.7326)]"
2023/03/07 10:49:30,228,충청남도 부여군,193331,3.1~3.7까지(1주간) 확진자 38명 발생▶하루 3회 이상 주기적인 실내환기를 통한 호흡기 감염병 예방 및 수시 손 소독 실시,cbs,부여군청,1주간,,"[('38명 발생', 0.5255)]"
2023/02/28 09:10:29,228,충청남도 부여군,193207,"2.22~2.28까지(1주간) 확진자 34명 발생▶중국발 입국자 2.28일까지 입국 후 검사 유지 후 종료(단, 입국 전 검사는 3.10일까지연장)",cbs,부여군청,1주간,,"[('28일까지 입국 검사 유지', 0.4634)]"
2023/02/21 09:16:31,228,충청남도 부여군,193119,"2.15~2.21까지(1주간) 확진자 60명 발생▶동절기 2가 백신접종시 코로나19 감염에 따른 입원예방효과, 감염후 후유증발생위험 감소효과가 있습니다",cbs,부여군청,1주간,,"[('백신접종시 코로나19 감염에 따른', 0.5513)]"
2023/02/14 10:17:41,228,충청남도 부여군,193007,"2.8~2.14까지(1주간) 확진자 65명 발생▶코로나19는 주로 침방울을 통해 전파되므로, 사람이 많은곳에서의 마스크 착용은 감염을 줄일수있습니다",cbs,부여군청,1주간,,"[('65명 발생 코로나19는', 0.4226)]"
2023/02/07 09:31:44,228,충청남도 부여군,192773,"2.1~2.7까지(1주간) 확진자 88명 발생▶하루 3회 이상, 매회 10분 이상 주기적인 실내환기를 통해 호흡기 감염병을 함께 예방해요",cbs,부여군청,1주간,,"[('1주간 확진자', 0.4631)]"
2023/01/31 09:14:18,228,충청남도 부여군,192385,"1.28~1.31까지 확진자 67명 발생▶감염취약시설(장애인복지시설 포함), 의료기관 및 약국, 보건기관, 대중교통수단 이용시 마스크 착용필수",cbs,부여군청,장애인복지시설 포함,,"[('감염취약시설 장애인복지시설', 0.6293)]"
2023/01/27 10:56:56,228,충청남도 부여군,192064,"1.27확진자 29명 발생▶코로나19 확산 방지를 위해 인파 밀집장소 방문 시 마스크 착용, 거리두기, 손 소독하기 등 방역수칙 준수 바랍니다.",cbs,부여군청,,,"[('인파 밀집장소', 0.727)]"
2023/01/26 17:50:47,228,충청남도 부여군,191989,"금일 내린 눈과 추운 날씨로 길이 미끄럽습니다. 보행 시 빙판길에 유의하여 주시고, 도로 주행 시 감속운행 등 미끄럼 사고에 유의하여 주시기 바랍니다",cbs,부여군청,,,"[('감속운행 미끄럼 사고에', 0.5844)]"
2023/01/26 09:33:09,228,충청남도 부여군,191915,1.26확진자 38명 발생▶코로나19 확진자 1일 발생 알림 재난문자는 1.30부터 주 1회(매주 화요일)만 발송됨을 알려드립니다.,cbs,부여군청,매주 화요일,,"[('30부터 1회 매주', 0.6712)]"
2023/01/25 18:27:17,228,충청남도 부여군,191858,"대설예비특보 발표. 26일 새벽 눈예보가 있으니 가급적 외출을 자제해주시고, 농작물,시설물 등 대설피해와 보행 및 교통안전에 유의하여 주시기 바랍니다",cbs,부여군청,,,"[('가급적 외출을 자제해주시고', 0.7276)]"
2023/01/25 09:22:40,228,충청남도 부여군,191774,"1.25확진자 10명 발생▶코로나19 확산 방지를 위해 인파 밀집장소 방문 시 마스크 착용, 거리두기, 손 소독하기 등 방역수칙 준수 바랍니다.",cbs,부여군청,,,"[('방문 마스크 착용 거리두기', 0.7152)]"
