create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/06 18:00:52,32,경기도 부천시,206582,"현재 부천시 강풍주의보 발효중. 공사장, 간판, 시설물 점검 및 고정 등 안전조치 바라며, 밤사이 급격한 기온하락이 예상되니 건강관리에 유의바랍니다.",cbs,부천시청,,,"[('발효중 공사장 간판 시설물', 0.6943)]"
2023/10/25 15:15:45,"9811,9812","경기도 부천시,경기도 부천시",206248,오늘 13시경 괴안동 91-18 인근 수도관 누수로 괴안동 등 일대 단수발생 예상. 현재 복구 중이며 식수 및 생활용수 확보 등 단수에 대비 바랍니다.,cbs,부천시청,,,"[('예상 현재 복구 중이며', 0.6146)]"
2023/09/25 13:39:22,9809,경기도 부천시,205717,"현재 소사본동 101-1번지 서울신학대학교 정문 전신주 전도로 인한 일대 정전 및 통신장애 발생, 한국전력공사와 통신사에서 복구 중에 있습니다.",cbs,부천시청,,,"[('정전 통신장애 발생', 0.6223)]"
2023/09/21 15:49:13,"9800,9802,9803,9804,9807,9816,9817,9819,9820,9821,9822,9823","경기도 부천시,경기도 부천시,경기도 부천시,경기도 부천시,경기도 부천시,경기도 부천시,경기도 부천시,경기도 부천시,경기도 부천시,경기도 부천시,경기도 부천시,경기도 부천시",205623,현재 화물차량 교통사고로 인해 내동사거리에서 부천IC방향에 차량통제하고 있으니 우회도로를 이용하시기 바랍니다.,cbs,부천시청,,,"[('화물차량 교통사고로', 0.6694)]"
2023/09/09 06:52:50,"9803,9804,9817,9819,9822,9823","경기도 부천시,경기도 부천시,경기도 부천시,경기도 부천시,경기도 부천시,경기도 부천시",204991,"상수도관 파손으로 도당동~여월동 일대 단수발생. 현재 복구 중에 있으며, 식수 및 생활용수 확보 등 단수에 유의바랍니다. (12시경 급수예정)",cbs,부천시청,12시경 급수예정,,"[('단수에 유의바랍니다 12시경', 0.7133)]"
2023/08/24 15:08:55,32,경기도 부천시,204362,오늘 13:30경 서해선 부천종합운동장역 인명사고로 일시중단된 소사역~원종역구간의 열차 운행을 14:55분 재개합니다.,cbs,부천시청,,,"[('운행을 14', 0.5957)]"
2023/08/24 14:13:55,32,경기도 부천시,204357,오늘 13:30경 서해선 부천종합운동장역 인명사고발생. 소사역~원종역구간까지 일시 운행 중단하오니 서해선 이용객은 다른 교통수단을 이용바랍니다.,cbs,부천시청,,,"[('이용객은 다른 교통수단을', 0.5097)]"
2023/08/24 14:01:06,32,경기도 부천시,204355,오늘 13:30경 서해선 부천종합운동장역 인명사고발생. 부천종합운동장역~원종역구간까지 일시 운행중단하오니 서해선 이용객은 다른 교통수단을 이용바랍니다.,cbs,부천시청,,,"[('인명사고발생 부천종합운동장역 원종역구간까지', 0.4972)]"
2023/08/23 12:47:06,32,경기도 부천시,204173,"집중호우로 인해 베르네천, 심곡천, 역곡천 등 하천수위가 상승하고 있어 하천 진입 통제하오니 하천변에 접근하지 마시고 안전에 유의하시기 바랍니다.",cbs,부천시청,,,"[('심곡천 역곡천 하천수위가 상승하고', 0.69)]"
2023/08/23 11:01:12,32,경기도 부천시,204131,오늘 14시부터 20분간 민방위훈련 실시. 꿈마을사거리~송내대로사거리/여월119안전센터~작동교차로/양지초~범박주공사거리 15분간 차량통제 우회바랍니다.,cbs,부천시청,,,"[('송내대로사거리 여월119안전센터 작동교차로 양지초', 0.6733)]"
2023/08/21 11:11:41,32,경기도 부천시,203879,"폭염특보 지속으로 온열질환자 증가, 낮 시간 야외활동을 자제하시고 충분한 휴식과 수분 섭취 등 건강관리에 유의 바랍니다.",cbs,부천시청,,,"[('지속으로 온열질환자', 0.7826)]"
2023/08/20 11:00:51,32,경기도 부천시,203758,"폭염주의보 지속 중, 수분을 섭취하고 서늘한 곳에서 휴식을 취하며 온열질환을 예방해주시기 바랍니다.",cbs,부천시청,,,"[('섭취하고 서늘한', 0.6416)]"
2023/08/19 11:00:33,32,경기도 부천시,203681,"폭염이 지속되고 있습니다. 온열질환 예방을 위해 야외활동을 자제하시고, 충분한 물 섭취와 휴식, 양산착용 등으로 건강관리에 유의하시기 바랍니다.",cbs,부천시청,,,"[('야외활동을 자제하시고 충분한', 0.7572)]"
2023/08/18 11:00:37,32,경기도 부천시,203592,"폭염주의보 지속 중, 낮 시간대 야외활동을 자제하시고, 고열, 어지러움 등 온열질환 발현시 즉시 물 마시기와 휴식을 취해주시기 바랍니다.",cbs,부천시청,,,"[('즉시 마시기와', 0.7325)]"
2023/08/17 11:01:09,32,경기도 부천시,203509,"폭염주의보 지속 중, 온열질환자 발생 증가, 야외활동으로 고열, 피로감 등 증상 발현 시 즉시 수분섭취와 그늘휴식으로 건강관리에 유의하시기 바랍니다.",cbs,부천시청,,,"[('증상 발현 즉시 수분섭취와', 0.75)]"
2023/08/16 11:00:39,32,경기도 부천시,203423,"현재 폭염주의보 지속 중, 고열 및 어지러움 등 온열질환 발현 시 즉시 휴식을 취해주시기 바랍니다.",cbs,부천시청,,,"[('지속 고열 어지러움', 0.6628)]"
2023/08/15 11:02:19,32,경기도 부천시,203323,"폭염주의보 지속, 옥외작업 및 야외활동 자제, 충분한 물 마시기, 양산 착용 등 건강관리에 유의하시기 바랍니다.",cbs,부천시청,,,"[('옥외작업 야외활동 자제 충분한', 0.68)]"
2023/08/14 11:00:09,32,경기도 부천시,203219,"당분간 폭염 지속, 한낮 야외활동 자제, 옥외작업 시 충분한 물섭취 및 휴식으로 온열질환을 예방하시기 바랍니다.",cbs,부천시청,,,"[('물섭취 휴식으로 온열질환을', 0.6947)]"
2023/08/13 11:30:20,32,경기도 부천시,203133,"부천시 폭염주의보 발효, 낮 시간 기온 상승 중, 야외활동 및 외부작업 시 건강관리에 유의하시기 바랍니다.",cbs,부천시청,,,"[('유의하시기 바랍니다', 0.7217)]"
2023/08/10 18:01:16,32,경기도 부천시,202982,"오늘 21시경 제6호 태풍 ‘카눈’ 부천지역 상륙, 가급적 외출 자제 바라며, 위험지역 출입금지, 낙하물에 의한 2차 피해 등에 유의 바랍니다.",cbs,부천시청,,,"[('오늘 21시경', 0.5421)]"
2023/08/10 11:42:34,32,경기도 부천시,202702,"태풍특보로 인해 산사태 위험이 높으므로, 산림 주변 위험지역 접근·통행 자제 등 안전사고에 유의바랍니다.",cbs,부천시청,,,"[('자제 안전사고에', 0.5978)]"
2023/08/10 07:14:01,32,경기도 부천시,202360,"09시부로 태풍주의보 발효. 강풍 대비 창문, 간판 등 고정, 시설물 낙하주의, 하천변 등 야외활동 위험지역 접근을 삼가시기 바랍니다.",cbs,부천시청,,,"[('대비 창문 간판', 0.7268)]"
