create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/23 17:40:43,127,부산광역시 북구,206934,"금일 밤부터 기온이 급격하게 떨어질 것으로 예상되니, 외출시 내복, 목도리 등을 착용하고 계량기 동파방지 및 난방기 사용시 화재예방에 유의 바랍니다.",cbs,북구,,,"[('기온이 급격하게', 0.743)]"
2023/11/18 07:28:06,127,부산광역시 북구,206837,"새벽사이 내린 눈으로 산성로, 만덕고개길 등 도로결빙이 예상되오니 안전운전 및 미끄럼사고에 주의하시기 바랍니다.",cbs,북구,,,"[('도로결빙이 예상되오니', 0.7401)]"
2023/09/23 08:42:22,127,부산광역시 북구,205663,금일 08시부로 화명생태공원 전 구간 통제 해제되었으니 이용에 참고해 주시기 바랍니다.,cbs,북구,,,"[('참고해 주시기', 0.5621)]"
2023/09/22 08:25:14,127,부산광역시 북구,205633,"금일 화명생태공원 덕천교 하상도로(생태공원~구포방면 진출로) 통제(원인: 낙동강 수위 상승) 및 그 외 구간 해제, 이용에 참고해 주시기 바랍니다. .",cbs,북구,생태공원~구포방면 진출로,,"[('화명생태공원 덕천교 하상도로 생태공원', 0.6935)]"
2023/09/20 19:14:46,165,울산광역시 북구,205494,"금일 울산지역 많은 비가 예상되오니 하천변 등 위험지역 출입을 삼가하고, 속심이보, 재전보, 상안, 시례잠수교 등 통제 중이오니 우회하시기 바랍니다.",cbs,북구,,,"[('많은 비가 예상되오니 하천변', 0.7438)]"
2023/09/17 11:04:02,127,부산광역시 북구,205293,"화명생태공원 차량 진출입로는 전면 해제되었으나, 생태공원 산책로 및 지하보도, 대천천 산책로는 지속 통제중이니 이용에 참고해 주시기 바랍니다.",cbs,북구,,,"[('진출입로는 전면 해제되었으나 생태공원', 0.6736)]"
2023/09/17 08:09:35,165,울산광역시 북구,205286,"금일 집중호우로 인하여 속심이보, 제전보, 상안잠수교, 시례잠수교, 동천 징검다리 등 통제 중이오니 우회하시기 바랍니다.",cbs,북구,,,"[('집중호우로 인하여', 0.7215)]"
2023/09/17 08:03:16,127,부산광역시 북구,205285,"화명생태공원 진출입로, 덕천교 하상도로, 산성터널 진입 옆 도로, 금곡대로(호포방면) 갑작스런 호우에 따른 도로침수 발생, 인근차량은 우회 바랍니다.",cbs,북구,호포방면,,"[('금곡대로 호포방면 갑작스런', 0.7272)]"
2023/09/17 06:20:37,165,울산광역시 북구,205269,"많은 비가 예상됨에 따라 해안가, 하천변, 저지대 등 급류에 각별히 유의하시고, 위험지역 출입을 자제하시기 바랍니다.",cbs,북구,,,"[('급류에 각별히 유의하시고 위험지역', 0.712)]"
2023/09/16 12:55:45,165,울산광역시 북구,205189,"금일 낙뢰를 동반한 많은 비가 예상되오니 해안가 및 하천변 저지대 등 위험지역 출입을 삼가하고, 속심이보, 재전보 등 통제 중이오니 우회하시기 바랍니다.",cbs,북구,,,"[('삼가하고 속심이보 재전보', 0.731)]"
2023/09/01 21:00:35,165,울산광역시 북구,204817,"울산 호우주의보 발효에 따라 해안가 및 하천변 저지대 등 위험지역 출입을 삼가하고, 속심이보, 재전보 등 통제 중이오니 우회하시기 바랍니다.",cbs,북구,,,"[('출입을 삼가하고 속심이보 재전보', 0.7234)]"
2023/09/01 16:09:59,127,부산광역시 북구,204780,"지속된 호우로 수위가 높아져 대천천 산책로, 화명생태공원 산책로 및 차량 진출입로를 지속 통제 중이오니, 출퇴근 차량은 우회하여 주시기 바랍니다.",cbs,북구,,,"[('우회하여 주시기 바랍니다', 0.698)]"
2023/09/01 06:25:01,127,부산광역시 북구,204758,"지속된 호우로 수위가 높아져 대천천 산책로, 화명생태공원 산책로 및 차량 진출입로를 지속 통제 중이오니, 출퇴근 차량은 우회하여 주시기 바랍니다.",cbs,북구,,,"[('우회하여 주시기 바랍니다', 0.698)]"
2023/08/31 21:05:47,165,울산광역시 북구,204741,"호우주의보 발효에 따라 해안가, 하천변산책로 등 위험지역에 접근을 금지하시고, 속심이보, 시례잠수교 등 통제 중이오니 차량 우회하시기 바랍니다.",cbs,북구,,,"[('위험지역에 접근을 금지하시고', 0.7087)]"
