create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/02/09 18:33:24,129,부산광역시 사하구,192855,"하단동, 당리동 각 가정에서는 단수에 대비하여 수돗물을 받아놓으시기 바랍니다.",cbs,사하구청,,,"[('수돗물을 받아놓으시기', 0.2676)]"
2023/02/09 18:33:02,129,부산광역시 사하구,192854,"부산 상수도 사업소 안내 사항입니다. 하단동 상수관 파열로 인해 하단동 고지대는 현재 단수중이며, 10일 아침까지 복구 예정입니다.",cbs,사하구청,,,"[('인해 하단동', 0.7118)]"
2023/01/23 20:10:36,129,부산광역시 사하구,191493,"24~25일 강추위가 예상되오니 노약자 보온유지 및 야외활동 자제, 수도계량기 동파방지, 온열기 화재예방 등 안전에 유의하시기 바랍니다.",cbs,사하구청,,,"[('노약자 보온유지 야외활동 자제', 0.5184)]"
2022/11/29 11:53:47,129,부산광역시 사하구,182883,"오늘 21시 한파경보 발효예정입니다. 노약자 보온 유지, 야외활동 자제, 수도관 등 보온조치, 온열기 화재방지 등 한파에 대비해 주시기 바랍니다.",cbs,사하구청,,,"[('온열기 화재방지 한파에', 0.6297)]"
2022/09/19 08:38:25,129,부산광역시 사하구,173577,태풍 난마돌 관련 사하구보건소 선별진료소운영시간이 14시~18시로 조정 오전중은 가까운 호흡기진료센터를 이용하시기 바랍니다. 051-220-0052,cbs,사하구청,,,"[('14시 18시로 조정 오전중은', 0.7281)]"
2022/09/18 21:40:12,129,부산광역시 사하구,173534,(오늘 오후 9시부로 태풍경보 발효) 침수나 산사태 위험이 있는 인근 주민께서는 기상상황을 수시 확인하여 태풍 피해에 대비해 주시기 바랍니다.,cbs,사하구청,오늘 오후 9시부로 태풍경보 발효,,"[('기상상황을 수시', 0.6044)]"
2022/09/18 17:29:11,129,부산광역시 사하구,173481,태풍‘난마돌’ 북상으로 많은 비바람이 예상 되오니 침수나 산사태 위험이 있는 인근 구민께서는 기상상황을 수시 확인하고 미리 대피를 준비하시기 바랍니다.,cbs,사하구청,,,"[('태풍 난마돌', 0.6464)]"
2022/09/18 12:25:50,129,부산광역시 사하구,173416,"태풍'난마돌'북상으로 많은 비와 강풍이 예상되므로 외출자제, 창틀고정 등 안전관리에 유의하시고, 침수우려지역 주민들께서는 미리 대피하시기 바랍니다.",cbs,사하구청,,,"[('북상으로 많은 비와', 0.7132)]"
2022/09/06 08:57:43,129,부산광역시 사하구,171699,다대씨파크 앞 해안도로(다대1치안센터~호산나유치원) 08:50분부로 통제해제 되었음을 알려드립니다.,cbs,사하구청,다대1치안센터~호산나유치원,,"[('50분부로 통제해제 되었음을', 0.4575)]"
2022/09/05 22:48:34,129,부산광역시 사하구,171457,"태풍북상 해안가 및 침수우려지역 주민들께서는 미리 대피하여 주시기 바랍니다.생필품이 구비되어 있는 대피시설 5개소(사하초,다대중,감천중,효림초,하단초)",cbs,사하구청,"사하초,다대중,감천중,효림초,하단초",,"[('미리 대피하여 주시기 바랍니다', 0.6979)]"
2022/09/05 22:12:00,129,부산광역시 사하구,171437,구평 선박수리기계조합 구역은 월파로 침수가 시작되었으니 인근 차량은 안전한 곳으로 이동하여 주시기 바랍니다.,cbs,사하구청,,,"[('구평 선박수리기계조합', 0.6218)]"
