create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/09/20 22:26:05,74,경상북도 전체,205575,"내일까지 많은 비가 예보되어 산사태 발생이 우려되므로 산림 주변 야외활동 자제와 대피명령 시 마을회관, 학교 등 안전한 곳으로 대피하시기 바랍니다.",cbs,산림청,,,"[('주변 야외활동 자제와 대피명령', 0.7027)]"
2023/09/20 19:20:58,"113,6474","대전광역시 전체,세종특별자치시",205498,"내일까지 많은 비가 예보되어 산사태 발생이 우려되므로 산림 주변 야외활동 자제와 대피명령 시 마을회관, 학교 등 안전한 곳으로 대피하시기 바랍니다.",cbs,산림청,,,"[('주변 야외활동 자제와 대피명령', 0.7027)]"
2023/09/20 17:23:40,"2,53,74,104,119,162,179,202,222,238","강원특별자치도 전체,경상남도 전체,경상북도 전체,대구광역시 전체,부산광역시 전체,울산광역시 전체,전라남도 전체,전라북도 전체,충청남도 전체,충청북도 전체",205449,"내일까지 많은 비가 예보되어 산사태 발생이 우려되므로 산림 주변 야외활동 자제와 대피명령 시 마을회관, 학교 등 안전한 곳으로 대피하시기 바랍니다.",cbs,산림청,,,"[('주변 야외활동 자제와 대피명령', 0.7027)]"
2023/09/01 19:51:45,"53,119,162","경상남도 전체,부산광역시 전체,울산광역시 전체",204803,"남해안지역에 많은 비가 내려 산사태 발생이 우려되므로 산림 주변 야외활동 자제와 대피명령 시 마을회관, 학교 등 안전한 곳으로 대피하시기 바랍니다.",cbs,산림청,,,"[('곳으로 대피하시기', 0.7194)]"
2023/08/30 09:17:08,"53,74,104,179","경상남도 전체,경상북도 전체,대구광역시 전체,전라남도 전체",204625,"많은 비가 내려 산사태 발생 위험이 높으므로 산림 주변 접근 금지, 대피 명령이 있을 시 마을회관, 학교 등 안전한 곳으로 즉시 대피하시기 바랍니다.",cbs,산림청,,,"[('금지 대피 명령이', 0.729)]"
2023/08/29 17:07:14,"2,21,53,74,98,104,113,119,136,162,168,179,202,222,238,6474","강원특별자치도 전체,경기도 전체,경상남도 전체,경상북도 전체,광주광역시 전체,대구광역시 전체,대전광역시 전체,부산광역시 전체,서울특별시 전체,울산광역시 전체,인천광역시 전체,전라남도 전체,전라북도 전체,충청남도 전체,충청북도 전체,세종특별자치시",204565,"호우로 산사태 발생이 우려되므로 산림 주변 야외활동을 자제하시고, 대피 명령이 있을 시 마을회관, 학교 등 안전한 곳으로 대피하시기 바랍니다.",cbs,산림청,,,"[('산사태 발생이 우려되므로 산림', 0.7406)]"
2023/08/24 19:05:21,"2,21,53,74,98,104,113,119,136,162,168,179,202,222,238,6474","강원특별자치도 전체,경기도 전체,경상남도 전체,경상북도 전체,광주광역시 전체,대구광역시 전체,대전광역시 전체,부산광역시 전체,서울특별시 전체,울산광역시 전체,인천광역시 전체,전라남도 전체,전라북도 전체,충청남도 전체,충청북도 전체,세종특별자치시",204406,호우로 산사태 위험이 높으므로 산림 주변 야외활동을 자제하시고 대피명령 있을 시 산림과 떨어진 마을회관·학교 등 안전한 곳으로 대피하시기 바랍니다.,cbs,산림청,,,"[('야외활동을 자제하시고', 0.6442)]"
2023/08/23 22:57:39,"2,21,238","강원특별자치도 전체,경기도 전체,충청북도 전체",204297,"호우로 산사태 위험이 높으므로 산림 주변 야외활동을 자제하시고 대피명령 있을 시 산림과 떨어진 마을회관, 학교 등 안전한 곳으로 대피하시기 바랍니다.",cbs,산림청,,,"[('야외활동을 자제하시고', 0.6769)]"
2023/08/10 19:00:36,"2,21,113,136,168,202,222,238,6474","강원특별자치도 전체,경기도 전체,대전광역시 전체,서울특별시 전체,인천광역시 전체,전라북도 전체,충청남도 전체,충청북도 전체,세종특별자치시",202996,"그동안 내린 비로 지반이 약해져 산사태 위험이 높습니다. 산림 인근 접근을 자제하시고 대피명령이 있을 경우 학교, 마을회관 등으로 반드시 대피하세요.",cbs,산림청,,,"[('반드시 대피하세요', 0.7357)]"
2023/08/10 07:39:35,"2,21,53,74,98,104,113,119,136,162,168,179,202,217,222,238,6474","강원특별자치도 전체,경기도 전체,경상남도 전체,경상북도 전체,광주광역시 전체,대구광역시 전체,대전광역시 전체,부산광역시 전체,서울특별시 전체,울산광역시 전체,인천광역시 전체,전라남도 전체,전라북도 전체,제주특별자치도 전체,충청남도 전체,충청북도 전체,세종특별자치시",202396,"태풍으로 많은 비가 내려 산사태 발생이 우려됩니다. 산림 인근 접근을 자제하시고 대피명령이 있을 경우 학교, 마을회관 등으로 반드시 대피하세요.",cbs,산림청,,,"[('우려됩니다 산림 인근 접근을', 0.7085)]"
2023/08/09 16:29:55,"2,21,53,74,98,104,113,119,136,162,168,179,202,217,222,238,6474","강원특별자치도 전체,경기도 전체,경상남도 전체,경상북도 전체,광주광역시 전체,대구광역시 전체,대전광역시 전체,부산광역시 전체,서울특별시 전체,울산광역시 전체,인천광역시 전체,전라남도 전체,전라북도 전체,제주특별자치도 전체,충청남도 전체,충청북도 전체,세종특별자치시",202083,"태풍 북상으로 강한 바람과 많은 비가 예상됩니다. 산림 방문을 자제하시고 산림 주변 거주민께서는 가족, 이웃과 함께 마을회관 등으로 미리 대피해주세요.",cbs,산림청,,,"[('예상됩니다 산림 방문을', 0.6816)]"
2023/07/30 21:08:07,"2,21,113,136,202,222,238,6474","강원특별자치도 전체,경기도 전체,대전광역시 전체,서울특별시 전체,전라북도 전체,충청남도 전체,충청북도 전체,세종특별자치시",200408,먼저 내린 비의 양이 많아 적은 비로도 산사태 위험이 높으므로 대피명령 있을 시 산림과 떨어진 마을회관·학교 등 안전한 곳으로 대피하시기 바랍니다.,cbs,산림청,,,"[('위험이 높으므로 대피명령 있을', 0.656)]"
2023/07/23 20:56:45,"53,98,113,238,6474","경상남도 전체,광주광역시 전체,대전광역시 전체,충청북도 전체,세종특별자치시",199569,누적된 선행 강우량이 많아 산사태 위험이 매우 높으므로 대피명령 있을 시 산림과 떨어진 마을회관·학교 등 안전한 곳으로 대피하시기 바랍니다.,cbs,산림청,,,"[('선행 강우량이', 0.6443)]"
