create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/10/25 13:37:01,"10366,10368,10369,10370","경상남도 산청군,경상남도 산청군,경상남도 산청군,경상남도 산청군",206245,"금일 수도관 파손으로 산청읍, 오부면, 생초면, 금서면 지역 수도공급이 중단되어 복구작업 중이오니 식수 확보 및 장기 단수에 대비 바랍니다.",cbs,산청군,,,"[('생초면 금서면 지역 수도공급이', 0.7121)]"
2023/08/30 06:17:26,62,경상남도 산청군,204591,<호우경보 발효>산청군 관내 집중호우로 많은비가 내리고 있습니다. 하천출입을 자재하여 주시고 야영객은 안전지대로 대피하여 주시기 바랍니다.,cbs,산청군,,,"[('발효 산청군 관내 집중호우로', 0.7498)]"
2023/08/23 21:34:14,62,경상남도 산청군,204291,호우주의보 발효. 산청군 관내 집중호우로 많은비가 내리고 있습니다. 하천출입을 자제하여 주시고 물놀이 야영객은 안전지대로 대피하여 주시기 바랍니다.,cbs,산청군,,,"[('호우주의보 발효 산청군', 0.7002)]"
2023/08/18 18:41:37,62,경상남도 산청군,203648,"오늘 18시20분 산청지역 호우주의보 발효, 게릴라성 집중호우에 유의하시고 물놀이 야영객은 대피해여 주시기 바랍니다.",cbs,산청군,,,"[('산청지역 호우주의보', 0.6662)]"
2023/08/17 02:20:16,62,경상남도 산청군,203475,"호우주의보 발효 산청군 남부지역 국지성 집중호우 발생, 시간당 50mm 이상 하천변 출입 금지, 외출 자재 및 유원지 캠핑장 등 피서객 고지대로 대피",cbs,산청군,,,"[('발효 산청군 남부지역 국지성', 0.4905)]"
2023/08/10 11:40:24,62,경상남도 산청군,202699,"오늘 11:00 남강 산청읍 경호교 지점 홍수주의보 발령, 방송 등을 통해 홍수상황을 확인하시고, 하천변 이용을 자제하시기 바랍니다.",cbs,산청군,,,"[('오늘 11 00 남강', 0.6024)]"
2023/08/10 08:10:19,62,경상남도 산청군,202436,"<태풍 경보 발효 중> 물꼬 작업 및 하천변 출입금지, 외출자재 등 안전에 유의하시고 기상 및 주변 상황을 수시로 확인하시기 바랍니다.",cbs,산청군,,,"[('하천변 출입금지', 0.7459)]"
2023/07/31 13:39:03,62,경상남도 산청군,200491,"폭염경보 발효중, 낮시간 야외활동(비닐하우스, 논, 밭 등) 자제, 무더위쉼터 활용, 충분한 물마시기 등 안전에 유의바랍니다",cbs,산청군,"비닐하우스, 논, 밭 등",,"[('활용 충분한 물마시기 안전에', 0.6651)]"
2023/07/19 16:25:52,62,경상남도 산청군,199013,"지방도 1026호선 도로(오부면 신기-내평구간) 도로법면 유실로 통행제한하오니, 신기마을방향 농로 또는 생초 앞수구간 도로로 우회바랍니다.",cbs,산청군,오부면 신기-내평구간,,"[('1026호선 도로 오부면', 0.7087)]"
2023/07/19 15:25:33,62,경상남도 산청군,199008,7월 18일 토사유출로 차량통행이 제한되었던 산청군 신안면 외송리 간디고등학교~둔철마을 구간의 도로정비가 완료되어 차량 통행이 가능함을 안내 드립니다.,cbs,산청군,,,"[('외송리 간디고등학교', 0.6275)]"
2023/07/18 21:12:25,62,경상남도 산청군,198892,"산청군 신안면 외송리 간디고등학교 ~ 둔철마을 구간의 도로에 토사유출로 인해 차량통행이 제한되오니, 신등면 방면으로 우회하여 통행하여 주시기 바랍니다.",cbs,산청군,,,"[('차량통행이 제한되오니 신등면 방면으로', 0.7432)]"
2023/07/18 18:14:06,62,경상남도 산청군,198776,<침수도로 통제>생비량 시매마을~신안면 청현마을 도로침수 우려구간으로 통제하오니 차량이동간 주의하기시 바랍니다.,cbs,산청군,,,"[('통제 생비량 시매마을', 0.6943)]"
2023/07/18 17:35:34,62,경상남도 산청군,198761,"오부면 최대 시우 38.5mm 극한호우 차량통행 및 외출 자제, 선들재 구간 현재 토사유출과 다량의 물이 도로로 넘쳐 차량통행이 위험하오니 주의바랍니다.",cbs,산청군,,,"[('토사유출과 다량의 물이 도로로', 0.4219)]"
2023/07/16 09:59:35,62,경상남도 산청군,198185,"<내리 하상도로 통제중> 호우경보 발효 외출자제(물꼬,배수로 정비금지) 산사태, 하천범람 침수위험지역 거주자 마을회관 등 안전한 곳으로 사전대피 바랍니다",cbs,산청군,"물꼬,배수로 정비금지",,"[('정비금지 산사태', 0.7162)]"
2023/07/15 19:25:02,62,경상남도 산청군,198024,"지리산부근 시간당 30~50mm의 폭우 예보 외출자제,산사태,하천범람,상습침수 등 위험지역 거주민은 마을회관 등 안전한 곳으로 사전대피바랍니다.",cbs,산청군,,,"[('시간당 30', 0.4894)]"
2023/07/14 05:00:19,62,경상남도 산청군,197235,"<경호강,덕천강 수위상승 호우주의보 발효> 하천, 계곡, 야영객은 안전한 곳으로 이동하여 주시고, 물꼬, 배수로 작업 및 외출 자제바랍니다.",cbs,산청군,,,"[('수위상승 호우주의보 발효', 0.7566)]"
2023/06/29 16:57:29,62,경상남도 산청군,196158,"<경호강,덕천강 수위상승 호우예비특보 발표> 하천,계곡, 야영객은 안전한 곳으로 이동하여 주시고, 물꼬,배수로 작업자체 및 취약계층 외출 자제바랍니다.",cbs,산청군,,,"[('이동하여 주시고', 0.7498)]"
2023/05/07 15:20:44,62,경상남도 산청군,194947,현재 산청군 황매산 일대에 강풍과 돌풍으로 등반객들의 안전을 위해 5월 7일 15시부터 일시 입산을 통제하오니 산에서 안전에 유의하여 주시기 바랍니다.,cbs,산청군,,,"[('입산을 통제하오니', 0.6474)]"
2023/04/01 12:02:32,62,경상남도 산청군,193982,"금일 11시 삼장면 산106-4(내원사 매표소) 뒷산 산불 발생, 입산을 자제하고 인근 주민과 등산객은 안전한 곳으로 즉시 대피하시기 바랍니다.",cbs,산청군,내원사 매표소,,"[('입산을 자제하고', 0.5558)]"
2023/03/26 10:25:39,62,경상남도 산청군,193813,"계속되는 건조한 날씨로 산불발생 위험이 높으니 논·밭두렁, 쓰레기 불법소각 행위 금지 및 화기 취급에 유의하여 주시기 바랍니다.",cbs,산청군,,,"[('취급에 유의하여 주시기 바랍니다', 0.544)]"
2023/03/21 13:27:58,62,경상남도 산청군,193702,12:50분경 생비량면 제보리 불타사 인근 야산 산불발생. 확산이 우려되니 상능마을 및 인근주민은 안전한 곳(제보마을회관)으로 대피하시기 바랍니다.,cbs,산청군,제보마을회관,,"[('확산이 우려되니 상능마을', 0.495)]"
2023/03/19 10:09:58,62,경상남도 산청군,193641,산불재난 국가위기경보 ‘경계’ 단계 발령 중 ▲산림과 가까운 논밭에서는 절대 불을 놓지 마시고 ▲입산시 화기소지 금지 꼭 지켜주시기 바랍니다.,cbs,산청군,,,"[('입산시 화기소지', 0.6301)]"
2023/03/18 09:48:58,62,경상남도 산청군,193613,산불재난 국가위기경보 ‘경계’ 단계 발령 중 ▲산림과 가까운 논밭에서는 절대 불을 놓지 마시고 ▲입산시 화기소지 금지 꼭 지켜주시기 바랍니다.,cbs,산청군,,,"[('입산시 화기소지', 0.6301)]"
2022/01/24 15:56:46,62,경상남도 산청군,139657,"1.21(금)13:10진주→산청/1.23(일)08:08산청→진주/1.23(일)07:40오부음촌→산청/버스탑승자는 선별진료소방문,PCR검사받으시기 바랍니다",cbs,산청군,금,,"[('23 08 08산청', 0.6081)]"
2021/11/26 09:42:34,62,경상남도 산청군,131000,덕산목욕탕11월20일(18:30~20:00)21일(19:00~20:30 )22일(17:30~19:30)23일(12:30~14:00)여탕방문자코로나검사실시,cbs,산청군,18:30~20:00,,"[('20 30 22일 17', 0.5031)]"
