create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/03/17 11:20:40,62,경상남도 산청군,193597,산불재난 국가위기경보 ‘경계’ 단계 발령 중 ▲산림과 가까운 논밭에서는 절대 불을 놓지 마시고 ▲입산시 화기소지 금지 꼭 지켜주시기 바랍니다.,cbs,산청군청,,,"[('입산시 화기소지', 0.6301)]"
2023/03/12 10:19:52,62,경상남도 산청군,193469,날씨가 건조하여 산불위험이 매우 높습니다. ▲ 산림과 가까운 논밭에서는 절대 불을 놓지 마시고 ▲ 입산시 화기소지 금지 꼭 지켜주시기 바랍니다.,cbs,산청군청,,,"[('불을 놓지 마시고', 0.6475)]"
2023/03/11 10:09:57,62,경상남도 산청군,193435,날씨가 건조하여 산불위험이 매우 높습니다. ▲ 폐기물 불법소각 금지 ▲ 산림인접 논밭두렁 소각 금지 ▲ 입산시 화기소지 금지 꼭 지켜주시기 바랍니다.,cbs,산청군청,,,"[('높습니다 폐기물 불법소각 금지', 0.6286)]"
2023/03/10 18:06:02,62,경상남도 산청군,193431,날씨가 건조하여 산불위험이 매우 높습니다. ▲ 폐기물 불법소각 금지 ▲ 산림인접 논밭두렁 소각 금지 ▲ 입산시 화기소지 금지 꼭 지켜주시기 바랍니다.,cbs,산청군청,,,"[('높습니다 폐기물 불법소각 금지', 0.6286)]"
2023/03/07 16:30:59,62,경상남도 산청군,193345,"금일 15:44경 차황면 장박리(황매산 터널 인근) 산불 발생, 입산을 자제하고 인근 주민은 산에서 멀리 떨어진 안전한 곳으로 대피하시기 바랍니다.",cbs,산청군청,황매산 터널 인근,,"[('터널 인근 산불 발생', 0.6793)]"
2023/02/05 14:26:42,62,경상남도 산청군,192704,"감염취약시설, 병원, 약국, 대중교통수단(버스, 택시 등)의 실내에서는 마스크를 꼭 써야 합니다. 코로나 개량백신 추가 접종 권장 ☏ 970-8901",cbs,산청군청,"버스, 택시 등",,"[('감염취약시설 병원 약국', 0.5833)]"
2023/02/04 13:45:11,62,경상남도 산청군,192659,"감염취약시설, 병원, 약국, 대중교통수단(버스, 택시 등)의 실내에서는 마스크를 꼭 써야 합니다. 코로나 개량백신 추가 접종 권장 ☏ 970-8901",cbs,산청군청,"버스, 택시 등",,"[('감염취약시설 병원 약국', 0.5833)]"
2023/02/03 15:36:02,62,경상남도 산청군,192618,"감염취약시설, 병원, 약국, 대중교통수단에서 실내 마스크 착용 의무 유지, 그 밖 실내는 착용 권고/코로나 개량백신 추가 예방접종 권장☏970-8901",cbs,산청군청,,,"[('실내 마스크 착용 의무', 0.6593)]"
2023/01/24 09:34:17,62,경상남도 산청군,191574,"설연휴 1.24(오전)진료안내▶청송의원,원지제일의원, 약국안내▶대학약국,산청행복약국, 자세한사항은 산청군홈페이지참조, 문의☏970-7582",cbs,산청군청,오전,,"[('오전 진료안내 청송의원 원지제일의원', 0.5683)]"
2023/01/23 09:45:13,62,경상남도 산청군,191328,"설연휴 진료안내▶산청군보건의료원(24시간진료), 1.23(월)약국안내▶중앙약국(09시~18시), 자세한사항은 산청군홈페이지참조, 문의☏970-7582",cbs,산청군청,24시간진료,,"[('24시간진료 23 약국안내', 0.5556)]"
2023/01/22 10:03:57,62,경상남도 산청군,191246,"설연휴 진료안내▶산청군보건의료원(24시간진료), 1.22(일)약국안내▶중앙약국(09시~18시), 자세한사항은 산청군홈페이지참조, 문의☏970-7582",cbs,산청군청,24시간진료,,"[('산청군홈페이지참조 문의', 0.5354)]"
2023/01/21 10:41:39,62,경상남도 산청군,191155,"설연휴1.21(오전)진료안내▶윤의원,제생의원, 약국안내▶메티팜보광약국,대학약국,산청행복약국,덕산약국,시은약국, 산청군홈페이지참조, 문의☏970-7582",cbs,산청군청,오전,,"[('오전 진료안내 윤의원 제생의원', 0.4975)]"
2023/01/20 14:49:01,62,경상남도 산청군,191038,"설 연휴 오전 진료의원 1.21(토) 윤의원, 제생의원, 1.24(화)청송의원, 원지제일의원, 자세한사항은 산청군홈페이지 참조, 문의☏970-7582",cbs,산청군청,토,,"[('원지제일의원 자세한사항은 산청군홈페이지', 0.6242)]"
2023/01/17 13:54:58,62,경상남도 산청군,190659,1.17.(화) 14시 기준 확진자 25명▲변이 코로나19 예방을 위한 60세 이상 코로나 2가 백신 추가접종 권장▲당일접종가능 ☏970-7545,cbs,산청군청,화,60세,"[('60세 이상', 0.5874)]"
2023/01/16 14:00:28,62,경상남도 산청군,190529,1.16.(월) 14시 기준 확진자 12명▲변이 코로나19 예방을 위한 60세 이상 코로나 2가 백신 추가접종 권장▲당일접종가능 ☏970-7545,cbs,산청군청,월,60세,"[('변이 코로나19 예방을', 0.4993)]"
2023/01/15 14:00:25,62,경상남도 산청군,190377,"1.15.(일) 14시 기준 확진자 2명▲변이 코로나 감염 예방을 위한 60세 이상, 코로나 2가백신 추가접종 권장 ▲당일 접종 가능☏ 970-7545",cbs,산청군청,일,60세,"[('당일 접종 가능', 0.5133)]"
2023/01/14 14:09:48,62,경상남도 산청군,190224,1.14.(토) 14시 기준 확진자 13명▲변이 코로나19 예방을 위한 60세 이상 코로나 2가 백신 추가접종 권장▲당일접종가능 ☏970-7545,cbs,산청군청,토,60세,"[('이상 코로나 2가 백신', 0.5701)]"
2023/01/13 14:00:39,62,경상남도 산청군,190079,1.13.(금) 14시 기준 확진자 32명▲변이 코로나19 예방을 위한 60세 이상 코로나 2가 백신 추가접종 권장▲당일접종가능 ☏970-7545,cbs,산청군청,금,60세,"[('변이 코로나19 예방을', 0.5059)]"
2023/01/12 14:04:37,62,경상남도 산청군,189919,1.12.(목) 14시 기준 확진자 12명▲변이 코로나19 예방을 위한 60세 이상 코로나 2가 백신 추가접종 권장▲당일접종가능 ☏970-7545,cbs,산청군청,목,60세,"[('코로나19 예방을 위한 60세', 0.5375)]"
2023/01/11 14:02:18,62,경상남도 산청군,189791,1.11.(수) 14시 기준 확진자 24명▲변이 코로나19 예방을 위한 60세 이상 코로나19 2가 백신 추가접종▲당일접종가능 ☏970-7545,cbs,산청군청,수,60세,"[('14시 기준 확진자 24명', 0.4965)]"
2023/01/10 15:12:54,62,경상남도 산청군,189666,1.10.(화) 15시 기준 확진자 23명▲변이 코로나 예방을 위한 60세 이상 코로나19 동절기 추가접종▲당일접종가능 ☏970-7545,cbs,산청군청,화,60세,"[('확진자 23명', 0.5301)]"
2023/01/08 13:50:03,62,경상남도 산청군,189400,"1.8.(일)13시 기준 확진자 6명▲12세 이상 기초접종(1,2차이상) 완료자 코로나19 동절기 추가접종 권장▲당일접종가능 ☏055-970-7545",cbs,산청군청,일,12세,"[('12세 이상', 0.4654)]"
2023/01/07 14:13:21,62,경상남도 산청군,189254,"1.7.(토)14시 기준 확진자 20명▲12세 이상 기초접종(1,2차이상) 완료자 코로나19 동절기 추가접종 권장▲당일접종가능 ☏055-970-7545",cbs,산청군청,토,12세,"[('확진자 20명 12세 이상', 0.4682)]"
2023/01/06 13:59:58,62,경상남도 산청군,189072,"1.6.(금) 14시 기준 확진자 29명▲12세이상 기초접종(1,2차이상) 완료자 코로나19 동절기 추가접종▲당일접종가능 ☏970-7545",cbs,산청군청,금,12세,"[('코로나19 동절기 추가접종 당일접종가능', 0.5007)]"
2023/01/05 14:03:02,62,경상남도 산청군,188926,"1.5.(목) 14시 기준 확진자 13명▲12세이상 기초접종(1,2차이상) 완료자 코로나19 동절기 추가접종▲당일접종가능 ☏970-7545",cbs,산청군청,목,12세,"[('12세이상 기초접종 2차이상', 0.4935)]"
2023/01/04 13:58:27,62,경상남도 산청군,188787,"1.4.(수) 14시 기준 확진자 32명▲12세이상 기초접종(1,2차이상) 완료자 코로나19 동절기 추가접종▲당일접종가능 ☏970-7545",cbs,산청군청,수,12세,"[('12세이상 기초접종 2차이상', 0.4681)]"
2023/01/03 14:09:28,62,경상남도 산청군,188646,"1.3.(화) 14시 기준 확진자 66명▲12세이상 기초접종(1,2차이상) 완료자 코로나19 동절기 추가접종▲당일접종가능 ☏970-7545",cbs,산청군청,화,12세,"[('동절기 추가접종', 0.4658)]"
2023/01/02 15:23:03,62,경상남도 산청군,188509,"1.2.(월) 15시 기준 확진자 42명▲12세이상 기초접종(1,2차이상) 완료자 코로나19 동절기 추가접종▲당일접종가능 ☏970-7545",cbs,산청군청,월,12세,"[('15시 기준', 0.4253)]"
2023/01/01 14:01:27,62,경상남도 산청군,188367,"1.1.(일) 14시 기준 확진자 9명▲12세이상 기초접종(1,2차이상) 완료자 코로나19 동절기 추가접종▲당일접종가능 ☏970-7545",cbs,산청군청,일,12세,"[('9명 12세이상 기초접종 2차이상', 0.419)]"
2022/12/31 14:10:43,62,경상남도 산청군,188200,"12.31.(토) 14시 기준 확진자 27명▲12세이상 기초접종(1,2차이상) 완료자 코로나19 동절기 추가접종▲당일접종가능 ☏970-7545",cbs,산청군청,토,12세,"[('2차이상 완료자 코로나19 동절기', 0.5328)]"
2022/12/30 14:07:12,62,경상남도 산청군,188059,"12.30.(금) 14시 기준 확진자 61명▲12세이상 기초접종(1,2차이상) 완료자 코로나19 동절기 추가접종▲당일접종가능 ☏970-7545",cbs,산청군청,금,12세,"[('2차이상 완료자 코로나19 동절기', 0.5472)]"
2022/12/29 14:05:01,62,경상남도 산청군,187907,"12.29.(목) 14시 기준 확진자 21명▲12세이상 기초접종(1,2차이상) 완료자 코로나19 동절기 추가접종▲당일접종가능 ☏970-7545",cbs,산청군청,목,12세,"[('기준 확진자 21명', 0.5987)]"
2022/12/28 14:03:00,62,경상남도 산청군,187777,"12.28.(수) 14시 기준 확진자 29명▲12세이상 기초접종(1,2차이상) 완료자 코로나19 동절기 추가접종▲당일접종가능 ☏970-7545",cbs,산청군청,수,12세,"[('동절기 추가접종', 0.5512)]"
2022/12/27 14:06:34,62,경상남도 산청군,187629,"12.27.(화) 14시 기준 확진자 27명▲12세이상 기초접종(1,2차이상) 완료자 코로나19 동절기 추가접종▲당일접종가능 ☏970-7545",cbs,산청군청,화,12세,"[('기초접종 2차이상 완료자', 0.5729)]"
2022/12/26 14:07:50,62,경상남도 산청군,187481,"12.26.(월) 14시 기준 확진자 30명▲12세이상 기초접종(1,2차이상) 완료자 코로나19 동절기 추가접종▲당일접종가능 ☏970-7545",cbs,산청군청,월,12세,"[('2차이상 완료자 코로나19 동절기', 0.5797)]"
2022/12/25 14:02:11,62,경상남도 산청군,187351,"12.25.(일) 14시 기준 확진자 5명▲12세이상 기초접종(1,2차이상) 완료자 코로나19 동절기 추가접종▲당일접종가능 ☏970-7545",cbs,산청군청,일,12세,"[('코로나19 동절기 추가접종 당일접종가능', 0.5632)]"
