create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/23 18:23:13,"9343,9882,9883,9884,9885,9886","강원특별자치도 삼척시,강원특별자치도 삼척시,강원특별자치도 삼척시,강원특별자치도 삼척시,강원특별자치도 삼척시,강원특별자치도 삼척시",206947,"기온이 급격하게 떨어질 것이 예상되므로 도계, 미로, 하장, 노곡, 가곡, 신기면 주민들은 보온 유지 및 야외활동 자제 등 건강에 유의하시기 바랍니다.",cbs,삼척시,,,"[('도계 미로 하장', 0.7069)]"
2023/11/11 11:05:54,6,강원특별자치도 삼척시,206680,"11월 11일 11시 동해바다 풍랑주의보 발효 너울성파도로 안전사고가 우려되오니 시설물 점검 및 어선을 결박, 해안가 및 방파제 출입 자제 바랍니다.",cbs,삼척시,,,"[('방파제 출입 자제 바랍니다', 0.43)]"
2023/11/06 17:17:45,6,강원특별자치도 삼척시,206573,"오늘부터 내일 오전까지 강풍과 한파로 인한 낙하물 안전사고, 산불, 수도 동파가 우려되오니 안전에 각별히 유의하시기 바랍니다.",cbs,삼척시,,,"[('산불 수도 동파가 우려되오니', 0.7073)]"
2023/10/29 13:55:58,"9321,9322,9323,9337,9340,9341,9344,9881","강원특별자치도 삼척시,강원특별자치도 삼척시,강원특별자치도 삼척시,강원특별자치도 삼척시,강원특별자치도 삼척시,강원특별자치도 삼척시,강원특별자치도 삼척시,강원특별자치도 삼척시",206351,"강원 동해안에 강한 너울성 파도가 계속 밀려와 매우 위험하오니, 방파제 및 해안가 등 접근을 자제하여 주시고 안전사고에 각별히 주의하시기 바랍니다.",cbs,삼척시,,,"[('강한 너울성 파도가', 0.7322)]"
2023/10/28 13:55:33,6,강원특별자치도 삼척시,206328,"강원 동해안에 강한 너울성 파도가 계속 밀려와 매우 위험하오니, 방파제 및 해안가 등 접근을 자제하여 주시고 안전사고에 각별히 주의하시기 바랍니다.",cbs,삼척시,,,"[('강한 너울성 파도가', 0.7322)]"
2023/10/28 10:58:34,6,강원특별자치도 삼척시,206327,"강원 동해안에 강한 너울성 파도가 계속 밀려와 매우 위험하오니, 방파제 및 해안가 등 접근을 자제하여 주시고 안전사고에 각별히 주의하시기 바랍니다.",cbs,삼척시,,,"[('강한 너울성 파도가', 0.7322)]"
2023/10/08 14:30:22,6,강원특별자치도 삼척시,205939,"동해안 지역 강한 너울성 파도가 밀려오고 있으니, 해안가 접근을 자제해 주시고 안전사고에 각별히 주의해 주시기 바랍니다.",cbs,삼척시,,,"[('파도가 밀려오고 있으니', 0.732)]"
2023/08/22 15:26:41,9882,강원특별자치도 삼척시,203985,22일 16시부터 광동댐 초당 10톤 이내 수문 방류 실시로 하천 수위 상승 예상. 하천 주변에 계신 경우 안전한 곳으로 대피 바랍니다.,cbs,삼척시,,,"[('하천 수위 상승', 0.53)]"
2023/08/20 17:24:21,6,강원특별자치도 삼척시,203831,"하장, 근덕, 노곡 등 강원남부산지에 많은 비와 낙뢰가 예상되오니 하천 및 산간계곡 이용객은 각별히 안전에 주의하시기 바랍니다.",cbs,삼척시,,,"[('산간계곡 이용객은', 0.671)]"
2023/08/15 13:30:53,"9316,9317,9318,9319,9320,9321,9322,9323,9324,9325,9326,9327,9328,9329,9330,9331,9332,9333,9334,9335,9336,9337,9338,9339,9340,9341,9342,9344,9881,9884","강원특별자치도 삼척시,강원특별자치도 삼척시,강원특별자치도 삼척시,강원특별자치도 삼척시,강원특별자치도 삼척시,강원특별자치도 삼척시,강원특별자치도 삼척시,강원특별자치도 삼척시,강원특별자치도 삼척시,강원특별자치도 삼척시,강원특별자치도 삼척시,강원특별자치도 삼척시,강원특별자치도 삼척시,강원특별자치도 삼척시,강원특별자치도 삼척시,강원특별자치도 삼척시,강원특별자치도 삼척시,강원특별자치도 삼척시,강원특별자치도 삼척시,강원특별자치도 삼척시,강원특별자치도 삼척시,강원특별자치도 삼척시,강원특별자치도 삼척시,강원특별자치도 삼척시,강원특별자치도 삼척시,강원특별자치도 삼척시,강원특별자치도 삼척시,강원특별자치도 삼척시,강원특별자치도 삼척시,강원특별자치도 삼척시",203352,"너울성 파도로 인한 안전사고가 우려되오니 해안가, 방파제 출입을 자제하여 주시기 바랍니다.",cbs,삼척시,,,"[('자제하여 주시기', 0.7316)]"
2023/08/13 09:33:45,6,강원특별자치도 삼척시,203108,"강원 동해안은 강한 너울성파도가 해안가로 계속 밀려와 매우 위험하오니 방파제 및 해안가 접근을 자제하시고, 안전사고에 각별히 주의하시기 바랍니다.",cbs,삼척시,,,"[('해안가 접근을 자제하시고 안전사고에', 0.7461)]"
