create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/04/25 16:39:03,6,강원도 삼척시,194685,"4월 25일 15:55 동해시 북동쪽 50km 해역 규모 3.5 지진발생, 추가 지진 발생에 대비하여 안전에 유의하여 주시기 바랍니다.",cbs,삼척시청,,,"[('지진 발생에 대비하여', 0.4972)]"
2023/01/31 16:52:17,6,강원도 삼척시,192428,"1.30.(월)부터 실내 마스크 착용 권고 ▲단, 감염취약시설 중 입소형 시설, 의료기관, 보건소, 약국, 대중교통 등은 마스크 착용 의무 유지",cbs,삼척시청,월,,"[('의료기관 보건소 약국', 0.459)]"
2023/01/29 09:38:21,6,강원도 삼척시,192243,"1.28(토) 17명(재감염5명)확진▲12세이상 기초접종완료자 동절기추가접종(ncvr.kdca.go.kr)당일접종가능▲마스크착용,환기등 방역수칙 준수",cbs,삼척시청,토,12세,"[('12세이상 기초접종완료자 동절기추가접종', 0.4997)]"
2023/01/28 10:10:22,6,강원도 삼척시,192177,"1.27(금) 19명(재감염3명)확진▲12세이상 기초접종완료자 동절기추가접종(ncvr.kdca.go.kr)당일접종가능▲마스크착용,환기등 방역수칙 준수",cbs,삼척시청,금,12세,"[('19명 재감염3명', 0.507)]"
2023/01/27 10:21:40,6,강원도 삼척시,192055,"1.26(목) 17명(재감염4명)확진▲12세이상 기초접종완료자 동절기추가접종(ncvr.kdca.go.kr)당일접종가능▲마스크착용,환기등 방역수칙 준수",cbs,삼척시청,목,12세,"[('17명 재감염4명', 0.4952)]"
2023/01/26 10:36:08,6,강원도 삼척시,191942,"1.25(수) 29명(재감염8명)확진▲12세이상 기초접종완료자 동절기추가접종(ncvr.kdca.go.kr)당일접종가능▲마스크착용,환기등 방역수칙 준수",cbs,삼척시청,수,12세,"[('기초접종완료자 동절기추가접종', 0.5331)]"
2023/01/25 11:48:03,6,강원도 삼척시,191814,"1.24(화) 16명(재감염2명)확진▲12세이상 기초접종완료자 동절기추가접종(ncvr.kdca.go.kr)당일접종가능▲마스크착용,환기등 방역수칙 준수",cbs,삼척시청,화,12세,"[('16명 재감염2명 확진 12세이상', 0.5378)]"
2023/01/24 09:44:53,6,강원도 삼척시,191578,"1.23(월) 14명(재감염5명)확진▲12세이상 기초접종완료자 동절기추가접종(ncvr.kdca.go.kr)당일접종가능▲마스크착용,환기등 방역수칙 준수",cbs,삼척시청,월,12세,"[('당일접종가능 마스크착용', 0.4985)]"
2023/01/23 10:19:07,6,강원도 삼척시,191350,"1.22(일) 13명(재감염2명)확진▲12세이상 기초접종완료자 동절기추가접종(ncvr.kdca.go.kr)당일접종가능▲마스크착용,환기등 방역수칙 준수",cbs,삼척시청,일,12세,"[('13명 재감염2명 확진 12세이상', 0.5105)]"
2023/01/22 10:29:09,6,강원도 삼척시,191255,"1.21(토) 11명(재감염3명)확진▲12세이상 기초접종완료자 동절기추가접종(ncvr.kdca.go.kr)당일접종가능▲마스크착용,환기등 방역수칙 준수",cbs,삼척시청,토,12세,"[('11명 재감염3명', 0.513)]"
