create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/23 18:10:05,83,경상북도 상주시,206945,"금일 밤부터 기온이 급격하게 떨어질 것으로 예보되었으니, 한랭질환에 유의하시고, 계량기 동파방지와 난방기 사용시 화재 및 질식 사고에 유의 바랍니다",cbs,상주시,,,"[('떨어질 것으로 예보되었으니 한랭질환에', 0.7167)]"
2023/11/17 18:04:15,83,경상북도 상주시,206786,"오늘 저녁~내일 오전, 상주지역 곳곳에 눈 또는 비가 내리고 낮은 온도로 도로결빙과 추위가 예상되오니 안전운전, 보행 및 건강관리에 유의하시기 바랍니다",cbs,상주시,,,"[('예상되오니 안전운전', 0.6086)]"
2023/11/16 18:22:40,83,경상북도 상주시,206754,"17일 새벽까지 눈·비가 내리고 기온의 급강하로 인해 도로결빙이 우려되오니, 도로 미끄럼 사고 및 보행안전에 유의하여 주시기 바랍니다.",cbs,상주시,,,"[('비가 내리고 기온의', 0.6069)]"
2023/11/10 16:52:39,83,경상북도 상주시,206661,"오늘 밤 9시에 한파주의보가 발효되오니▶농산물, 가축 피해 방지▶수도계량기, 수도관 보온▶난방기기 사용에 따른 화재, 질식사고 등 안전에 유의바랍니다.",cbs,상주시,,,"[('발효되오니 농산물 가축', 0.6603)]"
2023/09/28 21:10:09,83,경상북도 상주시,205781,"외서면에서 실종된 정금악 씨(여, 81세)를 찾습니다. - 150cm 마른 체격, 파마머리, 검은색 계통 바지,라운드 티 착용/ 운동화 /☎182",cbs,상주시,"여, 81세",81세,"[('실종된 정금악', 0.6077)]"
2023/09/26 09:03:53,83,경상북도 상주시,205726,"상주지역 누적된 강우로 하천변 수위가 상승하여 피해가 우려되오니 하천둔치, 세월교 등 출입을 자제하여 주시기 바랍니다.",cbs,상주시,,,"[('누적된 강우로 하천변 수위가', 0.7424)]"
2023/09/20 23:55:32,83,경상북도 상주시,205597,".내일 새벽까지 많은 비가 예상되오니 급경사지, 산사태위험, 저지대, 침수 우려지역 등 위험지역 인근 주민들은 안전한 곳으로 대피하시기 바랍니다",cbs,상주시,,,"[('침수 우려지역 위험지역', 0.7935)]"
2023/09/20 23:40:54,83,경상북도 상주시,205595,금일 호우로 인해 북천 수위가 높아짐에 따라 시민들께서는 북천시민공원 이용을 자제하여 주시기 바랍니다.,cbs,상주시,,,"[('호우로 인해 북천', 0.6979)]"
2023/09/20 20:18:59,83,경상북도 상주시,205530,"호우주의보가 발효되고 많은 비가 올거라는 예보입니다. 산사태, 세월교 등 위험지역 접근금지, 외출자제, 위험징후가 있을 경우 안전한 장소로 대피 바랍니다",cbs,상주시,,,"[('안전한 장소로 대피', 0.6674)]"
2023/09/20 14:29:21,83,경상북도 상주시,205401,"오늘밤부터 내일까지 집중호우가 예상되니 산간계곡, 물놀이장 야영객들은 신속히 대피하시고 하천변, 급경사지, 세월교 등에 접근을 자제하시기 바랍니다",cbs,상주시,,,"[('대피하시고 하천변 급경사지 세월교', 0.6604)]"
