create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/09/20 20:10:53,83,경상북도 상주시,205526,오늘 19:41 상주시 전지역 산사태 주의보 발령. 산림주변 야외활동 자제와 입산금지 등 안전에 유의하시기 바랍니다.,cbs,상주시청,,,"[('자제와 입산금지 안전에 유의하시기', 0.5255)]"
2023/08/09 21:50:44,83,경상북도 상주시,202239,제6호 태풍 카눈 북상의 영향으로 인하여 8.10(목) 당일 경북선(영주~김천)구간의 열차 운행이 중단되오니 타 교통수단을 이용해 주시기 바랍니다.,cbs,상주시청,목,,"[('당일 경북선 영주 김천', 0.6764)]"
2022/09/05 22:15:12,83,경상북도 상주시,171440,"우리시의 새벽시간에 시간당 20mm의 비가 내릴 예정이니 산사태, 제방 붕괴, 주택 침수 우려가 있을 경우 안전한 곳으로 대피 바랍니다.",cbs,상주시청,,,"[('침수 우려가 있을 경우', 0.458)]"
2022/03/01 08:42:23,83,경상북도 상주시,145228,3.1.(화)부터 방역패스 일시중단에 따라 보건소 코로나19 음성확인서 발급이 중단됩니다. 음성확인서가 필요하신 경우 의료기관을 이용하시기 바랍니다.,cbs,상주시청,화,,"[('필요하신 경우 의료기관을', 0.537)]"
2022/02/24 11:14:00,83,경상북도 상주시,144520,"2. 24.(목) 11시 기준, 코로나 확진자 137명 발생(23일 4명 추가 발생) ▲마스크 착용, 손씻기 등 개인방역수칙 준수",cbs,상주시청,목,,"[('11시 기준', 0.4437)]"
2022/02/23 11:49:22,83,경상북도 상주시,144374,"2. 23.(수) 11시 기준, 코로나 확진자 118명 발생(22일 26명 추가 발생) ▲사적모임 자제 ▲개인방역수칙 준수",cbs,상주시청,수,,"[('11시 기준', 0.563)]"
2022/02/22 11:00:23,83,경상북도 상주시,144203,"2. 22.(화) 11시 기준, 코로나 확진자 92명 발생(21일 3명 추가 발생) ▲하루3번, 10분 이상 창문열기 등 방역수칙 준수 바랍니다.",cbs,상주시청,화,,"[('기준 코로나 확진자 92명', 0.5471)]"
2022/02/21 11:03:46,83,경상북도 상주시,144058,"2. 21.(월) 11시 기준, 코로나 확진자 85명 발생(20일 4명 추가 발생) ▲의심증상 발생 시 즉시 가까운 선별진료소에서 검사 바랍니다.",cbs,상주시청,월,,"[('11시 기준 코로나', 0.5003)]"
2022/02/20 11:01:54,83,경상북도 상주시,143896,"2. 20.(일) 11시 기준, 코로나 확진자 112명 발생(19일 1명 추가 발생) ▲마스크 착용 등 개인방역수칙 준수바랍니다.",cbs,상주시청,일,,"[('개인방역수칙 준수바랍니다', 0.5073)]"
2022/02/19 10:56:10,83,경상북도 상주시,143733,"2. 19.(토) 11시 기준, 코로나 확진자 86명 발생(18일 1명 추가 발생) ▲타지역 방문 및 대면 모임 자제",cbs,상주시청,토,,"[('발생 타지역 방문 대면', 0.5767)]"
2022/02/18 11:02:42,83,경상북도 상주시,143576,"2. 18.(금) 11시 기준, 코로나 확진자 71명 발생(17일 8명 추가 발생) ▲주말 타지역 방문 및 모임 자제",cbs,상주시청,금,,"[('코로나 확진자 71명 발생', 0.4998)]"
2022/02/17 11:11:27,83,경상북도 상주시,143435,"2. 17.(목) 11시 기준, 코로나 확진자 82명 발생(16일 1명 추가 발생) ▲KF94 마스크 착용 등 개인방역 철저 당부드립니다.",cbs,상주시청,목,,"[('기준 코로나', 0.5539)]"
2022/02/16 11:00:16,83,경상북도 상주시,143258,"2. 16.(수) 11시 기준, 코로나 확진자 49명 발생 ▲타지역 방문 자제▲주기적 실내환기, 마스크 착용, 손씻기 등 개인방역수칙 준수 바랍니다.",cbs,상주시청,수,,"[('49명 발생', 0.5351)]"
2022/02/15 11:02:30,83,경상북도 상주시,143081,"2. 15.(화) 11시 기준, 코로나 확진자 44명 발생(14일 2명 추가 발생) ▲의심증상 발생 시 즉시 가까운 선별진료소에서 검사 바랍니다.",cbs,상주시청,화,,"[('11시 기준', 0.5608)]"
2022/02/14 10:59:59,83,경상북도 상주시,142920,"2. 14.(월) 11시 기준, 코로나 확진자 36명 발생(13일 2명 추가 발생) ▲마스크 착용 등 개인방역수칙 준수",cbs,상주시청,월,,"[('36명 발생', 0.4861)]"
