create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/23 18:02:42,130,부산광역시 서구,206941,오늘 밤 9시부터 한파주의보가 발효될 예정이오니 노약자는 가급적 야외활동을 자제하시고 전기장판 등 난방기 사용 시 화재예방에 유의 바랍니다.,cbs,서구,,,"[('난방기 사용 화재예방에', 0.6169)]"
2023/11/18 08:19:21,130,부산광역시 서구,206842,"오늘 새벽 내린 눈으로 골목길 등 그늘진 곳에 결빙이 우려되니, 안전운전하시기 바라며 특히 미끄럼사고에 유의하시기 바랍니다",cbs,서구,,,"[('골목길 그늘진 곳에 결빙이', 0.6622)]"
2023/11/18 07:05:02,103,광주광역시 서구,206829,"새벽 사이 눈, 비 등이 내려 미끄럼 사고가 우려되니, 보행 중 미끄럼주의, 도로주행 시 저속 운전 및 안전거리 유지 등 안전에 주의하시기 바랍니다.",cbs,서구,,,"[('등이 내려 미끄럼 사고가', 0.7566)]"
2023/10/31 09:02:39,175,인천광역시 서구,206377,오늘 08:39 경서동 124-156 김포방면 중봉지하차도 입구 도로 표지판 도로 낙하로 진입이 불가하오니 인근 차량은 우회하시기 바랍니다.,cbs,서구,,,"[('156 김포방면', 0.5454)]"
2023/10/10 11:35:08,116,대전광역시 서구,205974,대전 서구 힐링아트페스티벌 개최(10. 13.~10.15.)에 따른 교통통제(10.11.~10.16.)로 주변 혼잡이 예상되오니 안전사고에 유의바랍니다.,cbs,서구,10. 13.~10.15.,,"[('16 주변 혼잡이 예상되오니', 0.6781)]"
2023/09/29 05:43:45,175,인천광역시 서구,205782,2023.9.29. 04:55경 인천 서구 왕길동 23-3번지 자원순환시설에서 화재가 발생하였으니 인근 주민은 안전한 곳으로 대피하시기 바랍니다.,cbs,서구,,,"[('인천 서구 왕길동', 0.5368)]"
2023/09/20 19:55:39,130,부산광역시 서구,205519,"금일 19시40분 부산 호우경보 발령, 어르신들께선 외출 자제하시고, 주민들께선 폐공가, 붕괴위험지역, 공사장 주변 등 안전에 유의 바랍니다.",cbs,서구,,,"[('붕괴위험지역 공사장', 0.7212)]"
2023/09/20 17:55:27,130,부산광역시 서구,205465,"내일까지 많은 비와 강한 바람이 예보되어 산사태, 비탈면, 축대 등 붕괴징후가 있는 곳에서는 즉시 안전한 곳으로 대피하시기 바랍니다.",cbs,서구,,,"[('비탈면 축대 붕괴징후가', 0.7408)]"
2023/09/17 06:52:47,130,부산광역시 서구,205271,"현재 많은 비가 내리고 있습니다. 어르신들께서는 외출 자제하시고 주민들께선 폐공가, 붕괴위험지역, 공사장 주변 등 안전에 유의바랍니다.",cbs,서구,,,"[('현재 많은 비가', 0.7197)]"
2023/09/16 11:52:46,130,부산광역시 서구,205178,"현재 많은 비가 내리고 있습니다. 어르신들께서는 외출 자제하시고 주민들께선 폐공가, 붕괴위험지역, 공사장 주변 등 안전에 유의바랍니다.",cbs,서구,,,"[('현재 많은 비가', 0.7197)]"
2023/08/15 06:11:05,175,인천광역시 서구,203286,오늘 4:29경 인천 서구 석남동 물류센터내 화재 발생. 도로에 있는 차량은 이 지역을 우회하여 주시고 인근 주민은 안전사고 발생에 유의 바랍니다,cbs,서구,,,"[('물류센터내 화재 발생 도로에', 0.5853)]"
2023/08/09 21:14:54,110,대구광역시 서구,202230,"태풍 카눈으로 와룡산 등산로, 달서천 산책로, 이현공원 어린이 물놀이장 출입을 통제중 입니다. 외출을 자제하여 주시고 안전에 유의하시기 바랍니다.",cbs,서구,,,"[('안전에 유의하시기', 0.581)]"
2023/08/07 14:02:46,130,부산광역시 서구,201597,"태풍 「카눈」 8.9(수)~8.10(목) 부산지역 많은 비와 강풍 예상, 각종 시설물 사전점검으로 피해 예방 조치(결박, 제거 등)하여 주시기 바랍니다.",cbs,서구,수,,"[('조치 결박 제거 하여', 0.376)]"
2023/07/31 14:49:07,175,인천광역시 서구,200507,"14:06경 서구 석남동 223-468일원에서 화학물질(조사중) 누출 발생. 인근 주민은 창문을 닫고 외출 자제하시고, 차량은 우회하시기 바랍니다.",cbs,서구,조사중,,"[('화학물질 조사중 누출', 0.6395)]"
2023/07/18 18:50:32,6594,대구광역시 서구,198809,"금일 호우로 경원고등학교 인근 및 와룡산 자락, 상리동 일원 지반 침하가 우려됩니다. 방문객 및 인근 거주민은 접근 금지 및 안전에 유의하시기 바랍니다.",cbs,서구,,,"[('안전에 유의하시기', 0.7136)]"
2023/07/15 18:56:50,103,광주광역시 서구,198009,"15일 17:10분 호우경보 발령에 따라 광천1교, 광천2교, 광암교 하부도로를 통제하고 있으니 우회하여 주시기바랍니다.",cbs,서구,,,"[('호우경보 발령에 따라 광천1교', 0.5213)]"
2023/07/14 08:34:12,103,광주광역시 서구,197315,"14일 05시 호우경보 발령에 따라 광천 제1교, 광천 제2교, 광암교, 극락교, 광신대교 차량 하부도로를 통제하고 있으니 우회하여 주시기 바랍니다.",cbs,서구,,,"[('차량 하부도로를 통제하고 있으니', 0.6728)]"
