create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/26 17:15:18,151,서울특별시 서초구,207012,"서초구에서 배회중인 이갑세씨(남,81세)를 찾습니다 -171cm,남색패딩조끼,자주색긴팔니트,검정바지 vo.la/SzyNn / ☎182",cbs,서울경찰청,"남,81세",81세,"[('남색패딩조끼 자주색긴팔니트 검정바지', 0.4505)]"
2023/11/26 13:41:35,137,서울특별시 강남구,207009,"강남구에서 실종된 이갑세씨(남,81세)를 찾습니다 -163cm,남색패딩조끼,자주색긴팔니트,검정바지 vo.la/SzyNn / ☎182",cbs,서울경찰청,"남,81세",81세,"[('검정바지 vo la', 0.5016)]"
2023/11/26 09:07:10,145,서울특별시 노원구,207006,"노원구에서 실종된 이상구씨(남,70세)를 찾습니다-160cm,백발,진남색패딩,검정바지,남색운동화(빨간줄),거동불편 vo.la/qDWds/ ☎182",cbs,서울경찰청,"남,70세",70세,"[('빨간줄 거동불편 vo', 0.4462)]"
2023/11/25 16:56:50,138,서울특별시 강동구,207003,"강동구에서 실종된 전춘자씨(여, 72세)를 찾습니다 - 145cm, 40kg, 빨간색모자, 남색잠바 vo.la/USWZx / ☎182",cbs,서울경찰청,"여, 72세",72세,"[('72세 찾습니다', 0.4532)]"
2023/11/25 09:12:52,150,서울특별시 서대문구,206999,"서대문구에서 목격된 김성복씨(남,84세)를 찾습니다-168cm,60kg,검정상하의,검정운동화,검정벙거지모자,마스크 vo.la/cCgEb/ ☎182",cbs,서울경찰청,"남,84세",84세,"[('검정상하의 검정운동화 검정벙거지모자', 0.4543)]"
2023/11/25 09:09:44,149,서울특별시 마포구,206998,"마포구에서 실종된 김성복씨(남,84세)를 찾습니다-168cm,60kg,검정상하의,검정운동화,검정벙거지모자,마스크 vo.la/cCgEb/ ☎182",cbs,서울경찰청,"남,84세",84세,"[('84세 찾습니다 168cm', 0.4607)]"
2023/11/25 08:58:07,154,서울특별시 송파구,206997,"송파구에서 실종된 김한별(여,17세)을 찾습니다-158cm,43kg,흰색자켓,검정바지,검정운동화,안경착용 vo.la/Kbqou / ☎182",cbs,서울경찰청,"여,17세",17세,"[('17세 찾습니다 158cm', 0.5386)]"
2023/11/24 13:28:34,137,서울특별시 강남구,206973,"강남구에서 배회중인 김도형씨(남, 43세)를 찾습니다 - 163cm, 하늘색긴팔티, 검정바지, 삼선검정슬리퍼 vo.la/FTSKy / ☎182",cbs,서울경찰청,"남, 43세",43세,"[('검정바지 삼선검정슬리퍼 vo la', 0.5089)]"
2023/11/24 13:28:04,141,서울특별시 관악구,206972,"관악구에서 배회중인 김도형씨(남, 43세)를 찾습니다 - 163cm, 하늘색긴팔티, 검정바지, 삼선검정슬리퍼 vo.la/FTSKy / ☎182",cbs,서울경찰청,"남, 43세",43세,"[('하늘색긴팔티 검정바지 삼선검정슬리퍼 vo', 0.5129)]"
2023/11/23 09:31:14,150,서울특별시 서대문구,206918,"서대문구에서 배회중인 이재현(남,16세)을 찾습니다 -181cm,65kg,자주색후드롱자켓,검정바지,안경,검정캐리어 vo.la/KrvGG/ ☎182",cbs,서울경찰청,"남,16세",16세,"[('안경 검정캐리어 vo la', 0.5179)]"
