create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2021/12/18 14:30:12,136,서울특별시 전체,134449,"2021.12.18.(토) 서울 대설주의보 발효(14:30) 외출 및 승용차 이용을 자제하여 주시고, 내집앞 눈치우기에 적극 참여 바랍니다. ☎120",cbs,서울시,토,,"[('외출 승용차 이용을 자제하여', 0.6707)]"
2021/02/03 17:30:01,136,서울특별시 전체,89529,"오늘 19시 서울지역 대설주의보 발효. 퇴근길 많은 눈이 예상되오니 가급적 대중교통을 이용해주시고, 눈 길 미끄럼 안전에 주의 바랍니다. ☎120",cbs,서울시,,,"[('서울지역 대설주의보', 0.6351)]"
2021/01/28 06:30:01,136,서울특별시 전체,87759,"오늘 오전 서울지역 대설예비특보. 오전에 많은 눈이 예상되오니, 대중교통을 이용해주시고, 내집앞 눈치우기에도 적극 참여해주시기 바랍니다. ☎120",cbs,서울시,,,"[('서울지역 대설예비특보 오전에 많은', 0.7005)]"
2021/01/17 15:17:03,136,서울특별시 전체,85015,"오늘 밤부터 내일 아침까지 영하의 기온과 함께 많은 눈 예보, 출근길 대중교통 이용, 눈길 미끄럼 주의 등 안전에 유의하시기 바랍니다 ☏120",cbs,서울시,,,"[('예보 출근길 대중교통', 0.7031)]"
2021/01/12 15:33:13,136,서울특별시 전체,83624,"현재 서울에 내리는 눈으로 곳곳에 결빙구간이 있을 수 있으니 미끄럼에 주의하시기 바라며, 외출 또는 퇴근 시 대중교통을 이용해 주시기 바랍니다.☏120",cbs,서울시,,,"[('서울에 내리는 눈으로', 0.7266)]"
2021/01/07 06:30:24,136,서울특별시 전체,81794,밤새 내린 눈과 한파로 인한 도로결빙으로 출근길 교통혼잡이 예상되오니 대중교통을 이용해 주시고 내집앞 눈치우기에도 적극 동참하여 주시기 바랍니다.☏120,cbs,서울시,,,"[('예상되오니 대중교통을 이용해 주시고', 0.6903)]"
2021/01/06 20:28:04,136,서울특별시 전체,81722,금일 많은 눈과 한파에 따른 도로결빙으로 출근길 교통혼잡이 예상되니 대중교통을 이용해주시고 내집앞 눈치우기에도 적극 동참해주시기 바랍니다 ☏120,cbs,서울시,,,"[('도로결빙으로 출근길 교통혼잡이 예상되니', 0.7375)]"
2020/06/23 17:44:45,160,서울특별시 중구,38511,오늘 17:04분경 중구 충무로5가 세종빌딩 화재 발생. 이 지역을 우회하여 주시고 인근 주민은 안전사고 발생에 유의 바랍니다.,cbs,서울시,,,"[('중구 충무로5가', 0.6113)]"
2020/06/12 12:18:47,136,서울특별시 전체,37582,6.7(일) 07:32~15:52 양재2동 삼호궁전사우나 여탕 및 찜질방 방문자는 인근 보건소 선별진료소에서 코로나19검사 꼭 받으시기 바랍니다.☎120,cbs,서울시,일,,"[('선별진료소에서 코로나19검사 받으시기', 0.6238)]"
2020/05/22 17:49:00,136,서울특별시 전체,36018,"5.9일~5.10일 사이 강남역 부근(홀릭스, SBS노래방) 방문자는 증상유무 관계없이 보건소방문 코로나19 진단검사 받으시기 바랍니다. ☎120",cbs,서울시,"홀릭스, SBS노래방",,"[('바랍니다 120', 0.6601)]"
2020/05/22 17:48:44,136,서울특별시 전체,36017,"5월10일 새벽, 20일 밤 강남역 악바리주점 방문자는 증상유무 상관없이 인근 보건소 선별진료소에 방문 진단검사를 꼭 받으시기 바랍니다. ☎ 120",cbs,서울시,,,"[('선별진료소에 방문 진단검사를', 0.5682)]"
2020/05/09 17:47:04,136,서울특별시 전체,34800,"4.24~5.6까지 이태원 일대 클럽 등 업소 방문자는 증상유무 관계없이 2주간 외출·접촉자제, 보건소를 방문하여 코로나19 검사 받으시기 바람☎120",cbs,서울시,,,"[('일대 클럽 업소', 0.4914)]"
