create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/08/23 10:04:07,136,서울특별시 전체,204103,"오늘14시부터 20분간 민방위훈련 실시. 시민은 지하로 대피하고 차량은 서울역~세종대로사거리, 광흥창역~여의2교사거리, 하계역~중화역 구간 통제됩니다",cbs,서울특별시,,,"[('시민은 지하로 대피하고', 0.7229)]"
2023/07/14 21:56:42,136,서울특별시 전체,197605,오늘(14일) 21시10분부로 올림픽대로 여의상 ·하류IC 교통통제구간을 해제합니다. 올림픽대로 전구간 차량 정상 통행합니다.,cbs,서울특별시,14일,,"[('교통통제구간을 해제합니다 올림픽대로', 0.5109)]"
2023/07/14 09:10:35,136,서울특별시 전체,197329,오늘(14일) 08시30분부로 한강 수위가 상승하여 올림픽대로 여의하류IC 양방향이 통제됨을 알려드립니다. 인근 차량은 우회하여 운행바랍니다.,cbs,서울특별시,14일,,"[('14일 08시30분부로', 0.5622)]"
2023/07/14 07:38:51,136,서울특별시 전체,197298,오늘(14일) 07시15분부로 한강 수위가 상승하여 올림픽대로 여의상류IC 양방향이 통제됨을 알려드립니다. 인근 차량은 우회하여 운행바랍니다.,cbs,서울특별시,14일,,"[('여의상류ic 양방향이 통제됨을', 0.5234)]"
2023/07/14 05:55:42,136,서울특별시 전체,197256,오늘(14일) 04시50분부로 잠수교 양방향 전 구간이 통제되었습니다. 인근 차량은 우회하여 운행 바랍니다.,cbs,서울특별시,14일,,"[('양방향 구간이', 0.5965)]"
2023/07/14 04:33:13,136,서울특별시 전체,197232,오늘(14일) 04시10분부로 중랑천 수위가 상승하여 동부간선도로 전구간(수락지하차도~성수JC)이 통제됨을 알려드리오니 인근 차량은 우회바랍니다.,cbs,서울특별시,14일,,"[('중랑천 수위가', 0.6175)]"
2023/07/14 02:30:50,136,서울특별시 전체,197217,오늘(14일) 02시15분부로 중랑천 수위가 상승하여 동부간선도로 진입램프(수락지하차도~성수JC)가 통제됨을 알려드리오니 인근 차량은 우회바랍니다.,cbs,서울특별시,14일,,"[('중랑천 수위가', 0.636)]"
2023/07/13 19:46:55,136,서울특별시 전체,197150,내일까지 강한 비가 내릴 것으로 예상됩니다. 하천 산책로는 매우 위험하여 출입을 금지하오니 하천 인근에 계신 분은 즉시 대피해 주시기 바랍니다.,cbs,서울특별시,,,"[('내일까지 강한 비가 내릴', 0.7287)]"
2023/07/13 10:36:37,136,서울특별시 전체,197020,오늘과 내일 서울에 100~150㎜ 이상 많은 비가 예상됩니다. 산지와 하천 등 위험지역 접근을 금지하시고 기상상황을 미리 확인하시어 대비 바랍니다,cbs,서울특별시,,,"[('산지와 하천', 0.6152)]"
2023/07/11 15:44:25,136,서울특별시 전체,196833,"오늘 15시40분 현재 서울지역에 많은 비가 내리고 있습니다. 산지와 하천 등 위험지역에 접근하지 마시고, 기상정보를 확인하여 대비 바랍니다.",cbs,서울특별시,,,"[('오늘 15시40분', 0.6933)]"
