create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/06 04:45:47,230,충청남도 서천군,206492,"오늘 서천군 04시 강풍경보. 간판 등 부착물 고정, 선박 묶기, 비닐하우스 등 시설물 피해 주의, 해안 접근 금지 등 안전에 주의 바랍니다.",cbs,서천군,,,"[('고정 선박 묶기 비닐하우스', 0.7047)]"
2023/11/02 07:29:10,230,충청남도 서천군,206409,"관내 가시거리 200m 미만 짙은 안개가 예상되오니 교량, 터널 등 운전시 감속, 비상등 점멸 등 교통안전에 유의하시기 바랍니다.",cbs,서천군,,,"[('교량 터널 운전시', 0.5855)]"
2023/10/12 14:15:15,11581,충청남도 서천군,206014,장항읍 유부도 갈대밭 인근 화재 발생. 인근 주민은 화재를 피해 반대편 해안가쪽으로 대피바랍니다.,cbs,서천군,,,"[('주민은 화재를', 0.6914)]"
2023/09/20 18:51:41,230,충청남도 서천군,205487,"현재 많은 비가 내리고 있으니 가급적 외출을 자제하시고 특히 붕괴 위험지역, 산사태, 침수 취약지역 주민들께서는 안전에 유의하시기 바랍니다.",cbs,서천군,,,"[('외출을 자제하시고', 0.7205)]"
2023/09/20 13:31:37,230,충청남도 서천군,205390,"현재 강한 비가 내리고 있으니 하천변 산책로, 급경사지 등 위험지역 접근을 금지하시고, 특히 노약자나 거동이 불편하신 분들은 외출 자제 바랍니다.",cbs,서천군,,,"[('급경사지 위험지역 접근을 금지하시고', 0.7569)]"
2023/09/16 06:26:27,230,충청남도 서천군,205124,"현재 강한 비가 내리고 있으니 하천변 산책로, 급경사지 등 위험지역 접근을 금지하시고 특히 노약자나 거동이 불편하신분은 외출 자제 바랍니다.",cbs,서천군,,,"[('접근을 금지하시고', 0.7739)]"
2023/08/22 10:00:14,230,충청남도 서천군,203933,"서천군 폭염주의보 발효중. 가족 안부전화, 양산쓰기, 10시~16시 야외활동 중지, 수분섭취, 충분한 휴식 등 폭염 건강관리에 유의하시기 바랍니다",cbs,서천군,,,"[('충분한 휴식', 0.7361)]"
2023/08/21 13:56:31,230,충청남도 서천군,203897,"서천군 폭염주의보 발효중. 가족 안부전화, 양산쓰기, 10시~16시 야외활동 중지, 수분섭취, 충분한 휴식 등 폭염 건강관리에 유의하시기 바랍니다",cbs,서천군,,,"[('충분한 휴식', 0.7361)]"
2023/08/21 09:46:45,230,충청남도 서천군,203852,"서천군 폭염주의보 발효중. 가족 안부전화, 양산쓰기, 10시~16시 야외활동 중지, 수분섭취, 충분한 휴식 등 폭염 건강관리에 유의하시기 바랍니다",cbs,서천군,,,"[('충분한 휴식', 0.7361)]"
2023/08/19 09:53:10,230,충청남도 서천군,203669,"서천군 폭염주의보 발효중. 가족 안부전화, 양산쓰기, 10시~16시 야외활동 중지, 수분섭취, 충분한 휴식 등 폭염 건강관리에 유의하시기 바랍니다",cbs,서천군,,,"[('충분한 휴식', 0.7361)]"
2023/08/18 13:52:08,230,충청남도 서천군,203615,"서천군 폭염주의보 발효중. 가족 안부전화, 양산쓰기, 10시~16시 야외활동 중지, 수분섭취, 충분한 휴식 등 폭염 건강관리에 유의하시기 바랍니다",cbs,서천군,,,"[('충분한 휴식', 0.7361)]"
2023/08/18 10:35:35,230,충청남도 서천군,203590,"서천군 폭염주의보로 인한 인명피해 발생중. 가족 안부전화, 양산쓰기, 10시~16시 야외활동 중지, 충분한 휴식 등 폭염 건강관리에 유의하시기 바랍니다",cbs,서천군,,,"[('인한 인명피해', 0.7559)]"
2023/08/17 09:45:02,230,충청남도 서천군,203486,"서천군 폭염주의보로 인한 인명피해 발생중. 가족 안부전화, 양산쓰기, 10시~16시 야외활동 중지, 충분한 휴식 등 폭염 건강관리에 유의하시기 바랍니다",cbs,서천군,,,"[('인한 인명피해', 0.7559)]"
2023/08/16 13:56:50,230,충청남도 서천군,203451,"서천군 폭염주의보로 인한 인명피해 발생중. 가족 안부전화, 양산쓰기, 10시~16시 야외활동 중지, 충분한 휴식 등 폭염 건강관리에 유의하시기 바랍니다",cbs,서천군,,,"[('인한 인명피해', 0.7559)]"
2023/08/16 10:08:36,230,충청남도 서천군,203411,"서천군 폭염주의보로 인한 인명피해 발생중. 가족 안부전화, 양산쓰기, 10시~16시 야외활동 중지, 충분한 휴식 등 폭염 건강관리에 유의하시기 바랍니다",cbs,서천군,,,"[('인한 인명피해', 0.7559)]"
2023/08/15 14:02:54,230,충청남도 서천군,203362,"서천군 폭염주의보로 인한 인명피해 발생중. 가족 안부전화, 양산쓰기, 10시~16시 야외활동 중지, 충분한 휴식 등 폭염 건강관리에 유의하시기 바랍니다",cbs,서천군,,,"[('인한 인명피해', 0.7559)]"
2023/08/15 09:53:00,230,충청남도 서천군,203299,"서천군 폭염주의보로 인한 인명피해 발생중. 가족 안부전화, 양산쓰기, 10시~16시 야외활동 중지, 충분한 휴식 등 폭염 건강관리에 유의하시기 바랍니다.",cbs,서천군,,,"[('충분한 휴식 폭염', 0.7662)]"
2023/08/10 07:35:09,230,충청남도 서천군,202391,"태풍 영향으로 강한 비바람이 예상되오니, 하천, 해안가 등 위험지역 접근금지, 가급적 외출을 자제해 주시기 바랍니다.",cbs,서천군,,,"[('강한 비바람이', 0.715)]"
2023/08/09 11:04:03,230,충청남도 서천군,201911,"폭염경보로 인한 인명피해 발생중. 가족안부전화, 양산쓰기, 10시~16시 야외활동 중지, 충분한 휴식 등 폭염 건강관리에 유의하시기 바랍니다.",cbs,서천군,,,"[('발생중 가족안부전화', 0.7515)]"
2023/08/09 11:02:32,230,충청남도 서천군,201908,"태풍 카눈 대비 어망, 어구, 선박 인양 및 결박, 간판, 가설물 고정 및 철거 등 안전에 유의하시기 바랍니다.",cbs,서천군,,,"[('가설물 고정 철거', 0.6714)]"
2023/08/08 17:49:07,230,충청남도 서천군,201804,"태풍 카눈 대비 어망, 어구, 선방 인양 및 결박, 간판, 가설물 고정 및 철거 등 안전에 유의하시기 바랍니다.",cbs,서천군,,,"[('안전에 유의하시기', 0.6886)]"
2023/08/08 12:11:45,230,충청남도 서천군,201712,"서천군 폭염경보로 인한 인명피해 발생중. 가족 안부전화, 양산쓰기, 10시~16시 야외활동 중지, 충분한 휴식 등 폭염 건강관리에 유의하시기 바랍니다.",cbs,서천군,,,"[('발생중 가족 안부전화', 0.7713)]"
2023/08/08 08:51:27,230,충청남도 서천군,201667,"서천군 폭염경보로 인한 인명피해 발생중. 가족 안부전화, 양산쓰기, 10시~16시 야외활동 중지, 충분한 휴식 등 폭염 건강관리에 유의하시기 바랍니다.",cbs,서천군,,,"[('발생중 가족 안부전화', 0.7713)]"
2023/08/07 13:33:36,230,충청남도 서천군,201588,"서천군 폭염경보로 인한 인명피해 발생중. 가족 안부전화, 양산쓰기, 10시~16시 야외활동 중지, 충분한 휴식 등 폭염 건강관리에 유의하시기 바랍니다.",cbs,서천군,,,"[('발생중 가족 안부전화', 0.7713)]"
2023/08/07 12:08:43,230,충청남도 서천군,201568,"서천군 폭염경보로 인한 인명피해 발생중. 가족 안부전화, 양산쓰기, 10시~16시 야외활동 중지, 충분한 휴식 등 폭염 건강관리에 유의하시기 바랍니다.",cbs,서천군,,,"[('발생중 가족 안부전화', 0.7713)]"
2023/08/06 13:22:24,230,충청남도 서천군,201430,"서천군 폭염경보로 인한 인명피해 발생중. 가족 안부전화, 양산쓰기, 10시~16시 야외활동 중지, 충분한 휴식 등 폭염 건강관리에 유의하시기 바랍니다.",cbs,서천군,,,"[('발생중 가족 안부전화', 0.7713)]"
2023/08/06 09:46:47,230,충청남도 서천군,201340,"서천군 폭염경보로 인한 인명피해 발생중. 가족 안부전화, 양산쓰기, 10시~16시 야외활동 중지, 충분한 휴식 등 폭염 건강관리에 유의하시기 바랍니다.",cbs,서천군,,,"[('발생중 가족 안부전화', 0.7713)]"
2023/08/05 12:36:27,230,충청남도 서천군,201226,"서천군 폭염경보로 인한 인명피해 발생중. 가족 안부전화, 양산쓰기, 10시~16시 야외활동 중지, 충분한 휴식 등 폭염 건강관리에 유의하시기 바랍니다.",cbs,서천군,,,"[('발생중 가족 안부전화', 0.7713)]"
2023/08/05 10:10:52,230,충청남도 서천군,201170,"서천군 폭염경보로 인한 인명피해 발생중. 가족 안부전화, 양산쓰기, 10시~16시 야외활동 중지, 충분한 휴식 등 폭염 건강관리에 유의하시기 바랍니다.",cbs,서천군,,,"[('발생중 가족 안부전화', 0.7713)]"
2023/08/04 14:30:52,230,충청남도 서천군,201092,서천군 폭염경보로 인한 인명피해(사망)가 발생하고 있습니다.10시~16시 야외활동 자제와 충분한 휴식 및 수분섭취 등 안전에 유의하여 주시기 바랍니다,cbs,서천군,사망,,"[('자제와 충분한 휴식 수분섭취', 0.7359)]"
2023/08/04 10:24:35,230,충청남도 서천군,201013,서천군 폭염경보로 인한 인명피해(사망)가 발생하고 있습니다.10시~16시 야외활동 자제와 충분한 휴식 및 수분섭취 등 안전에 유의하여 주시기 바랍니다,cbs,서천군,사망,,"[('자제와 충분한 휴식 수분섭취', 0.7359)]"
2023/08/03 13:03:06,230,충청남도 서천군,200904,서천군 폭염경보로 인한 인명피해(사망)가 발생하고 있습니다.10시~16시 야외활동 자제와 충분한 휴식 및 수분섭취 등 안전에 유의하여 주시기 바랍니다,cbs,서천군,사망,,"[('자제와 충분한 휴식 수분섭취', 0.7359)]"
2023/08/03 11:05:50,230,충청남도 서천군,200875,서천군 폭염경보로 인한 인명피해(사망)가 발생하고 있습니다.10시~16시 야외활동 자제와 충분한 휴식 및 수분섭취 등 안전에 유의하여 주시기 바랍니다,cbs,서천군,사망,,"[('자제와 충분한 휴식 수분섭취', 0.7359)]"
2023/08/02 13:44:10,230,충청남도 서천군,200781,"서천군 폭염경보 발효중. 무더운 날씨가 예상되오니, 충분한 휴식 및 수분섭취, 야외활동 자제 등 안전에 유의하여 주시기 바랍니다",cbs,서천군,,,"[('예상되오니 충분한 휴식', 0.6517)]"
2023/08/02 11:30:22,230,충청남도 서천군,200750,"서천군 폭염경보 발효중. 무더운 날씨가 예상되오니, 충분한 휴식 및 수분섭취, 야외활동 자제 등 안전에 유의하여 주시기 바랍니다.",cbs,서천군,,,"[('충분한 휴식', 0.6331)]"
2023/08/01 15:04:53,230,충청남도 서천군,200668,"서천군 폭염경보 발효중. 무더운 날씨가 예상되오니, 충분한 휴식 및 수분섭취, 야외활동 자제 등 안전에 유의하여 주시기 바랍니다.",cbs,서천군,,,"[('충분한 휴식', 0.6331)]"
2023/08/01 09:57:01,230,충청남도 서천군,200556,"서천군 폭염주의보 발효중. 무더운 날씨가 예상되오니, 충분한 휴식 및 수분섭취, 야외활동 자제 등 안전에 유의하여 주시기 바랍니다.",cbs,서천군,,,"[('예상되오니 충분한 휴식 수분섭취', 0.6399)]"
2023/07/31 14:43:09,230,충청남도 서천군,200506,"서천군 폭염주의보 발효중. 무더운 날씨가 예상되오니, 충분한 휴식 및 수분섭취, 야외활동 자제 등 안전에 유의하여 주시기 바랍니다.",cbs,서천군,,,"[('예상되오니 충분한 휴식 수분섭취', 0.6399)]"
2023/07/31 10:26:45,230,충청남도 서천군,200432,"서천군 폭염주의보 발효중. 무더운 날씨가 예상되오니, 충분한 휴식 및 수분섭취, 야외활동 자제 등 안전에 유의하여 주시기 바랍니다.",cbs,서천군,,,"[('예상되오니 충분한 휴식 수분섭취', 0.6399)]"
2023/07/30 13:13:16,230,충청남도 서천군,200318,"서천군 폭염주의보 발효중. 무더운 날씨가 예상되오니, 충분한 휴식 및 수분섭취, 야외활동 자제 등 안전에 유의하여 주시기 바랍니다.",cbs,서천군,,,"[('예상되오니 충분한 휴식 수분섭취', 0.6399)]"
2023/07/30 11:25:23,230,충청남도 서천군,200291,"서천군 폭염주의보 발효중. 무더운 날씨가 예상되오니, 충분한 휴식 및 수분섭취, 야외활동 자제 등 안전에 유의하여 주시기 바랍니다.",cbs,서천군,,,"[('예상되오니 충분한 휴식 수분섭취', 0.6399)]"
2023/07/29 13:01:55,230,충청남도 서천군,200159,"서천군 폭염주의보 발효중입니다. 주말까지 무더운 날씨가 예상되오니, 충분한 휴식 및 수분섭취, 야외활동 자제 등 안전에 유의하여 주시기 바랍니다.",cbs,서천군,,,"[('발효중입니다 주말까지', 0.6145)]"
2023/07/29 09:59:24,230,충청남도 서천군,200112,"서천군 폭염주의보 발효중입니다. 주말까지 무더운 날씨가 예상되오니, 충분한 휴식 및 수분섭취, 야외활동 자제 등 안전에 유의하여 주시기 바랍니다.",cbs,서천군,,,"[('발효중입니다 주말까지', 0.6145)]"
2023/07/28 11:21:41,230,충청남도 서천군,200043,"서천군 폭염주의보 발효중입니다. 주말까지 무더운 날씨가 예상되오니, 충분한 휴식 및 수분섭취, 야외활동 자제 등 안전에 유의하여 주시기 바랍니다.",cbs,서천군,,,"[('발효중입니다 주말까지', 0.6145)]"
2023/07/27 14:19:55,230,충청남도 서천군,199975,"서천군 폭염주의보 발효중, 야외 작업시 주의하시고, 충분한 수분 섭취등 건강관리에 유의 바랍니다.",cbs,서천군,,,"[('건강관리에 유의 바랍니다', 0.7708)]"
2023/07/24 10:43:56,230,충청남도 서천군,199659,판교 월봉(심동)-남당리 구간 도로 통행금지 금일 11:00부로 해제,cbs,서천군,심동,,"[('11 00부로 해제', 0.5987)]"
2023/07/23 13:50:30,230,충청남도 서천군,199509,장항 원수삼거리~군산방향 동백대교 램프구간 통제중이니 사고방지를 위해 우회하여 주시기 바랍니다.,cbs,서천군,,,"[('사고방지를 위해', 0.6768)]"
2023/07/23 11:25:05,230,충청남도 서천군,199488,"약화된 지반에 많은 비가 내리고 있으니, 산사태,하천,옹벽,축대 등 위험지역 접근자제와 비탈면 주택거주자는 위험상황시 즉시 마을회관으로 대피 바랍니다.",cbs,서천군,,,"[('있으니 산사태 하천', 0.7158)]"
2023/07/23 10:39:39,230,충청남도 서천군,199478,산사태 위험으로 판교 월봉(심동)에서 비인 남당리 구간도로를 금일 11시부터 내일18시까지 통행을 금지하오니 우회하여 주시기 바랍니다.,cbs,서천군,심동,,"[('비인 남당리 구간도로를', 0.6732)]"
2023/07/18 18:33:17,230,충청남도 서천군,198790,장항 원수삼거리~동백대교 군산방향 지하도 침수로 통행을 통제하니 인근 차량은 우회하여 주시기 바랍니다.,cbs,서천군,,,"[('침수로 통행을 통제하니', 0.6198)]"
2023/07/18 11:40:48,230,충청남도 서천군,198617,"지속되는 강한 호우로 지반이 약화된 상태입니다. 산사태 우려와 옹벽, 축대 등 붕괴징후가 있는 곳에서는 즉시 안전한 장소로 이동하시기 바랍니다.",cbs,서천군,,,"[('곳에서는 즉시 안전한 장소로', 0.6373)]"
2023/07/17 17:32:08,230,충청남도 서천군,198444,옹벽 구조물 붕괴 위험으로 비인 남당~판교 심동간 도로를 7.17.(월) 18:00~7.20.(목) 09:00까지 통제하오니 우회하여 주시기 바랍니다.,cbs,서천군,월,,"[('09 00까지 통제하오니 우회하여', 0.666)]"
2023/07/15 14:19:44,230,충청남도 서천군,197892,서천읍 군사리 839 통로박스(부엉이돈가스-남산리) 침수로 인해 통행을 제한하고 있으니 사고방지를 위해 우회하기시 바랍니다.,cbs,서천군,부엉이돈가스-남산리,,"[('침수로 인해 통행을', 0.6438)]"
2023/07/15 11:28:43,230,충청남도 서천군,197839,마산면 시선리 산 56-2 인근 통행금지를 해제합니다.,cbs,서천군,,,"[('마산면 시선리', 0.445)]"
2023/07/15 08:42:05,230,충청남도 서천군,197772,마산면 시선리 산 56-2 부근 지속적인 토사유출로 통행불가하오니 사고방지를 위해 우회하시기 바랍니다.,cbs,서천군,,,"[('부근 지속적인 토사유출로', 0.5424)]"
2023/07/15 08:13:30,230,충청남도 서천군,197759,비인면 율리 산56-2(남당리~수성리) 부근 토사 및 바위 유출로 통행불가하니 사고방지를 위해 우회하시기 바랍니다.,cbs,서천군,남당리~수성리,,"[('수성리 부근 토사', 0.5117)]"
2023/07/15 06:30:22,230,충청남도 서천군,197706,"지속되는 강한 호우로 지반약화와 침수가 발생되고 있으니, 산사태위험지역 및 하천변 접근금지와 논물보기 등 외출을 자제하여 주시기 바랍니다.",cbs,서천군,,,"[('호우로 지반약화와 침수가 발생되고', 0.7049)]"
2023/07/14 12:14:31,230,충청남도 서천군,197393,"현재 강한 집중호우가 지속되어 침수피해가 속출하고 있으니, 외출자제와 침수우려시 주민들께서는 마을회관으로 대피 등 비상상황에 협조바랍니다.",cbs,서천군,,,"[('대피 비상상황에', 0.7261)]"
2023/07/14 08:50:14,230,충청남도 서천군,197323,장항 원수삼거리~동백대교(군산방면) 진입구간 침수되어 통제중. 사고방지를 위해 우회 바랍니다.,cbs,서천군,군산방면,,"[('통제중 사고방지를 위해 우회', 0.6763)]"
2023/07/13 20:14:11,230,충청남도 서천군,197169,"오늘밤 집중호우가 예상되오니 가급적 외출을 자제하여 주시고 기상상황을 수시로 확인하시어, 침수 우려시 인접 마을회관으로 대피하여 주시기 바랍니다.",cbs,서천군,,,"[('침수 우려시 인접', 0.6711)]"
2023/07/13 08:02:02,230,충청남도 서천군,196967,집중호우가 예상되오니 하천변 산책로 출입을 금지하여 주시고 가급적 외출자제와 저지대 주민들께서는 침수우려시 인접 마을회관으로 대피하여 주시기 바랍니다.,cbs,서천군,,,"[('주시고 가급적 외출자제와 저지대', 0.7643)]"
2023/07/04 20:32:14,230,충청남도 서천군,196477,"5일 새벽에 시간당 20mm이상 집중호우가 예상되오니, 저지대 및 산사태 위험지역 등 군민들께서는 상황발생시 안전지대로 즉시 대피하여 주시기 바랍니다.",cbs,서천군,,,"[('군민들께서는 상황발생시 안전지대로', 0.4548)]"
2023/07/04 18:45:28,230,충청남도 서천군,196455,"내일 새벽에 2시간이상 집중호우가 예보되었으니, 저지대, 산사태위험 등의 거주 군민께서는 상황전파시 안전지대로 즉시 대피할 수 있도록 사전 준비바랍니다.",cbs,서천군,,,"[('집중호우가 예보되었으니 저지대 산사태위험', 0.7586)]"
2023/05/29 05:09:10,230,충청남도 서천군,195256,금일 서천군 산사태 경보 발령. 산림·급경사지 등 위험지역 주변 접근·통행 금지. 대피명령 있을 시 안전지대로 반드시 대피해주시기 바랍니다.,cbs,서천군,,,"[('산림 급경사지', 0.759)]"
