create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/07/14 15:51:57,230,충청남도 서천군,197465,장항 원수삼거리~동백대교 군산방향 지하도 침수로 통행을 전면 통제하니 인근 차량은 우회하시기 바랍니다.,cbs,서천군청,,,"[('군산방향 지하도 침수로 통행을', 0.6485)]"
2023/07/14 12:23:12,230,충청남도 서천군,197395,"현재 강한 집중호우가 지속되어 침수피해가 속출하고 있으니, 외출자제와 침수우려시 주민들께서는 마을회관으로 대피 등 비상상황 대비에 협조 바랍니다.",cbs,서천군청,,,"[('주민들께서는 마을회관으로 대피 비상상황', 0.7639)]"
2023/07/14 11:09:18,230,충청남도 서천군,197374,오늘 장항읍 신창리(장항중앙초등학교-장항건재 사거리부근) 도로침수로 통행이 불가하오니 우회하시기 바랍니다.,cbs,서천군청,장항중앙초등학교-장항건재 사거리부근,,"[('도로침수로 통행이', 0.5949)]"
2023/07/14 11:05:27,230,충청남도 서천군,197372,"마산면 나궁리 65-5부근, 부여-홍산방면 나무전도로 통행불가하니 사고방지를 위해 우회하시기 바랍니다.",cbs,서천군청,,,"[('사고방지를 위해', 0.6746)]"
2023/07/14 05:17:59,230,충청남도 서천군,197243,"현재 서천군에 많은 비가 내리고 있으니 하천변, 산책로, 계곡, 농수로 등 위험지역은 접근하지 마시고 외출을 자제하여 주시기 바랍니다.",cbs,서천군청,,,"[('접근하지 마시고', 0.7565)]"
2023/03/20 14:36:56,230,충청남도 서천군,193675,금일 서천군 한산면 원산리 193-1번지 산불발생. 인근 주민들은 입산을 자제하고 화재발생지역 밖으로 대피하시기 바랍니다.,cbs,서천군청,,,"[('산불발생 인근', 0.6228)]"
2023/03/20 14:25:16,230,충청남도 서천군,193674,"금일 서천군 산불발생(종천면 지석리 산 13-4, 마산면 요곡리 산 19-1) 등산객은 입산을 피하고 산 밖으로 대피하시기 바랍니다.",cbs,서천군청,"종천면 지석리 산 13-4, 마산면 요곡리 산 19-1",,"[('13 마산면', 0.6157)]"
2023/01/19 09:35:50,230,충청남도 서천군,190857,"▲1.19.(목)코로나19 확진자 23명▲2차접종 완료 12세이상 동절기 코로나 접종필요,증상약화및중증예방▲실내마스크착용 등 개인방역수칙준수 바랍니다.",cbs,서천군청,목,12세,"[('확진자 23명 2차접종 완료', 0.5238)]"
2023/01/18 12:20:23,230,충청남도 서천군,190783,"▲1.18.(수)코로나19 확진자 32명▲2차접종 완료 12세이상 동절기 코로나 접종필요,증상약화및중증예방▲실내마스크착용 등 개인방역수칙준수 바랍니다.",cbs,서천군청,수,12세,"[('12세이상 동절기', 0.5305)]"
2023/01/17 09:21:53,230,충청남도 서천군,190596,"▲1.17.(화)코로나19 확진자 66명▲2차접종 완료 12세이상 동절기 코로나 접종필요,증상약화및중증예방▲실내마스크착용 등 개인방역수칙준수 바랍니다.",cbs,서천군청,화,12세,"[('확진자 66명 2차접종', 0.5544)]"
