create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/18 06:21:04,153,서울특별시 성북구,206821,주택화재로 장위동 동방고개 인근 소방용수로 인한 도로결빙우려로 양방향 교통통제 중. 염화칼슘 살포작업(6시~8시)중이니 통행 시 우회바람.,cbs,성북구청,6시~8시,,"[('도로결빙우려로 양방향 교통통제', 0.7376)]"
2023/03/19 17:41:29,153,서울특별시 성북구,193656,"내일(3/20일)부터 대중교통 마스크 착용의무 해제. 단, 감염취약시설,병의원,약국(개방형제외)등 착용유지. 방역수칙준수, 개인위생 철저 당부드림",cbs,성북구청,3/20일,,"[('개방형제외 착용유지 방역수칙준수', 0.5969)]"
2023/03/19 17:15:39,153,서울특별시 성북구,193654,"내일(3/20일)부터 대중교통 마스크 착용의무 해제. 단, 감염취약시설, 병의원, 약국(개방형제외)등 착용유지. 방역수칙준수, 개인위생 철저 당부드림",cbs,성북구청,3/20일,,"[('개방형제외 착용유지 방역수칙준수', 0.5969)]"
2023/01/29 15:41:59,153,서울특별시 성북구,192282,"내일(30일)부터 실내마스크 착용의무 해제. 단, 대중교통, 의료기관, 약국 등 착용의무유지. 코로나 방역수칙준수와 개인위생관리 철저 당부드립니다.",cbs,성북구청,30일,,"[('부터 실내마스크 착용의무', 0.6627)]"
2023/01/27 18:08:06,153,서울특별시 성북구,192123,"오늘 성북구 전 지역 한파특보 발효중. 강추위에 따른 노약자 외출자제, 동파방지, 온열기기 화재예방 등 한파 피해가 없도록 안전에 유의하시기 바랍니다.",cbs,성북구청,,,"[('한파특보 발효중 강추위에 따른', 0.6996)]"
2023/01/25 18:14:08,153,서울특별시 성북구,191853,"내일(목) 새벽에 2~7cm 눈 예보가 있으니, 대중교통 이용, 보행시 미끄럼 주의, 내집·내가게 앞 눈 치우기에 적극 협조하여 주시기 바랍니다.",cbs,성북구청,목,,"[('이용 보행시 미끄럼 주의', 0.6443)]"
2023/01/24 11:50:26,153,서울특별시 성북구,191628,"오늘 내일 성북구 전지역에 한파경보 발효. 가급적 외출을 자제하고 건강에 유의하며, 각 가정에서는 난방유지, 계량기 동파, 화재예방에 주의바랍니다.",cbs,성북구청,,,"[('가급적 외출을 자제하고', 0.6138)]"
2023/01/23 10:57:20,153,서울특별시 성북구,191361,"오늘 21시 한파경보 발효. 가급적 야외활동 자제·보온 유지 바라며, 계량기 동파, 미끄럼 사고 및 화재예방 등 안전에 주의하시기 바랍니다.",cbs,성북구청,,,"[('한파경보 발효 가급적', 0.5605)]"
2023/01/20 20:03:50,153,서울특별시 성북구,191090,"설연휴 강추위가 예상되오니 각 가정에서는 수도, 보일러 동파 방지를 위한 보온조치 등 사전대비 활동과 빙판길 미끄럼 등 안전에 유의하시기 바랍니다.",cbs,성북구청,,,"[('활동과 빙판길 미끄럼', 0.6904)]"
2023/01/19 18:02:53,153,서울특별시 성북구,190935,"설연휴 선별진료소 안내 (보건소)1/21(9~18시),1/22~24(9~13시) (구청)1/21(휴무),1/22~24(13~21시) ☎2241-5271",cbs,성북구청,보건소,,"[('22 24 13 21시', 0.5577)]"
2023/01/15 12:58:21,153,서울특별시 성북구,190370,"오늘 18시 한파특보가 발효되어 영하의 기온으로 도로 결빙이 우려되니 가급적 대중교통 이용바라며, 계량기 동파ㆍ미끄럼 사고 등에 유의하기 바랍니다.",cbs,성북구청,,,"[('이용바라며 계량기 동파ㆍ미끄럼 사고', 0.6164)]"
2023/01/14 21:35:28,153,서울특별시 성북구,190265,1.14(토) 저녁부터 1.15(일) 밤까지 성북구 전역에 1~3cm 눈예보가 있으니 눈치우기 및 외출시 빙판길 사고 등 ]에 유의 바랍니다.,cbs,성북구청,토,,"[('외출시 빙판길 사고', 0.5756)]"
2023/01/06 18:20:30,153,서울특별시 성북구,189124,1.6.(금) 18시부터 1.7.(토) 09시까지 1~5cm의 눈 예보가 있으니 차량이용을 자제하고 가급적 대중교통을 이용하여 주시기 바랍니다.,cbs,성북구청,금,,"[('자제하고 가급적 대중교통을 이용하여', 0.3784)]"
2023/01/05 18:35:22,153,서울특별시 성북구,188967,"23.1.7선별진료소 시간변경 (보건소)평일,토9-18시/일 공휴일 미운영 (구청)평일13-21시/일9-18시/토 공휴일 미운영 02-2241-5271",cbs,성북구청,보건소,,"[('구청 평일13', 0.6333)]"
2022/12/27 19:04:51,153,서울특별시 성북구,187668,"12.28.(수) 00시~09시 사이 1cm 내외의 눈이 예보되어 있으니, 가급적 대중교통을 이용하시고 미끄럼사고 등 안전에 유의하시기 바랍니다.",cbs,성북구청,수,,"[('가급적 대중교통을 이용하시고', 0.5156)]"
2022/12/24 09:04:22,153,서울특별시 성북구,187119,"주말 강추위가 지속될 것으로 예상되오니, 각 가정 내 보온유지 및 수도계량기 동파, 난방용품 화재, 미끄럼사고 등 안전에 유의하여 주시기 바랍니다.",cbs,성북구청,,,"[('가정 보온유지', 0.7098)]"
2022/12/21 06:50:44,153,서울특별시 성북구,186220,"서울전역 대설주의보가 발령되어 많은 눈이 내리고 있으니, 내 집 내 점포 앞 눈 치우기에 적극 동참해주시고 가급적 대중교통을 이용해 주시기 바랍니다.",cbs,성북구청,,,"[('치우기에 적극', 0.7108)]"
2021/07/27 11:17:10,153,서울특별시 성북구,114713,7.22.~7.23. T world 가나안대리점 보문역점(보문로 113) 방문자는 가까운 선별진료소에서 코로나19 검사를 받으시기 바랍니다.,cbs,성북구청,보문로 113,,"[('방문자는 가까운 선별진료소에서 코로나19', 0.6347)]"
