create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/08/23 13:16:50,84,경상북도 성주군,204189,<민방위 차량통제 훈련안내> 8.23.(수) 오후 2시부터 15분간 군청 앞 삼거리~LG전자 앞 회전교차로까지 차량을 통제하오니 적극 협조 바랍니다.,cbs,성주군,수,,"[('15분간 군청 삼거리', 0.6278)]"
2023/08/22 16:22:42,84,경상북도 성주군,203992,<민방위 차량통제 훈련안내> 8.23.(수) 오후 2시부터 15분간 군청 앞 삼거리~LG전자 앞 회전교차로까지 차량을 통제하오니 적극 협조 바랍니다.,cbs,성주군,수,,"[('15분간 군청 삼거리', 0.6278)]"
2023/08/14 08:43:11,84,경상북도 성주군,203195,고령군 덕곡면에서 탈출한 암자를 포획하여 상황 종료되었음을 알려드립니다.,cbs,성주군,,,"[('암자를 포획하여', 0.462)]"
2023/08/14 07:55:41,84,경상북도 성주군,203186,금일 07:30분경 고령군 덕곡면에서 암사자 탈출 발생. 인근 주민들은 안전관리에 유의바라며 발견시 119에 신고바랍니다.,cbs,성주군,,,"[('30분경 고령군 덕곡면에서 암사자', 0.7456)]"
2023/08/09 11:52:04,84,경상북도 성주군,201934,"태풍 카눈 북상중. 금일 밤부터 강한 바람과 호우가 예상됩니다. 배수로 점검, 비닐하우스·간판 등 구조물 점검, 위험지역 방문 자제 바랍니다.",cbs,성주군,,,"[('카눈 북상중 금일 밤부터', 0.685)]"
2023/08/06 15:40:14,84,경상북도 성주군,201482,"폭염경보 발효중. 온열질환 발생가능성이 높으니 밭농사 등 영농활동 자제, 실외 작업장 폭염 안전수칙(물, 그늘, 휴식) 지키기 등 안전에 유의바랍니다.",cbs,성주군,"물, 그늘, 휴식",,"[('온열질환 발생가능성이 높으니 밭농사', 0.6104)]"
2023/08/06 11:18:18,84,경상북도 성주군,201396,"폭염경보 발효중. 온열질환 발생가능성이 높으니 밭농사 등 영농활동 자제, 실외작업장 폭염 안전수칙(물, 그늘, 휴식) 지키기 등 안전에 유의 바랍니다.",cbs,성주군,"물, 그늘, 휴식",,"[('그늘 휴식 지키기', 0.6458)]"
2023/08/06 09:26:51,84,경상북도 성주군,201333,"폭염경보 발효중. 온열질환 발생가능성이 높으니 밭농사 등 영농활동 자제, 실외 작업장 폭염 안전수칙(물,그늘,휴식) 지키기 등 안전에 유의 바랍니다.",cbs,성주군,"물,그늘,휴식",,"[('온열질환 발생가능성이', 0.6118)]"
2023/07/29 16:21:18,84,경상북도 성주군,200188,"폭염경보 발효중. 열사병 등 온열질환 발생가능성이 높으니 논,밭 등 야외 활동 자제, 충분한 물마시기, 그늘에서 휴식 등 건강관리에 유의하시기 바랍니다.",cbs,성주군,,,"[('발효중 열사병 온열질환 발생가능성이', 0.6647)]"
2023/07/29 14:21:40,84,경상북도 성주군,200173,"폭염경보 발효중. 논, 밭 등 야외활동 자제, 충분한 수분섭취 및 휴식, 외출 시 모자 및 양산 착용 등 건강에 유의바랍니다.",cbs,성주군,,,"[('모자 양산 착용', 0.6964)]"
2023/07/17 19:57:40,84,경상북도 성주군,198480,"호우경보 발효중. 많은비가 예상됩니다. 가급적 외출을 자제해주시고 하천변, 저지대 급경사지 등 인명피해 위험지역은 접근하지 마시기 바랍니다.",cbs,성주군,,,"[('발효중 많은비가 예상됩니다 가급적', 0.8)]"
2023/04/02 16:27:59,84,경상북도 성주군,194047,오늘 14:47경 성주군 용암면 대봉리 산79-16인근 산불 발생. 입산을 자제하여 주시기 바랍니다.,cbs,성주군,,,"[('47경 성주군 용암면 대봉리', 0.5111)]"
2023/03/26 14:00:20,84,경상북도 성주군,193817,지속되는 건조한 날씨로 인해 산불 발생 위험이 매우 높습니다. 농산부산물 소각 등 산림 인접지 소각행위를 일체 금지하시기 바랍니다.,cbs,성주군,,,"[('높습니다 농산부산물 소각 산림', 0.4897)]"
2023/03/26 10:29:26,84,경상북도 성주군,193814,지속되는 건조한 날씨로 인해 산불 발생 위험이 매우 높습니다. 농산부산물 소각 등 산림 인접지 소각행위를 일체 금지하시기 바랍니다.,cbs,성주군,,,"[('높습니다 농산부산물 소각 산림', 0.4897)]"
2023/03/18 17:36:17,84,경상북도 성주군,193627,오늘 16:56경 성주군 선남면 관화리 산 44-8번지 인근 산불 발생. 입산을 자제하고 인근 주민과 등산객은 안전사고 발생에 주의하시기 바랍니다.,cbs,성주군,,,"[('자제하고 인근 주민과 등산객은', 0.6145)]"
2022/09/03 14:15:46,84,경상북도 성주군,170659,9.4. ~ 9.6. 11호 태풍 '힌남노' 북상중. 강풍 및 비 피해가 발생하지 않도록 주의하여 주시기 바랍니다.,cbs,성주군,,,"[('피해가 발생하지 않도록 주의하여', 0.4227)]"
2022/08/15 15:59:05,84,경상북도 성주군,168060,"모레까지 우리군에 많은 비가 예상됩니다. 산사태와 계곡,하천 범람에 주의하시고, 야영장에 계신분은 사전대피 등 개인 안전관리에 유의하시기 바랍니다.",cbs,성주군,,,"[('비가 예상됩니다 산사태와', 0.7414)]"
2022/03/09 13:25:27,84,경상북도 성주군,146652,"▲3.9.(수) 코로나19 확진자 152명(관내131,타지역21) 발생▲마스크착용 철저▲타지역방문 및 모임 자제▲유증상시 즉시 검사",cbs,성주군,수,,"[('마스크착용 철저', 0.4247)]"
2022/03/08 13:54:33,84,경상북도 성주군,146496,"▲3.8.(화) 코로나19 확진자 67명(관내56,타지역11) 발생▲마스크착용 철저▲타지역방문 및 모임 자제▲유증상시 즉시 검사",cbs,성주군,화,,"[('즉시 검사', 0.4328)]"
2022/03/04 11:01:34,84,경상북도 성주군,145750,"▲3.4.(금) 코로나19 확진자 79명(관내71,타지역8) 발생▲마스크 착용 철저▲타지역방문 및 모임 자제▲유증상시 즉시 검사",cbs,성주군,금,,"[('모임 자제', 0.4388)]"
2022/03/03 10:18:43,84,경상북도 성주군,145579,"▲3.3.(목) 코로나19 확진자 91명(관내72,타지역19) 발생▲마스크착용 철저▲타지역방문 및 모임 자제▲유증상시 즉시 검사",cbs,성주군,목,,"[('마스크착용 철저', 0.4244)]"
2022/03/02 11:11:02,84,경상북도 성주군,145448,"▲3.2.(수) 코로나19 확진자 63명(관내54, 타지역9) 발생▲마스크착용 철저▲타지역방문 및 모임 자제▲유증상시 즉시 검사",cbs,성주군,수,,"[('마스크착용 철저', 0.3982)]"
2022/02/28 09:30:41,84,경상북도 성주군,145074,"▲2.28.(월) 코로나19 확진자 27명(관내26,타지역1) 발생▲마스크착용 철저▲타지역방문 및 모임 자제▲유증상시 즉시 검사",cbs,성주군,월,,"[('철저 타지역방문 모임', 0.4852)]"
2022/02/25 10:39:10,84,경상북도 성주군,144656,"▲2/25(금) 코로나 확진자 54명(성주17,선남7,수륜2,가천1,벽진6,초전3,월항5,타지역13)▲마스크 착용철저▲유증상시 즉시검사(930-6471)",cbs,성주군,금,,"[('선남7 수륜2 가천1 벽진6', 0.4674)]"
2022/02/24 11:23:51,84,경상북도 성주군,144522,"▲2.24.(목)코로나19 확진자 60명(성주25,선남9,수륜4,가천3,벽진1,초전4,월항7,타지역7)발생▲마스크착용▲행사·모임 자제▲유증상시 즉시 검사",cbs,성주군,목,,"[('선남9 수륜4', 0.4624)]"
2022/02/23 09:31:24,84,경상북도 성주군,144319,"▲2.23.(수)코로나19 확진자 56명(성주16,선남12,수륜2,가천2,금수4,대가1,초전3,월항1,타지역15)발생▲행사·모임 자제▲유증상시 즉시 검사",cbs,성주군,수,,"[('가천2 금수4 대가1 초전3', 0.5425)]"
2022/02/22 11:46:06,84,경상북도 성주군,144218,"▲2.22.(월) 코로나19 확진자 22명(성주7,선남2,수륜7,가천1,대가1,타지역4) 발생▲마스크착용▲타지역방문 및 모임 자제▲유증상시 즉시 검사",cbs,성주군,월,,"[('가천1 대가1 타지역4', 0.4552)]"
2022/02/21 11:12:28,84,경상북도 성주군,144064,"▲2.21.(월) 코로나19 확진자 19명(성주7,수륜5,가천1,금수1,월항4,타지역1) 발생▲마스크착용▲타지역방문 및 모임 자제▲유증상시 즉시 검사",cbs,성주군,월,,"[('성주7 수륜5', 0.4256)]"
2022/02/20 11:10:53,84,경상북도 성주군,143904,▲2.20.(일) 코로나19 확진자 31명 발생 ▲마스크착용철저 ▲타지역방문 및 모임 자제 ▲유증상시 즉시 검사 ▲3개월 경과시 백신접종,cbs,성주군,일,,"[('발생 마스크착용철저 타지역방문 모임', 0.412)]"
2022/02/19 10:18:48,84,경상북도 성주군,143716,▲2.19.(토) 코로나19 확진자 29명 발생 ▲마스크착용철저 ▲타지역방문 및 모임 자제 ▲유증상시 즉시 검사 ▲3개월 경과시 백신접종,cbs,성주군,토,,"[('마스크착용철저 타지역방문 모임', 0.4525)]"
