create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/24 07:00:07,6474,세종특별자치시,206963,기온이 어제보다 10도가량 내려가 춥습니다 ▲외출시 보온에 유의 ▲한파 취약자 건강관리 유의 ▲농작물·가축 보온 및 난방기 화재예방에 유의하세요,cbs,세종시청,,,"[('가축 보온 난방기', 0.645)]"
2023/11/23 21:00:48,6474,세종특별자치시,206955,내일 새벽~오전 중 눈과 영하권 날씨로 도로결빙 우려 ▲차량 감속 ▲보행 안전 유의 ▲내집(점포) 앞 제설 ▲대중교통 이용 ▲건강유의 등 실천하세요.,cbs,세종시청,점포,,"[('안전 유의 내집 점포', 0.6306)]"
2023/11/18 07:00:13,6474,세종특별자치시,206826,밤사이 내린 눈의 영향으로 도로결빙 우려 ▲차량 감속운행 ▲보행 중 미끄러짐 주의 ▲내 집(점포) 앞 눈 치우기 ▲대중교통 이용 바랍니다.,cbs,세종시청,점포,,"[('내린 눈의 영향으로', 0.6672)]"
2023/11/17 21:17:23,6474,세종특별자치시,206805,"대설주의보 발효(21시), 밤사이 영하의 기온과 눈과 비로 도로결빙이 우려되니, 안전운전,낙상사고 예방, 내집(점포) 앞 눈치우기 실천 바랍니다.",cbs,세종시청,21시,,"[('우려되니 안전운전 낙상사고 예방', 0.7111)]"
2023/11/06 13:00:26,6474,세종특별자치시,206540,"강풍주의보 발효 중 ▲나무 전도, 현수막 날림 등 안전확보 ▲건설현장/비닐하우스/농작물 등 관리 철저 ▲내일 아침기온 급감 대비 등 유의바랍니다.",cbs,세종시청,,,"[('강풍주의보 발효', 0.6794)]"
2023/11/06 06:00:06,6474,세종특별자치시,206495,"강풍주의보 발효(06:00 기준) ▲간판 등 낙하물 주의 ▲공사장, 비닐하우스 등 위험지역 접근 금지 ▲야외활동 자제 등 안전에 유의바랍니다.",cbs,세종시청,06:00 기준,,"[('간판 낙하물 주의', 0.6604)]"
2023/11/05 10:00:15,6474,세종특별자치시,206453,"강풍예비특보 발령(6일 0시~6시) ▲간판 등 부착물 고정 ▲농작물, 비닐하우스, 공사장 등 피해 주의 ▲난간 화분 들여놓기 등 사전 대비 바랍니다.",cbs,세종시청,6일 0시~6시,,"[('농작물 비닐하우스', 0.6588)]"
2023/10/30 07:53:24,7713,세종특별자치시 세종특별자치시,206363,"짙은 안개로 가시거리가 매우 짧습니다. 차간 안전거리 유지, 교량·터널·지하차도 등 운전시 감속, 비상등 점멸 등 안전운행하시기 바랍니다.",cbs,세종시청,,,"[('차간 안전거리', 0.7507)]"
2023/10/14 07:00:19,6474,세종특별자치시,206043,"10월 14일 원수산·전월산 일대에서 야생멧돼지 일제 포획이 실시될 예정이니, 각별히 주의하시기 바랍니다. ※ 10월 14일 07시~14시 입산금지",cbs,세종시청,,,"[('각별히 주의하시기 바랍니다', 0.6744)]"
2023/10/13 17:00:43,6474,세종특별자치시,206033,"10월 14일 원수산·전월산 일대에서 야생멧돼지 일제 포획이 실시될 예정이니, 각별히 주의하시기 바랍니다. ※ 10월 14일 07시~14시 입산금지",cbs,세종시청,,,"[('각별히 주의하시기 바랍니다', 0.6744)]"
